date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,0,0,0,,0
54,0,0,0,,,,,
55,0,0,0,,,,,
56,0,0,0,,,,,
57,0,1,0,1,1,,,
58,0,0,0,1,1,,,
59,0,0,0,1,1,,,
60,0,0,0,1,1,,,
61,0,0,0,1,1,,,
62,0,0,0,1,1,,,
63,0,0,0,1,1,,,
64,0,0,0,1,1,,,
65,3,0,0,1,1,,,
66,5,0,0,1,1,,,
67,3,0,0,1,1,,,
68,3,0,0,1,1,,,
69,1,0,0,1,1,,,
70,10,0,0,1,1,,,
71,13,0,0,1,1,,,
72,4,1,0,2,2,,,
73,7,1,1,3,3,,,
74,14,1,0,4,4,,,
75,11,2,0,6,6,,,
76,17,4,1,10,10,,,
77,19,0,0,10,10,,,
78,8,0,1,10,10,,,
79,10,2,0,12,12,,,
80,13,3,0,15,15,,,
81,8,1,0,16,16,,,
82,11,1,0,17,17,,,
83,11,0,2,17,17,,,
84,14,4,1,21,21,,,
85,6,4,0,25,25,,,
86,22,1,0,26,26,,,29
87,13,2,1,28,28,,,32
88,9,2,0,30,30,,,49
89,11,0,0,30,30,,,55
90,11,2,1,32,32,,,63
91,15,1,0,33,33,,,66
92,5,0,0,33,33,,,85
93,8,0,1,33,33,,,98
94,8,0,0,33,33,,,106
95,7,3,0,36,36,,,110
96,9,1,0,37,37,,,128
97,5,0,0,37,37,39,,147
98,5,0,0,37,37,37,,153
99,2,0,0,37,37,46,,161
100,8,0,0,37,37,42,,168
101,6,0,0,37,37,39,,196
102,2,0,0,37,37,42,,209
103,2,0,0,37,37,36,,208
104,0,0,0,37,37,32,,217
105,2,0,0,37,37,14,,217
106,4,0,0,37,37,10,,218
107,6,1,0,38,38,16,,228
108,4,0,0,38,38,14,,240
109,0,0,0,38,38,19,,252
110,9,1,0,39,39,25,,254
111,1,0,0,39,39,10,,261
112,3,0,0,39,39,12,,262
113,2,0,0,39,39,12,,263
114,1,1,0,40,40,13,,277
115,1,1,1,41,41,8,,284
116,2,0,0,41,41,12,,291
117,3,0,0,41,41,16,,305
118,1,0,0,41,41,8,,318
119,1,0,0,41,41,8,,324
120,2,0,0,41,41,7,,328
121,2,0,0,41,41,10,,334
122,1,0,0,41,41,12,,338
123,5,1,0,42,42,12,,339
124,1,1,0,43,43,8,,343
125,4,2,0,45,45,10,,344
126,4,1,0,46,46,13,,344
127,3,0,0,46,46,9,,345
128,0,0,0,46,46,16,,348
129,3,0,0,46,46,16,,352
130,0,1,0,47,47,19,,356
131,2,2,0,49,49,15,,356
132,4,0,0,49,49,10,,358
133,0,0,0,49,49,10,,358
134,1,0,0,49,49,10,,361
135,2,0,0,49,49,12,,362
136,1,0,0,49,49,14,,364
137,13,0,0,49,49,10,,366
138,5,1,0,50,50,14,,367
139,3,0,0,50,50,14,,368
140,28,0,0,50,50,14,,368
141,7,0,0,50,50,10,,368
142,20,1,0,51,51,10,,371
143,18,1,0,52,52,11,,373
144,10,0,0,52,52,13,,376
145,11,1,0,53,53,8,,380
146,12,0,0,53,53,7,,382
147,8,0,0,53,53,7,,382
148,18,0,0,53,53,7,,384
149,11,0,1,53,53,12,,389
150,20,0,0,53,53,22,,392
151,18,1,0,54,54,18,,397
152,14,1,1,55,55,15,,403
153,26,1,0,56,56,12,,405
154,9,1,0,57,57,11,,411
155,3,3,0,60,60,21,,417
156,13,1,0,61,61,22,,429
157,20,0,0,61,61,23,,438
158,12,0,0,61,61,18,,449
159,16,2,0,63,63,18,,457
160,21,2,0,65,65,16,,464
161,11,0,0,65,65,15,,475
162,6,0,0,65,65,13,,491
163,16,1,0,66,66,14,,502
164,14,1,0,67,67,16,,507
165,24,0,0,67,67,14,,513
166,18,0,2,67,67,12,,519
167,19,0,0,67,67,11,,521
168,29,1,0,68,68,12,,521
169,21,0,0,68,68,16,,525
170,36,0,0,68,68,18,,526
171,38,0,0,68,68,20,,528
172,38,0,0,68,68,18,,535
173,45,1,1,69,69,25,,539
174,49,2,1,71,71,23,,544
175,27,4,0,75,75,19,,548
176,27,3,0,78,78,19,,548
177,18,2,1,80,80,25,,560
178,40,4,0,84,84,30,,563
179,47,3,0,87,87,28,,571
180,50,3,0,90,90,30,,588
181,63,3,0,93,93,31,,598
182,92,2,0,95,95,27,,615
183,59,1,0,96,96,22,,620
184,43,2,0,98,98,25,,642
185,51,4,0,102,102,32,,669
186,64,1,0,103,103,32,,688
187,42,2,0,105,105,32,,697
188,62,2,1,107,107,26,,708
189,83,3,0,110,110,27,,712
190,73,1,0,111,111,29,,712
191,90,2,0,113,113,32,,737
192,94,5,1,118,118,34,,753
193,64,6,0,124,124,36,,787
194,57,2,0,126,126,37,,800
195,88,6,1,132,132,38,,815
196,185,3,0,135,135,43,,817
197,94,3,1,138,138,38,,817
198,108,5,1,143,143,44,,836
199,68,2,0,145,145,45,,854
200,84,2,1,147,147,45,,885
201,106,4,0,151,151,40,,898
202,144,2,1,153,153,37,,930
203,136,1,0,154,154,39,,932
204,58,2,1,156,156,38,,946
205,61,2,0,158,158,33,,987
206,55,3,0,161,161,38,,1017
207,40,3,0,164,164,42,,1220
208,55,3,0,167,167,37,,1238
209,79,5,1,172,172,37,,1254
210,97,4,0,176,176,40,,1269
211,68,4,0,180,180,37,,1332
212,49,1,0,181,181,39,,1344
213,61,5,1,186,186,39,,1359
214,82,5,0,191,191,46,,1360
215,100,2,0,193,193,38,,1371
216,84,4,1,197,197,36,,1384
217,101,6,0,203,203,42,,1418
218,50,3,0,206,206,33,,1432
219,66,2,1,208,208,47,,1468
220,73,6,0,214,214,56,,1501
221,83,4,0,218,218,51,,1513
222,69,2,1,220,220,46,,1601
223,88,3,1,223,223,46,,1686
224,66,2,1,225,225,48,,1745
225,71,3,0,228,228,43,,1861
226,33,5,4,233,233,46,,1967
227,52,2,1,235,235,44,,2088
228,84,1,0,236,236,43,,2109
229,116,3,0,239,239,37,,2183
230,93,1,0,240,240,43,,2201
231,43,1,0,241,241,41,,2233
232,36,0,0,241,241,39,,2238
233,35,5,2,246,246,41,,2246
234,66,1,0,247,247,46,,2281
235,88,5,1,252,252,43,,2288
236,119,0,0,252,252,43,,2295
237,87,4,2,256,256,36,,2321
238,95,0,0,256,256,41,,2323
239,34,4,0,260,260,36,,2323
240,33,5,0,265,265,41,,2339
241,65,3,0,268,268,40,,2340
242,114,2,0,270,270,42,,2351
243,89,0,1,270,270,44,,2359
244,103,1,1,271,271,32,,2377
245,61,1,0,272,272,35,,2377
246,75,3,0,275,275,37,,2377
247,43,3,0,278,278,44,,2402
248,50,1,0,279,279,45,,2407
249,108,1,0,280,280,41,,2408
250,107,3,1,283,283,36,,2422
251,94,0,0,283,283,41,,2438
252,108,4,0,287,287,43,,2438
253,70,5,0,292,292,47,,2439
254,57,3,0,295,295,43,,2668
255,76,1,0,296,296,43,,2731
256,131,4,0,300,300,43,,2731
257,126,2,6,302,302,43,,3042
258,119,2,1,304,304,43,,3267
259,110,4,4,308,308,43,,3502
260,114,1,0,309,309,43,,3771
261,122,4,0,313,313,49,,4324
262,104,2,0,315,315,53,,4555
263,137,2,1,317,317,42,,4838
264,141,3,0,320,320,41,,5042
265,139,2,1,322,322,39,,5199
266,141,2,0,324,324,51,,5281
267,196,1,0,325,325,45,,5455
268,147,3,0,328,328,45,,5455
269,121,5,1,333,333,46,,5626
270,134,4,1,337,337,46,,5672
271,187,2,0,339,339,51,,5734
272,230,2,0,341,341,66,,5761
273,250,4,0,345,345,57,,5789
274,191,7,0,352,352,52,,5802
275,156,3,0,355,355,59,,5909
276,155,1,4,356,356,56,,5950
277,166,9,1,365,365,60,,6066
278,221,8,1,373,373,59,,6237
279,210,4,1,377,377,68,,6448
280,210,6,0,383,383,73,,6488
281,204,4,0,387,387,65,,6516
282,231,2,0,389,389,38,,6681
283,224,6,1,395,395,41,,6751
284,239,6,0,401,401,41,,6812
285,248,14,0,415,415,59,,6915
286,356,4,0,419,419,58,,6939
287,518,2,0,421,421,58,,6946
288,350,3,0,424,424,50,,6948
289,388,1,2,425,425,81,,7016
290,352,9,1,434,434,80,,7067
291,350,8,6,442,442,89,,7094
292,377,6,4,448,448,90,,7096
293,454,7,1,455,455,94,,7099
294,351,7,1,462,462,98,,7104
295,344,8,1,470,470,97,,7110
296,383,2,0,472,472,97,,7113
297,408,4,0,476,476,95,,7124
298,313,6,0,482,482,104,,7125
299,507,9,0,491,491,106,,7122
300,603,8,0,499,499,105,,7157
301,511,10,0,509,509,119,,7161
302,464,5,0,514,514,119,,7161
303,538,6,8,520,520,120,,7161
304,487,8,4,528,528,117,,7160
305,481,9,0,537,537,113,,7161
306,584,5,0,542,542,113,,7161
307,734,1,2,543,543,125,,7162
308,642,7,0,550,550,141,,7164
309,578,9,0,559,559,143,,7165
310,634,3,2,562,562,136,,
311,545,22,0,584,584,147,,
312,490,9,1,593,593,139,,
313,460,13,0,606,606,127,,
314,675,6,1,612,612,129,,
315,543,0,1,612,612,133,,
316,498,5,0,617,617,146,,
317,584,14,13,631,631,144,,
318,670,32,0,663,663,145,,
319,553,25,3,688,688,145,,
320,662,3,0,691,691,159,,
321,650,30,2,721,721,155,,
322,612,1,0,722,722,159,,
323,507,3,0,725,725,162,,
324,511,24,1,749,749,155,,
325,697,19,0,768,768,164,,
326,760,15,8,783,783,157,,
327,750,11,12,794,794,151,,
328,922,5,1,799,799,166,,
329,757,0,0,799,799,164,,
330,476,6,3,805,805,166,,
331,562,22,0,827,827,159,,
332,584,20,4,847,847,165,,
333,620,13,5,860,860,164,,
334,622,9,3,869,869,146,,
335,517,14,18,883,883,146,,
336,637,3,0,886,886,139,,
337,422,3,0,889,889,140,,
338,278,19,3,908,908,140,,
339,603,13,2,921,921,146,,
340,377,0,2,921,921,140,,
341,487,7,0,928,928,142,,
342,330,7,1,935,935,146,,
343,178,0,0,935,935,127,,
344,150,2,0,937,937,123,,
345,438,11,10,948,948,121,,
346,360,13,3,961,961,111,,
347,268,22,2,983,983,105,,
348,0,0,0,983,983,105,,
349,361,8,1,991,991,79,,
350,290,1,0,992,992,71,,
351,126,2,0,994,994,78,,
352,175,10,1,1004,1004,83,,
353,385,13,2,1017,1017,75,,
354,495,6,3,1023,1023,79,,
355,0,0,0,1023,1023,79,,
356,801,7,9,1030,1030,77,,
357,290,3,0,1033,1033,87,,
358,260,0,3,1033,1033,97,,
359,194,23,0,1056,1056,93,,
360,328,18,2,1074,1074,101,,
361,326,10,3,1084,1084,89,,
362,403,11,0,1095,1095,86,,
363,311,5,1,1100,1100,86,,
364,250,1,0,1101,1101,82,,
365,173,3,0,1104,1104,79,,
366,0,0,0,1104,1104,79,,
367,406,34,2,1138,1138,68,,
368,332,11,2,1149,1149,81,,
369,300,3,1,1152,1152,77,,
370,182,0,0,1152,1152,67,,
371,279,1,0,1153,1153,70,,
372,151,0,0,1153,1153,58,,
373,125,9,1,1162,1162,61,,
374,160,8,23,1170,1170,57,,
375,209,7,1,1177,1177,58,,
376,263,7,0,1184,1184,51,,
377,241,0,5,1184,1184,56,,
378,165,1,0,1185,1185,57,,
379,83,0,0,1185,1185,54,,
380,85,9,1,1194,1194,57,,
381,173,6,1,1200,1200,49,,
382,199,1,1,1201,1201,42,,
383,185,1,0,1202,1202,48,,
384,135,3,0,1205,1205,39,,
385,128,0,0,1205,1205,42,,
386,70,0,0,1205,1205,43,,
387,107,4,17,1209,1209,49,,
388,181,4,0,1213,1213,42,,
389,158,1,0,1214,1214,43,,
390,165,5,0,1219,1219,44,,
391,0,0,0,1219,1219,44,,
392,0,0,0,1219,1219,44,,
393,415,0,0,1219,1219,39,,
394,115,4,1,1223,1223,35,,
395,182,1,0,1224,1224,34,,
396,143,3,0,1227,1227,33,,
397,148,3,2,1230,1230,35,,
398,0,0,0,1230,1230,35,,
399,0,0,0,1230,1230,35,,
400,0,0,0,1230,1230,35,,
401,454,3,5,1233,1233,43,,
402,63,5,1,1238,1238,32,,
403,210,5,0,1243,1243,37,,
404,189,0,1,1243,1243,34,,
405,0,0,0,1243,1243,34,,
406,0,0,0,1243,1243,34,,
407,309,8,1,1251,1251,39,,
408,53,9,0,1260,1260,38,,
409,176,0,0,1260,1260,46,,
410,150,11,0,1271,1271,45,,
411,103,6,0,1277,1277,43,,
412,0,0,0,1277,1277,43,,
413,0,0,0,1277,1277,43,,
414,350,2,10,1279,1279,25,,
415,89,7,2,1286,1286,26,,
416,177,-1,1,1285,1285,26,,
417,140,5,0,1290,1290,32,,
418,141,3,2,1293,1293,33,,
419,0,0,0,1293,1293,33,,
420,0,0,0,1293,1293,33,,
