date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,0,0,0,,0
54,0,0,0,0,0,0,,0
55,0,0,0,,,,,
56,0,0,0,,,,,
57,0,0,0,,,,,
58,0,0,0,,,,,
59,0,0,0,,,,,
60,0,0,0,,,,,
61,1,0,0,,,,,
62,5,0,0,,,,,
63,6,0,0,,,,,
64,16,0,0,,,,,
65,8,0,0,,,,,
66,10,0,0,,,,,
67,22,0,0,,,,,
68,13,0,0,,,,,
69,43,0,0,,,,,
70,14,0,0,,,,,
71,29,0,0,,,,,
72,48,0,0,,,74,,
73,68,0,0,,,91,,
74,223,0,1,,,106,,
75,81,0,2,,,112,,
76,109,0,0,,,134,,
77,110,0,1,,,158,,
78,53,0,2,,,156,,
79,122,0,7,,,172,,
80,96,0,13,,,258,,
81,156,0,6,,,226,,
82,199,0,3,,,238,,
83,148,212,8,212,212,238,,
84,216,19,2,231,231,282,,
85,172,9,5,240,240,297,,
86,151,31,6,271,271,302,,
87,250,43,10,314,314,308,,
88,400,19,8,333,333,324,,
89,199,35,6,368,368,350,,
90,223,34,11,402,402,343,,
91,334,35,2,437,437,290,,
92,209,20,6,457,457,380,,
93,142,36,11,493,493,380,,
94,237,32,11,525,525,402,,
95,232,28,12,553,553,360,,
96,185,41,11,594,594,364,,
97,125,26,2,620,620,359,,
98,182,21,8,641,641,360,,
99,188,0,13,641,641,397,,
100,206,58,10,699,699,401,,
101,234,31,17,730,730,440,,
102,313,38,3,768,768,406,,
103,54,0,0,768,768,429,,
104,305,71,15,839,839,351,,
105,133,6,4,845,845,384,,
106,229,27,6,872,872,426,,
107,188,39,20,911,911,530,,
108,155,34,3,945,945,498,,
109,177,33,24,978,978,479,,
110,139,30,10,1008,1008,495,,
111,276,15,9,1023,1023,420,,
112,291,12,2,1035,1035,427,,
113,300,29,6,1064,1064,517,,
114,260,43,17,1107,1107,522,,
115,296,51,27,1158,1158,485,,
116,317,20,9,1178,1178,502,,
117,323,29,26,1207,1207,481,,
118,346,21,13,1228,1228,437,,
119,210,12,5,1240,1240,424,,
120,232,16,8,1256,1256,458,,
121,301,31,28,1287,1287,529,,
122,307,30,20,1317,1317,524,,
123,351,33,18,1350,1350,509,,
124,248,27,9,1377,1377,519,,
125,307,10,9,1387,1387,455,,
126,248,5,3,1392,1392,460,,
127,315,24,1,1416,1416,536,,
128,290,37,15,1453,1453,489,,
129,368,40,13,1493,1493,560,,
130,375,35,12,1528,1528,574,,
131,444,33,8,1561,1561,598,,7951
132,375,28,9,1589,1589,446,,7951
133,389,23,5,1612,1612,440,,7951
134,403,17,11,1629,1629,450,,7951
135,666,42,13,1671,1671,569,,7951
136,447,48,6,1719,1719,607,,7951
137,467,46,9,1765,1765,527,,9355
138,513,35,15,1800,1800,590,,9355
139,536,26,13,1826,1826,536,,9355
140,544,18,13,1844,1844,527,,9355
141,460,12,15,1856,1856,596,,9355
142,279,23,5,1879,1879,606,,9355
143,209,21,2,1900,1900,610,,11395
144,221,29,0,1929,1929,601,,11395
145,315,20,23,1949,1949,582,,11395
146,656,44,13,1993,1993,473,,11395
147,457,29,3,2022,2022,518,,11395
148,425,32,26,2054,2054,593,,11395
149,497,33,11,2087,2087,628,,11395
150,567,42,15,2129,2129,646,,13508
151,856,36,11,2165,2165,647,,13508
152,865,37,14,2202,2202,624,,13508
153,891,39,4,2241,2241,563,,13508
154,1014,14,0,2255,2255,576,,13508
155,657,4,1,2259,2259,641,,13508
156,640,56,11,2315,2315,683,,13508
157,400,37,5,2352,2352,688,,15974
158,894,21,20,2373,2373,668,,15974
159,796,43,12,2416,2416,650,,15974
160,547,27,16,2443,2443,638,,15974
161,472,17,1,2460,2460,625,,15974
162,433,11,2,2471,2471,663,,15974
163,643,50,23,2521,2521,681,,15974
164,967,46,27,2567,2567,683,,18866
165,1142,45,5,2612,2612,694,,18866
166,977,41,11,2653,2653,668,,18866
167,900,44,12,2697,2697,655,,18866
168,358,6,0,2703,2703,650,,18866
169,1734,22,10,2725,2725,726,,18866
170,870,44,21,2769,2769,775,,18866
171,917,34,22,2803,2803,809,,18866
172,1149,32,13,2835,2835,843,,22082
173,1754,48,21,2883,2883,838,,22082
174,997,23,1,2906,2906,818,,22082
175,1091,3,0,2909,2909,919,,22082
176,925,5,0,2914,2914,1025,,22082
177,907,47,26,2961,2961,1078,,22082
178,1177,45,25,3006,3006,1116,,22082
179,2212,33,10,3039,3039,1135,,25783
180,1334,50,36,3089,3089,1201,,25783
181,1439,3656,10,6745,6745,1093,,25783
182,1640,0,7,6745,6745,1163,,25783
183,1958,0,3,6745,6745,1335,,25783
184,1710,378,40,7123,7123,1362,,25783
185,1812,168,47,7291,7291,1332,,29736
186,2021,293,19,7584,7584,1395,,29736
187,2003,0,35,7584,7584,1433,,29736
188,2143,198,21,7782,7782,1463,,29736
189,1777,0,1,7782,7782,1524,,29736
190,1880,586,4,8368,8368,1571,,29736
191,1467,170,12,8538,8538,1549,,29736
192,1455,0,61,8538,8538,1468,,29736
193,2399,457,33,8995,8995,1561,,32510
194,1793,162,41,9157,9157,1536,,32510
195,2125,0,18,9157,9157,1499,,32510
196,1164,0,17,9157,9157,1512,,32510
197,1821,537,18,9694,9694,1473,,32510
198,1251,199,0,9893,9893,1598,,32510
199,1416,0,47,9893,9893,1605,,32510
200,1980,177,27,10070,10070,1512,,35401
201,1961,451,15,10521,10521,1596,,35401
202,1626,0,23,10521,10521,1416,,35401
203,2095,0,24,10521,10521,1538,,35401
204,1217,344,6,10865,10865,1540,,35401
205,1041,235,33,11100,11100,1572,,35401
206,952,0,29,11100,11100,1572,,37923
207,1938,213,19,11313,11313,1613,,37923
208,1709,224,21,11537,11537,1403,,37923
209,86,0,0,11537,11537,1454,,37923
210,2947,0,33,11537,11537,1449,,37923
211,1686,533,29,12070,12070,1551,,37923
212,831,0,50,12070,12070,1504,,37923
213,935,222,35,12292,12292,1386,,41523
214,771,164,8,12456,12456,1341,,41523
215,752,0,3,12456,12456,1326,,41523
216,1271,151,3,12607,12607,1259,,41523
217,853,0,2,12607,12607,1289,,41523
218,571,351,27,12958,12958,1301,,41523
219,1357,0,11,12958,12958,1280,,41523
220,1117,122,8,13080,13080,1198,,41523
221,971,250,30,13330,13330,1105,,44684
222,321,0,16,13330,13330,1168,,44684
223,1762,172,21,13502,13502,1067,,44684
224,528,0,2,13502,13502,1093,,44684
225,1650,291,11,13793,13793,1149,,44684
226,532,0,13,13793,13793,1097,,44684
227,2012,212,8,14005,14005,1077,,48028
228,1769,0,31,14005,14005,1052,,48028
229,1162,262,31,14267,14267,1002,,48028
230,1704,0,45,14267,14267,986,,48028
231,1346,0,10,14267,14267,969,,48028
232,823,0,20,14267,14267,1004,,48028
233,1558,271,18,14538,14538,990,,48028
234,623,215,17,14753,14753,959,,51154
235,1046,48,16,14801,14801,872,,51154
236,1108,0,33,14801,14801,880,,51154
237,1410,113,9,14914,14914,818,,51154
238,511,0,1,14914,14914,841,,51154
239,659,0,0,14914,14914,858,,51154
240,633,223,1,15137,15137,778,,51154
241,811,202,8,15339,15339,857,,54223
242,1148,0,16,15339,15339,834,,54223
243,1138,188,32,15527,15527,811,,54223
244,943,0,17,15527,15527,793,,54223
245,1109,0,1,15527,15527,790,,54223
246,704,229,4,15756,15756,792,,54223
247,701,0,32,15756,15756,716,,54223
248,927,186,5,15942,15942,722,,61232
249,670,137,9,16079,16079,740,,61232
250,1106,148,27,16227,16227,744,,61232
251,1301,0,9,16227,16227,747,,61232
252,798,0,0,16227,16227,780,,61232
253,818,260,2,16487,16487,802,,61232
254,804,117,18,16604,16604,796,,61232
255,569,94,31,16698,16698,768,,64583
256,1053,80,18,16778,16778,744,,64583
257,2452,74,-15,16852,16852,718,,64583
258,933,0,10,16852,16852,709,,64583
259,730,0,0,16852,16852,741,,64583
260,662,239,0,17091,17091,753,,64583
261,571,91,16,17182,17182,773,,64583
262,1147,75,23,17257,17257,776,,67948
263,1043,0,8,17257,17257,760,,67948
264,954,163,2,17420,17420,752,,67948
265,1682,0,8,17420,17420,738,,67948
266,789,0,0,17420,17420,757,,67948
267,544,279,1,17699,17699,791,,67948
268,764,0,21,17699,17699,764,,67948
269,941,216,21,17915,17915,777,,67948
270,557,74,36,17989,17989,754,,71240
271,1490,0,16,17989,17989,816,,71240
272,1061,190,11,18179,18179,792,,71240
273,816,0,0,18179,18179,812,,71240
274,734,0,1,18179,18179,856,,71240
275,1117,261,0,18440,18440,823,,71240
276,784,195,41,18635,18635,834,,74238
277,1185,0,50,18635,18635,844,,74238
278,1212,220,30,18855,18855,859,,74238
279,1288,0,2,18855,18855,823,,74238
280,964,0,0,18855,18855,823,,74238
281,859,226,1,19081,19081,859,,74238
282,1043,0,16,19081,19081,846,,74238
283,1146,249,23,19330,19330,863,,74439
284,1390,118,15,19448,19448,864,,74439
285,3852,147,16,19595,19595,888,,74439
286,2360,0,7,19595,19595,920,,74439
287,1079,0,0,19595,19595,922,,74439
288,967,379,0,19974,19974,967,,74439
289,1115,0,26,19974,19974,1001,,74439
290,1269,142,19,20116,20116,1013,,74439
291,1443,130,3,20246,20246,1013,,81005
292,1347,204,18,20450,20450,1013,,81005
293,1789,0,35,20450,20450,960,,81005
294,1700,0,6,20450,20450,967,,81005
295,907,0,0,20450,20450,967,,81005
296,1037,451,14,20901,20901,1022,,81005
297,1848,126,19,21027,21027,1017,,84471
298,1381,0,20,21027,21027,994,,84471
299,1556,267,23,21294,21294,1022,,84471
300,1768,0,33,21294,21294,1015,,84471
301,1205,0,2,21294,21294,1060,,84471
302,1170,0,0,21294,21294,1174,,84471
303,1710,592,36,21886,21886,1206,,84471
304,2070,0,81,21886,21886,1210,,84471
305,2000,304,12,22190,22190,1233,,88038
306,2980,85,18,22275,22275,1177,,88038
307,2226,0,15,22275,22275,1120,,88038
308,1979,0,2,22275,22275,1195,,88038
309,1410,441,1,22716,22716,1262,,88038
310,1616,0,52,22716,22716,1289,,88038
311,2638,372,46,23088,23088,1303,,88038
312,2424,207,72,23295,23295,1315,,90702
313,2463,154,32,23449,23449,1329,,90702
314,2335,0,6,23449,23449,1300,,90702
315,1798,0,0,23449,23449,1332,,90702
316,1574,493,2,23942,23942,1427,,90702
317,2785,218,13,24160,24160,1428,,90702
318,2453,216,60,24376,24376,1483,,161946
319,2639,25,40,24401,24401,1434,,161946
320,917,50,0,24451,24451,1526,,161946
321,2119,219,0,24670,24670,1571,,161946
322,2236,0,5,24670,24670,1609,,161946
323,2295,668,1,25338,25338,1717,,161946
324,3376,272,60,25610,25610,1785,,161946
325,3928,211,73,25821,25821,1801,,168387
326,3531,241,65,26062,26062,1827,,168387
327,3840,269,55,26331,26331,1875,,168387
328,3390,0,46,26331,26331,1867,,168387
329,2288,0,12,26331,26331,1927,,168387
330,2352,713,3,27044,27044,2079,,168387
331,4436,279,50,27323,27323,2097,,168387
332,3522,295,43,27618,27618,2111,,174805
333,4735,0,49,27618,27618,2170,,174805
334,3853,528,52,28146,28146,2111,,174805
335,4066,0,16,28146,28146,2161,,174805
336,2790,0,0,28146,28146,2248,,174805
337,2264,767,0,28913,28913,2286,,174805
338,3638,346,22,29259,29259,2353,,174805
339,4107,300,74,29559,29559,2310,,183625
340,4695,0,56,29559,29559,2425,,183625
341,5348,665,42,30224,30224,2447,,183625
342,4221,0,93,30224,30224,2318,,183625
343,2548,0,0,30224,30224,2337,,183625
344,2380,770,0,30994,30994,2526,,183625
345,4979,311,63,31305,31305,2527,,183625
346,4758,346,135,31651,31651,2535,,193149
347,4232,303,89,31954,31954,2542,,193149
348,3625,0,4,31954,31954,2465,,193149
349,1032,161,5,32115,32115,2470,,193149
350,2170,0,6,32115,32115,2585,,193149
351,2269,884,21,32999,32999,2802,,193149
352,3907,453,25,33452,33452,2804,,193149
353,5016,379,37,33831,33831,2813,,202137
354,4406,353,53,34184,34184,2815,,202137
355,4521,189,45,34373,34373,2815,,202137
356,3711,0,0,34373,34373,2815,,202137
357,2476,0,1,34373,34373,2885,,202137
358,2161,1057,5,35430,35430,3064,,202137
359,5498,0,8,35430,35430,3080,,202137
360,4591,629,108,36059,36059,2967,,211684
361,5046,352,86,36411,36411,3015,,211684
362,5057,343,111,36754,36754,3046,,211684
363,4863,0,108,36754,36754,2995,,211684
364,2750,0,35,36754,36754,2863,,211684
365,2100,833,13,37587,37587,3088,,211684
366,3848,0,226,37587,37587,3076,,211684
367,3147,642,187,38229,38229,2975,,211684
368,3588,221,185,38450,38450,2850,,221961
369,2945,313,85,38763,38763,2863,,221961
370,3153,0,89,38763,38763,2772,,221961
371,1917,0,1,38763,38763,2716,,221961
372,1430,741,1,39504,39504,2798,,221961
373,2515,0,5,39504,39504,2724,,221961
374,3112,424,157,39928,39928,2522,,233211
375,2881,349,96,40277,40277,2478,,233211
376,3551,237,107,40514,40514,2408,,233211
377,3355,0,171,40514,40514,2258,,233211
378,1728,0,3,40514,40514,2254,,233211
379,1839,555,2,41069,41069,2285,,233211
380,2900,246,234,41315,41315,2222,,233211
381,3177,168,276,41483,41483,2122,,233211
382,3648,0,168,41483,41483,2052,,242143
383,2848,0,226,41483,41483,1978,,242143
384,0,376,0,41859,41859,1879,,242143
