date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,0,0,0,,0
54,0,0,0,,,,,
55,0,0,0,,,,,
56,0,0,0,,,,,
57,0,0,0,,,,,
58,0,0,0,,,,,
59,0,0,0,,,,,
60,6,0,0,,,,,
61,3,0,0,,,,,
62,3,0,0,,,,,
63,4,0,0,,,,,
64,6,0,0,,,,,
65,0,0,0,,,,,
66,11,0,0,,,,,
67,13,0,0,,,,,
68,50,0,0,,,,,
69,22,0,0,,,,,
70,47,0,0,,,13,,
71,9,0,0,,,13,,
72,44,0,0,,,22,,
73,62,0,2,,,22,,11
74,55,0,1,,,41,,13
75,46,0,0,,,48,,19
76,23,0,2,,,48,,24
77,22,0,1,,,43,,28
78,47,0,1,,,62,,29
79,50,0,1,,,64,,35
80,61,90,2,90,90,56,,42
81,59,10,2,100,100,66,,47
82,61,5,0,105,105,71,,60
83,39,1,2,106,106,72,,79
84,87,24,2,130,130,67,,97
85,45,7,0,137,137,74,,102
86,71,11,0,148,148,74,,142
87,54,-18,2,130,130,76,,208
88,119,0,3,130,130,73,,288
89,52,0,2,130,130,86,,312
90,55,0,1,130,130,86,,340
91,54,0,3,130,130,74,,367
92,130,0,3,130,130,74,,391
93,70,0,0,130,130,81,,427
94,89,0,3,130,130,83,,489
95,51,0,4,130,130,85,,548
96,75,0,0,130,130,83,,593
97,44,161,1,291,291,86,,703
98,42,0,2,291,291,88,,721
99,142,0,2,291,291,93,,749
100,304,0,1,291,291,86,,809
101,49,0,-1,291,291,97,,863
102,189,0,3,291,291,101,,902
103,276,0,0,291,291,101,,929
104,88,0,2,291,291,104,,964
105,112,0,2,291,291,104,,985
106,76,0,1,291,291,109,,987
107,94,0,2,291,291,104,,1146
108,81,98,7,389,389,93,,1249
109,63,13,2,402,402,95,,1305
110,66,12,3,414,414,95,,1973
111,51,0,9,414,414,95,,1987
112,59,13,3,427,427,100,,1999
113,27,11,5,438,438,91,,2016
114,38,15,2,453,453,89,,2041
115,72,0,2,453,453,69,,2109
116,43,9,2,462,462,69,,2123
117,83,4,1,466,466,70,,2159
118,53,5,0,471,471,64,,2968
119,0,0,0,471,471,64,,2968
120,287,9,6,480,480,61,,3149
121,130,5,1,485,485,59,,3220
122,0,12,0,497,497,59,,3220
123,72,12,2,509,509,64,,3277
124,227,11,1,520,520,65,,3390
125,115,0,0,520,520,65,,3472
126,181,0,0,520,520,65,,3590
127,54,10,2,530,530,77,,3645
128,110,5,2,535,535,78,,3739
129,80,0,5,535,535,78,,3852
130,455,0,3,535,535,78,,3915
131,154,49,3,584,584,86,,4029
132,0,6,0,590,590,81,,4029
133,310,8,3,598,598,86,,4148
134,107,7,1,605,605,92,,4249
135,151,12,2,617,617,107,,4332
136,97,10,1,627,627,108,,4424
137,261,13,0,640,640,104,,4583
138,0,27,5,667,667,104,,4583
139,475,35,8,702,702,104,,5166
140,240,9,0,711,711,115,,5275
141,190,0,0,711,711,115,,5401
142,0,7,0,718,718,121,,5401
143,624,13,9,731,731,132,,5717
144,0,26,0,757,757,138,,5717
145,584,35,10,792,792,147,,5919
146,450,46,2,838,838,154,,6266
147,325,6,0,844,844,145,,6424
148,314,0,1,844,844,171,,6424
149,340,21,6,865,865,173,,6875
150,288,36,4,901,901,181,,7116
151,448,24,6,925,925,187,,7351
152,731,36,5,961,961,203,,7607
153,0,18,0,979,979,203,,7607
154,954,19,3,998,998,204,,8110
155,416,5,3,1003,1003,206,,8352
156,274,23,0,1026,1026,214,,8352
157,415,26,15,1052,1052,217,,8996
158,322,22,11,1074,1074,226,,9376
159,703,26,6,1100,1100,224,,9712
160,511,0,10,1100,1100,224,,10082
161,0,52,0,1152,1152,240,,10082
162,941,12,3,1164,1164,237,,10793
163,595,24,10,1188,1188,248,,11220
164,697,26,3,1214,1214,267,,11568
165,687,31,0,1245,1245,284,,12127
166,0,55,0,1300,1300,284,,12127
167,678,37,9,1337,1337,284,,12784
168,570,36,10,1373,1373,278,,13270
169,947,7,6,1380,1380,300,,14066
170,520,33,5,1413,1413,290,,14531
171,420,35,7,1448,1448,275,,15163
172,878,29,2,1477,1477,272,,15698
173,547,40,2,1517,1517,285,,16164
174,587,19,5,1536,1536,285,,16726
175,0,0,0,1536,1536,285,,16726
176,1044,39,6,1575,1575,337,,17834
177,259,29,0,1604,1604,369,,17834
178,0,51,9,1655,1655,358,,18725
179,1540,50,8,1705,1705,394,,19992
180,751,38,4,1743,1743,402,,20642
181,0,37,0,1780,1780,402,,20642
182,1564,42,8,1822,1822,412,,21591
183,572,14,2,1836,1836,439,,22106
184,794,36,8,1872,1872,445,,22844
185,564,76,4,1948,1948,458,,23523
186,817,46,6,1994,1994,470,,24195
187,648,76,12,2070,2070,464,,24776
188,0,65,0,2135,2135,464,,24776
189,771,42,4,2177,2177,453,,25292
190,1394,25,0,2202,2202,471,,26397
191,728,55,17,2257,2257,488,,27283
192,591,60,6,2317,2317,474,,27990
193,1013,44,6,2361,2361,480,,28864
194,990,0,8,2361,2361,497,,29827
195,0,0,0,2361,2361,497,,29827
196,1374,181,7,2542,2542,479,,31622
197,824,82,7,2624,2624,489,,32365
198,734,62,20,2686,2686,501,,33188
199,787,61,6,2747,2747,508,,33938
200,791,0,8,2747,2747,508,,34737
201,752,105,11,2852,2852,507,,35413
202,662,0,7,2852,2852,507,,36034
203,0,42,-2,2894,2894,499,,36034
204,1424,72,17,2966,2966,513,,37240
205,784,88,15,3054,3054,526,,38000
206,912,64,18,3118,3118,516,,38848
207,735,0,7,3118,3118,514,,39555
208,1011,50,6,3168,3168,514,,40360
209,0,55,0,3223,3223,523,,40360
210,1344,61,23,3284,3284,497,,41452
211,645,52,11,3336,3336,508,,42130
212,383,65,11,3401,3401,507,,42998
213,703,71,0,3472,3472,486,,42998
214,652,94,16,3566,3566,473,,44602
215,626,0,5,3566,3566,466,,45446
216,-400,-4,13,3562,3562,464,,44905
217,673,8,-1,3570,3570,478,,45572
218,412,51,4,3621,3621,486,,46133
219,410,74,16,3695,3695,492,,46970
220,729,48,12,3743,3743,499,,47666
221,549,47,10,3790,3790,499,,48458
222,887,66,22,3856,3856,509,,49135
223,547,52,11,3908,3908,492,,49764
224,375,12,13,3920,3920,500,,50251
225,320,42,9,3962,3962,466,,50689
226,480,51,15,4013,4013,442,,51351
227,649,48,21,4061,4061,435,,51901
228,722,43,7,4104,4104,433,,52665
229,838,38,17,4142,4142,407,,53331
230,795,0,16,4142,4142,407,,54133
231,478,40,12,4182,4182,391,,54408
232,368,31,13,4213,4213,420,,54961
233,273,93,17,4306,4306,423,,55647
234,615,35,27,4341,4341,435,,56261
235,1392,45,20,4386,4386,425,,56889
236,1174,36,12,4422,4422,401,,57547
237,548,34,9,4456,4456,385,,57968
238,0,6,12,4462,4462,389,,58295
239,1054,24,14,4486,4486,399,,58757
240,477,38,9,4524,4524,409,,59260
241,498,50,11,4574,4574,411,,59920
242,548,32,12,4606,4606,392,,60668
243,1180,72,13,4678,4678,392,,61245
244,727,0,16,4678,4678,392,,61245
245,509,41,12,4719,4719,381,,61819
246,408,17,11,4736,4736,378,,62740
247,730,66,18,4802,4802,389,,63415
248,862,38,147,4840,4840,387,,64145
249,992,56,9,4896,4896,389,,64145
250,871,36,7,4932,4932,381,,65542
251,1078,31,0,4963,4963,372,,66003
252,563,4,8,4967,4967,404,,66397
253,641,19,16,4986,4986,439,,66934
254,617,69,12,5055,5055,453,,69184
255,982,43,20,5098,5098,460,,69952
256,1086,62,17,5160,5160,450,,70737
257,897,42,20,5202,5202,478,,71426
258,809,0,19,5202,5202,447,,72051
259,487,33,23,5235,5235,452,,72602
260,807,13,21,5248,5248,491,,73573
261,706,106,21,5354,5354,491,,74440
262,942,0,19,5354,5354,484,,75312
263,1124,91,15,5445,5445,479,,76186
264,958,43,7,5488,5488,473,,76186
265,746,39,16,5527,5527,474,,77772
266,488,23,18,5550,5550,499,,78358
267,417,36,22,5586,5586,516,,79052
268,641,72,0,5658,5658,523,,79052
269,809,82,35,5740,5740,519,,80703
270,1265,65,21,5805,5805,546,,81563
271,0,0,0,5805,5805,546,,81563
272,2075,95,49,5900,5900,554,,82924
273,613,10,17,5910,5910,566,,83454
274,654,50,17,5960,5960,608,,84055
275,680,109,25,6069,6069,601,,84804
276,1079,79,23,6148,6148,582,,85597
277,1278,51,11,6199,6199,587,,86447
278,1015,44,20,6243,6243,583,,87256
279,883,35,19,6278,6278,573,,87920
280,644,37,20,6315,6315,565,,88450
281,531,46,10,6361,6361,604,,89217
282,844,67,14,6428,6428,627,,90283
283,1155,98,23,6526,6526,626,,91317
284,1202,0,21,6526,6526,603,,92288
285,1337,152,10,6678,6678,610,,93215
286,1183,29,15,6707,6707,606,,93977
287,797,11,15,6718,6718,618,,94528
288,612,50,21,6768,6768,634,,95314
289,952,73,24,6841,6841,660,,96322
290,961,79,18,6920,6920,644,,97450
291,1072,47,19,6967,6967,647,,98340
292,1162,36,6,7003,7003,649,,99165
293,1316,35,25,7038,7038,652,,100067
294,0,17,0,7055,7055,639,,100067
295,1451,55,60,7110,7110,672,,101507
296,878,84,18,7194,7194,652,,102666
297,1293,79,23,7273,7273,627,,103762
298,1548,53,11,7326,7326,633,,104816
299,1870,75,19,7401,7401,633,,105746
300,1598,14,12,7415,7415,633,,106594
301,1038,19,17,7434,7434,633,,107287
302,945,62,23,7496,7496,786,,108201
303,1424,83,4,7579,7579,809,,109235
304,1962,56,14,7635,7635,801,,110365
305,1809,80,18,7715,7715,805,,111357
306,2312,102,4,7817,7817,826,,112383
307,0,30,0,7847,7847,799,,112383
308,2722,29,35,7876,7876,830,,114312
309,1308,73,42,7949,7949,861,,115625
310,1554,101,20,8050,8050,902,,117068
311,1715,89,30,8139,8139,893,,118751
312,2238,129,22,8268,8268,891,,120545
313,2061,85,24,8353,8353,928,,122219
314,1905,62,16,8415,8415,922,,123722
315,1352,57,20,8472,8472,962,,125153
316,1017,51,30,8523,8523,974,,127059
317,2122,97,18,8620,8620,988,,128831
318,1965,91,20,8711,8711,1028,,130818
319,2348,0,11,8711,8711,1003,,132580
320,1052,68,0,8779,8779,1011,,134312
321,1349,40,13,8819,8819,1010,,135614
322,1221,24,21,8843,8843,1030,,136872
323,1112,94,32,8937,8937,1063,,138696
324,1950,84,10,9021,9021,1074,,140682
325,2212,89,10,9110,9110,1088,,142600
326,2789,96,33,9206,9206,1072,,144624
327,2827,123,31,9329,9329,1041,,146496
328,2245,51,34,9380,9380,1056,,148131
329,1542,21,40,9401,9401,1076,,149490
330,1118,44,53,9445,9445,1053,,151248
331,2283,132,39,9577,9577,1081,,153088
332,2327,98,34,9675,9675,1064,,155077
333,2202,34,34,9709,9709,1005,,156286
334,2770,139,55,9848,9848,1059,,158018
335,2628,63,36,9911,9911,1071,,159827
336,1450,16,34,9927,9927,1057,,161337
337,1805,64,45,9991,9991,1050,,163351
338,1691,105,26,10096,10096,1070,,165467
339,2306,134,58,10230,10230,1079,,167631
340,3039,127,38,10357,10357,1084,,169745
341,2878,73,27,10430,10430,1073,,171864
342,2693,57,52,10487,10487,1061,,173832
343,1536,15,46,10502,10502,1061,,175387
344,1457,68,58,10570,10570,1078,,177629
345,1941,81,43,10651,10651,1103,,179706
346,2893,175,38,10826,10826,1110,,182024
347,3204,53,30,10879,10879,1093,,184335
348,2122,48,32,10927,10927,1062,,186425
349,702,29,3,10956,10956,1059,,188213
350,908,53,41,11009,11009,1093,,189915
351,1651,53,55,11062,11062,1155,,192134
352,2718,106,66,11168,11168,1161,,194436
353,3184,103,34,11271,11271,1174,,196914
354,2708,87,39,11358,11358,1195,,199247
355,4304,92,35,11450,11450,1185,,201774
356,2000,37,18,11487,11487,1216,,203701
357,2033,27,20,11514,11514,1234,,205462
358,1306,0,51,11514,11514,1296,,207898
359,4107,229,36,11743,11743,1323,,210617
360,3705,124,65,11867,11867,1321,,213574
361,3323,33,25,11900,11900,1326,,215980
362,2944,68,40,11968,11968,1342,,217578
363,2886,119,44,12087,12087,1346,,219887
364,3330,28,33,12115,12115,1340,,223513
365,1268,0,38,12115,12115,1371,,226700
366,3209,198,40,12313,12313,1354,,229700
367,2467,101,65,12414,12414,1362,,232709
368,2491,89,42,12503,12503,1295,,235513
369,3124,95,35,12598,12598,1314,,237729
370,2543,88,30,12686,12686,1292,,240051
371,976,15,18,12701,12701,1271,,241926
372,1109,55,32,12756,12756,1263,,245096
373,1331,95,43,12851,12851,1265,,248238
374,2520,131,55,12982,12982,1179,,251252
375,3106,73,55,13055,13055,1160,,254076
376,2162,75,53,13130,13130,1142,,256696
377,1613,120,14,13250,13250,1094,,258483
378,1071,17,43,13267,13267,1080,,260034
379,636,45,44,13312,13312,1084,,262229
380,2485,89,40,13401,13401,1095,,264308
381,1777,46,52,13447,13447,1029,,266506
382,1892,58,42,13505,13505,996,,268495
383,1707,47,47,13552,13552,951,,270376
384,1824,47,7,13599,13599,911,,271911
385,881,11,30,13610,13610,913,,273216
386,1226,41,27,13651,13651,889,,274904
387,1510,79,44,13730,13730,869,,276704
388,2426,83,46,13813,13813,884,,278882
389,2469,89,24,13902,13902,815,,280868
390,1824,0,41,13902,13902,808,,282699
