date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,4,4,,,
53,0,1,0,5,5,,,
54,1,1,0,6,6,,,
55,2,0,0,6,6,,,
56,0,0,0,6,6,,,
57,0,2,0,8,8,,,
58,1,0,0,8,8,,,
59,3,3,0,11,11,,,
60,0,5,0,16,16,,,
61,0,6,0,22,22,,,
62,3,4,0,26,26,,,
63,0,10,0,36,36,,,
64,6,6,0,42,42,,,
65,2,13,0,55,55,,,
66,8,12,0,67,67,,,
67,16,18,0,85,85,,,
68,21,23,0,108,108,,,
69,39,20,1,128,128,,,
70,48,17,1,145,145,,,
71,113,44,0,189,189,,,
72,92,30,3,219,219,,,
73,93,45,1,264,264,,,
74,127,39,2,303,303,,,
75,159,40,5,343,343,,,
76,137,43,2,386,386,,,
77,46,41,2,427,427,,,
78,238,51,3,478,478,,,
79,132,56,4,534,534,,,
80,124,48,5,582,582,,,
81,185,34,3,616,616,,,
82,171,51,9,667,667,,,
83,250,44,11,711,711,,,
84,250,49,12,760,760,,,
85,187,59,1,819,819,,,
86,119,34,8,853,853,,,
87,151,53,7,906,906,,,
88,292,44,9,950,950,,,
89,94,45,8,995,995,,,
90,281,42,11,1037,1037,,,
91,146,37,7,1074,1074,,,
92,163,48,7,1122,1122,525,,
93,104,49,9,1171,1171,580,,
94,156,42,11,1213,1213,590,,
95,272,45,8,1258,1258,578,,
96,273,31,19,1289,1289,566,,
97,212,52,8,1341,1341,566,,
98,210,46,7,1387,1387,631,,
99,135,67,3,1454,1454,637,,
100,187,30,21,1484,1484,637,,
101,208,44,21,1528,1528,664,,
102,310,44,20,1572,1572,699,,
103,276,54,17,1626,1626,639,,
104,235,46,0,1672,1672,697,,
105,246,44,9,1716,1716,671,,
106,190,56,0,1772,1772,647,,
107,232,52,18,1824,1824,737,,
108,254,60,11,1884,1884,756,,
109,446,53,16,1937,1937,755,,
110,314,49,10,1986,1986,709,,
111,402,47,18,2033,2033,718,,
112,276,56,14,2089,2089,732,,
113,279,46,0,2135,2135,703,,
114,386,57,33,2192,2192,728,,
115,402,52,31,2244,2244,754,,
116,238,48,24,2292,2292,766,,
117,581,58,67,2350,2350,730,,
118,434,36,15,2386,2386,739,,
119,159,35,4,2421,2421,713,,
120,261,41,6,2462,2462,717,,
121,356,42,20,2504,2504,765,,
122,440,39,32,2543,2543,755,,
123,498,52,30,2595,2595,781,,
124,495,41,27,2636,2636,808,,
125,462,37,28,2673,2673,791,,
126,306,30,1,2703,2703,796,,
127,233,54,6,2757,2757,820,,
128,396,43,18,2800,2800,792,,
129,331,36,43,2836,2836,810,,
130,418,49,16,2885,2885,812,,
131,293,58,12,2943,2943,796,,
132,431,41,24,2984,2984,784,,
133,300,42,1,3026,3026,804,,
134,222,51,6,3077,3077,833,,
135,222,45,1,3122,3122,818,,
136,479,50,24,3172,3172,911,,
137,501,51,26,3223,3223,945,,
138,702,58,28,3281,3281,931,,
139,790,53,18,3334,3334,975,,
140,681,45,3,3379,3379,973,,
141,187,66,11,3445,3445,968,,
142,1127,75,24,3520,3520,1009,,
143,983,69,40,3589,3589,1092,,
144,520,53,15,3642,3642,1079,,
145,1579,70,16,3712,3712,1234,,
146,1119,65,30,3777,3777,1278,,
147,1438,70,2,3847,3847,1252,,
148,789,64,3,3911,3911,1266,,
149,618,48,23,3959,3959,1243,,
150,1556,41,25,4000,4000,1274,,
151,1412,41,32,4041,4041,1291,,
152,1654,38,17,4079,4079,1336,,
153,1540,36,39,4115,4115,1412,,
154,1233,33,3,4148,4148,1457,,
155,1014,34,8,4182,4182,1449,,
156,2392,27,25,4209,4209,1506,,
157,1827,15,20,4224,4224,1582,,
158,2519,17,32,4241,4241,1667,,
159,3246,5,41,4246,4246,1832,,
160,3109,6,26,4252,4252,1938,,
161,2592,3,1,4255,4255,1942,,
162,2196,0,3,4255,4255,1992,,
163,3593,0,42,4255,4255,2136,,
164,1795,58,79,4313,4313,2270,,
165,3056,93,27,4406,4406,2453,,
166,3518,108,45,4514,4514,2110,,
167,3503,81,44,4595,4595,2577,,
168,3857,22,9,4617,4617,2691,,
169,625,17,0,4634,4634,2721,,
170,4682,102,44,4736,4736,2793,,
171,4877,101,88,4837,4837,2876,,
172,3333,79,37,4916,4916,2938,,
173,4433,102,31,5018,5018,3013,,
174,2695,50,17,5068,5068,3113,,
175,3536,93,4,5161,5161,3182,,
176,3352,27,1,5188,5188,3212,,
177,3653,84,117,5272,5272,3356,,
178,3520,115,36,5387,5387,3421,,
179,4057,139,75,5526,5526,3437,,
180,4221,133,44,5659,5659,3432,,
181,3038,91,69,5750,5750,3485,,
182,2537,45,86,5795,5795,3432,,
183,1357,44,8,5839,5839,3373,,
184,4273,103,92,5942,5942,3517,,
185,3257,161,97,6103,6103,3493,,
186,3259,193,58,6296,6296,3454,,
187,3910,106,91,6402,6402,3466,,
188,2742,165,147,6567,6567,3238,,
189,2359,65,31,6632,6632,3136,,
190,1559,66,23,6698,6698,3084,,
191,3500,196,134,6894,6894,3041,,
192,1926,153,56,7047,7047,3094,,
193,2335,189,89,7236,7236,2966,,
194,3357,225,79,7461,7461,2844,,
195,3740,166,144,7627,7627,2758,,
196,1973,79,19,7706,7706,2650,,
197,1813,45,-1,7751,7751,2626,,
198,2107,1643,104,9394,9394,2564,,
199,2339,666,46,10060,10060,2424,,
200,2525,1112,172,11172,11172,2348,,
201,3212,88,68,11260,11260,2302,,
202,2992,86,53,11346,11346,2226,,
203,1465,25,18,11371,11371,2147,,
204,1030,29,14,11400,11400,2017,,
205,1008,1894,66,13294,13294,2024,,
206,1698,265,87,13559,13559,1945,,
207,1444,509,70,14068,14068,1879,,
208,1406,5173,79,19241,19241,1772,,
209,1054,3,56,19244,19244,1659,,
210,816,24,13,19268,19268,1626,,
211,600,9,4,19277,19277,1575,,
212,1214,15,45,19292,19292,1574,,
213,706,529,148,19821,19821,1469,,
214,1351,682,36,20503,20503,1411,,
215,927,12,40,20515,20515,1359,,
216,933,280,69,20795,20795,1282,,
217,883,-40,14,20755,20755,1208,,
218,468,1,0,20756,20756,1182,,
219,915,122,23,20878,20878,1167,,
220,637,142,105,21020,21020,1160,,
221,723,123,50,21143,21143,1070,,
222,619,67,4,21210,21210,1068,,
223,996,61,68,21271,21271,1046,,
224,208,-30,15,21241,21241,969,,
225,311,-22,0,21219,21219,908,,
226,859,146,21,21365,21365,999,,
227,186,11,104,21376,21376,967,,
228,680,50,33,21426,21426,895,,
229,519,2,49,21428,21428,809,,
230,629,5,29,21433,21433,812,,
231,374,-12,23,21421,21421,757,,
232,174,-16,-1,21405,21405,768,,
233,507,0,15,21405,21405,729,,
234,519,44,21,21449,21449,752,,
235,1092,25,65,21474,21474,745,,
236,728,24,41,21498,21498,742,,
237,835,22,36,21520,21520,702,,
238,250,7,14,21527,21527,666,,
239,198,-2,-2,21525,21525,658,,
240,81,-3,2,21522,21522,657,,
241,496,71,30,21593,21593,658,,
242,461,18,22,21611,21611,628,,
243,521,136,15,21747,21747,577,,
244,605,26,27,21773,21773,574,,
245,384,0,7,21773,21773,525,,
246,213,1,0,21774,21774,489,,
247,484,26,22,21800,21800,550,,
248,698,25,27,21825,21825,538,,
249,1753,-4,38,21821,21821,594,,
250,1282,44,42,21865,21865,516,,
251,609,17,16,21882,21882,528,,
252,467,-6,9,21876,21876,472,,
253,233,2,2,21878,21878,472,,
254,595,22,20,21900,21900,527,,
255,438,25,27,21925,21925,583,,
256,568,17,34,21942,21942,565,,
257,515,30,28,21972,21972,521,,
258,459,33,35,22005,22005,509,,
259,411,10,1,22015,22015,483,,
260,273,4,0,22019,22019,468,,
261,674,28,9,22047,22047,540,,
262,323,72,18,22119,22119,560,,
263,705,107,24,22226,22226,620,,
264,551,14,19,22240,22240,586,,
265,636,40,12,22280,22280,605,,
266,355,14,1,22294,22294,545,,
267,316,9,1,22303,22303,567,,
268,864,-2316,6,19987,19987,665,,
269,604,63,20,20050,20050,681,,
270,863,121,10,20171,20171,728,,
271,683,28,3,20199,20199,706,,
272,894,30,13,20229,20229,685,,
273,597,24,0,20253,20253,630,,
274,475,4,0,20257,20257,667,,
275,684,55,8,20312,20312,706,,
276,901,54,5,20366,20366,711,,
277,1113,96,17,20462,20462,726,,
278,738,29,17,20491,20491,747,,
279,921,127,18,20618,20618,757,,
280,742,22,3,20640,20640,714,,
281,748,8,3,20648,20648,721,,
282,1040,71,7,20719,20719,777,,
283,975,101,17,20820,20820,832,,
284,994,118,5,20938,20938,848,,
285,976,29,6,20967,20967,815,,
286,890,76,4,21043,21043,819,,
287,1391,43,5,21086,21086,828,,
288,801,11,1,21097,21097,837,,
289,1158,75,16,21172,21172,861,,
290,1043,75,14,21247,21247,871,,
291,1315,13,13,21260,21260,874,,
292,1565,164,16,21424,21424,900,,
293,1901,68,45,21492,21492,889,,
294,1527,66,2,21558,21558,875,,
295,666,15,1,21573,21573,918,,
296,1679,53,38,21626,21626,956,,
297,815,160,39,21786,21786,1065,,
298,2135,45,28,21831,21831,1100,,
299,1996,187,22,22018,22018,1082,,
300,2620,152,38,22170,22170,1139,,
301,1880,32,17,22202,22202,1185,,
302,435,9,0,22211,22211,1232,,
303,3434,217,28,22428,22428,1289,,
304,2030,66,36,22494,22494,1360,,
305,1399,82,12,22576,22576,1368,,
306,3015,244,17,22820,22820,1381,,
307,3476,117,43,22937,22937,1470,,
308,2383,112,2,23049,23049,1506,,
309,1476,73,0,23122,23122,1557,,
310,2984,121,10,23243,23243,1624,,
311,3206,230,53,23473,23473,1700,,
312,4123,398,19,23871,23871,1796,,
313,4471,181,43,24052,24052,1835,,
314,3638,129,30,24181,24181,1916,,
315,4331,231,7,24412,24412,1932,,
316,2659,49,0,24461,24461,2008,,
317,4544,205,51,24666,24666,2084,,
318,3982,286,9,24952,24952,2217,,
319,3476,211,44,25163,25163,2289,,
320,4312,133,20,25296,25296,2301,,
321,4136,52,36,25348,25348,2383,,
322,3221,220,10,25568,25568,2458,,
323,822,218,5,25786,25786,2513,,
324,10322,286,48,26072,26072,2594,,
325,3840,240,52,26312,26312,2699,,
326,5442,1144,82,27456,27456,2743,,
327,5680,282,64,27738,27738,2899,,
328,6799,268,40,28006,28006,2931,,
329,5376,242,25,28248,28248,2977,,
330,1567,25,0,28273,28273,3059,,
331,12314,252,23,28525,28525,3157,,
332,4444,355,108,28880,28880,3287,,
333,4928,455,73,29335,29335,3408,,
334,6983,967,91,30302,30302,3482,,
335,8077,385,77,30687,30687,3534,,
336,5853,262,35,30949,30949,3622,,
337,11806,193,1,31142,31142,3677,,
338,4134,124,64,31266,31266,3702,,
339,4837,202,108,31468,31468,3809,,
340,5817,383,147,31851,31851,3884,,
341,7635,442,142,32293,32293,3931,,
342,5560,383,118,32676,32676,4014,,
343,5366,361,34,33037,33037,3899,,
344,7748,158,1,33195,33195,3925,,
345,5870,424,153,33619,33619,4019,,
346,6058,493,54,34112,34112,4163,,
347,7046,408,115,34520,34520,4221,,
348,6616,457,115,34977,34977,4226,,
349,6106,360,15,35337,35337,4165,,
350,1296,53,3,35390,35390,4190,,
351,10086,240,42,35630,35630,4390,,
352,2799,445,171,36075,36075,4475,,
353,5267,709,78,36784,36784,4526,,
354,7718,473,146,37257,37257,4564,,
355,10060,1589,151,38846,38846,4501,,
356,8883,593,46,39439,39439,4484,,
357,17234,289,0,39728,39728,4557,,
358,5158,169,3,39897,39897,4647,,
359,5932,406,253,40303,40303,4789,,
360,7206,760,127,41063,41063,4877,,
361,9913,1049,297,42112,42112,4920,,
362,11658,606,197,42718,42718,4907,,
363,11094,377,98,43095,43095,4918,,
364,11201,487,105,43582,43582,4988,,
365,8995,54,6,43636,43636,4997,,
366,8559,753,335,44389,44389,5082,,
367,5629,474,191,44863,44863,5055,,
368,7311,397,182,45260,45260,4930,,
369,9146,405,185,45665,45665,4866,,
370,8715,983,208,46648,46648,4849,,
371,6981,433,18,47081,47081,4773,,
372,5400,114,-1,47195,47195,4752,,
373,6417,526,1,47721,47721,4780,,
374,4845,486,262,48207,48207,4663,,
375,9398,397,244,48604,48604,4580,,
376,8099,998,229,49602,49602,4495,,
377,7316,361,169,49963,49963,4442,,
378,7217,301,68,50264,50264,4320,,
379,5321,219,1,50483,50483,4229,,
380,4748,174,209,50657,50657,4221,,
381,5918,380,195,51037,51037,4250,,
382,4671,312,176,51349,51349,4087,,
383,5028,222,203,51571,51571,3970,,
384,5119,435,76,52006,52006,3828,,
385,5025,758,22,52764,52764,3664,,
386,3741,222,4,52986,52986,3654,,
387,2938,163,238,53149,53149,3513,,
388,2296,283,214,53432,53432,3456,,
389,4417,659,176,54091,54091,3303,,
390,3826,218,196,54309,54309,3167,,
391,3471,198,63,54507,54507,3060,,
392,1544,150,37,54657,54657,2910,,
393,2250,56,7,54713,54713,2853,,
394,4381,254,231,54967,54967,2744,,
395,1977,121,176,55088,55088,2589,,
396,1861,184,200,55272,55272,2507,,
397,2426,141,172,55413,55413,2396,,
398,1791,146,114,55559,55559,2300,,
399,1947,108,30,55667,55667,2213,,
400,1338,110,0,55777,55777,2119,,
401,1132,88,3,55865,55865,2047,,
402,1315,118,82,55983,55983,1941,,
403,1143,107,213,56090,56090,1823,,
404,1918,642,145,56732,56732,1738,,
