date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,,,,,
53,0,0,0,,,,,
54,7,0,0,,,,,
55,9,0,0,,,,,
56,19,0,0,,,,,
57,26,0,0,,,,,
58,19,0,0,,,,,
59,24,0,0,,,,,
60,45,0,4,,,,,
61,0,0,0,,,,,
62,50,0,1,,,,,
63,41,0,0,,,,,
64,42,0,1,,,,,
65,148,0,5,,,,,
66,128,0,2,,,,,
67,313,0,5,,,,,
68,139,0,2,,,,,
69,216,0,4,,,,,
70,257,0,3,,,,,
71,197,0,0,,,,,
72,369,0,13,,,,,
73,253,0,13,,,,,
74,651,0,12,,,,,
75,873,0,13,,,746,,
76,764,0,23,,,1034,,
77,1065,0,22,,,1034,,
78,739,0,10,,,1432,,
79,1035,0,20,,,1617,,
80,673,0,18,,,1855,,
81,1036,0,32,,,1922,,
82,1510,0,34,,,2188,,
83,1325,0,39,,,2300,,
84,1412,0,43,,,2398,,
85,898,0,24,,,2509,,
86,1529,0,31,,,2611,,
87,1092,0,68,,,2714,,
88,1352,0,50,,,2825,,
89,1163,0,49,,,2897,,
90,1143,0,68,,,5236,,
91,1179,0,42,,,5234,,
92,554,0,36,,,3015,,
93,990,0,71,,,5163,,
94,1086,0,63,,,5163,,
95,1758,0,69,,,5031,,
96,1346,0,95,,,4892,,
97,1435,0,87,,,4936,,
98,1370,0,94,,,4731,,
99,645,0,42,,,4674,,
100,2283,0,60,,,4886,,
101,2135,0,86,,,4984,,
102,1973,0,115,,,4929,,
103,1885,0,93,,,4880,,
104,1883,0,89,,,4847,,
105,1027,0,59,,,4928,,
106,1300,0,45,,,4878,,
107,1567,0,54,,,4983,,
108,1469,0,78,,,5011,,
109,2417,0,95,,,4981,,
110,1525,0,91,,,4706,,
111,1755,0,98,,,4722,,
112,1419,0,44,,,4734,,
113,1321,0,39,,,4616,,
114,1275,0,63,,,4622,,
115,2603,0,95,,,4681,,
116,1799,0,92,,,4560,,
117,1898,0,81,,,4514,,
118,2049,0,93,,,4538,,
119,2119,0,67,,,4555,,
120,1259,0,25,,,4549,,
121,1443,0,77,,,4544,,
122,1759,0,87,,,4545,,
123,2023,0,98,,,4655,,
124,1772,0,76,,,4519,,
125,1857,0,96,,,4424,,
126,2046,0,57,,,4291,,
127,1591,0,41,,,4391,,
128,1365,0,32,,,4363,,
129,2262,0,102,,,4681,,
130,2140,0,106,,,4735,,
131,2247,0,88,,,4762,,
132,2187,0,78,,,4342,,
133,2079,0,66,,,4300,,
134,1848,0,21,,,4306,,
135,2175,0,19,,,4404,,
136,2247,0,70,,,4544,,
137,2717,0,89,,,4529,,
138,2189,0,95,,,4414,,
139,2992,0,88,,,4215,,
140,3705,0,57,,,4331,,
141,2423,0,38,,,4258,,
142,2304,0,35,,,4393,,
143,2377,0,75,,,4458,,
144,2120,0,61,,,4455,,
145,3094,0,63,,,4625,,
146,3115,0,74,,,4526,,
147,2796,0,67,,,4525,,
148,2507,0,27,,,4506,,
149,2170,0,44,,,4583,,
150,2702,0,79,,,4719,,
151,3090,0,105,,,4534,,
152,2702,0,62,,,4480,,
153,3660,0,46,,,4411,,
154,3212,0,74,,,4247,,
155,2597,0,26,,,4323,,
156,2108,0,32,,,4462,,
157,3455,0,87,,,4522,,
158,4084,0,82,,,4584,,
159,4317,0,70,,,4587,,
160,3893,0,64,,,4582,,
161,4515,0,71,,,4679,,
162,4230,0,20,,,4804,,
163,5019,0,65,,,5065,,
164,7149,0,52,,,5399,,
165,5349,0,101,,,5522,,
166,4890,0,79,,,5639,,
167,5972,0,60,,,5790,,
168,4810,0,33,,,5956,,
169,8009,0,31,,,6179,,
170,9480,0,44,,,6466,,
171,7407,0,110,,,6612,,
172,6408,0,73,,,6812,,
173,5688,0,100,,,7024,,
174,9153,0,50,,,7092,,
175,8597,0,18,,,7149,,
176,5699,0,6,,,7278,,
177,6090,0,111,,,7499,,
178,11694,0,114,,,7705,,
179,7031,0,149,,,7821,,
180,7798,0,140,,,7896,,
181,8047,0,94,,,7904,,
182,8460,0,72,,,7854,,
183,8358,0,23,,,7895,,
184,7346,0,47,,,8145,,
185,11126,0,140,,,8353,,
186,8544,0,118,,,8363,,
187,9986,0,130,,,8450,,
188,9199,0,120,,,8502,,
189,9329,0,90,,,8398,,
190,6846,0,9,,,8419,,
191,9231,0,61,,,8681,,
192,12807,0,115,,,8820,,
193,12040,0,157,,,8820,,
194,9718,0,159,,,8820,,
195,10066,0,151,,,8820,,
196,8259,0,79,,,8820,,
197,6891,0,29,,,8820,,
198,6000,0,73,,,8317,,
199,8755,0,197,,,8439,,
200,10197,0,194,,,8198,,
201,8086,0,96,,,7999,,
202,6542,0,219,,,7754,,
203,9032,0,132,,,7761,,
204,5739,0,32,,,7629,,
205,4526,0,113,,,7630,,
206,5295,0,202,,,7552,,
207,5258,0,166,,,7485,,
208,8436,0,142,,,7277,,
209,7371,0,178,,,6956,,
210,8373,0,104,,,6849,,
211,7751,0,66,,,6770,,
212,12500,0,109,,,6759,,
213,11645,0,180,,,6647,,
214,7085,0,160,,,6424,,
215,7934,0,188,,,6364,,
216,12614,0,151,,,6327,,
217,7873,0,77,,,6309,,
218,6469,0,18,,,6332,,
219,4636,0,100,,,6360,,
220,6164,0,181,,,6479,,
221,5920,0,163,,,6212,,
222,5585,0,135,,,6039,,
223,6556,0,167,,,5873,,
224,6777,0,146,,,5665,,
225,4946,0,18,,,5618,,
226,4480,0,105,,,5561,,
227,6004,0,150,,,5537,,
228,4430,0,143,,,5397,,
229,5329,0,140,,,5267,,
230,4981,0,144,,,5063,,
231,6070,0,71,,,4943,,
232,4176,0,28,,,4829,,
233,3712,0,85,,,4869,,
234,4255,0,145,,,4851,,
235,5125,0,164,,,4571,,
236,5106,0,163,,,4401,,
237,4956,0,153,,,4242,,
238,4905,0,66,,,4226,,
239,3091,0,17,,,4285,,
240,2676,0,32,,,4297,,
241,1616,0,83,,,4425,,
242,3338,0,137,,,4225,,
243,3326,0,111,,,4023,,
244,4107,0,162,,,3848,,
245,4625,0,78,,,3741,,
246,2855,0,56,,,3665,,
247,2235,0,66,,,3735,,
248,2950,0,164,,,3685,,
249,3238,0,106,,,3621,,
250,3630,0,91,,,3570,,
251,4304,0,100,,,3510,,
252,4265,0,75,,,3441,,
253,3294,0,31,,,3459,,
254,2630,0,53,,,3520,,
255,3146,0,133,,,3557,,
256,3170,0,110,,,3484,,
257,3400,0,84,,,3307,,
258,4197,0,134,,,3203,,
259,4071,0,55,,,3129,,
260,2955,0,21,,,3160,,
261,2162,0,32,,,3223,,
262,3200,0,152,,,3267,,
263,3062,0,96,,,3205,,
264,3590,0,98,,,3166,,
265,2159,0,88,,,3079,,
266,4293,0,46,,,3129,,
267,3055,0,29,,,3146,,
268,1677,0,28,,,3175,,
269,2764,0,51,,,3204,,
270,3575,0,133,,,3186,,
271,3806,0,67,,,3186,,
272,4170,0,72,,,3084,,
273,3803,0,64,,,3103,,
274,3449,0,8,,,3070,,
275,2378,0,9,,,3060,,
276,2666,0,58,,,3126,,
277,3329,0,118,,,3078,,
278,3075,0,73,,,3035,,
279,2979,0,69,,,2995,,
280,2862,0,44,,,3020,,
281,3474,0,27,,,3002,,
282,3286,0,22,,,3104,,
283,3707,0,35,,,3077,,
284,2940,0,162,,,3051,,
285,6141,0,73,,,3011,,
286,5945,0,49,,,3007,,
287,5219,0,34,,,2969,,
288,2981,0,12,,,2991,,
289,3188,0,43,,,3000,,
290,4515,0,75,,,2998,,
291,4191,0,66,,,3083,,
292,4014,0,30,,,3148,,
293,5087,0,55,,,3212,,
294,4529,0,41,,,3193,,
295,4094,0,5,,,3241,,
296,4044,0,14,,,3270,,
297,5338,0,66,,,3410,,
298,4566,0,63,,,3462,,
299,6518,0,51,,,3489,,
300,5863,0,73,,,3456,,
301,7682,0,24,,,3554,,
302,7212,0,14,,,3668,,
303,5367,0,24,,,3799,,
304,7464,0,69,,,3987,,
305,6927,0,38,,,4002,,
306,6893,0,29,,,4138,,
307,9875,0,81,,,4212,,
308,10968,0,35,,,4454,,
309,9890,0,10,,,4559,,
310,8743,0,36,,,4885,,
311,9811,0,61,,,5078,,
312,11478,0,106,,,5319,,
313,13005,0,91,,,5497,,
314,15442,0,86,,,5745,,
315,14319,0,33,,,5918,,
316,8337,0,50,,,6254,,
317,15329,0,43,,,6641,,
318,18350,0,106,,,7049,,
319,14640,0,104,,,7197,,
320,12635,0,54,,,7388,,
321,11996,0,56,,,7684,,
322,15614,0,32,,,8198,,
323,14034,0,20,,,8578,,
324,12221,0,70,,,9049,,
325,20759,0,113,,,9365,,
326,18591,0,113,,,9702,,
327,22018,0,145,,,9948,,
328,25068,0,209,,,10273,,
329,30075,0,85,,,10624,,
330,24735,0,59,,,10998,,
331,23272,0,112,,,11511,,
332,30851,0,196,,,11965,,
333,29677,0,220,,,12477,,
334,35468,0,159,,,12940,,
335,35729,0,225,,,13410,,
336,30334,0,122,,,13960,,
337,33278,0,77,,,14578,,
338,32326,0,142,,,15198,,
339,53711,0,293,,,15886,,
340,52281,0,379,,,16426,,
341,41012,0,300,,,16965,,
342,43608,0,272,,,17398,,
343,46474,0,161,,,17750,,
344,37892,0,83,,,18359,,
345,32659,0,247,,,18961,,
346,39069,0,361,,,19361,,
347,39070,0,351,,,19771,,
348,39144,0,312,,,19771,,
349,30375,0,36,,,19797,,
350,50141,0,237,,,20059,,
351,33170,0,64,,,20642,,
352,31245,0,242,,,21240,,
353,30921,0,432,,,21433,,
354,27237,0,428,,,21449,,
355,47189,0,585,,,21433,,
356,53341,0,386,,,21213,,
357,45352,0,181,,,21510,,
358,29633,0,97,,,22003,,
359,31440,0,368,,,22485,,
360,29892,0,459,,,22820,,
361,36385,0,583,,,22851,,
362,50030,0,493,,,22836,,
363,52636,0,695,,,22600,,
364,49685,0,468,,,22513,,
365,39839,0,264,,,22633,,
366,36487,0,548,,,22665,,
367,33751,0,589,,,22550,,
368,35930,0,552,,,22210,,
369,42655,0,637,,,21856,,
370,40622,0,669,,,21579,,
371,42229,0,432,,,21143,,
372,30699,0,201,,,20968,,
373,23794,0,146,,,20942,,
374,22403,0,694,,,20814,,
375,19673,0,571,,,20408,,
376,23024,0,764,,,19855,,
377,22972,0,593,,,19293,,
378,24111,0,429,,,18638,,
379,27007,0,328,,,18347,,
380,17028,0,409,,,18039,,
381,16728,0,697,,,17710,,
382,16696,0,737,,,17143,,
383,19337,0,617,,,16581,,
384,18427,0,638,,,15941,,
385,18974,0,481,,,15676,,
386,15358,0,211,,,15212,,
387,12064,0,422,,,14999,,
388,10501,0,481,,,14578,,
389,13176,0,655,,,14138,,
390,14021,0,558,,,13672,,
391,12394,0,623,,,13137,,
392,15064,0,295,,,12476,,
393,10414,0,208,,,12085,,
394,8251,0,327,,,11904,,
395,8390,0,518,,,11516,,
396,8575,0,461,,,11045,,
397,10059,0,546,,,10505,,
398,9421,0,433,,,9998,,
399,8842,0,408,,,9636,,
400,6487,0,200,,,9299,,
401,5692,0,64,,,9075,,
402,4090,0,400,,,8855,,
403,5573,0,417,,,8566,,
404,6798,0,420,,,8156,,
405,6668,0,481,,,7747,,
406,6760,0,280,,,7313,,
407,4665,0,233,,,7165,,
408,3447,0,225,,,6908,,
409,5303,0,314,,,6764,,
410,4965,0,1114,,,6520,,
411,5400,0,391,,,6152,,
412,5151,0,439,,,5897,,
413,4685,0,158,,,5674,,
414,3516,0,215,,,5409,,
415,2533,0,303,,,5302,,
416,3352,0,278,,,5110,,
417,3504,0,273,,,4967,,
418,4659,0,400,,,4714,,
419,4452,0,418,,,4513,,
420,3816,0,258,,,4291,,
