date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,,,,,
53,0,0,0,,,,,
54,6,0,0,,,,,
55,0,0,0,,,,,
56,1,0,0,,,,,
57,3,0,0,,,,,
58,16,0,0,,,,,
59,17,0,0,,,,,
60,27,0,0,,,,,
61,29,0,1,,,,,
62,30,0,0,,,,,
63,0,0,0,,,,,
64,29,0,0,,,,,
65,23,20,1,20,20,,,
66,33,6,0,26,26,,,
67,61,16,0,42,42,,,
68,86,2,2,44,44,,,
69,112,5,1,49,49,56,,
70,116,9,1,58,58,74,,
71,129,14,1,72,72,116,,
72,192,12,4,84,84,152,,
73,174,64,8,148,148,230,,
74,344,36,5,184,184,278,,
75,304,55,7,239,239,307,,
76,327,35,13,274,274,332,,
77,246,52,3,326,326,358,,
78,320,88,4,414,414,503,,
79,339,95,18,509,509,574,,
80,376,111,11,620,620,698,,
81,386,90,17,710,710,739,,
82,445,113,14,823,823,777,,
83,392,52,15,875,875,783,,
84,385,49,14,924,924,786,,
85,222,70,10,994,994,786,,
86,257,85,29,1079,1079,833,,
87,226,83,14,1162,1162,848,,
88,547,59,33,1221,1221,842,,
89,308,91,24,1312,1312,841,,
90,383,64,24,1376,1376,822,,
91,410,41,16,1417,1417,842,,
92,388,76,18,1493,1493,888,,
93,250,63,21,1556,1556,878,,
94,339,80,28,1636,1636,859,,
95,395,57,17,1693,1693,858,,
96,372,62,17,1755,1755,843,,
97,386,42,20,1797,1797,874,,
98,297,16,11,1813,1813,874,,
99,376,67,27,1880,1880,861,,
100,341,123,37,2003,2003,851,,
101,431,120,22,2123,2123,859,,
102,384,114,44,2237,2237,1084,,
103,993,129,122,2366,2366,1084,,
104,713,44,-2,2410,2410,1046,,
105,473,28,8,2438,2438,1007,,
106,438,47,26,2485,2485,994,,
107,437,86,30,2571,2571,964,,
108,442,50,30,2621,2621,966,,
109,526,76,11,2697,2697,959,,
110,484,50,43,2747,2747,931,,
111,457,46,12,2793,2793,883,,
112,410,6,10,2799,2799,883,,
113,272,39,9,2838,2838,834,,
114,457,81,52,2919,2919,792,,
115,466,67,18,2986,2986,798,,
116,541,571,23,3557,3557,821,,
117,456,43,16,3600,3600,790,,
118,548,23,7,3623,3623,790,,
119,328,8,4,3631,3631,573,,
120,176,32,16,3663,3663,738,,
121,278,32,22,3695,3695,688,,
122,318,40,53,3735,3735,685,,
123,363,54,29,3789,3789,685,,
124,394,53,59,3842,3842,671,,
125,401,24,42,3866,3866,650,,
126,305,6,23,3872,3872,650,,
127,264,27,9,3899,3899,626,,
128,280,56,33,3955,3955,626,,
129,315,35,42,3990,3990,613,,
130,394,47,11,4037,4037,620,,
131,296,45,14,4082,4082,571,,
132,477,23,3,4105,4105,538,,
133,210,14,5,4119,4119,560,,
134,95,9,1,4128,4128,507,,
135,296,32,19,4160,4160,484,,
136,202,36,40,4196,4196,464,,
137,354,58,29,4254,4254,464,,
138,492,53,15,4307,4307,421,,
139,485,26,7,4333,4333,414,,
140,280,14,2,4347,4347,414,,
141,199,25,13,4372,4372,394,,
142,211,47,16,4419,4419,388,,
143,272,24,20,4443,4443,356,,
144,300,17,18,4460,4460,319,,
145,255,12,12,4472,4472,299,,
146,233,8,3,4480,4480,299,,
147,153,5,0,4485,4485,322,,
148,182,374,16,4859,4859,304,,
149,164,166,10,5025,5025,305,,
150,152,10,20,5035,5035,277,,
151,148,22,10,5057,5057,279,,
152,175,177,12,5234,5234,274,,
153,195,10,3,5244,5244,262,,
154,113,0,1,5244,5244,276,,
155,169,25,6,5269,5269,276,,
156,143,3,12,5272,5272,290,,
157,231,22,14,5294,5294,270,,
158,228,14,7,5308,5308,270,,
159,286,10,5,5318,5318,250,,
160,162,5,4,5323,5323,255,,
161,190,4,0,5327,5327,256,,
162,166,16,4,5343,5343,249,,
163,188,23,14,5366,5366,238,,
164,262,9,2,5375,5375,247,,
165,324,11,2,5386,5386,247,,
166,317,6,4,5392,5392,226,,
167,226,7,1,5399,5399,235,,
168,285,2,2,5401,5401,234,,
169,204,41,6,5442,5442,271,,
170,204,47,8,5489,5489,237,,
171,314,24,7,5513,5513,262,,
172,323,14,4,5527,5527,270,,
173,267,10,0,5537,5537,270,,
174,247,13,0,5550,5550,283,,
175,199,15,0,5565,5565,286,,
176,192,26,-10,5591,5591,327,,
177,407,150,5,5741,5741,335,,
178,452,79,8,5820,5820,335,,
179,409,11,2,5831,5831,318,,
180,666,33,18,5864,5864,328,,
181,400,21,1,5885,5885,324,,
182,322,10,0,5895,5895,324,,
183,329,46,2,5941,5941,378,,
184,444,22,11,5963,5963,368,,
185,469,-13,6,5950,5950,389,,
186,571,16,1,5966,5966,412,,
187,618,28,6,5994,5994,394,,
188,444,25,1,6019,6019,401,,
189,354,13,0,6032,6032,397,,
190,424,25,6,6057,6057,386,,
191,493,53,5,6110,6110,373,,
192,639,23,8,6133,6133,351,,
193,616,16,15,6149,6149,356,,
194,666,78,4,6227,6227,357,,
195,809,34,4,6261,6261,338,,
196,547,7,0,6268,6268,365,,
197,229,3,5,6271,6271,359,,
198,749,48,8,6319,6319,353,,
199,482,79,15,6398,6398,341,,
200,408,15,0,6413,6413,350,,
201,605,28,16,6441,6441,350,,
202,458,24,6,6465,6465,335,,
203,449,9,0,6474,6474,308,,
204,252,13,0,6487,6487,340,,
205,426,29,5,6516,6516,335,,
206,594,20,2,6536,6536,320,,
207,448,36,1,6572,6572,317,,
208,457,10,5,6582,6582,317,,
209,431,20,0,6602,6602,346,,
210,336,14,1,6616,6616,319,,
211,379,11,5,6627,6627,309,,
212,402,52,12,6679,6679,315,,
213,315,6,0,6685,6685,288,,
214,463,15,7,6700,6700,265,,
215,319,18,6,6718,6718,236,,
216,300,9,8,6727,6727,236,,
217,338,8,0,6735,6735,240,,
218,194,4,0,6739,6739,245,,
219,261,42,3,6781,6781,262,,
220,270,3,1,6784,6784,238,,
221,329,13,3,6797,6797,238,,
222,356,11,7,6808,6808,236,,
223,297,23,8,6831,6831,258,,
224,260,10,0,6841,6841,225,,
225,198,4,1,6845,6845,243,,
226,459,49,7,6894,6894,243,,
227,193,8,1,6902,6902,253,,
228,350,26,4,6928,6928,213,,
229,430,17,6,6945,6945,225,,
230,268,48,7,6993,6993,239,,
231,182,17,0,7010,7010,240,,
232,201,18,1,7028,7028,241,,
233,351,25,1,7053,7053,236,,
234,244,37,6,7090,7090,247,,
235,268,14,3,7104,7104,211,,
236,368,21,11,7125,7125,219,,
237,334,9,5,7134,7134,220,,
238,285,4,1,7138,7138,227,,
239,213,4,1,7142,7142,237,,
240,187,19,0,7161,7161,218,,
241,246,12,4,7173,7173,226,,
242,265,13,2,7186,7186,240,,
243,307,22,6,7208,7208,232,,
244,415,15,3,7223,7223,226,,
245,417,4,0,7227,7227,228,,
246,375,13,2,7240,7240,239,,
247,400,22,6,7262,7262,273,,
248,587,26,6,7288,7288,248,,
249,459,39,4,7327,7327,213,,
250,605,20,3,7347,7347,230,,
251,606,10,4,7357,7357,237,,
252,501,6,1,7363,7363,239,,
253,542,10,4,7373,7373,239,,
254,654,43,7,7416,7416,230,,
255,616,28,5,7444,7444,259,,
256,548,10,3,7454,7454,258,,
257,709,25,4,7479,7479,248,,
258,584,41,3,7520,7520,248,,
259,569,3,1,7523,7523,263,,
260,411,7,3,7530,7530,246,,
261,535,28,2,7558,7558,268,,
262,511,10,5,7568,7568,264,,
263,682,11,3,7579,7579,282,,
264,680,74,3,7653,7653,304,,
265,657,13,3,7666,7666,296,,
266,521,7,8,7673,7673,303,,
267,461,20,1,7693,7693,325,,
268,654,28,12,7721,7721,343,,
269,731,50,4,7771,7771,369,,
270,863,63,10,7834,7834,356,,
271,834,21,8,7855,7855,380,,
272,1023,24,9,7879,7879,365,,
273,819,14,1,7893,7893,383,,
274,576,22,3,7915,7915,370,,
275,1048,88,37,8003,8003,385,,
276,692,65,7,8068,8068,405,,
277,1141,59,2,8127,8127,420,,
278,1312,42,10,8169,8169,434,,
279,1139,48,4,8217,8217,428,,
280,933,10,0,8227,8227,445,,
281,1072,21,4,8248,8248,465,,
282,1208,84,2,8332,8332,516,,
283,1267,48,12,8380,8380,532,,
284,1373,98,4,8478,8478,547,,
285,1350,79,13,8557,8557,550,,
286,1828,41,7,8598,8598,599,,
287,1689,24,5,8622,8622,586,,
288,2211,36,3,8658,8658,591,,
289,1433,120,10,8778,8778,648,,
290,1475,76,13,8854,8854,721,,
291,1806,89,19,8943,8943,742,,
292,2412,88,10,9031,9031,781,,
293,2924,33,7,9064,9064,788,,
294,2560,25,3,9089,9089,788,,
295,2237,25,4,9114,9114,858,,
296,2562,66,19,9180,9180,925,,
297,2928,438,22,9618,9618,970,,
298,3369,96,20,9714,9714,1016,,
299,3463,197,23,9911,9911,1041,,
300,3498,86,13,9997,9997,1087,,
301,3017,20,5,10017,10017,1134,,
302,3553,33,14,10050,10050,1174,,
303,3890,213,19,10263,10263,1270,,
304,3975,275,16,10538,10538,1304,,
305,5197,59,25,10597,10597,1322,,
306,6439,264,36,10861,10861,1315,,
307,5196,195,21,11056,11056,1325,,
308,4183,68,21,11124,11124,1417,,
309,4296,79,32,11203,11203,1424,,
310,4331,405,30,11608,11608,1543,,
311,4650,194,43,11802,11802,1593,,
312,6107,178,79,11980,11980,1593,,
313,5765,186,15,12166,12166,1723,,
314,6113,258,42,12424,12424,1703,,
315,3921,60,19,12484,12484,1670,,
316,3689,42,4,12526,12526,1711,,
317,4150,310,50,12836,12836,1739,,
318,4191,208,46,13044,13044,1794,,
319,6053,204,51,13248,13248,1777,,
320,4270,39,20,13287,13287,1797,,
321,4330,82,6,13369,13369,1852,,
322,3489,59,20,13428,13428,1847,,
323,4133,60,34,13488,13488,1940,,
324,4405,628,72,14116,14116,1977,,
325,3862,247,84,14363,14363,1995,,
326,6037,216,127,14579,14579,1956,,
327,5013,183,18,14762,14762,1883,,
328,5125,82,19,14844,14844,1812,,
329,3234,24,-1,14868,14868,1750,,
330,4037,36,2,14904,14904,1779,,
331,3971,53,14,14957,14957,1755,,
332,3757,563,267,15520,15520,1684,,
333,4649,136,120,15656,15656,1659,,
334,4678,293,87,15949,15949,1675,,
335,3961,143,25,16092,16092,1607,,
336,2559,34,87,16126,16126,1610,,
337,2911,48,11,16174,16174,1585,,
338,2278,313,116,16487,16487,1554,,
339,3334,127,71,16614,16614,1554,,
340,3698,90,70,16704,16704,1509,,
341,3693,316,33,17020,17020,1476,,
342,2491,110,80,17130,17130,1433,,
343,2292,41,29,17171,17171,1398,,
344,2146,57,10,17228,17228,1386,,
345,2516,253,-9,17481,17481,1358,,
346,2948,161,93,17642,17642,1336,,
347,3030,151,88,17793,17793,1260,,
348,2659,46,36,17839,17839,1169,,
349,1430,21,6,17860,17860,1168,,
350,1399,52,18,17912,17912,1186,,
351,1650,50,21,17962,17962,1173,,
352,1740,268,56,18230,18230,1188,,
353,2451,272,63,18502,18502,1150,,
354,3238,96,64,18598,18598,1086,,
355,3064,53,59,18651,18651,1044,,
356,2011,27,39,18678,18678,1016,,
357,2078,35,22,18713,18713,991,,
358,2185,34,10,18747,18747,1015,,
359,3458,71,47,18818,18818,988,,
360,2557,885,59,19703,19703,988,,
361,3473,31,52,19734,19734,954,,
362,3187,121,36,19855,19855,915,,
363,2837,107,52,19962,19962,915,,
364,2201,23,18,19985,19985,873,,
365,1677,30,5,20015,20015,914,,
366,1511,265,29,20280,20280,930,,
367,2438,152,43,20432,20432,886,,
368,2403,94,31,20526,20526,903,,
369,2281,101,27,20627,20627,891,,
370,2025,37,20,20664,20664,911,,
371,1498,23,16,20687,20687,879,,
372,1190,30,7,20717,20717,862,,
373,1685,52,2,20769,20769,786,,
374,1371,208,34,20977,20977,827,,
375,1983,64,18,21041,21041,783,,
376,1798,105,22,21146,21146,772,,
377,1958,73,20,21219,21219,716,,
378,1319,18,23,21237,21237,737,,
379,1177,26,7,21263,21263,737,,
380,1158,299,5,21562,21562,740,,
381,1638,48,35,21610,21610,724,,
382,1441,103,17,21713,21713,702,,
383,1722,31,25,21744,21744,652,,
384,1595,68,22,21812,21812,652,,
385,1163,21,21,21833,21833,652,,
386,884,11,4,21844,21844,611,,
387,935,152,9,21996,21996,599,,
388,1269,121,14,22117,22117,572,,
389,1584,59,13,22176,22176,595,,
390,1863,82,27,22258,22258,564,,
391,1541,19,17,22277,22277,538,,
392,1034,29,10,22306,22306,527,,
393,987,23,2,22329,22329,535,,
394,934,232,13,22561,22561,538,,
395,751,55,24,22616,22616,534,,
396,1722,39,11,22655,22655,507,,
397,2091,48,9,22703,22703,470,,
398,1209,75,24,22778,22778,481,,
399,853,19,10,22797,22797,485,,
400,533,15,2,22812,22812,462,,
401,668,25,2,22837,22837,441,,
402,1137,85,10,22922,22922,482,,
403,1241,125,26,23047,23047,462,,
404,1280,54,14,23101,23101,451,,
405,1117,55,9,23156,23156,437,,
406,802,13,5,23169,23169,440,,
407,680,14,1,23183,23183,433,,
408,1096,110,14,23293,23293,447,,
409,1168,56,10,23349,23349,427,,
410,1119,36,8,23385,23385,412,,
411,1521,53,15,23438,23438,409,,
412,1264,21,5,23459,23459,393,,
413,841,17,6,23476,23476,404,,
414,1536,74,1,23550,23550,427,,
