date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,,,,,
49,0,0,0,,,,,
50,0,0,0,,,,,
51,0,0,0,,,,,
52,0,0,0,,,,,
53,0,0,0,,,,,
54,0,0,0,,,,,
55,0,0,0,,,,,
56,1,0,0,,,,,
57,0,0,0,,,,,
58,1,0,0,,,,,
59,1,0,0,,,,,
60,3,0,0,,,,,
61,0,0,0,,,,,
62,5,0,0,,,,,
63,9,0,0,,,,,
64,6,0,0,,,,,
65,15,0,0,,,,,
66,27,0,0,,,,,
67,28,0,1,,,,,
68,98,0,2,,,,,
69,0,0,1,,,,,
70,29,0,1,,,43,,
71,192,0,5,,,54,,
72,203,0,2,,,71,,
73,257,0,7,,,113,,
74,137,0,2,,,125,,
75,279,0,6,,,173,,
76,233,0,6,,,205,,
77,469,0,1,,,404,,
78,578,0,2,,,517,,
79,557,0,33,,,608,,
80,429,0,16,,,766,,
81,267,0,27,,,827,,
82,1090,0,19,,,909,,
83,362,0,34,,,1033,,
84,399,0,24,,,1142,,
85,1231,0,17,,,1221,,
86,875,0,71,,,1308,,
87,0,0,0,,,1308,,
88,2003,0,103,,,1464,,
89,754,0,68,,,1562,,
90,972,0,46,,,1593,,
91,525,0,60,,,1654,,
92,1346,0,48,,,1760,,
93,608,0,69,,,1779,,
94,766,0,197,,,1908,,
95,1129,0,103,,,1926,,
96,925,0,65,,,1946,,
97,0,0,0,,,1946,,
98,741,0,50,,,1938,,
99,2265,0,245,,,1919,,
100,545,0,92,,,1949,,
101,2109,0,121,,,1972,,
102,631,0,95,,,1947,,
103,821,0,125,,,1877,,
104,661,0,98,,,1810,,
105,687,0,62,,,1766,,
106,0,0,74,,,1758,,
107,1043,0,91,,,1732,,
108,455,0,79,,,1691,,
109,933,0,89,,,1650,,
110,1064,7758,82,7758,7758,1592,,4346
111,0,0,0,7758,7758,1592,,4346
112,523,0,97,7758,7758,1551,,4346
113,0,0,59,7758,7758,1488,,4346
114,1334,0,138,7758,7758,1500,,4346
115,374,0,85,7758,7758,1445,,4346
116,789,1631,79,9389,9389,1385,,5413
117,627,0,77,9389,9389,1327,,5413
118,573,0,58,9389,9389,1301,,5413
119,570,0,35,9389,9389,1242,,5413
120,211,0,41,9389,9389,1212,,5413
121,568,0,33,9389,9389,1189,,5413
122,522,0,84,9389,9389,1158,,5413
123,609,1557,94,10946,10946,1103,,6264
124,621,0,66,10946,10946,1033,,6264
125,618,0,54,10946,10946,994,,6264
126,716,0,69,10946,10946,937,,6264
127,697,0,41,10946,10946,920,,6264
128,314,0,23,10946,10946,914,,6264
129,587,0,57,10946,10946,887,,6264
130,191,0,53,10946,10946,816,,6264
131,432,1592,55,12538,12538,740,,7127
132,382,0,38,12538,12538,724,,7127
133,446,0,18,12538,12538,701,,7127
134,405,0,49,12538,12538,706,,7127
135,430,0,27,12538,12538,694,,7127
136,-15,0,34,12538,12538,684,,7127
137,271,0,23,12538,12538,648,,7127
138,203,0,42,12538,12538,577,,7127
139,260,0,44,12538,12538,533,,7127
140,179,0,32,12538,12538,481,,7127
141,542,1255,20,13793,13793,454,,7511
142,236,0,8,13793,13793,434,,7511
143,112,0,17,13793,13793,406,,7511
144,148,-4124,18,9669,9669,373,,7284
145,221,0,31,9669,9669,350,,7284
146,358,0,17,9669,9669,333,,7284
147,150,0,16,9669,9669,333,,7284
148,124,0,13,9669,9669,324,,7284
149,87,0,13,9669,9669,293,,7284
150,168,0,23,9669,9669,270,,7284
151,114,243,26,9912,9912,246,,7611
152,228,0,13,9912,9912,244,,7611
153,305,0,27,9912,9912,233,,7611
154,94,0,15,9912,9912,205,,7611
155,147,0,3,9912,9912,203,,7611
156,114,0,6,9912,9912,201,,7611
157,80,0,9,9912,9912,186,,7611
158,11,187,7,10099,10099,176,,7842
159,117,0,12,10099,10099,172,,7842
160,158,0,13,10099,10099,150,,7842
161,40,0,9,10099,10099,149,,7842
162,27,0,3,10099,10099,140,,7842
163,117,0,14,10099,10099,138,,7842
164,14,0,10,10099,10099,124,,7842
165,81,169,11,10268,10268,122,,8053
166,65,0,9,10268,10268,127,,8053
167,147,0,4,10268,10268,106,,8053
168,97,0,5,10268,10268,103,,8053
169,59,0,4,10268,10268,99,,8053
170,152,0,2,10268,10268,98,,8053
171,58,0,2,10268,10268,100,,8053
172,74,143,2,10411,10411,101,,8210
173,71,0,9,10411,10411,95,,8210
174,0,0,0,10411,10411,95,,8210
175,0,0,0,10411,10411,95,,8210
176,259,0,3,10411,10411,69,,8210
177,57,0,0,10411,10411,83,,8210
178,75,0,5,10411,10411,88,,8210
179,101,141,5,10552,10552,90,,8351
180,78,0,0,10552,10552,77,,8351
181,0,0,0,10552,10552,77,,8351
182,0,0,0,10552,10552,77,,8351
183,223,0,23,10552,10552,74,,8351
184,20,0,1,10552,10552,66,,8351
185,106,0,8,10552,10552,67,,8351
186,114,102,9,10654,10654,66,,8466
187,143,0,7,10654,10654,66,,8466
188,0,0,0,10654,10654,66,,8466
189,0,0,0,10654,10654,66,,8466
190,162,0,10,10654,10654,54,,8466
191,41,0,0,10654,10654,62,,8466
192,127,0,0,10654,10654,63,,8466
193,9,58,4,10712,10712,72,,8516
194,544,0,3,10712,10712,71,,8516
195,0,0,0,10712,10712,71,,8516
196,0,0,0,10712,10712,71,,8516
197,207,0,5,10712,10712,59,,8516
198,94,0,5,10712,10712,54,,8516
199,463,0,2,10712,10712,53,,8516
200,130,95,6,10807,10807,66,,8613
201,140,0,1,10807,10807,69,,8613
202,0,0,0,10807,10807,69,,8613
203,0,0,0,10807,10807,69,,8613
204,252,0,5,10807,10807,56,,8613
205,48,0,0,10807,10807,60,,8613
206,115,0,0,10807,10807,59,,8613
207,20,113,0,10920,10920,66,,8721
208,75,0,4,10920,10920,65,,8721
209,0,0,0,10920,10920,65,,8721
210,0,0,0,10920,10920,65,,8721
211,247,0,3,10920,10920,64,,8721
212,117,0,0,10920,10920,70,,8721
213,22,0,6,10920,10920,58,,8721
214,76,95,0,11015,11015,63,,8809
215,115,0,3,11015,11015,56,,8809
216,0,0,0,11015,11015,56,,8809
217,0,0,0,11015,11015,56,,8809
218,370,0,3,11015,11015,42,,8809
219,-12,0,0,11015,11015,47,,8809
220,59,0,1,11015,11015,49,,8809
221,118,72,1,11087,11087,47,,8893
222,87,0,2,11087,11087,54,,8893
223,0,0,0,11087,11087,54,,8893
224,0,0,0,11087,11087,54,,8893
225,492,0,0,11087,11087,57,,8893
226,29,0,3,11087,11087,59,,8893
227,180,0,0,11087,11087,57,,8893
228,130,93,2,11180,11180,56,,8967
229,145,0,0,11180,11180,60,,8967
230,0,0,0,11180,11180,60,,8967
231,0,0,0,11180,11180,60,,8967
232,384,0,0,11180,11180,52,,8967
233,127,0,1,11180,11180,56,,8967
234,102,0,1,11180,11180,65,,8967
235,101,95,1,11275,11275,65,,9049
236,156,0,0,11275,11275,58,,9049
237,0,0,0,11275,11275,58,,9049
238,0,0,0,11275,11275,58,,9049
239,0,0,0,11275,11275,58,,9049
240,417,0,6,11275,11275,50,,9049
241,89,0,0,11275,11275,57,,9049
242,222,82,4,11357,11357,52,,9142
243,233,0,2,11357,11357,51,,9142
244,0,0,0,11357,11357,51,,9142
245,0,0,0,11357,11357,51,,9142
246,569,0,5,11357,11357,64,,9142
247,136,0,0,11357,11357,71,,9142
248,135,0,2,11357,11357,70,,9142
249,220,90,1,11447,11447,75,,9204
250,141,0,4,11447,11447,77,,9204
251,0,0,0,11447,11447,77,,9204
252,0,0,0,11447,11447,77,,9204
253,497,0,3,11447,11447,68,,9204
254,136,0,1,11447,11447,70,,9204
255,155,0,1,11447,11447,73,,9204
256,157,113,2,11560,11560,72,,9310
257,115,0,2,11560,11560,76,,9310
258,0,0,0,11560,11560,76,,9310
259,0,0,0,11560,11560,76,,9310
260,560,0,2,11560,11560,75,,9310
261,182,0,2,11560,11560,92,,9310
262,221,0,3,11560,11560,104,,9310
263,192,139,3,11699,11699,107,,9408
264,555,0,2,11699,11699,110,,9408
265,0,0,0,11699,11699,110,,9408
266,0,0,0,11699,11699,110,,9408
267,823,0,4,11699,11699,129,,9408
268,121,0,4,11699,11699,129,,9408
269,123,0,1,11699,11699,138,,9408
270,384,146,5,11845,11845,128,,9522
271,290,0,3,11845,11845,134,,9522
272,0,0,0,11845,11845,134,,9522
273,0,0,0,11845,11845,134,,9522
274,1339,0,2,11845,11845,155,,9522
275,320,0,1,11845,11845,172,,9522
276,164,0,4,11845,11845,188,,9522
277,167,198,3,12043,12043,191,,9651
278,802,0,2,12043,12043,184,,9651
279,0,0,0,12043,12043,184,,9651
280,0,0,0,12043,12043,184,,9651
281,1191,0,12,12043,12043,195,,9651
282,434,0,5,12043,12043,217,,9651
283,416,0,8,12043,12043,213,,9651
284,502,214,2,12257,12257,232,,9800
285,679,-12257,8,,,233,,9800
286,0,0,0,,,233,,9800
287,0,0,0,,,233,,9800
288,2047,0,12,,,270,,9800
289,538,0,6,,,292,,9800
290,490,0,9,,,309,,9800
291,1319,0,5,,,321,,
292,761,0,7,,,329,,
293,0,0,0,,,329,,
294,0,0,0,,,329,,
295,2651,0,11,,,340,,
296,0,0,0,,,340,,
297,1515,0,18,,,374,,
298,1687,0,11,,,380,,
299,1065,0,15,,,402,,
300,0,0,0,,,402,,
301,0,0,0,,,402,,
302,3338,0,27,,,496,,
303,1524,0,9,,,548,,
304,1754,0,9,,,584,,
305,1158,0,10,,,617,,
306,2746,0,11,,,659,,
307,0,0,0,,,659,,
308,0,0,0,,,659,,
309,4639,0,22,,,757,,
310,1702,0,12,,,777,,
311,2042,0,13,,,816,,
312,2353,0,21,,,840,,
313,2088,0,23,,,848,,
314,0,0,0,,,848,,
315,0,0,0,,,848,,
316,5271,0,43,,,875,,
317,540,0,10,,,891,,
318,1872,0,45,,,968,,
319,0,0,0,,,968,,
320,3429,0,35,,,1017,,
321,0,0,0,,,1017,,
322,0,0,0,,,1017,,
323,4714,0,59,,,1098,,
324,1459,0,20,,,1152,,
325,2672,0,51,,,1202,,
326,4751,0,20,,,1191,,
327,1538,0,35,,,1150,,
328,0,0,0,,,1150,,
329,0,0,0,,,1150,,
330,8129,0,78,,,1183,,
331,2414,0,18,,,1223,,
332,2290,0,43,,,1262,,
333,2431,0,42,,,1214,,
334,3782,0,36,,,1210,,
335,0,0,0,,,1210,,
336,0,0,0,,,1210,,
337,7231,0,81,,,1243,,
338,1470,0,22,,,1269,,
339,2319,0,40,,,1254,,
340,2321,0,46,,,1205,,
341,2680,0,29,,,1167,,
342,0,0,0,,,1167,,
343,0,0,0,,,1167,,
344,4595,0,95,,,1143,,
345,1583,0,27,,,1159,,
346,1745,0,33,,,1155,,
347,2038,0,55,,,1200,,
348,0,0,0,,,1200,,
349,0,0,0,,,1200,,
350,0,0,0,,,1200,,
351,8457,0,113,,,1219,,
352,767,0,20,,,1226,,
353,1696,0,40,,,1167,,
354,2045,0,31,,,1136,,
355,0,0,0,,,1136,,
356,4412,0,104,,,1056,,
357,0,0,0,,,1056,,
358,4516,0,69,,,1111,,
359,2332,0,24,,,1149,,
360,2486,0,38,,,1139,,
361,3304,0,57,,,1087,,
362,3236,0,37,,,1109,,
363,0,0,0,,,1109,,
364,0,0,0,,,1109,,
365,7364,0,92,,,1142,,
366,3689,0,33,,,1154,,
367,3529,0,87,,,1148,,
368,968,0,17,,,1118,,
369,1878,0,41,,,1098,,
370,0,0,0,,,1098,,
371,0,0,0,,,1098,,
372,6703,0,76,,,1114,,
373,2094,0,12,,,1141,,
374,1915,0,44,,,1124,,
375,1662,0,48,,,1069,,
376,2019,0,45,,,1058,,
377,0,0,0,,,1058,,
378,0,0,0,,,1058,,
379,5817,0,92,,,1068,,
380,1267,0,23,,,1068,,
381,2440,0,42,,,1016,,
382,1426,0,44,,,995,,
383,1258,0,26,,,985,,
384,0,0,0,,,985,,
385,0,0,0,,,985,,
386,3931,0,73,,,912,,
387,2568,0,14,,,900,,
388,482,0,24,,,874,,
389,937,0,28,,,837,,
390,1431,0,29,,,827,,
391,0,0,0,,,827,,
392,0,0,0,,,827,,
393,4367,0,68,,,815,,
394,869,0,16,,,826,,
395,888,0,28,,,770,,
396,1003,0,28,,,731,,
397,838,0,27,,,674,,
398,0,0,0,,,674,,
399,0,0,0,,,674,,
400,2905,0,66,,,618,,
401,580,0,2,,,606,,
402,534,0,27,,,584,,
403,547,0,20,,,568,,
404,1198,0,27,,,535,,
405,0,0,0,,,535,,
406,0,0,0,,,535,,
407,2233,0,39,,,500,,
408,1357,0,10,,,511,,
409,1493,0,23,,,495,,
410,975,0,19,,,485,,
411,787,0,8,,,451,,
412,0,0,0,,,451,,
413,0,0,0,,,451,,
414,2680,0,29,,,417,,
415,502,0,7,,,413,,
416,494,0,20,,,451,,
417,878,0,15,,,433,,
418,830,0,11,,,428,,
419,0,0,0,,,428,,
420,0,0,0,,,428,,
