date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,,,,,
18,0,0,0,,,,,
19,0,0,0,,,,,
20,0,0,0,,,,,
21,0,0,0,,,,,
22,0,0,0,,,,,
23,0,0,0,,,,,
24,0,0,0,,,,,
25,0,0,0,,,,,
26,0,0,0,,,,,
27,0,0,0,,,,,
28,0,0,0,,,,,
29,0,0,0,,,,,
30,0,0,0,,,,,
31,0,0,0,,,,,
32,0,0,0,,,,,
33,0,0,0,,,,,
34,0,0,0,,,,,
35,0,0,0,,,,,
36,0,0,0,,,,,
37,0,0,0,,,,,
38,0,0,0,,,,,
39,0,0,0,,,,,
40,0,0,0,,,,,
41,0,0,0,,,,,
42,0,0,0,,,,,
43,0,0,0,,,,,
44,0,0,0,,,,,
45,0,0,0,,,,,
46,0,0,0,,,,,
47,0,0,0,,,,,
48,0,0,0,,,,,
49,0,0,0,,,,,
50,0,0,0,,,,,
51,2,0,0,,,,,
52,1,0,0,,,,,
53,4,0,0,,,,,
54,1,0,0,,,,,
55,0,0,0,,,,,
56,4,0,0,,,,,
57,1,0,0,,,,,
58,5,0,0,,,,,
59,2,0,2,,,,,
60,6,0,0,,,,,
61,5,0,0,,,,,
62,20,0,1,,,,,
63,40,0,1,,,,,
64,31,0,0,,,,,
65,27,0,2,,,,,
66,62,0,1,,,,,
67,99,0,1,,,,,
68,76,0,2,,,,,
69,142,158,2,158,158,,,
70,203,27,1,185,185,,,
71,298,32,1,217,217,,,
72,176,42,4,259,259,,,
73,283,57,4,316,316,,,
74,497,90,6,406,406,,,
75,535,50,6,456,456,,,
76,659,70,20,526,526,,,
77,705,68,2,594,594,,,
78,876,58,7,652,652,,,
79,852,171,14,823,823,,,
80,904,126,10,949,949,,,
81,1032,174,41,1123,1123,,,
82,1268,164,35,1287,1287,,,
83,1281,175,28,1462,1462,,,
84,1148,110,27,1572,1572,,,
85,763,110,18,1682,1682,,,
86,1159,317,60,1999,1999,,,
87,1006,63,13,2062,2062,,,
88,1046,206,45,2268,2268,,,
89,1033,219,36,2487,2487,,,
90,1088,174,48,2661,2661,,,
91,1064,111,27,2772,2772,,,
92,809,61,18,2833,2833,,,
93,922,227,54,3060,3060,,,
94,592,284,72,3344,3344,,,
95,897,116,37,3460,3460,,,
96,1199,205,53,3665,3665,,,
97,1083,177,55,3842,3842,,,
98,741,88,27,3930,3930,,,
99,713,80,25,4010,4010,,,
100,746,225,50,4235,4235,,,
101,859,234,54,4469,4469,,,
102,697,224,69,4693,4693,,,
103,1214,195,52,4888,4888,,,
104,734,157,44,5045,5045,,,
105,795,110,19,5155,5155,,,
106,519,56,7,5211,5211,,,
107,748,55,53,5266,5266,,,
108,343,358,86,5624,5624,,,
109,514,171,50,5795,5795,,,
110,977,0,24,5795,5795,,,
111,703,150,74,5945,5945,,,
112,632,299,15,6244,6244,,,
113,768,85,20,6329,6329,,,
114,574,217,113,6546,6546,,,
115,581,230,69,6776,6776,,,
116,625,214,62,6990,6990,,,
117,344,167,71,7157,7157,,,
118,765,168,47,7325,7325,,,
119,681,79,6,7404,7404,,,
120,383,54,14,7458,7458,,,
121,606,196,44,7654,7654,,,
122,799,181,49,7835,7835,,,
123,792,158,50,7993,7993,,,
124,786,0,43,7993,7993,,,
125,480,400,49,8393,8393,,,
126,1136,85,9,8478,8478,,,
127,654,75,24,8553,8553,,,
128,612,191,56,8744,8744,,,
129,475,190,44,8934,8934,,,
130,1190,266,49,9200,9200,,,
131,725,172,46,9372,9372,,,
132,733,195,44,9567,9567,,,
133,545,71,4,9638,9638,,,
134,980,43,15,9681,9681,,,
135,503,59,7,9740,9740,,,
136,475,159,62,9899,9899,,,
137,614,157,46,10056,10056,,,
138,1221,187,49,10243,10243,,,
139,752,132,35,10375,10375,,,
140,870,78,4,10453,10453,,,
141,700,41,9,10494,10494,,,
142,602,184,70,10678,10678,,,
143,1209,118,37,10796,10796,,,
144,1265,127,41,10923,10923,,,
145,1019,143,54,11066,11066,,,
146,1244,97,28,11163,11163,,,
147,1392,52,13,11215,11215,,,
148,1029,67,12,11282,11282,,,
149,1158,178,53,11460,11460,,,
150,1242,161,38,11621,11621,,,
151,1669,229,49,11850,11850,,,
152,1634,136,29,11986,11986,,,
153,2476,169,49,12155,12155,,,
154,2133,69,6,12224,12224,,,
155,1760,74,8,12298,12298,,,
156,2691,191,55,12489,12489,,,
157,2427,184,25,12673,12673,,,
158,2694,189,44,12862,12862,,,
159,3313,200,43,13062,13062,,,
160,4002,165,40,13227,13227,,,
161,4617,98,17,13325,13325,,,
162,2751,82,12,13407,13407,,,
163,3798,207,67,13614,13614,,,
164,5471,251,44,13865,13865,,,
165,4991,203,46,14068,14068,,,
166,8814,213,41,14281,14281,,,
167,9534,151,25,14432,14432,,,
168,8354,108,29,14540,14540,,,
169,5363,111,28,14651,14651,,,
170,6027,228,58,14879,14879,,,
171,6545,246,46,15125,15125,,,
172,9442,329,68,15454,15454,,,
173,9324,341,67,15795,15795,,,
174,11330,245,18,16040,16040,,,
175,9856,161,29,16201,16201,,,
176,6237,151,48,16352,16352,,,
177,7299,381,63,16733,16733,,,
178,9947,335,48,17068,17068,,,
179,8890,411,120,17479,17479,,,
180,11250,437,92,17916,17916,6974,,
181,10274,425,98,18341,18341,7186,,
182,15149,249,45,18590,18590,7542,,
183,12207,227,35,18817,18817,8051,,
184,9183,384,133,19201,19201,8354,,
185,9992,458,112,19659,19659,8217,,
186,13759,495,156,20154,20154,9112,,
187,11174,372,130,20526,20526,8961,,
188,10173,443,90,20969,20969,9144,,
189,12385,340,89,21309,21309,9363,,
190,10405,296,92,21605,21605,9489,,
191,9263,518,136,22123,22123,9520,,
192,9664,465,140,22588,22588,9475,,
193,10112,403,173,22991,22991,9422,,
194,12320,584,136,23575,23575,9200,,
195,12045,511,126,24086,24086,9035,,
196,9246,335,78,24421,24421,8951,,
197,8804,269,77,24690,24690,9098,,
198,9138,590,191,25280,25280,8992,,
199,9320,587,217,25867,25867,8720,,
200,9835,519,252,26386,26386,8395,,
201,8900,519,257,26905,26905,8209,,
202,9502,439,178,27344,27344,8072,,
203,7056,180,62,27524,27524,7952,,
204,4814,220,73,27744,27744,7938,,
205,5357,589,247,28333,28333,7857,,
206,5424,623,225,28956,28956,7615,,
207,7573,559,120,29515,29515,7459,,
208,7541,599,180,30114,30114,7144,,
209,8343,525,187,30639,30639,6890,,
210,6139,254,77,30893,30893,6848,,
211,4150,284,93,31177,31177,6948,,
212,5762,573,277,31750,31750,6753,,
213,8095,599,213,32349,32349,6551,,
214,6227,598,149,32947,32947,6325,,
215,7997,621,229,33568,33568,5893,,
216,6291,506,204,34074,34074,5721,,
217,3747,267,107,34341,34341,5690,,
218,2649,266,87,34607,34607,5631,,
219,3787,505,219,35112,35112,5484,,
220,4080,508,174,35620,35620,5298,,
221,4516,450,119,36070,36070,5067,,
222,4616,355,118,36425,36425,4902,,
223,4260,339,107,36764,36764,4745,,
224,3004,139,51,36903,36903,4580,,
225,2224,129,72,37032,37032,4646,,
226,2665,445,183,37477,37477,4544,,
227,2937,370,155,37847,37847,4405,,
228,3229,316,139,38163,38163,4252,,
229,3732,311,88,38474,38474,4001,,
230,3132,287,150,38761,38761,3799,,
231,2547,96,14,38857,38857,3793,,
232,1876,85,68,38942,38942,3736,,
233,7487,369,190,39311,39311,3623,,
234,2310,300,130,39611,39611,3511,,
235,3487,273,149,39884,39884,3438,,
236,3147,243,103,40127,40127,3360,,
237,3593,246,60,40373,40373,3229,,
238,2513,114,38,40487,40487,3167,,
239,1812,60,22,40547,40547,3157,,
240,1797,114,44,40661,40661,3155,,
241,2006,324,202,40985,40985,3077,,
242,2537,294,213,41279,41279,2896,,
243,3604,215,176,41494,41494,2815,,
244,3168,193,98,41687,41687,2683,,
245,2395,82,8,41769,41769,2631,,
246,1718,77,36,41846,41846,2637,,
247,2743,281,146,42127,42127,2574,,
248,2288,200,154,42327,42327,2464,,
249,3273,198,147,42525,42525,2385,,
250,3177,190,140,42715,42715,2383,,
251,3510,143,63,42858,42858,2266,,
252,2497,81,9,42939,42939,2292,,
253,1671,94,21,43033,43033,2266,,
254,2414,228,99,43261,43261,2319,,
255,2594,172,203,43433,43433,2254,,
256,2477,188,179,43621,43621,2169,,
257,2809,172,122,43793,43793,2121,,
258,2731,171,107,43964,43964,2099,,
259,1847,66,12,44030,44030,2103,,
260,728,73,5,44103,44103,2122,,
261,3209,252,106,44355,44355,2174,,
262,1880,253,175,44608,44608,2097,,
263,2551,213,131,44821,44821,2080,,
264,2610,170,111,44991,44991,2056,,
265,2753,160,73,45151,45151,2037,,
266,1786,64,42,45215,45215,2040,,
267,1406,67,41,45282,45282,2118,,
268,2201,237,59,45519,45519,2151,,
269,2544,258,139,45777,45777,2121,,
270,3246,228,170,46005,46005,2141,,
271,2853,196,118,46201,46201,2143,,
272,0,0,0,46201,46201,2077,,
273,5414,249,180,46450,46450,2123,,
274,1519,91,47,46541,46541,2206,,
275,2657,212,123,46753,46753,2127,,
276,2808,258,66,47011,47011,2155,,
277,3286,212,144,47223,47223,2119,,
278,3365,173,98,47396,47396,2083,,
279,3968,117,88,47513,47513,2031,,
280,2474,79,50,47592,47592,2005,,
281,1691,72,54,47664,47664,2057,,
282,3556,231,86,47895,47895,2094,,
283,2106,276,0,48171,48171,2125,,
284,5461,149,162,48320,48320,2074,,
285,3618,190,74,48510,48510,2114,,
286,4381,174,76,48684,48684,2162,,
287,2348,82,12,48766,48766,2219,,
288,3336,76,20,48842,48842,2258,,
289,4226,235,57,49077,49077,2316,,
290,4005,212,66,49289,49289,2340,,
291,4111,291,79,49580,49580,2347,,
292,5383,178,73,49758,49758,2356,,
293,2283,156,42,49914,49914,2297,,
294,4805,67,28,49981,49981,2370,,
295,4569,82,46,50063,50063,2474,,
296,4553,235,56,50298,50298,2486,,
297,4332,181,32,50479,50479,2489,,
298,6120,191,39,50670,50670,2523,,
299,5150,198,54,50868,50868,2564,,
300,4380,161,87,51029,51029,2672,,
301,6619,64,22,51093,51093,2779,,
302,3845,103,58,51196,51196,2902,,
303,4282,283,69,51479,51479,3034,,
304,5669,252,52,51731,51731,3056,,
305,5504,161,73,51892,51892,3062,,
306,6760,271,74,52163,52163,3129,,
307,4405,278,45,52441,52441,3151,,
308,9820,88,30,52529,52529,3118,,
309,4530,120,41,52649,52649,3243,,
310,7285,317,86,52966,52966,3369,,
311,7727,317,88,53283,53283,3352,,
312,8882,236,81,53519,53519,3380,,
313,8831,230,80,53749,53749,3439,,
314,8175,180,42,53929,53929,3396,,
315,6374,138,62,54067,54067,3613,,
316,6114,100,96,54167,54167,3754,,
317,8102,333,73,54500,54500,3780,,
318,8126,313,99,54813,54813,3723,,
319,0,0,0,54813,54813,3723,,
320,16795,336,114,55149,55149,3748,,
321,6062,128,81,55277,55277,3918,,
322,7131,116,59,55393,55393,4059,,
323,6426,161,98,55554,55554,4159,,
324,8540,338,82,55892,55892,4282,,
325,9890,377,96,56269,56269,4248,,
326,10656,258,100,56527,56527,4286,,
327,9898,282,124,56809,56809,4334,,
328,10198,231,91,57040,57040,4339,,
329,8175,145,96,57185,57185,4400,,
330,7537,155,106,57340,57340,4495,,
331,7801,307,98,57647,57647,4558,,
332,9411,310,89,57957,57957,4559,,
333,11071,269,135,58226,58226,4553,,
334,11409,265,126,58491,58491,4624,,
335,10385,259,72,58750,58750,4509,,
336,8762,141,84,58891,58891,4687,,
337,8343,142,138,59033,59033,4932,,
338,9296,352,94,59385,59385,5103,,
339,11282,366,125,59751,59751,5156,,
340,13102,326,104,60077,60077,5122,,
341,12827,315,96,60392,60392,5172,,
342,11456,251,74,60643,60643,5086,,
343,8140,148,97,60791,60791,5235,,
344,10907,162,115,60953,60953,5512,,
345,10204,326,76,61279,61279,5634,,
346,11100,338,121,61617,61617,5590,,
347,12770,305,122,61922,61922,5619,,
348,0,0,0,61922,61922,5457,,
349,16588,196,142,62118,62118,5647,,
350,7157,178,77,62296,62296,5910,,
351,8040,211,99,62507,62507,6109,,
352,11748,492,105,62999,62999,6280,,
353,13638,376,139,63375,63375,6298,,
354,16827,366,133,63741,63741,6363,,
355,0,0,0,63741,63741,6454,,
356,30531,288,220,64029,64029,6701,,
357,10228,187,100,64216,64216,6969,,
358,10935,181,105,64397,64397,7238,,
359,15556,386,100,64783,64783,7345,,
360,17262,449,132,65232,65232,7303,,
361,19334,390,170,65622,65622,7327,,
362,19136,364,194,65986,65986,7407,,
363,15069,346,139,66332,66332,7455,,
364,12041,201,111,66533,66533,7494,,
365,11338,205,163,66738,66738,7650,,
366,14526,420,161,67158,67158,7720,,
367,13664,440,174,67598,67598,7584,,
368,13381,413,222,68011,68011,7762,,
369,16415,433,188,68444,68444,7528,,
370,11886,336,211,68780,68780,7347,,
371,10737,207,135,68987,68987,7421,,
372,7877,178,142,69165,69165,7448,,
373,9571,318,163,69483,69483,7367,,
374,11825,471,145,69954,69954,7141,,
375,12602,352,163,70306,70306,7023,,
376,13407,461,277,70767,70767,6904,,
377,12104,270,156,71037,71037,6711,,
378,9335,182,132,71219,71219,6727,,
379,8542,168,156,71387,71387,6899,,
380,9466,465,231,71852,71852,6775,,
381,8211,363,169,72215,72215,6679,,
382,11190,388,207,72603,72603,6565,,
383,10745,341,229,72944,72944,6375,,
384,14654,276,110,73220,73220,6153,,
385,7604,164,120,73384,73384,6101,,
386,5600,167,214,73551,73551,6142,,
387,10332,410,140,73961,73961,6020,,
388,6694,422,203,74383,74383,5824,,
389,8434,338,226,74721,74721,5607,,
390,11171,341,215,75062,75062,5428,,
391,7345,301,145,75363,75363,5377,,
392,6468,152,103,75515,75515,5381,,
393,5599,133,126,75648,75648,5381,,
394,6911,353,239,76001,76001,5307,,
395,7405,285,165,76286,76286,5129,,
396,8354,301,180,76587,76587,4906,,
397,7437,286,190,76873,76873,4825,,
398,7377,261,118,77134,77134,4681,,
399,5328,121,96,77255,77255,4672,,
400,3573,117,159,77372,77372,4676,,
401,6165,314,225,77686,77686,4646,,
402,7185,308,165,77994,77994,4465,,
403,5030,301,166,78295,78295,4367,,
404,6536,295,224,78590,78590,4298,,
405,7129,250,125,78840,78840,4213,,
406,4935,106,95,78946,78946,4160,,
407,4037,150,161,79096,79096,4175,,
408,5483,314,154,79410,79410,4198,,
409,6923,265,129,79675,79675,4077,,
410,6519,281,140,79956,79956,3957,,
411,5783,282,144,80238,80238,3864,,
