date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,,,,,
53,0,0,0,,,,,
54,0,0,0,,,,,
55,4,0,0,,,,,
56,1,0,0,,,,,
57,5,0,0,,,,,
58,5,0,0,,,,,
59,5,0,0,,,,,
60,9,0,0,,,,,
61,11,0,1,,,,,
62,24,0,0,,,,,
63,33,0,0,,,,,
64,22,0,0,,,,,
65,25,0,0,,,,,
66,51,0,0,,,,,
67,90,0,9,,,,,
68,133,0,3,,,,,
69,87,0,1,,,,,
70,93,0,9,,,,,
71,172,0,2,,,,,
72,254,0,7,,,,,
73,221,394,8,394,394,,,
74,278,79,8,473,473,,,
75,476,93,16,566,566,,,
76,365,51,5,617,617,,,
77,285,49,11,666,666,,,
78,158,41,7,707,707,,,
79,1120,126,24,833,833,,,
80,709,119,28,952,952,,,
81,710,104,24,1056,1056,,,
82,483,102,21,1158,1158,,,
83,329,81,17,1239,1239,,,
84,487,44,10,1283,1283,,,
85,667,49,18,1332,1332,,,
86,1504,442,100,1774,1774,,,
87,1083,219,33,1993,1993,,,
88,665,166,17,2159,2159,,,
89,917,192,37,2351,2351,,,
90,676,128,12,2479,2479,,,
91,293,26,5,2505,2505,,,
92,863,84,31,2589,2589,,,
93,908,180,37,2769,2769,,,
94,764,153,51,2922,2922,,,
95,682,186,35,3108,3108,,,
96,1525,216,63,3324,3324,,,
97,475,96,23,3420,3420,,,
98,632,44,14,3464,3464,,,
99,646,86,46,3550,3550,,,
100,934,229,66,3779,3779,,,
101,859,180,37,3959,3959,,,
102,772,110,36,4069,4069,,,
103,635,152,20,4221,4221,,,
104,548,105,12,4326,4326,,,
105,706,33,8,4359,4359,,,
106,512,322,59,4681,4681,,,
107,702,133,55,4814,4814,,,
108,1008,242,67,5056,5056,,,
109,532,100,27,5156,5156,,,
110,1115,113,34,5269,5269,1500,,
111,1036,118,20,5387,5387,1440,,
112,296,6,3,5393,5393,1410,,
113,766,133,45,5526,5526,1377,,
114,343,108,66,5634,5634,1343,,
115,985,131,23,5765,5765,1339,,
116,743,70,25,5835,5835,1309,,
117,667,100,41,5935,5935,1227,,
118,426,52,23,5987,5987,1179,,
119,909,10,5,5997,5997,1144,,
120,486,18,36,6015,6015,1133,,
121,708,115,20,6130,6130,1125,,
122,697,129,44,6259,6259,1091,,
123,526,86,22,6345,6345,1060,,
124,823,93,30,6438,6438,1029,,
125,466,297,35,6735,6735,1005,,
126,554,55,14,6790,6790,1010,,
127,380,126,36,6916,6916,1025,,
128,640,111,22,7027,7027,986,,
129,926,80,23,7107,7107,959,,
130,758,128,67,7235,7235,919,,
131,813,78,31,7313,7313,889,,
132,914,98,26,7411,7411,848,,
133,706,28,13,7439,7439,848,,
134,506,36,6,7475,7475,892,,
135,386,72,41,7547,7547,854,,
136,691,119,36,7666,7666,907,,
137,649,101,55,7767,7767,903,,
138,600,85,12,7852,7852,889,,
139,616,69,29,7921,7921,850,,
140,700,25,39,7946,7946,853,,
141,632,181,32,8127,8127,841,,
142,589,207,28,8334,8334,828,,
143,687,85,21,8419,8419,815,,
144,953,138,24,8557,8557,807,,
145,774,89,27,8646,8646,790,,
146,688,16,0,8662,8662,788,,
147,589,23,6,8685,8685,783,,
148,599,61,28,8746,8746,819,,
149,752,126,77,8872,8872,834,,
150,731,102,44,8974,8974,817,,
151,993,99,46,9073,9073,842,,
152,810,108,43,9181,9181,836,,
153,1018,43,28,9224,9224,810,,
154,880,24,5,9248,9248,829,,
155,733,74,43,9322,9322,865,,
156,664,132,35,9454,9454,875,,
157,952,89,46,9543,9543,881,,
158,882,120,30,9663,9663,921,,
159,1097,109,31,9772,9772,937,,
160,1800,65,6,9837,9837,944,,
161,892,0,1,9837,9837,960,,
162,1227,116,5,9953,9953,1000,,
163,1750,170,40,10123,10123,1056,,
164,1703,190,10,10313,10313,1124,,
165,1714,144,47,10457,10457,1135,,
166,1900,148,25,10605,10605,1184,,
167,1990,84,6,10689,10689,1178,,
168,2225,22,2,10711,10711,1236,,
169,2207,113,6,10824,10824,1359,,
170,1874,227,21,11051,11051,1459,,
171,2946,224,22,11275,11275,1570,,
172,3472,225,22,11500,11500,1649,,
173,2784,153,7,11653,11653,1671,,
174,2826,90,1,11743,11743,1726,,
175,2197,32,3,11775,11775,1805,,
176,1548,144,18,11919,11919,1962,,
177,3406,307,21,12226,12226,2096,,
178,3420,274,23,12500,12500,2215,,
179,2837,106,8,12606,12606,2322,,
180,4484,331,35,12937,12937,2443,,
181,3190,268,31,13205,13205,2446,,
182,2525,54,5,13259,13259,2512,,
183,3643,217,25,13476,13476,2600,,
184,3394,209,28,13685,13685,2741,,
185,3871,417,37,14102,14102,2786,,
186,3441,244,13,14346,14346,2841,,
187,3908,301,28,14647,14647,2902,,
188,4689,314,36,14961,14961,2929,,
189,3251,49,5,15010,15010,3036,,
190,2452,37,3,15047,15047,3183,,
191,3413,447,78,15494,15494,3155,,
192,3314,428,81,15922,15922,3179,,
193,4286,431,25,16353,16353,3157,,
194,4813,399,82,16752,16752,3135,,
195,3787,277,53,17029,17029,3094,,
196,2765,62,3,17091,17091,3079,,
197,2890,47,11,17138,17138,3181,,
198,4209,406,54,17544,17544,3157,,
199,3271,420,79,17964,17964,3188,,
200,3963,339,29,18303,18303,3200,,
201,4066,386,81,18689,18689,3155,,
202,3660,306,73,18995,18995,3095,,
203,3165,69,15,19064,19064,3069,,
204,2258,60,2,19124,19124,3111,,
205,2513,302,79,19426,19426,3094,,
206,3765,362,63,19788,19788,3077,,
207,3182,214,42,20002,20002,3006,,
208,4109,280,91,20282,20282,2981,,
209,4423,274,69,20556,20556,2878,,
210,3169,72,13,20628,20628,2865,,
211,2429,48,30,20676,20676,2871,,
212,3563,355,122,21031,21031,2881,,
213,3565,348,105,21379,21379,2865,,
214,2515,202,82,21581,21581,2807,,
215,3227,237,35,21818,21818,2691,,
216,3273,210,96,22028,22028,2586,,
217,1862,59,33,22087,22087,2603,,
218,1831,46,25,22133,22133,2626,,
219,2816,296,67,22429,22429,2596,,
220,2305,235,55,22664,22664,2573,,
221,2759,216,55,22880,22880,2506,,
222,2889,245,94,23125,23125,2408,,
223,2592,200,94,23325,23325,2361,,
224,1727,44,40,23369,23369,2360,,
225,2304,56,24,23425,23425,2350,,
226,2101,292,106,23717,23717,2260,,
227,2236,222,49,23939,23939,2227,,
228,2484,188,82,24127,24127,2129,,
229,2298,208,78,24335,24335,2648,,
230,2386,198,105,24533,24533,2582,,
231,1215,39,28,24572,24572,2489,,
232,1498,32,28,24604,24604,2463,,
233,2226,243,101,24847,24847,2488,,
234,1916,178,62,25025,25025,2469,,
235,2675,234,73,25259,25259,2365,,
236,2066,143,63,25402,25402,2295,,
237,2194,99,46,25501,25501,2740,,
238,1651,22,60,25523,25523,2202,,
239,608,15,7,25538,25538,2214,,
240,1543,51,26,25589,25589,2215,,
241,1937,256,58,25845,25845,2099,,
242,1836,217,76,26062,26062,2169,,
243,1658,101,42,26163,26163,2152,,
244,2124,164,41,26327,26327,2114,,
245,1409,42,46,26369,26369,2138,,
246,1023,25,20,26394,26394,2134,,
247,1496,271,45,26665,26665,2098,,
248,2223,219,21,26884,26884,2030,,
249,1847,170,55,27054,27054,1977,,
250,1834,149,63,27203,27203,1975,,
251,2284,135,62,27338,27338,1944,,
252,1134,39,3,27377,27377,1926,,
253,1184,17,2,27394,27394,1970,,
254,882,96,73,27490,27490,1960,,
255,1457,259,96,27749,27749,1924,,
256,1368,154,49,27903,27903,1932,,
257,1468,132,52,28035,28035,1891,,
258,1359,118,40,28153,28153,1831,,
259,812,26,32,28179,28179,1868,,
260,596,18,15,28197,28197,1849,,
261,1025,142,33,28339,28339,1937,,
262,1720,183,27,28522,28522,1896,,
263,1308,146,42,28668,28668,1858,,
264,1300,123,43,28791,28791,1792,,
265,1444,133,28,28924,28924,1793,,
266,847,34,28,28958,28958,1764,,
267,789,29,30,28987,28987,1822,,
268,936,167,37,29154,29154,1779,,
269,1492,154,30,29308,29308,1770,,
270,1265,78,35,29386,29386,1742,,
271,1625,124,54,29510,29510,1717,,
272,1237,101,45,29611,29611,1646,,
273,1140,24,23,29635,29635,1619,,
274,902,21,13,29656,29656,1666,,
275,993,106,25,29762,29762,1753,,
276,1297,156,16,29918,29918,1705,,
277,1640,163,22,30081,30081,1682,,
278,1609,136,64,30217,30217,1668,,
279,1534,133,51,30350,30350,1622,,
280,1174,26,31,30376,30376,1654,,
281,752,12,19,30388,30388,1664,,
282,1128,153,17,30541,30541,1713,,
283,1312,135,30,30676,30676,1736,,
284,1785,153,25,30829,30829,1699,,
285,2224,120,37,30949,30949,1741,,
286,1846,97,42,31046,31046,1684,,
287,1318,22,1,31068,31068,1668,,
288,958,19,18,31087,31087,1740,,
289,1491,169,17,31256,31256,1823,,
290,1653,114,32,31370,31370,1779,,
291,1823,146,47,31516,31516,1777,,
292,1377,90,32,31606,31606,1701,,
293,2565,93,24,31699,31699,1725,,
294,1192,21,2,31720,31720,1720,,
295,939,15,18,31735,31735,1751,,
296,31605,158,480,31893,31893,1761,,
297,2755,149,43,32042,32042,1782,,
298,2344,175,56,32217,32217,1780,,
299,2802,100,30,32317,32317,1848,,
300,2195,118,39,32435,32435,1859,,
301,1439,33,1,32468,32468,1846,,
302,1272,15,29,32483,32483,1916,,
303,4319,148,53,32631,32631,1938,,
304,2242,175,76,32806,32806,2002,,
305,2982,141,75,32947,32947,2045,,
306,2994,142,24,33089,33089,2037,,
307,3035,127,51,33216,33216,2050,,
308,2084,25,1,33241,33241,1978,,
309,1247,24,10,33265,33265,2070,,
310,4335,174,41,33439,33439,2102,,
311,3071,228,57,33667,33667,2091,,
312,3514,111,37,33778,33778,2142,,
313,3439,119,40,33897,33897,2139,,
314,6209,126,37,34023,34023,2136,,
315,2328,34,19,34057,34057,2193,,
316,1924,26,17,34083,34083,2257,,
317,3676,185,6,34268,34268,2298,,
318,3177,145,76,34413,34413,2286,,
319,3608,174,39,34587,34587,2247,,
320,3009,18,44,34605,34605,2295,,
321,3038,119,44,34724,34724,2370,,
322,1952,58,18,34782,34782,2493,,
323,2047,42,10,34824,34824,2574,,
324,4842,239,63,35063,35063,2634,,
325,5734,263,52,35326,35326,2644,,
326,5839,245,81,35571,35571,2691,,
327,6376,212,77,35783,35783,2749,,
328,5017,218,68,36001,36001,2753,,
329,2034,38,13,36039,36039,2829,,
330,5285,231,45,36270,36270,2923,,
331,5577,191,22,36461,36461,3013,,
332,5512,279,48,36740,36740,3066,,
333,7623,277,54,37017,37017,3088,,
334,6191,304,56,37321,37321,3199,,
335,6447,229,44,37550,37550,3170,,
336,4798,87,1,37637,37637,3237,,
337,3720,100,28,37737,37737,3338,,
338,7437,374,56,38111,38111,3352,,
339,6624,307,68,38418,38418,3564,,
340,7777,300,66,38718,38718,3616,,
341,8141,346,38,39064,39064,3691,,
342,5763,246,49,39310,39310,3679,,
343,5618,102,2,39412,39412,3787,,
344,3520,90,16,39502,39502,3960,,
345,9079,334,64,39836,39836,4137,,
346,7773,303,56,40139,40139,4157,,
347,10286,400,63,40539,40539,4240,,
348,6054,91,49,40630,40630,4216,,
349,4158,18,54,40648,40648,4325,,
350,3511,139,4,40787,40787,4499,,
351,3941,165,7,40952,40952,4729,,
352,9450,451,83,41403,41403,4839,,
353,9053,375,67,41778,41778,4926,,
354,11709,306,88,42084,42084,4937,,
355,11137,278,24,42362,42362,4890,,
356,7533,65,2,42427,42427,5101,,
357,5778,56,4,42483,42483,5304,,
358,5163,112,7,42595,42595,5514,,
359,10091,423,101,43018,43018,5642,,
360,7686,611,93,43629,43629,5782,,
361,9790,167,65,43796,43796,5751,,
362,13296,391,84,44187,44187,5899,,
363,11926,323,143,44510,44510,5892,,
364,8193,125,1,44635,44635,5993,,
365,7454,107,17,44742,44742,6064,,
366,9193,435,187,45177,45177,6097,,
367,8596,356,141,45533,45533,6108,,
368,9036,360,172,45893,45893,5968,,
369,9806,315,163,46208,46208,5967,,
370,8533,307,153,46515,46515,5910,,
371,6332,104,5,46619,46619,5835,,
372,4957,122,64,46741,46741,5902,,
373,7492,265,222,47006,47006,5905,,
374,8205,305,196,47311,47311,5783,,
375,8150,369,111,47680,47680,5747,,
376,8374,270,171,47950,47950,5559,,
377,8985,320,186,48270,48270,5370,,
378,4753,115,4,48385,48385,5293,,
379,3917,113,53,48498,48498,5231,,
380,8393,417,179,48915,48915,5157,,
381,6384,332,161,49247,49247,5074,,
382,7352,361,184,49608,49608,4953,,
383,6558,261,159,49869,49869,4777,,
384,6343,263,210,50132,50132,4574,,
385,3587,105,2,50237,50237,4476,,
386,3034,86,44,50323,50323,4438,,
387,4961,362,208,50685,50685,4335,,
388,4924,268,137,50953,50953,4335,,
389,5706,294,169,51247,51247,4239,,
390,4842,232,102,51479,51479,4239,,
391,4490,253,232,51732,51732,4239,,
392,3589,110,2,51842,51842,3740,,
393,2704,86,38,51928,51928,3715,,
394,3721,334,171,52262,52262,3689,,
395,3490,281,120,52543,52543,3617,,
396,4179,310,92,52853,52853,3511,,
397,3900,258,195,53111,53111,3362,,
398,3823,229,142,53340,53340,3385,,
399,1929,39,21,53379,53379,3271,,
400,2070,24,57,53403,53403,3181,,
