date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,,,,,
53,0,0,0,,,,,
54,0,0,0,,,,,
55,1,0,0,,,,,
56,0,0,0,,,,,
57,1,0,0,,,,,
58,0,0,0,,,,,
59,0,0,0,,,,,
60,0,0,0,,,,,
61,0,0,0,,,,,
62,0,0,0,,,,,
63,0,0,0,,,,,
64,5,0,0,,,,,
65,3,0,0,,,,,
66,4,0,0,,,,,
67,2,0,0,,,,,
68,10,0,0,,,,,
69,11,0,0,,,,,
70,11,0,0,,,,,
71,8,0,0,,,,,
72,21,4,0,4,4,,,
73,13,2,0,6,6,,,
74,5,-1,0,5,5,,,
75,11,2,0,7,7,,,
76,14,1,0,8,8,,,
77,31,4,0,12,12,,,
78,24,0,0,12,12,,,
79,29,0,0,12,12,,,49
80,4,1,1,13,13,,,58
81,50,2,0,15,15,,,69
82,27,0,1,15,15,,,72
83,34,3,1,18,18,,,78
84,32,1,1,19,19,,,82
85,20,2,0,21,21,,,85
86,16,5,1,26,26,,,89
87,23,16,0,42,42,,,113
88,25,0,0,42,42,,,113
89,7,0,1,42,42,,,251
90,23,1,2,43,43,,,284
91,21,1,0,44,44,,,300
92,13,0,1,44,44,,,310
93,5,0,0,44,44,,,315
94,13,1,0,45,45,,,333
95,13,0,0,45,45,,,359
96,11,0,0,45,45,,,374
97,12,3,0,48,48,,,390
98,21,3,0,51,51,,,410
99,6,1,1,52,52,,,414
100,4,3,0,55,55,,,423
101,2,1,2,56,56,,,437
102,6,7,0,63,63,,,444
103,4,0,0,63,63,,,455
104,5,4,1,67,67,,,463
105,2,1,1,68,68,,,482
106,3,0,0,68,68,,,488
107,1,0,2,68,68,,,493
108,2,1,0,69,69,,,505
109,4,0,0,69,69,,,516
110,5,1,0,70,70,,,526
111,1,2,0,72,72,,,532
112,1,0,0,72,72,,,541
113,0,1,1,73,73,,,544
114,1,0,0,73,73,,,548
115,4,0,0,73,73,,,551
116,1,1,0,74,74,,,558
117,3,0,0,74,74,,,565
118,0,7,0,81,81,,,566
119,2,0,0,81,81,,,551
120,1,0,0,81,81,,,561
121,2,0,0,81,81,,,561
122,1,0,0,81,81,,,563
123,3,0,0,81,81,,,563
124,-1,0,0,81,81,,,564
125,1,0,0,81,81,,,565
126,1,1,0,82,82,,,572
127,1,0,0,82,82,,,573
128,0,0,0,82,82,,,574
129,1,0,0,82,82,,,578
130,2,0,0,82,82,,,578
131,4,1,0,83,83,,,579
132,-5,1,0,84,84,,,585
133,1,0,0,84,84,,,589
134,0,0,0,84,84,,,591
135,0,0,0,84,84,,,592
136,0,-1,0,83,83,,,593
137,1,0,0,83,83,,,600
138,3,0,0,83,83,,,604
139,2,0,0,83,83,,,605
140,2,0,0,83,83,,,606
141,1,0,0,83,83,,,608
142,0,0,0,83,83,,,608
143,1,0,0,83,83,,,609
144,0,0,0,83,83,,,612
145,2,0,0,83,83,,,611
146,9,0,0,83,83,,,614
147,9,0,0,83,83,,,616
148,2,1,0,84,84,,,617
149,1,0,0,84,84,,,618
150,6,0,0,84,84,,,621
151,3,1,0,85,85,,,622
152,7,1,0,86,86,,,623
153,14,1,0,87,87,,,627
154,17,2,0,89,89,,,628
155,5,2,0,91,91,,,629
156,8,0,0,91,91,,,630
157,4,1,0,92,92,,,637
158,4,3,0,95,95,,,639
159,18,0,0,95,95,,,640
160,27,1,0,96,96,,,642
161,14,0,0,96,96,,,644
162,11,1,0,97,97,,,651
163,2,2,0,99,99,,,669
164,3,5,0,104,104,,,673
165,16,1,0,105,105,,,686
166,15,4,0,109,109,,,696
167,16,0,0,109,109,,,705
168,6,1,1,110,110,,,714
169,27,1,0,111,111,,,719
170,1,0,0,111,111,,,722
171,17,2,0,113,113,,,736
172,9,3,0,116,116,,,741
173,20,0,0,116,116,,,746
174,29,2,1,118,118,,,754
175,24,0,0,118,118,,,756
176,24,0,0,118,118,,,777
177,7,1,0,119,119,,,781
178,41,0,0,119,119,,,797
179,23,3,0,122,122,,,811
180,36,1,0,123,123,,,840
181,28,2,0,125,125,,,847
182,42,0,0,125,125,,,872
183,20,0,0,125,125,,,890
184,23,3,3,128,128,23,,911
185,21,5,0,133,133,31,,921
186,28,4,0,137,137,40,,951
187,19,1,0,138,138,39,,975
188,23,1,1,139,139,39,,994
189,20,1,1,140,140,39,,1019
190,27,10,0,150,150,33,,1043
191,12,0,0,150,150,46,,1057
192,25,1,0,151,151,47,,1084
193,17,3,1,154,154,39,,1113
194,55,1,1,155,155,39,,1125
195,59,1,0,156,156,29,,1148
196,71,5,0,161,161,29,,1167
197,63,2,0,163,163,26,,1179
198,28,2,0,165,165,39,,1191
199,46,2,0,167,167,47,,1205
200,108,6,0,173,173,61,,1215
201,124,4,0,177,177,65,,1226
202,122,2,0,179,179,75,,1243
203,86,15,0,194,194,75,,1269
204,45,5,0,199,199,75,,1294
205,206,2,0,201,201,138,,1315
206,143,7,1,208,208,83,,1354
207,172,6,0,214,214,83,,1402
208,151,11,2,225,225,117,,1440
209,201,6,2,231,231,102,,1467
210,231,6,0,237,237,105,,1511
211,152,2,0,239,239,105,,1548
212,140,3,3,242,242,105,,1586
213,320,18,4,260,260,166,,1665
214,354,7,2,267,267,132,,1716
215,0,0,0,267,267,146,,1716
216,231,10,0,277,277,173,,1756
217,282,2,0,279,279,143,,1808
218,217,4,0,283,283,143,,1841
219,173,5,0,288,288,175,,1868
220,394,15,2,303,303,205,,1977
221,235,14,3,317,317,187,,2031
222,0,0,0,317,317,165,,2031
223,228,20,1,337,337,227,,2072
224,284,40,1,377,377,192,,2107
225,244,19,0,396,396,192,,2143
226,384,23,2,419,419,250,,2236
227,0,0,0,419,419,270,,2236
228,276,25,2,444,444,291,,2288
229,306,18,4,462,462,286,,2371
230,264,23,4,485,485,279,,2410
231,309,12,3,497,497,272,,2477
232,200,8,1,505,505,272,,2520
233,133,3,7,508,508,297,,2578
234,181,24,4,532,532,288,,2634
235,338,20,1,552,552,276,,2689
236,211,21,4,573,573,277,,2778
237,271,10,2,583,583,265,,2855
238,220,9,3,592,592,265,,2931
239,162,5,1,597,597,265,,2991
240,104,1,1,598,598,265,,3028
241,197,1,2,599,599,257,,3063
242,98,5,3,604,604,240,,3120
243,169,6,3,610,610,240,,3176
244,170,12,2,622,622,220,,3334
245,129,13,1,635,635,220,,3418
246,112,1,2,636,636,225,,3565
247,79,2,0,638,638,225,,3693
248,65,16,1,654,654,222,,3885
249,102,13,3,667,667,210,,4105
250,159,18,4,685,685,197,,4248
251,137,15,13,700,700,200,,4394
252,109,26,0,726,726,185,,4622
253,77,4,0,730,730,185,,4759
254,56,5,0,735,735,185,,4888
255,63,14,0,749,749,181,,4992
256,167,14,2,763,763,162,,5125
257,90,16,2,779,779,150,,5265
258,132,8,3,787,787,150,,5397
259,127,15,4,802,802,150,,10126
260,98,14,1,816,816,148,,10155
261,87,3,0,819,819,147,,10215
262,87,13,0,832,832,147,,10256
263,120,15,4,847,847,140,,10298
264,105,15,3,862,862,130,,10340
265,94,18,3,880,880,125,,10389
266,133,5,11,885,885,128,,10415
267,70,4,3,889,889,128,,10446
268,50,0,1,889,889,128,,10470
269,83,0,3,889,889,115,,10526
270,108,5,3,894,894,109,,10573
271,101,6,1,900,900,111,,10604
272,165,11,2,911,911,106,,10651
273,71,18,2,929,929,103,,10713
274,101,6,1,935,935,103,,10750
275,42,4,0,939,939,103,,10781
276,61,12,4,951,951,109,,10834
277,99,10,10,961,961,105,,10883
278,90,17,1,978,978,103,,10915
279,85,10,1,988,988,100,,10947
280,96,13,1,1001,1001,96,,10995
281,82,4,1,1005,1005,96,,11044
282,37,7,0,1012,1012,96,,11078
283,88,13,2,1025,1025,81,,11150
284,77,8,14,1033,1033,75,,11188
285,102,12,3,1045,1045,75,,11232
286,140,12,3,1057,1057,71,,11292
287,89,8,3,1065,1065,64,,11346
288,119,0,0,1065,1065,64,,11405
289,37,2,0,1067,1067,64,,11444
290,64,6,3,1073,1073,61,,11523
291,61,8,-2,1081,1081,61,,11605
292,77,9,2,1090,1090,62,,11682
293,100,7,1,1097,1097,59,,11738
294,68,8,3,1105,1105,58,,11776
295,83,2,0,1107,1107,58,,11824
296,77,4,0,1111,1111,65,,11868
297,87,13,0,1124,1124,57,,11930
298,155,1,0,1125,1125,57,,11958
299,99,13,0,1138,1138,68,,
300,138,9,0,1147,1147,69,,
301,128,10,1,1157,1157,75,,
302,128,4,1,1161,1161,75,,
303,63,-14,0,1147,1147,72,,
304,78,31,1,1178,1178,77,,
305,117,0,0,1178,1178,73,,
306,97,9,0,1187,1187,69,,
307,118,7,0,1194,1194,63,,
308,107,0,0,1194,1194,78,,
309,94,0,0,1194,1194,78,,
310,52,14,0,1208,1208,83,,
311,69,2,1,1210,1210,82,,
312,107,9,0,1219,1219,77,,
313,118,9,1,1228,1228,77,,
314,162,6,7,1234,1234,72,,
315,122,0,2,1234,1234,72,,
316,113,0,0,1234,1234,72,,
317,60,25,0,1259,1259,69,,
318,108,9,2,1268,1268,67,,
319,117,1,2,1269,1269,60,,
320,125,0,3,1269,1269,60,,
321,76,18,0,1287,1287,60,,
322,56,0,4,1287,1287,60,,
323,85,0,0,1287,1287,60,,
324,43,1,0,1288,1288,56,,
325,76,3,0,1291,1291,54,,
326,142,13,2,1304,1304,57,,
327,121,11,10,1315,1315,51,,
328,133,10,5,1325,1325,57,,
329,104,0,1,1325,1325,57,,
330,81,0,0,1325,1325,57,,
331,53,2,0,1327,1327,46,,
332,80,6,4,1333,1333,47,,
333,123,11,2,1344,1344,51,,
334,136,10,1,1354,1354,48,,
335,197,3,2,1357,1357,58,,
336,87,0,3,1357,1357,58,,
337,189,0,0,1357,1357,58,,
338,56,7,0,1364,1364,57,,
339,110,7,4,1371,1371,60,,
340,141,277,2,1648,1648,53,,
341,162,7,1,1655,1655,52,,
342,156,0,0,1655,1655,52,,
343,202,0,1,1655,1655,52,,
344,134,24,0,1679,1679,49,,
345,66,0,0,1679,1679,49,,
346,105,24,3,1703,1703,67,,
347,128,0,0,1703,1703,67,,
348,156,8,0,1711,1711,64,,
349,119,0,0,1711,1711,64,,
350,95,0,0,1711,1711,64,,
351,45,40,0,1751,1751,125,,
352,75,-5,0,1746,1746,89,,
353,106,10,0,1756,1756,81,,
354,188,12,3,1768,1768,97,,
355,288,7,1,1775,1775,86,,
356,169,0,0,1775,1775,86,,
357,149,0,0,1775,1775,86,,
358,89,0,0,1775,1775,86,,
359,123,42,0,1817,1817,96,,
360,142,26,10,1843,1843,123,,
361,321,9,0,1852,1852,121,,
362,308,12,4,1864,1864,129,,
363,248,0,4,1864,1864,129,,
364,198,0,2,1864,1864,129,,
365,172,31,0,1895,1895,126,,
366,114,7,0,1902,1902,124,,
367,106,11,3,1913,1913,114,,
368,175,7,6,1920,1920,104,,
369,150,8,0,1928,1928,108,,
370,229,0,2,1928,1928,108,,
371,130,0,2,1928,1928,108,,
372,129,0,0,1928,1928,108,,
373,64,55,2,1983,1983,55,,
374,74,13,1,1996,1996,102,,
375,119,9,3,2005,2005,100,,
376,169,9,4,2014,2014,84,,
377,133,0,4,2014,2014,84,,
378,151,0,6,2014,2014,84,,
379,121,25,0,2039,2039,89,,
380,64,11,59,2050,2050,82,,
381,103,7,3,2057,2057,80,,
382,99,7,2,2064,2064,71,,
383,152,0,1,2064,2064,71,,
384,115,3,0,2067,2067,73,,
385,82,0,3,2067,2067,73,,
386,90,19,0,2086,2086,63,,
387,64,4,0,2090,2090,61,,
388,74,6,4,2096,2096,55,,
389,106,7,2,2103,2103,57,,
390,129,3,0,2106,2106,64,,
391,107,0,0,2106,2106,64,,
392,75,0,2,2106,2106,64,,
393,32,34,0,2140,2140,82,,
394,31,0,0,2140,2140,63,,
395,53,-1,5,2139,2139,58,,
396,91,8,1,2147,2147,49,,
397,90,2,1,2149,2149,40,,
398,67,0,0,2149,2149,40,,
399,46,0,1,2149,2149,40,,
400,33,0,0,2149,2149,40,,
401,17,25,0,2174,2174,38,,
402,29,0,1,2174,2174,39,,
403,65,5,1,2179,2179,39,,
404,61,3,2,2182,2182,42,,
405,59,0,0,2182,2182,42,,
406,67,0,1,2182,2182,42,,
407,49,28,0,2210,2210,54,,
408,47,-14,0,2196,2196,37,,
409,50,8,4,2204,2204,37,,
410,38,5,0,2209,2209,34,,
411,78,5,2,2214,2214,30,,
412,104,0,2,2214,2214,30,,
413,56,0,0,2214,2214,30,,
414,29,0,0,2214,2214,31,,
415,35,12,0,2226,2226,31,,
416,17,0,2,2226,2226,26,,
417,59,-1,0,2225,2225,28,,
418,95,0,2,2225,2225,28,,
419,85,1,1,2226,2226,27,,
420,53,0,1,2226,2226,27,,
