date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,0,0,0,,0
54,0,0,0,,,,,
55,0,0,0,,,,,
56,0,0,0,,,,,
57,3,0,0,,,,,
58,5,0,0,,,,,
59,5,0,0,,,,,
60,1,0,0,,,,,
61,2,0,0,,,,,
62,1,0,0,,,,,
63,1,0,0,,,,,
64,4,0,0,,,,,
65,1,0,0,,,,,
66,6,0,0,,,,,
67,9,0,0,,,,,
68,7,0,0,,,,,
69,23,0,0,,,,,
70,22,0,0,,,,,
71,15,0,0,,,,,
72,19,27,0,27,27,,,
73,21,9,1,36,36,23,,
74,34,10,0,46,46,31,,15
75,56,4,2,50,50,32,,18
76,63,11,0,61,61,46,,15
77,38,7,1,68,68,51,,17
78,88,6,2,74,74,51,,23
79,73,20,1,94,94,61,,33
80,52,5,2,99,99,63,,118
81,65,21,2,120,120,74,,46
82,85,18,0,138,138,80,,188
83,87,15,3,153,153,85,,188
84,82,12,8,165,165,91,,188
85,78,14,3,179,179,99,,284
86,102,14,1,193,193,104,,341
87,97,0,1,193,193,122,,431
88,125,-193,2,,,122,,476
89,118,0,2,,,125,,506
90,122,0,3,,,118,,585
91,77,0,7,,,129,,674
92,123,0,2,,,142,,741
93,189,0,6,,,163,,741
94,96,0,4,,,171,,908
95,146,0,7,,,175,,987
96,191,0,4,,,183,,1007
97,181,0,10,,,193,,1095
98,389,0,1,,,198,,1171
99,257,0,4,,,214,,1235
100,482,0,4,,,214,,1293
101,107,0,7,,,272,,1428
102,176,0,6,,,282,,1492
103,521,0,11,,,278,,1604
104,647,0,5,,,293,,1723
105,384,0,6,,,286,,1900
106,392,0,9,,,300,,2021
107,508,0,9,,,304,,2164
108,467,0,12,,,323,,2428
109,302,0,14,,,335,,2697
110,739,0,8,,,345,,2899
111,757,0,5,,,353,,3156
112,528,0,9,,,378,,3325
113,534,0,4,,,389,,3486
114,408,0,19,,,407,,3572
115,293,0,12,,,414,,3803
116,655,0,12,,,417,,4266
117,398,0,12,,,407,,4685
118,214,0,9,,,402,,5011
119,288,0,13,,,413,,5154
120,414,0,6,,,394,,5249
121,539,0,18,,,385,,5618
122,377,0,17,,,388,,5954
123,386,0,12,,,405,,6231
124,374,0,18,,,387,,6561
125,279,0,10,,,387,,6927
126,323,0,5,,,376,,7154
127,304,0,4,,,382,,7324
128,394,0,17,,,383,,8130
129,265,0,16,,,381,,8362
130,556,0,18,,,376,,8672
131,334,0,19,,,362,,9079
132,389,0,19,,,362,,9254
133,359,0,10,,,363,,9318
134,325,0,5,,,377,,9377
135,126,0,19,,,379,,9791
136,657,0,13,,,393,,10016
137,213,0,13,,,383,,10359
138,353,0,18,,,376,,10753
139,318,0,9,,,368,,11019
140,308,0,3,,,341,,11147
141,145,0,17,,,339,,11440
142,319,0,10,,,327,,11742
143,39,0,13,,,314,,12064
144,750,0,6,,,310,,12333
145,347,0,12,,,299,,12585
146,326,0,6,,,299,,12715
147,189,0,6,,,269,,12805
148,320,0,8,,,265,,13028
149,249,0,12,,,255,,13411
150,315,0,6,,,245,,13628
151,387,0,9,,,242,,13956
152,399,0,4,,,225,,14227
153,380,0,7,,,200,,14326
154,209,0,2,,,203,,14383
155,127,0,3,,,197,,14625
156,126,0,14,,,193,,15025
157,282,0,4,,,188,,15289
158,393,0,6,,,188,,15604
159,421,0,2,,,197,,15816
160,221,0,0,,,182,,15963
161,467,0,4,,,170,,16068
162,88,0,1,,,169,,16240
163,322,0,2,,,163,,16579
164,332,0,4,,,140,,16858
165,492,0,3,,,137,,17017
166,489,0,9,,,141,,17313
167,326,0,0,,,131,,17467
168,477,0,1,,,118,,17620
169,293,0,3,,,119,,17851
170,225,0,7,,,133,,23212
171,444,0,2,,,149,,23607
172,758,0,1,,,145,,23993
173,220,0,2,,,146,,24338
174,612,0,1,,,134,,24604
175,312,0,0,,,141,,24739
176,304,0,2,,,151,,25121
177,372,0,2,,,165,,25594
178,480,0,10,,,165,,25974
179,731,0,4,,,168,,26340
180,744,0,4,,,169,,25891
181,663,0,5,,,178,,26104
182,424,0,2,,,177,,26234
183,458,0,4,,,186,,26664
184,320,0,3,,,186,,26952
185,442,0,5,,,190,,27177
186,841,0,16,,,195,,27404
187,590,0,6,,,210,,27609
188,185,0,3,,,210,,27820
189,816,0,7,,,214,,27894
190,443,0,3,,,221,,28024
191,308,0,5,,,223,,28388
192,319,0,6,,,224,,28607
193,841,0,10,,,232,,28924
194,637,0,5,,,230,,29216
195,400,0,3,,,220,,29477
196,529,0,1,,,226,,29625
197,354,0,6,,,241,,29873
198,223,0,6,,,253,,30623
199,500,0,7,,,246,,31246
200,761,0,11,,,237,,31835
201,544,0,10,,,225,,32578
202,394,0,5,,,242,,32819
203,516,0,4,,,231,,32952
204,349,0,6,,,241,,33219
205,201,0,6,,,243,,34023
206,617,0,11,,,248,,34733
207,702,0,9,,,237,,35548
208,504,0,5,,,223,,36322
209,418,0,12,,,229,,36882
210,506,0,5,,,221,,37096
211,282,0,3,,,224,,37317
212,258,0,7,,,244,,38033
213,477,0,11,,,243,,38657
214,530,0,8,,,261,,39320
215,596,0,7,,,258,,39879
216,861,0,7,,,261,,40381
217,635,0,2,,,271,,40525
218,294,0,6,,,283,,40788
219,229,0,8,,,287,,41565
220,337,0,17,,,299,,41837
221,727,0,8,,,300,,42372
222,991,0,7,,,293,,42912
223,729,0,10,,,268,,43383
224,540,0,5,,,260,,43493
225,358,0,8,,,275,,43738
226,661,0,8,,,295,,44396
227,941,0,15,,,313,,44903
228,1551,0,16,,,305,,45447
229,1185,0,12,,,299,,45977
230,778,0,13,,,315,,46409
231,971,0,5,,,308,,46555
232,608,0,3,,,299,,46740
233,591,0,7,,,311,,47437
234,726,0,3,,,310,,48074
235,878,0,9,,,323,,48580
236,1091,0,6,,,317,,49053
237,1028,0,20,,,315,,49521
238,649,0,4,,,309,,49723
239,393,0,3,,,311,,49884
240,455,0,12,,,326,,50466
241,364,0,14,,,322,,51014
242,902,0,13,,,302,,51691
243,728,0,4,,,281,,52370
244,573,0,6,,,290,,52953
245,784,0,1,,,274,,53151
246,386,0,6,,,272,,53417
247,401,0,10,,,284,,54352
248,803,0,3,,,291,,55067
249,948,0,14,,,271,,55834
250,1183,0,9,,,281,,56546
251,847,0,4,,,282,,57269
252,621,0,1,,,269,,57524
253,660,0,9,,,271,,57942
254,548,0,12,,,285,,59216
255,1036,0,8,,,301,,60350
256,1148,0,8,,,305,,61509
257,974,0,5,,,330,,62648
258,899,0,4,,,334,,65490
259,692,0,3,,,343,,65838
260,366,0,6,,,353,,66327
261,474,0,8,,,376,,67477
262,1120,0,16,,,390,,68456
263,1038,0,16,,,407,,69619
264,925,0,12,,,393,,70501
265,911,0,5,,,402,,71319
266,626,0,5,,,392,,71600
267,364,0,7,,,389,,71920
268,474,0,11,,,413,,72273
269,950,0,15,,,444,,73311
270,1261,0,6,,,449,,74250
271,1042,0,16,,,461,,75113
272,1084,0,18,,,450,,75948
273,1075,0,5,,,438,,76260
274,463,0,12,,,449,,76611
275,529,0,13,,,463,,78136
276,1046,0,12,,,473,,79121
277,1333,0,9,,,482,,80203
278,1229,0,17,,,468,,80560
279,1157,0,4,,,461,,81502
280,857,0,1,,,475,,81811
281,557,0,10,,,480,,82188
282,494,0,17,,,501,,83518
283,1179,0,29,,,534,,84671
284,1435,0,17,,,530,,85697
285,1249,0,19,,,536,,86630
286,1640,0,11,,,545,,87463
287,1143,0,3,,,541,,87739
288,747,0,14,,,561,,88124
289,857,0,13,,,564,,89490
290,1781,0,21,,,596,,90532
291,1940,0,11,,,605,,91449
292,2203,0,13,,,606,,92387
293,2570,0,10,,,630,,93200
294,2212,0,1,,,718,,93522
295,1405,0,24,,,718,,93943
296,1092,0,22,,,730,,95500
297,2276,0,24,,,777,,96753
298,3992,0,15,,,839,,98037
299,2778,0,16,,,912,,99243
300,3718,0,11,,,901,,100359
301,3313,0,13,,,992,,100747
302,4381,0,7,,,1034,,101158
303,2734,0,25,,,1135,,102981
304,4297,0,25,,,1190,,104226
305,3650,0,31,,,1208,,105384
306,4032,0,18,,,1227,,106529
307,4093,0,24,,,1261,,107541
308,3554,0,13,,,1279,,107888
309,2071,0,6,,,1392,,108187
310,2192,0,36,,,1510,,109978
311,3294,0,39,,,1527,,111305
312,3474,0,40,,,1516,,112778
313,3477,0,27,,,1447,,114338
314,3178,0,27,,,1416,,115736
315,2537,0,32,,,1340,,116308
316,2351,0,14,,,1333,,116837
317,1296,0,20,,,1351,,119713
318,3243,0,45,,,1305,,122059
319,2691,0,41,,,1269,,124520
320,1136,0,40,,,1226,,127348
321,1461,0,8,,,1221,,130008
322,1584,0,7,,,1175,,131098
323,1143,0,36,,,1162,,132271
324,988,0,28,,,1172,,137431
325,2375,0,18,,,1162,,142246
326,2196,0,73,,,1124,,147169
327,2267,0,83,,,1000,,152331
328,1655,0,62,,,960,,157026
329,1499,0,16,,,918,,159063
330,677,0,35,,,898,,160836
331,830,0,201,,,900,,168056
332,1797,0,102,,,894,,173440
333,1683,0,99,,,863,,177803
334,1537,0,77,,,833,,183216
335,1245,0,15,,,820,,187458
336,989,0,1,,,749,,188924
337,637,0,60,,,764,,190221
338,726,0,67,,,798,,196157
339,1539,0,14,,,776,,200792
340,1415,0,97,,,746,,204861
341,1524,0,0,,,701,,208802
342,1198,0,82,,,679,,212379
343,897,0,56,,,639,,213641
344,538,0,0,,,644,,214741
345,642,0,64,,,651,,219071
346,1501,0,15,,,644,,222079
347,1116,0,71,,,625,,224817
348,870,0,5,,,600,,225156
349,310,0,0,,,558,,227670
350,478,0,1,,,553,,228761
351,562,0,0,,,586,,229624
352,697,0,67,,,620,,233736
353,1052,0,10,,,612,,236666
354,1323,0,69,,,600,,238982
355,1593,0,7,,,575,,241229
356,476,0,48,,,572,,243214
357,865,0,0,,,577,,244021
358,701,0,46,,,571,,244677
359,1021,0,7,,,582,,247853
360,2010,0,61,,,604,,249919
361,1294,0,5,,,613,,251659
362,1608,0,59,,,579,,253501
363,1072,0,3,,,549,,255103
364,940,0,11,,,541,,255593
365,476,0,1,,,555,,256151
366,637,0,83,,,552,,258758
367,1441,0,10,,,516,,260557
368,1146,0,19,,,532,,262266
369,1035,0,6,,,513,,263844
370,915,0,64,,,505,,265320
371,548,0,2,,,474,,265923
372,480,0,1,,,483,,266453
373,717,0,8,,,490,,268931
374,717,0,62,,,474,,270625
375,1362,0,51,,,474,,272004
376,966,0,33,,,450,,273035
377,956,0,9,,,419,,273189
378,711,0,1,,,382,,274101
379,401,0,0,,,383,,273751
380,591,0,4,,,415,,276465
381,731,0,8,,,408,,277824
382,963,0,32,,,391,,279641
383,734,0,45,,,383,,281179
384,654,0,74,,,376,,281466
385,624,0,250,,,358,,282324
386,355,0,5,,,368,,283036
387,463,0,13,,,390,,286315
388,908,0,56,,,382,,288259
389,700,0,58,,,360,,289989
390,649,0,34,,,348,,291527
391,302,0,41,,,336,,293073
392,446,0,0,,,316,,293597
393,317,0,2,,,318,,294118
394,405,0,35,,,327,,296420
395,721,0,29,,,292,,297805
396,593,0,22,,,273,,299106
397,519,0,27,,,249,,300366
398,450,0,13,,,225,,301196
399,355,0,0,,,240,,301774
400,214,0,1,,,242,,302158
401,292,0,26,,,255,,303697
402,466,0,43,,,235,,305238
403,516,0,15,,,252,,306399
404,392,0,15,,,241,,307605
405,345,0,0,,,238,,308712
406,302,0,0,,,229,,309192
407,312,0,38,,,222,,309539
408,241,0,26,,,227,,310864
409,589,0,15,,,233,,311666
410,473,0,23,,,227,,312817
411,546,0,25,,,196,,313771
412,315,0,7,,,181,,314750
413,295,0,1,,,196,,315134
414,240,0,1,,,197,,315443
415,230,0,26,,,209,,316185
416,482,0,3,,,191,,317731
417,400,0,35,,,184,,318560
418,374,0,13,,,176,,318996
419,362,0,3,,,170,,319780
420,257,0,6,,,167,,320054
