date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,0,0,0,,0
54,0,0,0,0,0,0,,0
55,0,0,0,,,,,
56,0,0,0,,,,,
57,0,0,0,,,,,
58,0,0,0,,,,,
59,0,0,0,,,,,
60,0,0,0,,,,,
61,0,0,0,,,,,
62,2,0,0,,,,,
63,3,0,0,,,,,
64,1,0,0,,,,,
65,5,0,0,,,,,
66,3,0,0,,,,,
67,6,0,0,,,,,
68,11,0,0,,,,,
69,9,0,0,,,,,
70,7,0,0,,,,,
71,3,0,0,,,,,
72,32,0,0,,,,,
73,22,0,0,,,,,
74,46,0,0,,,34,,
75,60,0,3,,,31,,
76,38,25,1,25,25,37,,
77,16,11,1,36,36,35,,
78,45,3,1,39,39,42,,
79,105,6,1,45,45,45,,
80,110,1,2,46,46,49,,
81,144,3,0,49,49,49,,
82,222,7,0,56,56,45,,
83,122,6,1,62,62,53,,
84,64,4,0,66,66,51,,
85,24,11,0,77,77,62,,
86,69,6,3,83,83,67,,
87,40,10,2,93,93,62,,
88,22,20,3,113,113,70,,
89,134,14,6,127,127,67,,
90,58,1,1,128,128,61,,
91,14,3,2,131,131,63,,
92,21,1,0,132,132,62,,
93,41,3,6,135,135,59,,
94,39,6,6,141,141,66,,
95,49,2,2,143,143,70,,
96,22,5,0,148,148,58,,390
97,46,3,2,151,151,53,,453
98,13,0,1,151,151,43,,520
99,4,0,1,151,151,53,,585
100,64,6,3,157,157,69,,660
101,30,1,3,158,158,54,,710
102,36,4,3,162,162,52,,767
103,34,4,0,166,166,31,,822
104,34,2,0,168,168,35,,867
105,17,1,2,169,169,38,,938
106,10,0,0,169,169,36,,983
107,20,3,2,172,172,41,,1039
108,35,1,2,173,173,39,,1087
109,32,2,0,175,175,36,,1121
110,31,3,3,178,178,28,,1175
111,20,0,0,178,178,23,,1215
112,26,22,0,200,200,27,,1267
113,0,0,1,200,200,27,,1267
114,45,1,0,201,201,27,,1358
115,21,2,1,203,203,21,,1379
116,31,2,1,205,205,20,,1399
117,20,1,1,206,206,16,,1420
118,27,0,0,206,206,19,,1442
119,25,1,0,207,207,25,,1473
120,0,0,0,207,207,30,,1473
121,30,3,3,210,210,25,,1508
122,33,4,-1,214,214,20,,1536
123,31,-2,0,212,212,19,,1557
124,27,0,3,212,212,26,,1573
125,38,1,1,213,213,19,,1588
126,30,0,0,213,213,26,,1612
127,0,0,0,213,213,30,,1612
128,36,0,1,213,213,28,,1649
129,21,2,3,215,215,28,,1668
130,30,6,0,221,221,27,,1688
131,28,2,0,223,223,19,,1720
132,61,2,2,225,225,19,,1735
133,31,0,0,225,225,23,,1755
134,0,0,0,225,225,15,,1755
135,0,0,0,225,225,19,,1755
136,73,6,2,231,231,24,,2100
137,32,3,1,234,234,30,,2185
138,38,4,0,238,238,31,,2195
139,34,2,0,240,240,30,,2225
140,36,2,0,242,242,29,,2248
141,0,0,0,242,242,25,,2248
142,67,5,1,247,247,34,,2266
143,27,4,0,251,251,30,,2282
144,57,2,0,253,253,28,,2311
145,64,2,0,255,255,29,,2362
146,57,2,0,257,257,21,,2408
147,28,3,0,260,260,30,,2461
148,0,0,0,260,260,23,,2461
149,50,0,0,260,260,21,,2509
150,31,2,2,262,262,20,,2554
151,40,0,0,262,262,28,,2628
152,42,3,1,265,265,20,,2684
153,51,0,1,265,265,24,,2776
154,46,1,0,266,266,22,,2837
155,0,0,0,266,266,23,,2837
156,63,4,1,270,270,24,,2877
157,78,5,0,275,275,28,,2921
158,92,0,0,275,275,23,,3013
159,111,3,1,278,278,28,,3088
160,128,1,0,279,279,28,,3183
161,135,4,0,283,283,31,,3305
162,0,0,0,283,283,41,,3305
163,248,10,0,293,293,39,,3405
164,148,5,0,298,298,34,,3484
165,243,2,1,300,300,45,,3610
166,220,3,0,303,303,48,,3712
167,283,6,0,309,309,42,,3827
168,171,3,1,312,312,48,,3898
169,0,0,0,312,312,50,,3898
170,433,10,0,322,322,60,,4073
171,365,8,1,330,330,75,,4233
172,253,10,0,340,340,69,,4393
173,223,10,0,350,350,64,,2801
174,401,5,1,355,355,67,,2831
175,376,4,0,359,359,71,,2858
176,363,10,0,369,369,85,,2886
177,319,18,1,387,387,105,,2907
178,487,9,0,396,396,118,,2932
179,430,15,4,411,411,120,,2978
180,459,21,2,432,432,124,,3022
181,500,17,1,449,449,122,,3066
182,577,19,1,468,468,140,,3114
183,397,9,0,477,477,153,,3179
184,500,23,0,500,500,153,,3262
185,316,10,1,510,510,153,,3360
186,727,16,7,526,526,153,,3513
187,688,28,4,554,554,153,,3676
188,619,16,4,570,570,224,,3827
189,550,13,1,583,583,224,,3989
190,571,17,0,600,600,224,,4149
191,393,21,3,621,621,188,,4335
192,556,35,4,656,656,188,,4504
193,500,18,9,674,674,188,,4746
194,414,23,3,697,697,204,,5008
195,528,12,6,709,709,204,,5251
196,563,14,2,723,723,204,,5483
197,350,18,0,741,741,204,,5731
198,517,9,6,750,750,209,,5964
199,528,33,8,783,783,209,,6203
200,457,25,13,808,808,236,,6472
201,567,27,4,835,835,236,,6744
202,475,15,12,850,850,239,,6998
203,393,6,8,856,856,239,,7146
204,230,18,0,874,874,239,,7370
205,331,12,3,886,886,106,,7617
206,559,20,10,906,906,195,,7875
207,473,25,7,931,931,242,,8207
208,692,23,6,954,954,242,,8486
209,523,14,6,968,968,201,,8738
210,573,20,6,988,988,201,,8921
211,176,11,2,999,999,201,,9157
212,429,7,2,1006,1006,189,,9341
213,495,31,7,1037,1037,189,,9548
214,538,14,0,1051,1051,216,,9850
215,498,17,5,1068,1068,216,,10089
216,542,23,14,1091,1091,206,,10369
217,304,12,4,1103,1103,206,,10616
218,183,7,0,1110,1110,206,,10883
219,282,19,4,1129,1129,167,,11093
220,384,41,9,1170,1170,167,,11397
221,370,30,9,1200,1200,205,,11733
222,424,26,7,1226,1226,205,,12007
223,249,7,6,1233,1233,192,,12359
224,293,13,2,1246,1246,192,,12606
225,191,10,1,1256,1256,192,,12867
226,217,13,7,1269,1269,160,,13081
227,405,16,12,1285,1285,160,,13353
228,305,19,11,1304,1304,176,,13657
229,342,24,6,1328,1328,176,,13928
230,262,21,10,1349,1349,181,,14175
231,293,16,5,1365,1365,181,,14490
232,190,4,1,1369,1369,181,,14712
233,221,25,2,1394,1394,162,,14963
234,280,0,7,1394,1394,162,,15212
235,296,41,4,1435,1435,171,,15585
236,263,7,0,1442,1442,171,,15787
237,269,19,10,1461,1461,151,,16071
238,281,5,2,1466,1466,151,,16339
239,190,0,1,1466,1466,151,,16554
240,74,2,0,1468,1468,114,,16760
241,240,34,4,1502,1502,114,,16956
242,329,34,17,1536,1536,158,,17304
243,307,15,1,1551,1551,158,,17599
244,333,18,5,1569,1569,165,,18052
245,217,27,3,1596,1596,165,,18406
246,112,8,0,1604,1604,165,,18619
247,253,8,4,1612,1612,105,,18826
248,278,19,4,1631,1631,105,,19075
249,283,27,6,1658,1658,123,,19405
250,396,24,5,1682,1682,123,,19691
251,470,19,4,1701,1701,146,,19915
252,288,10,3,1711,1711,146,,20105
253,244,7,2,1718,1718,146,,20304
254,410,8,4,1726,1726,130,,20485
255,446,14,4,1740,1740,130,,20674
256,396,14,3,1754,1754,147,,20901
257,491,12,3,1766,1766,147,,21105
258,523,29,1,1795,1795,135,,21291
259,539,16,2,1811,1811,135,,21468
260,205,3,0,1814,1814,135,,21630
261,422,18,0,1832,1832,135,,21796
262,511,15,4,1847,1847,137,,21976
263,614,12,5,1859,1859,135,,22180
264,513,14,3,1873,1873,135,,22371
265,677,20,2,1893,1893,152,,22568
266,464,7,6,1900,1900,152,,22744
267,262,3,2,1903,1903,152,,22930
268,458,8,5,1911,1911,151,,23115
269,660,21,5,1932,1932,151,,23288
270,671,40,8,1972,1972,191,,23475
271,673,25,3,1997,1997,191,,23678
272,662,16,3,2013,2013,192,,23881
273,613,18,1,2031,2031,192,,24089
274,365,10,0,2041,2041,192,,24304
275,597,17,3,2058,2058,187,,24523
276,584,28,2,2086,2086,187,,24699
277,645,36,4,2122,2122,219,,24983
278,718,15,1,2137,2137,219,,25214
279,1094,37,6,2174,2174,221,,25457
280,878,19,6,2193,2193,221,,25679
281,510,13,-1,2206,2206,221,,25980
282,698,25,3,2231,2231,187,,26238
283,873,46,4,2277,2277,187,,26549
284,987,50,11,2327,2327,193,,26916
285,950,36,7,2363,2363,193,,27221
286,1073,24,9,2387,2387,259,,27509
287,1021,22,10,2409,2409,259,,27760
288,650,22,1,2431,2431,272,,28056
289,697,16,7,2447,2447,272,,28309
290,882,36,5,2483,2483,272,,28553
291,862,31,14,2514,2514,286,,28890
292,961,35,16,2549,2549,286,,29195
293,1064,23,11,2572,2572,263,,29556
294,798,22,3,2594,2594,263,,29867
295,480,21,1,2615,2615,263,,30218
296,757,28,2,2643,2643,155,,30525
297,1179,48,15,2691,2691,155,,30844
298,1290,39,17,2730,2730,296,,31210
299,1265,58,7,2788,2788,296,,31574
300,1330,37,8,2825,2825,320,,31969
301,1403,45,4,2870,2870,320,,32330
302,649,19,3,2889,2889,320,,32702
303,1266,37,12,2926,2926,288,,33032
304,1201,36,16,2962,2962,288,,33330
305,1693,40,19,3002,3002,361,,33715
306,1158,59,16,3061,3061,395,,34104
307,1519,41,3,3102,3102,395,,34482
308,1519,46,7,3148,3148,395,,34826
309,928,20,0,3168,3168,395,,35215
310,1099,34,4,3202,3202,376,,35530
311,1781,52,35,3254,3254,376,,35948
312,1310,58,14,3312,3312,389,,36339
313,1543,91,23,3403,3403,389,,36831
314,1786,89,10,3492,3492,404,,37232
315,1070,93,2,3585,3585,442,,37504
316,819,25,2,3610,3610,442,,38025
317,1437,72,17,3682,3682,408,,38397
318,1640,80,8,3762,3762,408,,38397
319,1773,55,21,3817,3817,453,,39199
320,0,0,0,3817,3817,453,,39199
321,1997,61,14,3878,3878,470,,39900
322,1160,70,4,3948,3948,470,,40120
323,824,30,7,3978,3978,470,,40461
324,1214,71,9,4049,4049,446,,40929
325,1607,86,31,4135,4135,446,,41354
326,1429,65,31,4200,4200,466,,41838
327,1721,71,23,4271,4271,466,,42274
328,1911,71,18,4342,4342,477,,42671
329,1339,30,0,4372,4372,477,,42932
330,805,16,3,4388,4388,477,,43380
331,1383,60,20,4448,4448,360,,43926
332,2012,91,19,4539,4539,455,,44314
333,2298,66,29,4605,4605,455,,44811
334,1825,66,33,4671,4671,455,,45303
335,1582,48,15,4719,4719,458,,45810
336,1022,27,18,4746,4746,458,,46247
337,547,17,6,4763,4763,444,,46980
338,1038,64,19,4827,4827,444,,47497
339,1802,81,20,4908,4908,444,,48070
340,1433,57,17,4965,4965,470,,48752
341,1426,56,28,5021,5021,467,,49318
342,1340,65,16,5086,5086,467,,49914
343,851,35,0,5121,5121,467,,50324
344,891,34,5,5155,5155,467,,50950
345,917,53,21,5208,5208,345,,51421
346,1717,59,12,5267,5267,345,,51996
347,1391,49,11,5316,5316,433,,52799
348,1248,41,25,5357,5357,433,,53535
349,0,0,0,5357,5357,433,,53535
350,554,35,5,5392,5392,393,,54574
351,428,33,0,5425,5425,393,,55186
352,795,51,23,5476,5476,280,,55959
353,1514,43,16,5519,5519,280,,56799
354,1340,48,10,5567,5567,375,,57770
355,1213,63,33,5630,5630,375,,58649
356,0,0,0,5630,5630,375,,58649
357,1122,57,12,5687,5687,352,,60164
358,308,19,0,5706,5706,352,,60820
359,798,39,11,5745,5745,254,,61493
360,1538,79,12,5824,5824,254,,62215
361,1263,47,17,5871,5871,366,,63097
362,1067,67,29,5938,5938,366,,63778
363,1085,57,6,5995,5995,375,,64538
364,977,20,5,6015,6015,375,,64785
365,432,22,6,6037,6037,375,,66012
366,572,42,10,6079,6079,283,,66796
367,1034,49,12,6128,6128,283,,67633
368,1091,50,8,6178,6178,338,,68657
369,994,47,27,6225,6225,338,,69460
370,1112,44,12,6269,6269,345,,70163
371,806,26,2,6295,6295,345,,70736
372,278,12,2,6307,6307,345,,71374
373,0,0,0,6307,6307,345,,71374
374,1224,63,30,6370,6370,266,,72711
375,810,36,-2,6406,6406,286,,73517
376,612,34,19,6440,6440,286,,74269
377,598,24,13,6464,6464,252,,75041
378,527,17,1,6481,6481,252,,75752
379,181,15,1,6496,6496,252,,76392
380,527,29,12,6525,6525,169,,77351
381,559,35,7,6560,6560,241,,78246
382,620,44,26,6604,6604,241,,79298
383,508,25,7,6629,6629,241,,80252
384,635,30,4,6659,6659,225,,81034
385,328,15,0,6674,6674,225,,81591
386,0,0,0,6674,6674,225,,81591
387,482,28,10,6702,6702,157,,82721
388,491,30,6,6732,6732,157,,83336
389,507,17,7,6749,6749,203,,84159
390,402,22,-1,6771,6771,203,,84824
391,404,14,11,6785,6785,199,,85439
392,240,8,9,6793,6793,207,,86078
393,0,0,0,6793,6793,207,,86078
394,449,26,9,6819,6819,178,,86880
395,437,20,4,6839,6839,178,,87505
396,458,-1,11,6838,6838,176,,88126
397,323,14,0,6852,6852,176,,88672
398,349,23,5,6875,6875,180,,89126
399,258,15,7,6890,6890,180,,89410
400,0,0,0,6890,6890,180,,89410
401,0,0,0,6890,6890,180,,89410
402,462,43,3,6933,6933,177,,90300
403,408,14,11,6947,6947,164,,90706
