date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,,,,,
53,1,0,0,,,,,
54,0,0,0,,,,,
55,1,0,0,,,,,
56,0,0,0,,,,,
57,1,0,0,,,,,
58,12,0,0,,,,,
59,0,0,0,,,,,
60,6,0,0,,,,,
61,7,0,0,,,,,
62,14,0,0,,,,,
63,18,0,0,,,,,
64,29,0,0,,,,,
65,66,0,1,,,,,
66,129,0,0,,,,,
67,134,0,3,,,,,
68,163,0,1,,,,,
69,168,0,1,,,,,
70,296,0,3,,,,,
71,224,0,3,,,,,
72,262,0,4,,,,,
73,330,0,3,,,,,
74,673,0,7,,,,,
75,488,0,8,,,,,
76,465,0,13,,,,,
77,1105,0,18,,,,,
78,461,0,8,,,,,
79,937,0,26,,,,,
80,986,0,42,,,,,
81,715,0,16,,,,,
82,1209,0,53,,,,,
83,1453,0,33,,,,,
84,899,0,31,,,,,
85,1006,0,33,,,,,
86,1287,0,73,,,3680,,
87,1529,0,82,,,3680,,
88,1344,0,66,,,3680,,
89,1465,0,68,,,3680,,
90,1293,0,81,,,3680,,
91,1672,0,43,,,3680,,
92,1173,0,74,,,3680,,
93,1222,0,74,,,4283,,
94,1346,0,80,,,4283,,
95,1140,0,124,,,4423,,
96,1842,0,62,,,4454,,
97,1585,0,125,,,4340,,
98,1197,0,31,,,4314,,
99,1151,0,59,,,4599,,
100,1551,0,119,,,4776,,
101,2049,0,97,,,4665,,
102,1826,0,123,,,4877,,
103,2724,0,107,,,4828,,
104,2119,0,79,,,4699,,
105,2126,0,59,,,4595,,
106,1980,0,50,,,4672,,
107,2219,0,142,,,4738,,
108,2253,0,90,,,5036,,
109,2563,0,140,,,4953,,
110,3137,0,102,,,4900,,
111,2450,0,102,,,4717,,
112,2994,0,59,,,4701,,
113,2341,0,44,,,4493,,
114,2122,0,176,,,4780,,
115,2270,0,136,,,4832,,
116,2641,0,137,,,4862,,
117,2887,0,130,,,4750,,
118,2325,0,108,,,4739,,
119,1656,0,57,,,4293,,
120,1266,0,53,,,4319,,
121,4014,0,142,,,4626,,
122,1677,0,191,,,4563,,
123,3239,0,136,,,4473,,
124,2432,0,130,,,4367,,
125,2088,0,71,,,4306,,
126,1734,0,48,,,4190,,
127,2294,0,57,,,4120,,
128,1545,0,145,,,4002,,
129,2388,0,146,,,3914,,
130,2268,0,82,,,4107,,
131,2758,0,108,,,3928,,
132,2352,0,75,,,3753,,
133,2508,0,66,,,3667,,
134,1713,0,28,,,3762,,
135,1178,0,39,,,3788,,
136,1111,0,160,,,3826,,
137,1527,0,103,,,3649,,
138,1622,0,84,,,3599,,
139,1462,0,60,,,3336,,
140,1343,0,60,,,3296,,
141,974,0,22,,,3215,,
142,1614,0,113,,,3238,,
143,982,0,96,,,3173,,
144,929,0,115,,,3044,,
145,1156,0,59,,,2911,,
146,975,0,69,,,2702,,
147,867,0,40,,,2550,,
148,1382,0,198,,,2496,,
149,797,0,94,,,2573,,
150,625,0,77,,,2458,,
151,766,0,90,,,2365,,
152,732,0,78,,,2209,,
153,673,0,29,,,2117,,
154,672,0,19,,,1914,,
155,473,0,18,,,1961,,
156,623,0,72,,,1939,,
157,546,0,87,,,1878,,
158,593,0,52,,,1878,,
159,831,0,0,,,1837,,
160,634,0,111,,,1696,,
161,658,0,22,,,1631,,
162,462,0,24,,,1628,,
163,601,0,36,,,1648,,
164,715,0,63,,,1614,,
165,894,0,40,,,1626,,
166,910,0,34,,,1516,,
167,786,0,26,,,1516,,
168,646,0,15,,,1464,,
169,738,0,14,,,1501,,
170,724,0,21,,,1560,,
171,828,0,28,,,1511,,
172,869,0,36,,,1651,,
173,937,0,27,,,1349,,
174,862,0,9,,,1346,,
175,639,0,6,,,1326,,
176,614,0,6,,,1395,,
177,587,0,37,,,1385,,
178,980,0,36,,,1385,,
179,1018,0,20,,,1507,,
180,1327,0,16,,,1436,,
181,1195,0,24,,,1398,,
182,954,0,19,,,1342,,
183,883,0,6,,,1362,,
184,707,0,25,,,1416,,
185,1187,0,8,,,1454,,
186,1257,0,25,,,1434,,
187,1427,0,13,,,1431,,
188,1276,0,18,,,1360,,
189,965,0,5,,,1356,,
190,1173,0,6,,,1410,,
191,955,0,23,,,1466,,
192,1598,0,23,,,1456,,
193,1624,0,20,,,1473,,
194,1599,0,17,,,1471,,
195,1426,0,12,,,1438,,
196,1541,0,1,,,1394,,
197,1231,0,18,,,1417,,
198,1076,0,30,,,1383,,
199,1393,0,16,,,1491,,
200,1772,0,16,,,1452,,
201,1980,0,22,,,1369,,
202,1639,0,8,,,1347,,
203,1467,0,14,,,1407,,
204,1298,0,9,,,1418,,
205,1471,0,19,,,1496,,
206,1759,0,28,,,1552,,
207,1953,0,21,,,1517,,
208,2103,0,31,,,1486,,
209,2190,0,18,,,1538,,
210,1382,0,5,,,1488,,
211,1319,0,1,,,1481,,
212,1549,0,20,,,1459,,
213,1645,0,15,,,1525,,
214,1834,0,24,,,1628,,
215,2296,0,27,,,1612,,
216,1828,0,5,,,1538,,
217,1562,0,18,,,1581,,
218,1773,0,12,,,1544,,
219,1740,0,26,,,1510,,
220,2295,0,24,,,1519,,
221,1832,0,27,,,1519,,
222,2293,0,22,,,1526,,
223,2356,0,17,,,1488,,
224,1893,0,6,,,1449,,
225,1612,0,8,,,1529,,
226,1680,0,29,,,1549,,
227,2157,0,37,,,1573,,
228,1707,0,23,,,1631,,
229,2434,0,20,,,1546,,
230,1880,0,11,,,1563,,
231,1992,0,11,,,1472,,
232,1668,0,7,,,1492,,
233,1492,0,38,,,1513,,
234,2128,0,27,,,1596,,
235,1360,0,24,,,1620,,
236,5594,0,38,,,1621,,
237,2806,0,23,,,1550,,
238,1403,0,5,,,1504,,
239,1381,0,8,,,1484,,
240,1392,0,7,,,1504,,
241,1337,0,28,,,1580,,
242,1953,0,28,,,1609,,
243,2312,0,44,,,1619,,
244,2121,0,22,,,1509,,
245,1462,0,14,,,1422,,
246,1373,0,5,,,1431,,
247,1466,0,18,,,1584,,
248,1941,0,35,,,1565,,
249,2056,0,25,,,1558,,
250,2223,0,23,,,1481,,
251,2529,0,25,,,1469,,
252,1402,0,14,,,1417,,
253,1477,0,7,,,1436,,
254,1531,0,29,,,1455,,
255,1848,0,22,,,1563,,
256,2257,0,30,,,1713,,
257,2805,0,33,,,1637,,
258,2441,0,25,,,1597,,
259,1604,0,13,,,1486,,
260,1709,0,13,,,1491,,
261,1362,0,23,,,1535,,
262,2273,0,35,,,1632,,
263,2166,0,24,,,1635,,
264,2456,0,52,,,1678,,
265,2442,0,31,,,1535,,
266,1453,0,17,,,1521,,
267,1853,0,14,,,1631,,
268,1617,0,31,,,1673,,
269,2630,0,42,,,1679,,
270,3059,0,32,,,1755,,
271,3117,0,32,,,1812,,
272,2905,0,30,,,1807,,
273,2727,0,9,,,1776,,
274,2742,0,13,,,1764,,
275,2851,0,29,,,1848,,
276,2862,0,48,,,1974,,
277,4015,0,53,,,1932,,
278,5103,0,52,,,2016,,
279,3629,0,27,,,2073,,
280,4245,0,22,,,2012,,
281,3113,0,22,,,2096,,
282,3714,0,41,,,2261,,
283,4342,0,68,,,2338,,
284,4942,0,42,,,2463,,
285,5000,0,41,,,2498,,
286,6161,0,63,,,2616,,
287,4062,0,24,,,2605,,
288,4729,0,17,,,2638,,
289,4000,0,46,,,2758,,
290,6110,0,51,,,2861,,
291,6363,0,56,,,3030,,
292,8489,0,49,,,3092,,
293,7899,0,56,,,3228,,
294,6980,0,25,,,3294,,
295,6222,0,18,,,3371,,
296,6516,0,68,,,3594,,
297,7538,0,55,,,3761,,
298,9935,0,97,,,3891,,
299,11790,0,84,,,4090,,
300,12438,0,91,,,4250,,
301,10009,0,50,,,4303,,
302,10573,0,25,,,4409,,
303,12623,0,82,,,4742,,
304,12657,0,153,,,5042,,
305,12702,0,48,,,5258,,
306,15415,0,45,,,5362,,
307,11028,0,197,,,5415,,
308,10631,0,74,,,5474,,
309,11632,0,42,,,5581,,
310,12601,0,113,,,5887,,
311,8922,0,151,,,5953,,
312,14612,0,180,,,6037,,
313,13012,0,147,,,6111,,
314,11891,0,157,,,6175,,
315,10012,0,99,,,6072,,
316,8322,0,61,,,6171,,
317,9469,0,150,,,6134,,
318,11378,0,178,,,6133,,
319,12022,0,156,,,6032,,
320,7574,0,90,,,5829,,
321,7873,0,152,,,5775,,
322,7178,0,44,,,5858,,
323,6190,0,103,,,5849,,
324,12542,0,146,,,5835,,
325,9757,0,266,,,5764,,
326,10959,0,228,,,5653,,
327,10526,0,157,,,5453,,
328,9887,0,235,,,5331,,
329,7598,0,99,,,5160,,
330,8691,0,100,,,5190,,
331,7910,0,168,,,5199,,
332,8256,0,229,,,5284,,
333,11101,0,232,,,5138,,
334,9420,0,222,,,5141,,
335,8737,0,165,,,5048,,
336,7216,0,107,,,5073,,
337,7214,0,116,,,4951,,
338,7359,0,132,,,4965,,
339,7123,0,190,,,4793,,
340,8828,0,208,,,4804,,
341,7377,0,221,,,4690,,
342,7562,0,120,,,4624,,
343,6003,0,81,,,4389,,
344,4699,0,120,,,4460,,
345,6239,0,144,,,4571,,
346,6762,0,171,,,4593,,
347,7037,0,118,,,4488,,
348,5742,0,194,,,4352,,
349,3293,0,70,,,4021,,
350,3767,0,112,,,4083,,
351,4453,0,134,,,4243,,
352,5644,0,126,,,4313,,
353,7374,0,215,,,4244,,
354,8009,0,167,,,4093,,
355,7201,0,195,,,3992,,
356,4762,0,44,,,3799,,
357,4469,0,105,,,3817,,
358,5059,0,90,,,3948,,
359,6839,0,150,,,3905,,
360,7569,0,173,,,3928,,
361,8757,0,206,,,3921,,
362,9277,0,167,,,3777,,
363,6717,0,102,,,3589,,
364,4711,0,83,,,3527,,
365,4776,0,70,,,3540,,
366,6642,0,134,,,3553,,
367,5862,0,120,,,3642,,
368,6652,0,107,,,3511,,
369,6642,0,149,,,3446,,
370,5343,0,147,,,3406,,
371,4162,0,30,,,3408,,
372,3385,0,68,,,3345,,
373,4318,0,35,,,3335,,
374,4822,0,132,,,3284,,
375,4979,0,138,,,3281,,
376,7042,0,111,,,3179,,
377,5152,0,111,,,3121,,
378,3292,0,35,,,2994,,
379,2944,0,64,,,2962,,
380,3667,0,109,,,3001,,
381,3751,0,96,,,2931,,
382,4191,0,125,,,2802,,
383,4156,0,72,,,2735,,
384,3345,0,67,,,2600,,
385,2428,0,40,,,2467,,
386,2312,0,20,,,2387,,
387,2304,0,63,,,2447,,
388,3314,0,84,,,2469,,
389,3328,0,77,,,2341,,
390,3660,0,106,,,2318,,
391,3062,0,73,,,2271,,
392,2060,0,62,,,2188,,
393,1747,0,41,,,2161,,
394,2082,0,23,,,2117,,
395,2825,0,67,,,2082,,
396,2838,0,116,,,1954,,
397,2598,0,42,,,1910,,
398,2092,0,60,,,1892,,
399,1631,0,34,,,1777,,
400,1420,0,45,,,1789,,
401,1348,0,33,,,1726,,
402,1795,0,25,,,1719,,
403,1966,0,73,,,1655,,
404,2219,0,71,,,1596,,
405,1922,0,58,,,1551,,
406,1585,0,40,,,1468,,
407,1246,0,40,,,1504,,
408,1665,0,22,,,1488,,
409,2022,0,47,,,1511,,
410,1884,0,32,,,1463,,
411,2441,0,68,,,1393,,
412,1780,0,35,,,1353,,
413,1249,0,25,,,1265,,
414,1143,0,24,,,1288,,
415,1577,0,44,,,1231,,
416,2104,0,50,,,1260,,
417,1740,0,49,,,1200,,
418,1442,0,44,,,1166,,
419,2565,0,56,,,1210,,
420,1068,0,12,,,1141,,
