date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,,,,,
47,0,0,0,,,,,
48,0,0,0,,,,,
49,0,0,0,,,,,
50,0,0,0,,,,,
51,0,0,0,,,,,
52,0,0,0,,,,,
53,0,0,0,,,,,
54,1,0,0,,,,,
55,0,0,0,,,,,
56,1,0,0,,,,,
57,0,0,0,,,,,
58,4,0,0,,,,,
59,4,0,0,,,,,
60,2,0,0,,,,,
61,0,0,0,,,,,
62,3,0,0,,,,,
63,4,0,0,,,,,
64,5,0,1,,,,,
65,6,0,1,,,,,
66,9,0,0,,,,,
67,17,0,0,,,,,
68,23,0,0,,,,,
69,47,0,2,,,,,
70,75,0,2,,,,,
71,58,0,1,,,,,
72,106,0,5,,,,,
73,112,0,2,,,,,
74,168,0,3,,,,,
75,336,0,7,,,,,
76,251,0,7,,,,,
77,282,0,1,,,,,
78,272,0,3,,,,,
79,373,0,14,,,,,
80,406,0,16,,,,,
81,474,0,13,,,,,
82,398,0,24,,,,,
83,516,0,14,,,,,
84,458,0,11,,,,,
85,533,0,12,,,,,
86,563,0,34,,,,,
87,436,0,30,,,,,
88,408,0,42,,,,,
89,556,0,55,,,,,
90,528,0,30,,,,,
91,493,0,13,,,,,
92,308,0,7,,,,,
93,291,0,38,,,,,
94,428,0,48,,,,,
95,587,0,41,,,,,
96,612,0,42,,,,,
97,487,0,26,,,,,
98,569,0,17,,,,,
99,476,0,7,,,,,
100,411,0,61,,,,,
101,341,0,31,,,,,
102,601,0,45,,,,,
103,641,0,35,,,,,
104,715,0,44,,,1515,,
105,617,0,28,,,1446,,
106,949,0,31,,,1493,,
107,627,0,57,,,1518,,
108,594,0,164,,,1484,,
109,653,0,49,,,1466,,
110,795,0,61,,,1431,,
111,665,0,54,,,1456,,
112,638,0,17,,,1398,,
113,574,0,18,,,1449,,
114,526,0,62,,,1537,,
115,837,0,51,,,1558,,
116,633,0,37,,,1457,,
117,643,4389,33,4389,4389,1379,,
118,586,0,43,4389,4389,1361,,
119,394,0,18,4389,4389,1328,,
120,501,0,32,4389,4389,1346,,
121,500,0,38,4389,4389,1283,,
122,346,0,41,4389,4389,1336,,
123,580,0,27,4389,4389,1381,,
124,602,0,45,4389,4389,1294,,
125,625,0,50,4389,4389,1274,,
126,498,0,10,4389,4389,1246,,
127,477,0,14,4389,4389,1244,,
128,450,0,59,4389,4389,1268,,
129,569,0,40,4389,4389,1288,,
130,662,0,49,4389,4389,1166,,
131,473,896,28,5285,5285,1203,,
132,492,0,2,5285,5285,1138,,
133,475,0,33,5285,5285,1112,,
134,339,0,0,5285,5285,1102,,
135,363,0,28,5285,5285,1088,,
136,359,0,26,5285,5285,1122,,
137,631,0,38,5285,5285,1131,,
138,490,0,42,5285,5285,1149,,
139,653,0,15,5285,5285,1149,,
140,363,0,9,5285,5285,1050,,
141,256,575,8,5860,5860,1041,,
142,407,42,55,5902,5902,961,,
143,475,50,10,5952,5952,1017,,
144,384,47,24,5999,5999,979,,
145,482,54,27,6053,6053,924,,
146,419,38,34,6091,6091,926,,
147,400,45,11,6136,6136,913,,
148,226,43,13,6179,6179,902,,
149,410,46,23,6225,6225,853,,
150,304,36,16,6261,6261,894,,
151,411,53,25,6314,6314,887,,
152,398,35,16,6349,6349,906,,
153,397,0,17,6349,6349,871,,
154,366,70,9,6419,6419,869,,
155,521,32,11,6451,6451,882,,
156,356,30,14,6481,6481,860,,
157,227,45,28,6526,6526,789,,
158,425,63,16,6589,6589,754,,
159,308,142,25,6731,6731,773,,
160,315,24,20,6755,6755,768,,
161,362,33,4,6788,6788,744,,
162,210,31,13,6819,6819,756,,
163,238,34,16,6853,6853,736,,
164,269,30,9,6883,6883,701,,
165,515,29,8,6912,6912,723,,
166,485,32,9,6944,6944,692,,
167,435,38,21,6982,6982,595,,
168,355,21,3,7003,7003,617,,
169,298,21,5,7024,7024,626,,
170,366,41,16,7065,7065,695,,
171,358,30,10,7095,7095,668,,
172,435,44,12,7139,7139,644,,
173,528,36,19,7175,7175,633,,
174,517,41,6,7216,7216,632,,
175,576,38,6,7254,7254,632,,
176,323,31,5,7285,7285,613,,
177,295,48,19,7333,7333,655,,
178,437,32,15,7365,7365,667,,
179,512,21,7,7386,7386,686,,
180,725,72,9,7458,7458,667,,
181,779,0,8,7458,7458,714,,
182,533,69,4,7527,7527,702,,
183,425,47,2,7574,7574,764,,
184,648,59,13,7633,7633,767,,
185,685,53,10,7686,7686,881,,
186,710,61,10,7747,7747,827,,
187,733,67,8,7814,7814,815,,
188,841,47,17,7861,7861,798,,
189,917,34,2,7895,7895,786,,
190,635,46,3,7941,7941,805,,
191,710,0,21,7941,7941,803,,
192,757,79,17,8020,8020,869,,
193,929,46,17,8066,8066,869,,
194,996,62,4,8128,8128,850,,
195,922,52,11,8180,8180,824,,
196,852,221,8,8401,8401,834,,
197,535,43,3,8444,8444,835,,
198,771,61,18,8505,8505,907,,
199,621,82,8,8587,8587,837,,
200,954,80,14,8667,8667,831,,
201,901,60,19,8727,8727,865,,
202,968,54,6,8781,8781,977,,
203,735,67,4,8848,8848,873,,
204,576,156,5,9004,9004,904,,
205,822,144,16,9148,9148,980,,
206,720,0,11,9148,9148,923,,
207,1040,119,6,9267,9267,1009,,
208,1239,87,10,9354,9354,990,,
209,1033,0,13,9354,9354,960,,
210,1041,0,5,9354,9354,960,,
211,664,0,3,9354,9354,921,,
212,870,245,25,9599,9599,964,,
213,660,79,17,9678,9678,936,,
214,1043,0,19,9678,9678,991,,
215,1067,123,8,9801,9801,910,,
216,1044,71,15,9872,9872,922,,
217,739,63,5,9935,9935,944,,
218,591,38,2,9973,9973,900,,
219,841,64,30,10037,10037,849,,
220,489,53,15,10090,10090,842,,
221,941,55,11,10145,10145,921,,
222,1040,-13,17,10132,10132,860,,
223,1000,87,10,10219,10219,883,,
224,615,62,2,10281,10281,894,,
225,1660,62,5,10343,10343,912,,
226,829,74,16,10417,10417,987,,
227,938,188,18,10605,10605,948,,
228,1145,142,7,10747,10747,882,,
229,809,71,11,10818,10818,867,,
230,1121,21,8,10839,10839,880,,
231,879,4,6,10843,10843,883,,
232,883,200,5,11043,11043,881,,
233,695,51,16,11094,11094,848,,
234,859,49,13,11143,11143,887,,
235,1104,53,7,11196,11196,856,,
236,1030,69,18,11265,11265,865,,
237,1077,53,12,11318,11318,771,,
238,843,47,2,11365,11365,751,,
239,590,45,4,11410,11410,771,,
240,386,57,12,11467,11467,839,,
241,705,61,17,11528,11528,763,,
242,758,63,13,11591,11591,833,,
243,1262,60,10,11651,11651,809,,
244,1056,59,17,11710,11710,807,,
245,1243,39,1,11749,11749,731,,
246,736,47,1,11796,11796,844,,
247,689,62,21,11858,11858,809,,
248,580,60,12,11918,11918,788,,
249,837,64,6,11982,11982,778,,
250,1037,53,17,12035,12035,804,,
251,1076,56,8,12091,12091,762,,
252,746,52,3,12143,12143,754,,
253,522,41,6,12184,12184,766,,
254,599,81,8,12265,12265,759,,
255,711,47,10,12312,12312,815,,
256,899,76,18,12388,12388,840,,
257,1171,75,18,12463,12463,856,,
258,1142,58,11,12521,12521,910,,
259,901,75,3,12596,12596,910,,
260,872,58,11,12654,12654,957,,
261,744,104,21,12758,12758,942,,
262,953,56,20,12814,12814,975,,
263,1157,97,13,12911,12911,919,,
264,1464,72,11,12983,12983,963,,
265,1419,85,13,13068,13068,911,,
266,1087,80,5,13148,13148,950,,
267,830,91,7,13239,13239,1019,,
268,970,85,30,13324,13324,1138,,
269,1281,106,16,13430,13430,1081,,
270,1450,107,15,13537,13537,1110,,
271,1816,111,19,13648,13648,1187,,
272,1918,108,21,13756,13756,1180,,
273,1570,104,7,13860,13860,1232,,
274,1574,124,6,13984,13984,1238,,
275,1549,131,27,14115,14115,1288,,
276,1165,113,14,14228,14228,1357,,
277,1943,125,28,14353,14353,1355,,
278,2283,120,23,14473,14473,1311,,
279,2482,131,31,14604,14604,1358,,
280,1605,111,19,14715,14715,1387,,
281,1584,111,23,14826,14826,1373,,
282,1498,157,48,14983,14983,1425,,
283,1732,180,15,15163,15163,1484,,
284,2850,141,42,15304,15304,1515,,
285,2467,194,27,15498,15498,1548,,
286,2741,129,26,15627,15627,1685,,
287,2153,140,12,15767,15767,1666,,
288,1974,138,13,15905,15905,1634,,
289,1983,159,51,16064,16064,1687,,
290,2548,209,33,16273,16273,1679,,
291,3618,196,33,16469,16469,1733,,
292,3163,216,26,16685,16685,1662,,
293,3465,162,46,16847,16847,1740,,
294,2750,176,32,17023,17023,1732,,
295,3077,132,26,17155,17155,1759,,
296,2881,229,49,17384,17384,1867,,
297,3698,229,25,17613,17613,1897,,
298,4412,185,47,17798,17798,1948,,
299,4647,207,36,18005,18005,2001,,
300,4899,268,45,18273,18273,2036,,
301,4652,232,37,18505,18505,2070,,
302,4135,233,35,18738,18738,2174,,
303,4829,285,67,19023,19023,2336,,
304,5036,261,31,19284,19284,2544,,
305,6591,289,51,19573,19573,2569,,
306,5600,515,50,20088,20088,2548,,
307,8322,295,25,20383,20383,2634,,
308,6710,321,22,20704,20704,2628,,
309,5147,339,26,21043,21043,2768,,
310,5463,346,89,21389,21389,2951,,
311,6015,348,59,21737,21737,3040,,
312,7281,423,59,22160,22160,3063,,
313,6808,352,63,22512,22512,3077,,
314,6872,362,40,22874,22874,3168,,
315,6174,335,59,23209,23209,3144,,
316,5556,317,27,23526,23526,3219,,
317,5625,358,103,23884,23884,3279,,
318,5983,333,63,24217,24217,3363,,
319,6373,357,63,24574,24574,3384,,
320,5643,366,33,24940,24940,3287,,
321,4471,389,69,25329,25329,3381,,
322,4304,303,22,25632,25632,3392,,
323,5665,386,38,26018,26018,3401,,
324,5396,406,141,26424,26424,3460,,
325,6597,430,109,26854,26854,3441,,
326,8460,382,60,27236,27236,3362,,
327,7899,436,89,27672,27672,3289,,
328,7690,344,85,28016,28016,3255,,
329,6598,351,35,28367,28367,3189,,
330,5661,276,42,28643,28643,3214,,
331,5385,386,126,29029,29029,3250,,
332,5754,383,96,29412,29412,3244,,
333,6518,331,97,29743,29743,3221,,
334,7200,383,70,30126,30126,3204,,
335,7401,407,85,30533,30533,3141,,
336,5898,263,47,30796,30796,3108,,
337,4967,239,35,31035,31035,3072,,
338,4241,289,128,31324,31324,3229,,
339,6208,251,133,31575,31575,3192,,
340,6340,245,79,31820,31820,3147,,
341,5949,222,85,32042,32042,3065,,
342,4732,229,73,32271,32271,2932,,
343,6483,225,66,32496,32496,2932,,
344,3865,214,34,32710,32710,2967,,
345,3657,282,143,32992,32992,3064,,
346,4662,222,64,33214,33214,3123,,
347,6196,251,85,33465,33465,3013,,
348,5446,199,40,33664,33664,2918,,
349,3841,171,31,33835,33835,2808,,
350,1820,267,42,34102,34102,2811,,
351,2465,170,43,34272,34272,2866,,
352,3976,262,165,34534,34534,2951,,
353,4735,227,109,34761,34761,2941,,
354,6468,238,103,34999,34999,2842,,
355,6288,211,108,35210,35210,2786,,
356,5317,197,39,35407,35407,2655,,
357,2981,239,65,35646,35646,2714,,
358,3617,210,39,35856,35856,2836,,
359,3395,265,149,36121,36121,2907,,
360,6146,193,80,36314,36314,2782,,
361,7270,203,80,36517,36517,2812,,
362,6095,249,69,36766,36766,2769,,
363,5966,193,74,36959,36959,2678,,
364,5093,166,19,37125,37125,2593,,
365,3685,163,31,37288,37288,2537,,
366,3139,217,88,37505,37505,2515,,
367,3642,174,59,37679,37679,2484,,
368,4375,189,39,37868,37868,2440,,
369,4666,188,44,38056,38056,2432,,
370,3889,210,41,38266,38266,2404,,
371,3162,132,23,38398,38398,2348,,
372,2498,146,30,38544,38544,2386,,
373,2727,151,126,38695,38695,2332,,
374,2877,162,63,38857,38857,2302,,
375,3624,188,64,39045,39045,2303,,
376,3489,197,49,39242,39242,2151,,
377,3093,154,51,39396,39396,2134,,
378,2520,109,23,39505,39505,2118,,
379,2189,104,12,39609,39609,2045,,
380,1718,144,79,39753,39753,1976,,
381,2230,141,38,39894,39894,1902,,
382,2819,124,34,40018,40018,1915,,
383,2630,132,46,40150,40150,1725,,
384,2334,116,42,40266,40266,1648,,
385,1723,82,7,40348,40348,1584,,
386,1709,89,15,40437,40437,1594,,
387,1512,133,65,40570,40570,1624,,
388,1428,97,37,40667,40667,1582,,
389,2359,107,1546,40774,40774,1541,,
390,1481,117,49,40891,40891,1446,,
391,2816,80,66,40971,40971,1399,,
392,1724,63,65,41034,41034,1287,,
393,1033,75,58,41109,41109,1292,,
394,1130,98,67,41207,41207,1265,,
395,1431,85,59,41292,41292,1273,,
396,1701,86,26,41378,41378,1226,,
397,1419,81,90,41459,41459,1178,,
398,1232,71,32,41530,41530,1079,,
399,1218,74,24,41604,41604,1031,,
400,777,42,18,41646,41646,1066,,
401,878,194,40,41840,41840,1018,,
402,923,246,19,42086,42086,955,,
403,757,160,31,42246,42246,966,,
404,1035,87,44,42333,42333,948,,
405,1415,45,11,42378,42378,923,,
406,881,67,36,42445,42445,870,,
407,817,55,35,42500,42500,878,,
408,679,57,43,42557,42557,873,,
409,1006,78,17,42635,42635,886,,
410,1084,37,27,42672,42672,889,,
411,944,36,37,42708,42708,781,,
412,871,28,25,42736,42736,800,,
413,731,39,17,42775,42775,778,,
414,540,40,22,42815,42815,763,,
415,537,47,28,42862,42862,765,,
416,761,93,10,42955,42955,731,,
417,935,89,30,43044,43044,692,,
418,839,60,34,43104,43104,730,,
419,1231,49,29,43153,43153,663,,
