date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,0,0,0,,0
54,0,0,0,,,,,
55,0,0,0,,,,,
56,1,0,0,,,,,
57,0,0,0,,,,,
58,0,0,0,,,,,
59,0,0,0,,,,,
60,3,0,0,,,,,
61,2,0,0,,,,,
62,0,0,1,,,,,
63,2,0,0,,,,,
64,3,0,0,,,,,
65,4,0,0,,,,,
66,1,0,0,,,,,
67,18,0,0,,,,,
68,10,0,0,,,,,
69,11,0,1,,,,,
70,9,0,0,,,,,
71,18,0,0,,,,,
72,16,0,0,,,,,
73,28,0,1,,,,,
74,42,0,0,,,,,
75,34,27,1,27,27,,,
76,59,0,1,27,27,,,
77,58,28,1,55,55,,,
78,49,11,2,66,66,,,
79,60,13,1,79,79,,,
80,54,35,1,114,114,,,
81,70,24,3,138,138,,,
82,68,13,4,151,151,,,
83,78,21,4,172,172,,,
84,49,11,1,183,183,,,
85,98,15,3,198,198,,,
86,55,25,2,223,223,,,
87,146,0,11,223,223,,,
88,60,40,4,263,263,,,
89,60,11,8,274,274,,,
90,102,19,5,293,293,,,
91,69,5,1,298,298,,,
92,39,11,6,309,309,,,
93,50,18,7,327,327,,,
94,68,15,7,342,342,,,
95,94,17,4,359,359,,,
96,117,16,4,375,375,,,
97,85,8,2,383,383,,,
98,59,7,6,390,390,,,
99,137,15,8,405,405,,,
100,39,14,7,419,419,,,
101,186,13,3,432,432,,,
102,271,10,2,442,442,,,
103,295,15,-1,457,457,,,
104,279,17,6,474,474,,,
105,118,11,1,485,485,,,
106,154,11,2,496,496,,,
107,163,8,4,504,504,,,
108,247,11,1,515,515,,,
109,500,8,4,523,523,,,
110,211,11,1,534,534,,,
111,297,7,1,541,541,,,
112,284,6,3,547,547,,,
113,215,6,2,553,553,,,
114,213,13,1,566,566,,,
115,276,5,7,571,571,,,
116,410,16,3,587,587,,,
117,357,21,5,608,608,,,
118,250,27,5,635,635,,,
119,197,22,0,657,657,,,
120,168,3,1,660,660,,,
121,0,0,0,660,660,,,
122,352,44,6,704,704,,,
123,0,0,0,704,704,,,
124,418,20,8,724,724,,,
125,0,0,0,724,724,,,
126,0,0,0,724,724,,,
127,454,16,1,740,740,,,
128,0,0,0,740,740,,,
129,199,20,5,760,760,,,
130,0,0,0,760,760,,,
131,419,27,7,787,787,,,
132,0,0,0,787,787,,,
133,0,0,0,787,787,,,
134,260,13,3,800,800,,,
135,0,0,0,800,800,,,
136,119,22,17,822,822,,,
137,0,0,0,822,822,,,
138,382,20,3,842,842,,,
139,0,0,0,842,842,,,
140,0,0,0,842,842,,,
141,292,0,9,842,842,,,
142,0,20,0,862,862,,,
143,159,28,5,890,890,,,
144,0,0,0,890,890,,,
145,223,27,10,917,917,,,
146,0,0,0,917,917,,,
147,0,0,0,917,917,,,
148,257,19,4,936,936,,,
149,0,0,0,936,936,,,
150,162,18,4,954,954,,,
151,0,0,0,954,954,,,
152,235,19,3,973,973,,,
153,0,0,0,973,973,,,
154,0,0,0,973,973,,,
155,372,15,2,988,988,,,
156,0,0,0,988,988,,,
157,262,23,2,1011,1011,,,
158,0,0,0,1011,1011,,,
159,378,24,7,1035,1035,,,
160,0,0,0,1035,1035,,,
161,0,0,0,1035,1035,,,
162,406,21,5,1056,1056,,,
163,0,0,0,1056,1056,,,
164,505,26,2,1082,1082,,,
165,0,0,0,1082,1082,,,
166,568,46,3,1128,1128,,,
167,0,0,0,1128,1128,,,
168,0,0,0,1128,1128,,,
169,905,24,6,1152,1152,,,
170,0,0,0,1152,1152,,,
171,547,0,2,1152,1152,,,
172,0,43,0,1195,1195,,,
173,929,24,5,1219,1219,,,
174,0,0,0,1219,1219,,,
175,0,0,0,1219,1219,,,
176,982,16,3,1235,1235,,,
177,0,0,0,1235,1235,,,
178,717,34,2,1269,1269,,,
179,0,0,0,1269,1269,,,
180,993,35,2,1304,1304,,,
181,0,0,0,1304,1304,,,
182,0,0,0,1304,1304,,,
183,1447,39,4,1343,1343,,,
184,0,0,0,1343,1343,,,
185,875,50,11,1393,1393,,,
186,0,0,0,1393,1393,,,
187,1032,60,0,1453,1453,,,
188,0,0,0,1453,1453,,,
189,0,0,0,1453,1453,,,
190,1369,44,8,1497,1497,,,
191,0,0,0,1497,1497,,,
192,770,48,1,1545,1545,,,
193,0,0,0,1545,1545,,,
194,1005,51,18,1596,1596,,,
195,0,0,0,1596,1596,315,,
196,0,0,0,1596,1596,315,,
197,1063,48,9,1644,1644,212,,
198,0,0,0,1644,1644,212,,
199,698,56,14,1700,1700,393,,
200,0,0,0,1700,1700,393,,
201,942,51,9,1751,1751,366,,
202,0,0,0,1751,1751,366,,
203,0,0,0,1751,1751,366,,
204,1064,31,7,1782,1782,232,,
205,0,0,0,1782,1782,232,,
206,841,39,3,1821,1821,358,,
207,0,0,0,1821,1821,358,,
208,921,54,12,1875,1875,333,,
209,0,0,0,1875,1875,333,,
210,0,0,0,1875,1875,333,,
211,1092,36,7,1911,1911,216,,
212,0,0,0,1911,1911,216,,
213,817,64,8,1975,1975,357,,
214,0,0,0,1975,1975,357,,
215,1338,45,7,2020,2020,311,,
216,0,0,0,2020,2020,311,,
217,0,0,0,2020,2020,311,,
218,1282,14,3,2034,2034,229,,
219,0,0,0,2034,2034,229,,
220,723,56,6,2090,2090,300,,
221,0,0,0,2090,2090,300,,
222,966,69,8,2159,2159,296,,
223,0,0,0,2159,2159,296,,
224,0,0,0,2159,2159,296,,
225,1545,24,7,2183,2183,189,,
226,0,0,0,2183,2183,189,,
227,1536,43,11,2226,2226,262,,
228,0,0,0,2226,2226,262,,
229,1111,52,6,2278,2278,328,,
230,0,0,0,2278,2278,328,,
231,0,0,0,2278,2278,328,,
232,1564,26,3,2304,2304,211,,
233,0,0,0,2304,2304,211,,
234,1328,57,12,2361,2361,336,,
235,0,0,0,2361,2361,336,,
236,1280,54,23,2415,2415,314,,
237,0,0,0,2415,2415,314,,
238,0,0,0,2415,2415,314,,
239,1694,26,4,2441,2441,177,,
240,0,0,0,2441,2441,177,,
241,496,29,10,2470,2470,319,,
242,0,0,0,2470,2470,319,,
243,976,67,16,2537,2537,140,,
244,0,0,0,2537,2537,140,,
245,0,0,0,2537,2537,140,,
246,1513,35,23,2572,2572,192,,
247,0,0,0,2572,2572,192,,
248,971,44,52,2616,2616,278,,
249,0,0,0,2616,2616,278,,
250,1415,55,10,2671,2671,286,,
251,0,0,0,2671,2671,286,,
252,0,0,0,2671,2671,286,,
253,1674,35,4,2706,2706,216,,
254,0,0,0,2706,2706,216,,
255,1267,60,21,2766,2766,313,,
256,0,0,0,2766,2766,313,,
257,1366,50,11,2816,2816,343,,
258,0,0,0,2816,2816,343,,
259,0,0,0,2816,2816,343,,
260,2037,36,5,2852,2852,270,,
261,0,0,0,2852,2852,270,,
262,1120,65,41,2917,2917,352,,
263,0,0,0,2917,2917,352,,
264,1362,66,20,2983,2983,352,,
265,0,0,0,2983,2983,352,,
266,0,0,0,2983,2983,352,,
267,1597,53,8,3036,3036,352,,
268,0,0,0,3036,3036,352,,
269,1244,85,17,3121,3121,352,,
270,0,0,0,3121,3121,393,,
271,1855,64,40,3185,3185,469,,
272,0,0,0,3185,3185,469,,
273,0,0,0,3185,3185,469,,
274,2055,54,8,3239,3239,355,,
275,0,0,0,3239,3239,355,,
276,1293,70,67,3309,3309,488,,
277,0,0,0,3309,3309,488,,
278,1700,61,21,3370,3370,456,,
279,0,0,0,3370,3370,456,,
280,0,0,0,3370,3370,456,,
281,2113,51,13,3421,3421,285,,
282,0,0,0,3421,3421,285,,
283,1488,85,80,3506,3506,329,,
284,0,0,0,3506,3506,329,,
285,1774,78,23,3584,3584,403,,
286,0,0,0,3584,3584,403,,
287,0,0,0,3584,3584,403,,
288,2446,62,1,3646,3646,362,,
289,0,0,0,3646,3646,362,,
290,3369,106,31,3752,3752,432,,
291,0,0,0,3752,3752,432,,
292,3136,80,22,3832,3832,512,,
293,0,0,0,3832,3832,512,,
294,0,0,0,3832,3832,512,,
295,4046,61,17,3893,3893,373,,
296,0,0,0,3893,3893,373,,
297,2988,91,41,3984,3984,567,,
298,0,0,0,3984,3984,567,,
299,5418,83,79,4067,4067,693,,
300,0,0,0,4067,4067,693,,
301,0,0,0,4067,4067,693,,
302,5920,71,15,4138,4138,500,,
303,0,0,0,4138,4138,500,,
304,5672,114,34,4252,4252,810,,
305,0,0,0,4252,4252,810,,
306,6282,75,41,4327,4327,811,,
307,0,0,0,4327,4327,811,,
308,0,0,0,4327,4327,811,,
309,7234,104,10,4431,4431,551,,
310,0,0,0,4431,4431,551,,
311,5853,130,60,4561,4561,1039,,
312,0,0,0,4561,4561,1039,,
313,5939,121,84,4682,4682,1048,,
314,0,0,0,4682,4682,1048,,
315,0,0,0,4682,4682,1048,,
316,7526,95,46,4777,4777,896,,
317,0,0,0,4777,4777,896,,
318,5738,144,47,4921,4921,1126,,
319,0,0,0,4921,4921,1126,,
320,5224,97,26,5018,5018,802,,
321,0,0,0,5018,5018,802,,
322,0,0,0,5018,5018,802,,
323,4425,87,31,5105,5105,854,,
324,0,0,0,5105,5105,854,,
325,4615,185,119,5290,5290,1196,,
326,0,0,0,5290,5290,854,,
327,6234,127,107,5417,5417,1143,,
328,0,0,0,5417,5417,1143,,
329,0,0,0,5417,5417,1143,,
330,5730,92,70,5509,5509,623,,
331,0,0,0,5509,5509,623,,
332,5778,145,85,5654,5654,1109,,
333,0,0,0,5654,5654,1109,,
334,5491,146,131,5800,5800,1068,,
335,0,0,0,5800,5800,1068,,
336,0,0,0,5800,5800,1068,,
337,4724,95,37,5895,5895,623,,
338,0,0,0,5895,5895,623,,
339,4551,155,144,6050,6050,858,,
340,0,0,0,6050,6050,858,,
341,5857,125,88,6175,6175,688,,
342,0,0,0,6175,6175,688,,
343,0,0,0,6175,6175,688,,
344,4174,92,107,6267,6267,630,,
345,0,0,0,6267,6267,630,,
346,5089,157,59,6424,6424,1014,,
347,0,0,0,6424,6424,1014,,
348,0,0,0,6424,6424,1014,,
349,0,0,0,6424,6424,1014,,
350,0,0,0,6424,6424,1014,,
351,6373,144,41,6568,6568,554,,
352,0,0,0,6568,6568,554,,
353,6371,192,193,6760,6760,767,,
354,0,0,0,6760,6760,767,,
355,5312,143,138,6903,6903,825,,
356,0,0,0,6903,6903,825,,
357,0,0,0,6903,6903,825,,
358,3572,52,18,6955,6955,662,,
359,0,0,0,6955,6955,662,,
360,5501,158,130,7113,7113,838,,
361,0,0,0,7113,7113,838,,
362,5504,144,121,7257,7257,869,,
363,0,0,0,7257,7257,869,,
364,0,0,0,7257,7257,869,,
365,5180,94,107,7351,7351,590,,
366,0,0,0,7351,7351,590,,
367,4539,189,100,7540,7540,892,,
368,0,0,0,7540,7540,892,,
369,4093,173,147,7713,7713,776,,
370,0,0,0,7713,7713,776,,
371,0,0,0,7713,7713,776,,
372,3688,94,23,7807,7807,599,,
373,0,0,0,7807,7807,599,,
374,3590,123,50,7930,7930,708,,
375,0,0,0,7930,7930,708,,
376,3241,111,23,8041,8041,708,,
377,0,0,0,8041,8041,708,,
378,0,0,0,8041,8041,708,,
379,2602,76,24,8117,8117,708,,
380,0,0,0,8117,8117,708,,
381,3262,151,96,8268,8268,649,,
382,0,0,0,8268,8268,649,,
383,2168,149,61,8417,8417,550,,
384,0,0,0,8417,8417,550,,
385,0,0,0,8417,8417,550,,
386,1983,72,30,8489,8489,381,,
387,0,0,0,8489,8489,381,,
388,2247,89,86,8578,8578,526,,
389,0,0,0,8578,8578,526,,
390,2647,102,206,8680,8680,526,,
391,0,0,0,8680,8680,526,,
392,0,0,0,8680,8680,526,,
393,1398,69,96,8749,8749,319,,
394,0,0,0,8749,8749,319,,
395,1934,91,106,8840,8840,377,,
396,0,0,0,8840,8840,377,,
397,1208,47,61,8887,8887,348,,
398,0,0,0,8887,8887,348,,
399,0,0,0,8887,8887,348,,
400,1348,36,42,8923,8923,279,,
401,0,0,0,8923,8923,279,,
402,1267,79,115,9002,9002,300,,
403,0,0,0,9002,9002,300,,
404,2115,69,93,9071,9071,290,,
405,0,0,0,9071,9071,290,,
406,0,0,0,9071,9071,290,,
407,883,32,29,9103,9103,214,,
408,0,0,0,9103,9103,214,,
409,1122,86,81,9189,9189,214,,
410,0,0,0,9189,9189,214,,
411,826,60,11,9249,9249,258,,
412,0,0,0,9249,9249,258,,
413,0,0,0,9249,9249,258,,
414,639,41,8,9290,9290,165,,
415,0,0,0,9290,9290,165,,
416,807,65,73,9355,9355,203,,
417,0,0,0,9355,9355,203,,
418,752,32,-4,9387,9387,235,,
419,0,0,0,9387,9387,235,,
420,0,0,0,9387,9387,235,,
