date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,0,0,0,,0
54,0,0,0,,,,,
55,1,0,0,,,,,
56,0,0,0,,,,,
57,3,0,0,,,,,
58,2,0,0,,,,,
59,2,0,0,,,,,
60,0,0,0,,,,,
61,3,0,0,,,,,
62,3,0,1,,,,,
63,2,0,0,,,,,
64,5,0,0,,,,,
65,1,0,0,,,,,
66,4,0,0,,,,,
67,9,0,0,,,,,
68,12,0,0,,,,,
69,7,0,1,,,,,
70,45,0,1,,,,,
71,5,0,0,,,,,
72,20,0,1,,,,,
73,33,0,0,,,,,
74,41,0,0,,,,,
75,50,0,2,,,,,
76,54,0,2,,,,,
77,92,0,1,,,,,
78,45,0,0,,,,,
79,41,0,2,,,,,
80,111,0,6,,,,,
81,89,0,3,,,,,
82,90,0,11,,,,,
83,61,0,6,,,,,
84,86,0,3,,,,,
85,38,0,5,,,,,
86,53,0,14,,,,,
87,141,0,6,,,,,
88,197,0,8,,,,,
89,347,459,17,459,459,271,,464
90,0,0,0,459,459,271,,464
91,147,0,4,459,459,271,,464
92,123,208,3,667,667,289,,607
93,85,6,7,673,673,299,,629
94,162,14,11,687,687,305,,653
95,81,120,7,807,807,412,,862
96,138,164,7,971,971,477,,956
97,93,37,8,1008,1008,360,,979
98,185,51,7,1059,1059,274,,1174
99,253,0,4,1059,1059,274,,1174
100,90,0,6,1059,1059,263,,1174
101,142,17,17,1076,1076,286,,1266
102,181,29,14,1105,1105,301,,1311
103,108,10,6,1115,1115,302,,1335
104,298,28,9,1143,1143,303,,1341
105,126,123,5,1266,1266,301,,1501
106,169,8,3,1274,1274,308,,1511
107,72,7,5,1281,1281,313,,1521
108,229,50,12,1331,1331,320,,1617
109,164,28,10,1359,1359,325,,1668
110,169,16,5,1375,1375,330,,1675
111,171,36,8,1411,1411,334,,1752
112,0,0,0,1411,1411,334,,1752
113,251,108,5,1519,1519,329,,1892
114,115,10,8,1529,1529,333,,1892
115,577,74,14,1603,1603,347,,2058
116,112,13,8,1616,1616,351,,2125
117,195,68,11,1684,1684,356,,2177
118,159,12,4,1696,1696,369,,2266
119,152,61,6,1757,1757,394,,2308
120,0,0,0,1757,1757,394,,2308
121,237,10,7,1767,1767,383,,2335
122,176,58,10,1825,1825,379,,2546
123,227,10,5,1835,1835,377,,2649
124,145,52,2,1887,1887,385,,2712
125,219,9,4,1896,1896,381,,2739
126,244,0,2,1896,1896,381,,2768
127,0,0,0,1896,1896,381,,2768
128,381,84,32,1980,1980,447,,2826
129,0,30,0,2010,2010,443,,2826
130,206,6,10,2016,2016,474,,2919
131,11,25,10,2041,2041,475,,3008
132,140,35,5,2076,2076,477,,3069
133,145,55,0,2131,2131,484,,3102
134,0,0,0,2131,2131,484,,3102
135,0,0,0,2131,2131,484,,3102
136,506,5,9,2136,2136,489,,3124
137,0,6,0,2142,2142,512,,3124
138,107,38,9,2180,2180,494,,3181
139,280,86,9,2266,2266,499,,3231
140,240,6,13,2272,2272,480,,3232
141,342,2,8,2274,2274,457,,3232
142,139,33,3,2307,2307,481,,3275
143,225,10,8,2317,2317,488,,3283
144,295,15,8,2332,2332,518,,3303
145,272,13,8,2345,2345,505,,3316
146,310,16,4,2361,2361,495,,3344
147,0,0,0,2361,2361,495,,3344
148,189,7,2,2368,2368,486,,3359
149,232,18,5,2386,2386,525,,3365
150,175,10,7,2396,2396,508,,3375
151,62,10,9,2406,2406,514,,3379
152,0,0,0,2406,2406,514,,3379
153,500,27,6,2433,2433,410,,3409
154,0,0,0,2433,2433,410,,3409
155,202,0,6,2433,2433,383,,3416
156,182,3,7,2436,2436,395,,3431
157,166,19,6,2455,2455,416,,3444
158,202,27,2,2482,2482,400,,3506
159,257,12,2,2494,2494,339,,3516
160,176,28,2,2522,2522,354,,3530
161,120,0,2,2522,2522,354,,3530
162,89,10,0,2532,2532,349,,3534
163,302,24,11,2556,2556,376,,3591
164,222,18,1,2574,2574,335,,3706
165,254,10,8,2584,2584,377,,3719
166,242,5,7,2589,2589,387,,3730
167,0,0,0,2589,2589,387,,3730
168,373,1,5,2590,2590,386,,3730
169,115,12,2,2602,2602,381,,3939
170,277,19,5,2621,2621,408,,3990
171,218,14,7,2635,2635,427,,4052
172,237,27,9,2662,2662,430,,4726
173,297,23,4,2685,2685,455,,4747
174,0,0,0,2685,2685,455,,4747
175,0,0,0,2685,2685,455,,4747
176,776,14,8,2699,2699,433,,4785
177,367,9,9,2708,2708,421,,4841
178,400,29,6,2737,2737,453,,4912
179,326,10,4,2747,2747,457,,4939
180,425,16,8,2763,2763,409,,5258
181,451,16,2,2779,2779,370,,5322
182,268,0,3,2779,2779,370,,5322
183,264,12,4,2791,2791,440,,5344
184,570,11,6,2802,2802,449,,5389
185,454,21,10,2823,2823,445,,5475
186,406,19,5,2842,2842,418,,5500
187,522,22,8,2864,2864,452,,6772
188,579,11,9,2875,2875,514,,6824
189,977,5,3,2880,2880,511,,6874
190,253,2,1,2882,2882,542,,6876
191,646,18,3,2900,2900,532,,6927
192,480,14,3,2914,2914,603,,7000
193,607,7,7,2921,2921,581,,7046
194,784,327,7,3248,3248,618,,7396
195,833,18,5,3266,3266,595,,7421
196,315,0,4,3266,3266,595,,7421
197,522,10,9,3276,3276,609,,7466
198,525,3,10,3279,3279,584,,7470
199,601,2,5,3281,3281,571,,7495
200,659,23,7,3304,3304,587,,7590
201,765,10,4,3314,3314,597,,7481
202,572,468,5,3782,3782,602,,8135
203,462,0,2,3782,3782,602,,8135
204,323,33,2,3815,3815,612,,8335
205,689,36,7,3851,3851,638,,8406
206,544,52,1,3903,3903,620,,8467
207,513,21,8,3924,3924,701,,8523
208,542,51,4,3975,3975,717,,8589
209,782,27,8,4002,4002,653,,8674
210,404,0,1,4002,4002,653,,8674
211,272,22,2,4024,4024,641,,8738
212,539,39,8,4063,4063,667,,8819
213,1152,28,7,4091,4091,683,,8893
214,741,25,6,4116,4116,658,,8965
215,612,42,8,4158,4158,656,,9021
216,632,35,6,4193,4193,618,,9091
217,385,0,3,4193,4193,618,,9091
218,376,22,5,4215,4215,563,,9158
219,608,37,12,4252,4252,622,,9233
220,627,49,12,4301,4301,640,,9331
221,700,48,14,4349,4349,638,,9388
222,639,13,8,4362,4362,590,,9448
223,0,0,0,4362,4362,590,,9448
224,1264,0,17,4362,4362,590,,9448
225,370,37,4,4399,4399,564,,9544
226,669,47,10,4446,4446,593,,9594
227,662,0,7,4446,4446,593,,9594
228,748,55,8,4501,4501,573,,9731
229,779,31,8,4532,4532,572,,10266
230,820,28,3,4560,4560,570,,10328
231,455,0,9,4560,4560,570,,10328
232,364,20,3,4580,4580,557,,10375
233,789,36,15,4616,4616,552,,10417
234,806,36,18,4652,4652,589,,10463
235,894,32,10,4684,4684,568,,10547
236,792,15,11,4699,4699,574,,10587
237,787,14,6,4713,4713,535,,10613
238,310,0,3,4713,4713,535,,10613
239,290,15,0,4728,4728,503,,10648
240,255,2,1,4730,4730,510,,10665
241,658,47,16,4777,4777,558,,10725
242,795,58,22,4835,4835,565,,10791
243,932,27,9,4862,4862,549,,10822
244,711,24,13,4886,4886,587,,10872
245,530,0,3,4886,4886,587,,10872
246,337,19,5,4905,4905,504,,10918
247,718,19,9,4924,4924,533,,10962
248,764,3,8,4927,4927,565,,11043
249,606,49,11,4976,4976,515,,11109
250,758,26,8,5002,5002,500,,11168
251,978,24,7,5026,5026,496,,11237
252,436,0,3,5026,5026,496,,11237
253,375,25,1,5051,5051,496,,11283
254,814,24,7,5075,5075,511,,11361
255,786,20,5,5095,5095,530,,11480
256,641,24,13,5119,5119,543,,11570
257,908,28,12,5147,5147,553,,11677
258,970,46,5,5193,5193,538,,11750
259,455,0,3,5193,5193,538,,11750
260,448,15,5,5208,5208,507,,11787
261,917,42,8,5250,5250,589,,11792
262,984,29,4,5279,5279,541,,11840
263,888,36,17,5315,5315,524,,11970
264,999,19,6,5334,5334,578,,12041
265,1274,28,8,5362,5362,600,,12121
266,616,0,4,5362,5362,600,,12121
267,541,195,5,5557,5557,563,,12445
268,1036,65,4,5622,5622,592,,12751
269,2393,57,5,5679,5679,672,,12800
270,868,135,11,5814,5814,701,,13113
271,1001,219,8,6033,6033,679,,13417
272,989,61,7,6094,6094,652,,13539
273,847,0,3,6094,6094,652,,13539
274,638,27,3,6121,6121,672,,13615
275,761,138,14,6259,6259,704,,13986
276,1322,220,7,6479,6479,711,,16756
277,1182,27,20,6506,6506,738,,16928
278,1311,39,4,6545,6545,667,,17018
279,1291,47,12,6592,6592,691,,17155
280,810,0,5,6592,6592,691,,17155
281,640,24,9,6616,6616,764,,17229
282,1297,49,16,6665,6665,776,,17402
283,1452,56,21,6721,6721,794,,17534
284,1303,40,17,6761,6761,800,,17627
285,1449,55,16,6816,6816,819,,17722
286,1732,49,8,6865,6865,840,,17723
287,1462,0,3,6865,6865,840,,17723
288,924,30,3,6895,6895,858,,17881
289,1771,52,18,6947,6947,913,,18045
290,1857,61,14,7008,7008,927,,18165
291,1811,61,19,7069,7069,969,,18277
292,1937,29,15,7098,7098,974,,18407
293,1977,112,9,7210,7210,964,,18468
294,1423,0,4,7210,7210,964,,18468
295,1028,-5,3,7205,7205,988,,18516
296,1709,139,11,7344,7344,1037,,19043
297,1630,103,11,7447,7447,1066,,19667
298,2268,134,20,7581,7581,1102,,20304
299,2228,127,10,7708,7708,1153,,20926
300,2156,136,17,7844,7844,1153,,21513
301,1177,0,4,7844,7844,1153,,21513
302,1729,430,11,8274,8274,1133,,22942
303,2079,129,14,8403,8403,1189,,23165
304,2698,0,14,8403,8403,1189,,23165
305,2336,164,18,8567,8567,1311,,23629
306,3164,85,25,8652,8652,1358,,23872
307,3293,131,11,8783,8783,1378,,24329
308,1449,0,3,8783,8783,1378,,24329
309,1511,91,3,8874,8874,1442,,24568
310,2911,74,33,8948,8948,1521,,24760
311,2745,104,15,9052,9052,1553,,25058
312,3637,111,30,9163,9163,1550,,25437
313,3816,123,20,9286,9286,1544,,25728
314,3702,125,21,9411,9411,1514,,26156
315,2192,0,4,9411,9411,1514,,26156
316,2132,119,5,9530,9530,1573,,26611
317,2606,93,17,9623,9623,1658,,26951
318,3301,133,26,9756,9756,1734,,27349
319,0,0,0,9756,9756,1734,,27349
320,5616,151,36,9907,9907,1714,,27866
321,2427,74,14,9981,9981,1722,,27998
322,2743,0,11,9981,9981,1722,,27998
323,2116,73,12,10054,10054,1741,,28281
324,4127,136,35,10190,10190,1777,,28486
325,3597,0,37,10190,10190,1768,,28486
326,3836,121,34,10311,10311,1810,,28755
327,3592,249,25,10560,10560,1792,,30071
328,3872,118,23,10678,10678,1731,,30161
329,2567,0,10,10678,10678,1731,,30161
330,1960,58,10,10736,10736,1700,,30239
331,3076,104,20,10840,10840,1760,,30358
332,3468,146,16,10986,10986,1792,,30540
333,4314,72,28,11058,11058,1756,,30605
334,3670,134,22,11192,11192,1717,,31087
335,3540,114,24,11306,11306,1711,,31507
336,2444,0,15,11306,11306,1711,,31507
337,1786,157,17,11463,11463,1712,,32050
338,2928,126,15,11589,11589,1788,,32234
339,2875,137,23,11726,11726,1793,,32402
340,3328,403,54,12129,12129,1817,,33666
341,3169,55,28,12184,12184,1712,,33665
342,3374,261,27,12445,12445,1655,,34517
343,1757,38,26,12483,12483,1607,,34608
344,1976,32,15,12515,12515,1580,,34704
345,3047,160,28,12675,12675,1631,,35118
346,2936,152,26,12827,12827,1644,,35478
347,0,0,0,12827,12827,1644,,35478
348,0,0,0,12827,12827,1644,,35478
349,5283,208,68,13035,13035,1511,,35936
350,1500,32,21,13067,13067,1504,,35952
351,1454,32,8,13099,13099,1552,,35988
352,2975,125,31,13224,13224,1635,,36124
353,3770,264,29,13488,13488,1673,,36740
354,0,0,0,13488,13488,1673,,36740
355,0,0,0,13488,13488,1673,,36740
356,8709,198,75,13686,13686,1635,,37273
357,2855,53,25,13739,13739,1677,,37375
358,2317,55,26,13794,13794,1737,,37455
359,1693,56,23,13850,13850,1760,,37502
360,5705,189,34,14039,14039,1778,,37821
361,4889,212,37,14251,14251,1744,,38173
362,4737,108,13,14359,14359,1748,,38445
363,4231,152,20,14511,14511,1752,,38905
364,3227,49,25,14560,14560,1713,,39006
365,2082,61,21,14621,14621,1709,,39020
366,3022,117,22,14738,14738,1733,,39200
367,4553,154,47,14892,14892,1702,,39723
368,4063,130,51,15022,15022,1661,,39998
369,3925,80,19,15102,15102,1644,,40100
370,3055,144,32,15246,15246,1631,,40541
371,2350,0,34,15246,15246,1631,,40541
372,1993,101,40,15347,15347,1587,,40761
373,2239,94,27,15441,15441,1633,,41009
374,3414,121,49,15562,15562,1678,,41240
375,3713,130,58,15692,15692,1604,,41469
376,2745,68,36,15760,15760,1561,,41562
377,3789,95,49,15855,15855,1604,,41633
378,2018,34,35,15889,15889,1540,,41660
379,1250,30,39,15919,15919,1539,,41760
380,2692,83,35,16002,16002,1566,,41878
381,2415,99,47,16101,16101,1597,,41925
382,2934,303,69,16404,16404,1561,,42684
383,2601,142,57,16546,16546,1505,,43052
384,2646,113,46,16659,16659,1415,,43298
385,1766,28,31,16687,16687,1327,,43380
386,1617,38,35,16725,16725,1314,,43492
