date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,0,0,0,,0
54,0,0,0,0,0,0,,0
55,0,0,0,,,,,
56,0,0,0,,,,,
57,1,0,0,,,,,
58,0,0,0,,,,,
59,5,0,0,,,,,
60,8,0,0,,,,,
61,22,0,0,,,,,
62,15,0,0,,,,,
63,39,0,2,,,,,
64,25,0,0,,,,,
65,22,0,2,,,,,
66,103,0,2,,,,,
67,107,0,2,,,,,
68,126,0,4,,,,,
69,107,0,4,,,,,
70,257,0,4,,,,,
71,335,0,14,,,,,
72,216,0,12,,,271,,
73,407,0,19,,,491,,
74,510,0,18,,,676,,
75,441,0,36,,,773,,
76,569,0,18,,,927,,
77,225,0,14,,,1127,,
78,485,0,34,,,1185,,
79,1212,0,54,,,1355,,
80,1187,0,34,,,1498,,
81,2726,0,37,,,1639,,
82,1147,0,60,,,1707,,
83,2199,0,39,,,1726,,
84,514,0,68,,,1803,,
85,1857,0,35,,,1981,,
86,1417,0,70,,,1996,,
87,746,0,70,,,1983,,
88,1253,0,50,,,2014,,
89,970,0,53,,,2054,,
90,761,0,51,,,2067,,
91,581,0,34,,,2084,,
92,421,0,44,,,2134,,
93,502,0,129,,,1977,,
94,433,0,90,,,1943,,
95,581,0,53,,,1914,,
96,586,0,57,,,1868,,
97,462,0,54,,,1761,,
98,348,0,29,,,1748,,
99,595,0,32,,,1794,,
100,331,0,77,,,1798,,
101,404,0,127,,,1747,,14927
102,481,0,67,,,1727,,14927
103,401,0,61,,,1697,,14927
104,372,0,43,,,1700,,14927
105,261,0,26,,,1701,,14927
106,295,0,11,,,1683,,17303
107,218,0,61,,,1666,,17303
108,374,0,44,,,1629,,17303
109,341,0,60,,,1601,,17303
110,710,0,65,,,1607,,17303
111,429,0,23,,,1545,,17303
112,200,0,19,,,1530,,17303
113,333,0,52,,,1502,,20316
114,323,0,51,,,1512,,20316
115,403,0,0,,,1465,,20316
116,253,0,93,,,1432,,20316
117,203,0,19,,,1359,,20316
118,562,0,40,,,1333,,20316
119,183,0,19,,,1324,,20316
120,215,0,22,,,1310,,22608
121,235,0,39,,,1320,,22608
122,612,0,34,,,1194,,22608
123,827,0,36,,,1193,,22608
124,348,0,31,,,1091,,22608
125,280,0,31,,,1028,,22608
126,315,0,12,,,1019,,22608
127,277,0,72,,,1031,,26249
128,329,0,18,,,1004,,26249
129,278,0,27,,,931,,26249
130,1188,0,21,,,884,,26249
131,421,0,39,,,867,,26249
132,115,0,0,,,836,,26249
133,129,0,22,,,813,,26249
134,640,0,0,,,847,,28700
135,245,0,11,,,831,,28700
136,443,0,21,,,798,,28700
137,305,0,18,,,761,,28700
138,0,0,26,,,714,,28700
139,775,0,19,,,674,,28700
140,339,0,6,,,678,,28700
141,425,0,10,,,661,,31728
142,405,0,34,,,639,,31728
143,387,0,35,,,617,,31728
144,429,0,13,,,613,,31728
145,427,0,29,,,604,,31728
146,497,0,13,,,582,,31728
147,330,0,11,,,575,,31728
148,234,0,8,,,582,,33904
149,562,0,13,,,568,,33904
150,418,0,11,,,549,,33904
151,442,0,19,,,553,,33904
152,523,0,9,,,549,,33904
153,1288,0,8,,,542,,33904
154,336,0,10,,,556,,33904
155,553,0,4,,,568,,37017
156,534,0,24,,,588,,37017
157,928,0,20,,,585,,37017
158,0,0,0,,,585,,37017
159,-119,0,22,,,561,,37017
160,870,0,20,,,574,,37017
161,393,0,1,,,589,,37017
162,461,0,12,,,630,,39792
163,1356,0,17,,,646,,39792
164,882,0,18,,,631,,39792
165,938,0,12,,,653,,39792
166,1354,0,26,,,700,,39792
167,0,0,0,,,700,,39792
168,1467,0,9,,,715,,39792
169,845,0,0,,,737,,42225
170,1014,0,22,,,781,,42225
171,2083,0,17,,,799,,43026
172,1383,0,17,,,840,,43026
173,1728,0,23,,,852,,43026
174,0,0,0,,,852,,43026
175,1937,0,10,,,926,,43026
176,1101,0,8,,,964,,43026
177,1936,0,23,,,1025,,43026
178,1888,0,20,,,1022,,46334
179,1843,0,16,,,1042,,46334
180,2642,0,25,,,1117,,46334
181,2167,0,23,,,1182,,46334
182,1319,0,13,,,1243,,46334
183,1705,0,7,,,1308,,46334
184,2215,0,22,,,1362,,46334
185,2089,0,16,,,1369,,53288
186,2280,0,24,,,1401,,53288
187,2179,0,24,,,1413,,53288
188,0,0,0,,,1413,,53288
189,3116,0,34,,,1469,,53288
190,3186,0,29,,,1508,,53288
191,1691,0,36,,,1527,,53288
192,2771,0,62,,,1581,,61456
193,2296,0,16,,,1585,,61456
194,2084,0,29,,,1600,,61456
195,0,0,0,,,1600,,61456
196,3840,0,48,,,1557,,61456
197,2343,0,23,,,1600,,61456
198,1121,0,26,,,1583,,61456
199,1735,0,71,,,1544,,74246
200,1708,0,42,,,1524,,74246
201,1799,0,24,,,1546,,74246
202,0,0,0,,,1546,,74246
203,3467,0,58,,,1534,,74246
204,1099,0,17,,,1496,,74246
205,3615,0,27,,,1487,,74246
206,1482,0,45,,,1471,,89083
207,1303,0,50,,,1457,,89083
208,1500,0,61,,,1406,,89083
209,0,0,0,,,1406,,89083
210,2653,0,56,,,1383,,89083
211,562,0,24,,,1382,,89083
212,1164,0,26,,,1335,,89083
213,1179,0,48,,,1320,,103512
214,1135,0,41,,,1281,,103512
215,1298,0,28,,,1243,,103512
216,0,0,0,,,1243,,103512
217,1181,0,77,,,1196,,103512
218,567,0,19,,,1226,,103512
219,640,0,28,,,1204,,103512
220,778,0,55,,,1160,,118120
221,918,0,28,,,1087,,118120
222,899,0,50,,,1051,,118120
223,0,0,0,,,1051,,118120
224,1223,0,59,,,941,,118120
225,623,0,18,,,939,,118120
226,550,0,33,,,930,,118120
227,1545,0,54,,,914,,127918
228,677,0,23,,,876,,127918
229,606,0,30,,,900,,127918
230,0,0,0,,,900,,127918
231,1624,0,27,,,902,,127918
232,326,0,19,,,881,,127918
233,689,0,34,,,910,,127918
234,1151,0,20,,,873,,134432
235,813,0,17,,,851,,134432
236,822,0,14,,,808,,134432
237,0,0,0,,,808,,134432
238,1395,0,58,,,790,,134432
239,309,0,12,,,787,,134432
240,256,0,13,,,799,,134432
241,1561,0,22,,,782,,140440
242,464,0,21,,,762,,140440
243,755,0,41,,,723,,140440
244,0,0,0,,,723,,140440
245,1281,0,33,,,680,,140440
246,492,0,17,,,664,,140440
247,371,0,26,,,667,,140440
248,612,0,16,,,678,,145570
249,478,0,17,,,663,,145570
250,979,0,29,,,647,,145570
251,0,0,0,,,647,,145570
252,936,0,26,,,596,,145570
253,243,0,9,,,587,,145570
254,752,0,11,,,571,,145570
255,616,0,21,,,592,,149640
256,577,0,16,,,575,,149640
257,706,0,21,,,570,,149640
258,0,0,0,,,570,,149640
259,923,0,21,,,557,,149640
260,240,0,15,,,563,,149640
261,533,0,10,,,578,,149640
262,610,0,21,,,553,,154163
263,551,0,8,,,534,,154163
264,817,0,26,,,536,,154163
265,0,0,0,,,536,,154163
266,893,0,32,,,518,,154163
267,218,0,9,,,547,,154163
268,532,0,6,,,567,,154163
269,2156,0,12,,,552,,157873
270,524,0,5,,,564,,157873
271,257,0,26,,,582,,157873
272,0,0,0,,,582,,157873
273,1181,0,20,,,563,,157873
274,60,0,14,,,577,,157873
275,682,0,10,,,573,,157873
276,880,0,16,,,582,,161792
277,743,0,12,,,566,,161792
278,774,0,20,,,557,,161792
279,0,0,0,,,557,,161792
280,1143,0,23,,,550,,161792
281,201,0,16,,,553,,161792
282,699,0,6,,,586,,161792
283,1363,0,18,,,608,,165282
284,772,0,9,,,598,,165282
285,699,0,21,,,620,,165282
286,0,0,0,,,620,,165282
287,972,0,17,,,596,,165282
288,227,0,17,,,609,,165282
289,922,0,18,,,600,,165282
290,1098,0,18,,,613,,168634
291,394,0,18,,,612,,168634
292,433,0,11,,,612,,168634
293,0,0,0,,,612,,168634
294,1071,0,7,,,598,,168634
295,275,0,8,,,596,,168634
296,1153,0,17,,,619,,168634
297,1016,0,24,,,623,,172210
298,681,0,20,,,636,,172210
299,870,0,21,,,644,,172210
300,0,0,0,,,644,,172210
301,1266,0,20,,,622,,172210
302,391,0,12,,,652,,172210
303,1330,0,10,,,684,,172210
304,0,0,0,,,684,,172210
305,3829,0,39,,,676,,176107
306,3450,0,24,,,692,,176107
307,0,0,0,,,692,,176107
308,2532,0,11,,,753,,176107
309,546,0,7,,,818,,176107
310,2626,0,17,,,874,,176107
311,2229,0,28,,,886,,185960
312,2052,0,15,,,929,,185960
313,4743,0,34,,,972,,185960
314,0,0,0,,,972,,185960
315,3483,0,27,,,967,,185960
316,968,0,24,,,1012,,185960
317,3243,0,39,,,1052,,185960
318,1235,0,27,,,1077,,192488
319,0,0,0,,,1077,,192488
320,4964,0,41,,,1074,,192488
321,0,0,0,,,1074,,192488
322,1643,0,16,,,1196,,192488
323,169,0,13,,,1241,,192488
324,5326,0,35,,,1280,,192488
325,3595,0,46,,,1288,,202891
326,2743,0,23,,,1325,,202891
327,3099,0,24,,,1357,,202891
328,0,0,0,,,1357,,202891
329,3946,0,36,,,1392,,202891
330,1013,0,23,,,1423,,202891
331,2426,0,45,,,1516,,202891
332,4352,0,32,,,1537,,217930
333,2415,0,40,,,1529,,217930
334,2862,0,43,,,1589,,217930
335,0,0,0,,,1589,,217930
336,4422,0,51,,,1533,,217930
337,1030,0,27,,,1527,,217930
338,2633,0,50,,,1597,,217930
339,3269,0,38,,,1584,,232725
340,3776,0,31,,,1602,,232725
341,3113,0,30,,,1547,,232725
342,0,0,0,,,1547,,232725
343,3711,0,48,,,1534,,232725
344,1116,0,65,,,1590,,232725
345,3699,0,51,,,1647,,232725
346,2974,0,68,,,1675,,247501
347,2565,0,46,,,1633,,247501
348,0,0,0,,,1633,,247501
349,0,0,0,,,1633,,247501
350,3223,0,19,,,1530,,247501
351,817,0,45,,,1597,,247501
352,3946,0,61,,,1689,,247501
353,6744,0,51,,,1717,,263712
354,4046,0,40,,,1731,,263712
355,0,0,0,,,1731,,263712
356,0,0,0,,,1731,,263712
357,5783,0,49,,,1833,,263712
358,1123,0,48,,,1891,,263712
359,4467,0,50,,,1974,,263712
360,6876,0,46,,,1993,,280373
361,4530,0,47,,,2033,,280373
362,3377,0,105,,,2069,,280373
363,0,0,0,,,2069,,280373
364,5398,0,40,,,1960,,280373
365,1405,0,45,,,1982,,280373
366,4705,0,53,,,2035,,280373
367,2896,0,51,,,2029,,298614
368,5313,0,58,,,1975,,298614
369,3705,0,0,,,2001,,298614
370,0,0,0,,,2001,,298614
371,4127,0,123,,,1930,,298614
372,971,0,50,,,1894,,298614
373,2138,0,71,,,1905,,298614
374,2493,0,59,,,1858,,320025
375,3736,0,59,,,1800,,320025
376,1937,0,41,,,1747,,320025
377,0,0,0,,,1747,,320025
378,3607,0,82,,,1641,,320025
379,2080,0,25,,,1638,,320025
380,2620,0,31,,,1646,,320025
381,3854,0,67,,,1625,,344321
382,2493,0,55,,,1590,,344321
383,2367,0,58,,,1546,,344321
384,0,0,0,,,1546,,344321
385,3350,0,58,,,1416,,344321
386,965,0,53,,,1403,,344321
387,2603,0,41,,,1440,,344321
388,2041,0,53,,,1386,,363457
389,2760,0,38,,,1295,,363457
390,866,0,32,,,1275,,363457
391,0,0,0,,,1275,,363457
392,1951,0,43,,,1166,,363457
393,1177,0,23,,,1144,,363457
394,1365,0,20,,,1122,,363457
395,333,0,50,,,1076,,380673
396,2728,0,27,,,1052,,380673
397,1170,0,37,,,1001,,380673
398,0,0,0,,,1001,,380673
399,1306,0,16,,,875,,380673
400,503,0,33,,,849,,380673
401,0,0,0,,,849,,380673
402,624,0,66,,,849,,396834
403,828,0,15,,,823,,396834
404,441,0,34,,,806,,396834
405,0,0,0,,,806,,396834
406,1889,0,26,,,756,,396834
407,468,0,11,,,740,,396834
408,1404,0,26,,,715,,396834
409,877,0,25,,,687,,408463
410,764,0,33,,,679,,408463
411,903,0,26,,,651,,408463
412,0,0,0,,,651,,408463
413,1508,0,21,,,630,,408463
414,404,0,20,,,629,,408463
415,767,0,19,,,629,,408463
416,500,0,21,,,588,,415954
417,756,0,18,,,554,,415954
418,518,0,30,,,538,,415954
419,0,0,0,,,538,,415954
420,740,0,32,,,532,,415954
