date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,,,,,
11,0,0,0,,,,,
12,0,0,0,,,,,
13,0,0,0,,,,,
14,0,0,0,,,,,
15,0,0,0,,,,,
16,0,0,0,,,,,
17,0,0,0,,,,,
18,0,0,0,,,,,
19,0,0,0,,,,,
20,0,0,0,,,,,
21,0,0,0,,,,,
22,0,0,0,,,,,
23,0,0,0,,,,,
24,0,0,0,,,,,
25,0,0,0,,,,,
26,0,0,0,,,,,
27,0,0,0,,,,,
28,0,0,0,,,,,
29,0,0,0,,,,,
30,0,0,0,,,,,
31,0,0,0,,,,,
32,0,0,0,,,,,
33,0,0,0,,,,,
34,0,0,0,,,,,
35,0,0,0,,,,,
36,0,0,0,,,,,
37,0,0,0,,,,,
38,0,0,0,,,,,
39,0,0,0,,,,,
40,0,0,0,,,,,
41,0,0,0,,,,,
42,0,0,0,,,,,
43,0,0,0,,,,,
44,0,0,0,,,,,
45,0,0,0,,,,,
46,0,0,0,,,,,
47,0,0,0,,,,,
48,0,0,0,,,,,
49,0,0,0,,,,,
50,0,0,0,,,,,
51,0,0,0,,,,,
52,2,0,0,,,,,
53,0,0,0,,,,,
54,6,0,0,,,,,
55,5,0,0,,,,,
56,0,0,0,,,,,
57,28,0,0,,,,,
58,51,0,0,,,,,
59,0,0,0,,,,,
60,3,0,0,,,,,
61,28,0,0,,,,,
62,15,0,0,,,,,
63,0,0,0,,,,,
64,26,0,0,,,,,
65,54,0,0,,,,,
66,38,0,2,,,,,
67,72,0,1,,,,,
68,85,0,2,,,,,
69,112,61,2,61,61,,,
70,121,10,4,71,71,,,
71,131,8,6,79,79,,,
72,382,15,9,94,94,,,
73,679,9,7,103,103,,,
74,579,116,9,219,219,,,
75,823,0,15,219,219,,,
76,1017,131,15,350,350,,,
77,698,49,27,399,399,,,
78,797,54,25,453,453,,,
79,868,109,29,562,562,,,
80,1118,120,34,682,682,,,
81,1228,131,42,813,813,,,
82,1436,153,36,966,966,,,
83,1334,404,39,1370,1370,1370,,
84,764,262,66,1632,1632,1632,,
85,1337,35,78,1667,1667,1667,,
86,1365,164,67,1831,1831,1831,,
87,1588,288,100,2119,2119,2119,,
88,2151,183,110,2302,2302,2302,,
89,2033,133,107,2435,2435,2435,,
90,1886,72,114,2507,2507,2507,,
91,2615,7,110,2514,2514,2514,,
92,1392,971,155,3485,3485,3485,,
93,1296,131,118,3616,3616,3616,,
94,1755,21,173,3637,3637,3637,,
95,2263,89,165,3726,3726,3726,,
96,2221,30,155,3756,3756,3756,,
97,1970,-28,161,3728,3728,3728,,
98,1705,61,163,3789,3789,3789,,
99,0,83,157,3872,3872,3872,,
100,3122,137,146,4009,4009,3977,,
101,1745,247,148,4256,4256,3890,,
102,3079,237,172,4493,4493,3851,,
103,0,259,108,4752,4752,3847,,
104,7325,213,0,4965,4965,3879,,
105,1590,139,22,5104,5104,3879,,
106,1524,133,104,5237,5237,3892,,
107,1840,278,150,5515,5515,3875,,
108,1963,243,252,5758,5758,3856,,
109,1940,184,157,5942,5942,3803,,
110,2106,227,154,6169,6169,3716,,
111,1952,209,130,6378,6378,3601,,
112,1824,129,158,6507,6507,3617,,
113,1000,115,86,6622,6622,3539,,
114,1184,209,122,6831,6831,3542,,
115,1754,249,208,7080,7080,3564,,
116,1696,157,132,7237,7237,3436,,
117,1612,197,150,7434,7434,3349,,
118,1410,117,138,7551,7551,3229,,
119,1050,66,139,7617,7617,3128,,
120,669,115,129,7732,7732,3102,,
121,870,110,33,7842,7842,3127,,
122,1165,190,174,8032,8032,3101,,
123,1685,175,167,8207,8207,2859,,
124,1239,107,110,8314,8314,2767,,
125,1512,142,113,8456,8456,2692,,
126,1077,83,92,8539,8539,2597,,
127,1042,82,65,8621,8621,2533,,
128,873,145,76,8766,8766,2472,,
129,1045,131,128,8897,8897,2518,,
130,1114,143,82,9040,9040,2396,,
131,805,122,80,9162,9162,2323,,
132,773,98,76,9260,9260,2237,,
133,1013,48,68,9308,9308,2169,,
134,596,31,44,9339,9339,2132,,
135,422,49,57,9388,9388,2108,,
136,527,104,74,9492,9492,2106,,
137,675,126,93,9618,9618,2112,,78108
138,617,107,78,9725,9725,1991,,78108
139,789,64,50,9789,9789,1904,,78108
140,664,34,78,9823,9823,1824,,78108
141,3840,129,189,9952,9952,1747,,78108
142,358,111,50,10063,10063,1657,,78108
143,429,88,67,10151,10151,1684,,78108
144,471,87,49,10238,10238,1637,,84621
145,494,65,34,10303,10303,1533,,84621
146,575,66,54,10369,10369,1529,,84621
147,304,24,27,10393,10393,1442,,84621
148,190,32,37,10425,10425,1415,,84621
149,263,82,55,10507,10507,1397,,84621
150,267,75,46,10582,10582,1345,,84621
151,511,72,38,10654,10654,1260,,88725
152,392,72,46,10726,10726,1143,,88725
153,336,46,38,10772,10772,1069,,88725
154,208,30,48,10802,10802,1039,,88725
155,87,15,23,10817,10817,1026,,88725
156,195,50,18,10867,10867,1045,,88725
157,266,58,69,10925,10925,998,,88725
158,271,60,36,10985,10985,968,,91404
159,228,51,30,11036,11036,994,,91404
160,286,40,28,11076,11076,964,,91404
161,125,9,30,11085,11085,927,,91404
162,149,9,16,11094,11094,920,,91404
163,229,63,16,11157,11157,953,,91404
164,172,62,48,11219,11219,939,,91404
165,226,33,25,11252,11252,822,,93157
166,233,39,50,11291,11291,791,,93157
167,373,19,28,11310,11310,769,,93157
168,224,9,19,11319,11319,748,,93157
169,101,26,35,11345,11345,762,,93157
170,114,-8,-41,11337,11337,733,,93157
171,261,15,27,11352,11352,760,,93157
172,195,40,51,11392,11392,681,,93157
173,290,44,17,11436,11436,656,,93157
174,210,25,23,11461,11461,640,,93157
175,136,2,11,11463,11463,636,,93157
176,163,6,15,11469,11469,603,,93157
177,201,20,15,11489,11489,621,,93157
178,264,28,30,11517,11517,662,,94347
179,295,42,25,11559,11559,635,,94347
180,213,23,28,11582,11582,632,,94347
181,288,18,14,11600,11600,572,,94347
182,199,8,15,11608,11608,583,,94347
183,230,3,5,11611,11611,570,,94347
184,303,14,10,11625,11625,560,,94347
185,217,26,28,11651,11651,580,,95390
186,234,12,12,11663,11663,557,,95390
187,298,28,22,11691,11691,515,,95390
188,359,18,17,11709,11709,499,,95390
189,296,8,12,11717,11717,498,,95390
190,255,5,2,11722,11722,483,,95390
191,244,24,17,11746,11746,513,,95390
192,287,15,18,11761,11761,532,,96452
193,327,9,16,11770,11770,351,,96452
194,338,15,14,11785,11785,397,,96452
195,283,28,12,11813,11813,371,,96452
196,369,15,19,11828,11828,364,,96452
197,289,5,7,11833,11833,350,,96452
198,256,22,15,11855,11855,364,,96452
199,502,21,29,11876,11876,390,,97595
200,414,17,15,11893,11893,367,,97595
201,514,15,14,11908,11908,347,,97595
202,428,22,17,11930,11930,369,,97595
203,418,6,12,11936,11936,406,,97595
204,199,6,10,11942,11942,375,,97595
205,546,31,9,11973,11973,354,,97595
206,440,20,2,11993,11993,396,,99021
207,231,14,32,12007,12007,403,,99021
208,417,15,18,12022,12022,390,,99021
209,420,22,12,12044,12044,386,,99021
210,329,10,14,12054,12054,375,,99021
211,275,8,6,12062,12062,380,,99021
212,392,27,10,12089,12089,387,,99021
213,293,20,18,12109,12109,422,,100486
214,319,22,21,12131,12131,401,,100486
215,212,19,14,12150,12150,398,,100486
216,366,20,14,12170,12170,375,,100486
217,303,3,11,12173,12173,372,,100486
218,213,5,4,12178,12178,367,,100486
219,175,14,6,12192,12192,374,,100486
220,827,21,37,12213,12213,365,,102205
221,313,12,12,12225,12225,379,,102205
222,488,20,13,12245,12245,322,,102205
223,144,11,20,12256,12256,315,,102205
224,0,0,0,12256,12256,315,,102205
225,662,12,27,12268,12268,308,,102205
226,398,11,12,12279,12279,327,,102205
227,336,20,27,12299,12299,356,,103920
228,368,19,20,12318,12318,333,,103920
229,460,16,16,12334,12334,312,,103920
230,446,24,13,12358,12358,305,,103920
231,199,3,13,12361,12361,290,,103920
232,304,3,11,12364,12364,314,,103920
233,355,22,4,12386,12386,320,,103920
234,-7757,-91,-4,12295,12295,308,,103920
235,415,30,17,12325,12325,312,,105769
236,212,10,23,12335,12335,333,,105769
237,438,12,16,12347,12347,325,,105769
238,366,3,9,12350,12350,312,,105769
239,229,7,8,12357,12357,322,,105769
240,171,11,8,12368,12368,328,,105769
241,181,19,5,12387,12387,338,,107501
242,403,14,20,12401,12401,355,,107501
243,440,10,14,12411,12411,330,,107501
244,554,15,16,12426,12426,331,,107501
245,286,5,14,12431,12431,313,,107501
246,254,11,9,12442,12442,302,,107501
247,313,20,6,12462,12462,310,,107501
248,306,16,20,12478,12478,352,,109397
249,429,18,15,12496,12496,377,,109397
250,454,18,9,12514,12514,338,,109397
251,599,23,26,12537,12537,362,,109397
252,359,8,15,12545,12545,364,,109397
253,256,8,7,12553,12553,367,,109397
254,173,18,11,12571,12571,371,,109397
255,543,21,19,12592,12592,361,,111479
256,481,14,15,12606,12606,375,,111479
257,488,13,11,12619,12619,389,,111479
258,569,18,18,12637,12637,354,,111479
259,592,8,13,12645,12645,408,,111479
260,430,3,11,12648,12648,418,,111479
261,512,19,8,12667,12667,444,,111479
262,532,19,33,12686,12686,438,,113768
263,754,29,24,12715,12715,436,,113768
264,761,18,10,12733,12733,421,,113768
265,672,12,17,12745,12745,416,,113768
266,644,4,3,12749,12749,438,,113768
267,515,6,20,12755,12755,473,,113768
268,495,20,8,12775,12775,494,,113768
269,535,32,19,12807,12807,515,,116364
270,444,23,8,12830,12830,484,,116364
271,765,16,12,12846,12846,500,,116364
272,639,15,10,12861,12861,531,,116364
273,563,10,17,12871,12871,511,,116364
274,760,11,13,12882,12882,501,,116364
275,749,17,13,12899,12899,514,,116364
276,580,34,17,12933,12933,499,,118892
277,587,13,25,12946,12946,503,,118892
278,767,25,30,12971,12971,513,,118892
279,584,19,21,12990,12990,500,,118892
280,730,11,14,13001,13001,483,,118892
281,828,8,16,13009,13009,500,,118892
282,976,12,5,13021,13021,517,,118892
283,702,35,22,13056,13056,519,,118892
284,1049,26,30,13082,13082,521,,122856
285,1070,24,20,13106,13106,570,,122856
286,1203,20,9,13126,13126,551,,122856
287,1077,16,25,13142,13142,538,,122856
288,1212,18,17,13160,13160,550,,122856
289,1260,0,7,13160,13160,567,,122856
290,1181,53,36,13213,13213,582,,122856
291,1346,22,27,13235,13235,561,,127054
292,1582,18,24,13253,13253,571,,127054
293,1430,33,16,13286,13286,623,,127054
294,1131,13,22,13299,13299,613,,127054
295,842,0,10,13299,13299,469,,127054
296,1036,0,12,13299,13299,485,,127054
297,1714,0,27,13299,13299,502,,127054
298,1862,74,23,13373,13373,498,,131646
299,2113,0,21,13373,13373,513,,131646
300,2302,0,23,13373,13373,535,,131646
301,1823,0,20,13373,13373,568,,131646
302,1328,0,14,13373,13373,588,,131646
303,2154,0,21,13373,13373,618,,131646
304,2660,0,38,13373,13373,659,,131646
305,2648,215,20,13588,13588,661,,137422
306,2906,0,23,13588,13588,687,,137422
307,3047,0,28,13588,13588,705,,137422
308,2133,0,36,13588,13588,737,,137422
309,2164,0,11,13588,13588,781,,137422
310,2525,0,20,13588,13588,835,,137422
311,2904,0,47,13588,13588,885,,137422
312,2682,229,28,13817,13817,917,,145682
313,2399,0,34,13817,13817,904,,145682
314,3206,0,19,13817,13817,891,,145682
315,2695,0,24,13817,13817,893,,145682
316,1773,0,19,13817,13817,922,,145682
317,2576,0,20,13817,13817,954,,145682
318,3395,0,53,13817,13817,942,,145682
319,0,0,0,13817,13817,942,,145682
320,4658,322,31,14139,14139,986,,155473
321,3217,0,41,14139,14139,1045,,155473
322,2495,0,46,14139,14139,1081,,155473
323,1168,0,26,14139,14139,1174,,155473
324,3073,0,30,14139,14139,1191,,155473
325,5027,0,46,14139,14139,1259,,155473
326,6675,258,50,14397,14397,1324,,169809
327,5491,0,36,14397,14397,1394,,169809
328,5619,0,43,14397,14397,1428,,169809
329,4827,0,51,14397,14397,1416,,169809
330,2481,0,31,14397,14397,1516,,169809
331,4122,0,41,14397,14397,1552,,169809
332,5965,0,90,14397,14397,1576,,169809
333,5369,426,43,14823,14823,1607,,187221
334,5655,0,48,14823,14823,1605,,187221
335,5289,0,50,14823,14823,1670,,187221
336,4853,0,42,14823,14823,1707,,187221
337,3653,0,39,14823,14823,1788,,187221
338,3929,0,55,14823,14823,1834,,187221
339,5952,0,70,14823,14823,1851,,187221
340,5135,549,45,15372,15372,1871,,206843
341,5679,0,52,15372,15372,1874,,206843
342,4344,0,47,15372,15372,1927,,206843
343,4261,0,60,15372,15372,1919,,206843
344,3843,0,42,15372,15372,1991,,206843
345,3800,0,45,15372,15372,2004,,206843
346,4814,0,83,15372,15372,2066,,206843
347,5937,533,76,15905,15905,2095,,229910
348,0,0,0,15905,15905,2095,,229910
349,7677,0,47,15905,15905,2077,,229910
350,3134,0,100,15905,15905,2156,,229910
351,4198,0,48,15905,15905,2230,,229910
352,4145,0,60,15905,15905,2259,,229910
353,6839,0,120,15905,15905,2257,,229910
354,7260,193,85,16098,16098,2271,,261672
355,0,0,0,16098,16098,2271,,261672
356,9003,0,79,16098,16098,2280,,261672
357,3481,0,108,16098,16098,2291,,261672
358,4906,0,61,16098,16098,2339,,261672
359,4634,0,63,16098,16098,2428,,261672
360,6851,0,102,16098,16098,2416,,261672
361,7548,505,73,16603,16603,2386,,293522
362,8120,0,76,16603,16603,2311,,293522
363,7414,0,89,16603,16603,2291,,293522
364,5656,0,77,16603,16603,2225,,293522
365,4251,0,55,16603,16603,2211,,293522
366,5487,0,67,16603,16603,2219,,293522
367,5918,506,86,17109,17109,2200,,293522
368,5955,0,74,17109,17109,2226,,324203
369,5525,0,76,17109,17109,2201,,324203
370,5799,0,74,17109,17109,2197,,324203
371,4414,0,69,17109,17109,2165,,324203
372,3301,0,53,17109,17109,2206,,324203
373,3085,0,44,17109,17109,2213,,324203
374,4514,447,80,17556,17556,2209,,324203
375,5140,0,77,17556,17556,2152,,324203
376,5272,0,81,17556,17556,2098,,354388
377,4641,0,77,17556,17556,2055,,354388
378,3944,0,69,17556,17556,1946,,354388
379,3651,0,45,17556,17556,1955,,354388
380,2495,0,42,17556,17556,1951,,354388
381,3320,452,84,18008,18008,1930,,354388
382,4631,0,44,18008,18008,1878,,389717
383,3118,0,96,18008,18008,1789,,389717
384,4108,0,87,18008,18008,1739,,389717
385,2665,0,46,18008,18008,1676,,389717
386,2398,0,30,18008,18008,1676,,389717
387,2239,0,45,18008,18008,1631,,389717
388,2455,394,56,18402,18402,1635,,389717
389,2804,0,76,18402,18402,1554,,425717
390,3287,0,75,18402,18402,1503,,425717
