date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,,,,,
54,3,0,0,,,,,
55,0,0,0,,,,,
56,0,0,0,,,,,
57,2,0,0,,,,,
58,1,0,0,,,,,
59,3,0,0,,,,,
60,3,0,0,,,,,
61,5,0,0,,,,,
62,9,0,0,,,,,
63,5,0,0,,,,,
64,6,0,2,,,,,
65,20,0,0,,,,,
66,28,0,0,,,,,
67,22,0,0,,,,,
68,42,0,1,,,,,
69,41,0,0,,,,,
70,54,0,1,,,,,
71,44,0,0,,,,,
72,61,0,1,,,,,
73,74,0,0,,,,,
74,157,132,2,132,132,,,
75,194,41,3,173,173,,,25
76,218,53,7,226,226,,,
77,247,51,7,277,277,,,
78,174,76,11,353,353,,,
79,247,76,8,429,429,,,
80,325,93,9,522,522,,,
81,346,60,12,582,582,,,81
82,427,82,20,664,664,,,159
83,367,157,17,821,821,,,159
84,484,115,21,936,936,,,159
85,436,123,16,1059,1059,,,184
86,326,47,22,1106,1106,,,288
87,1158,104,31,1210,1210,,,365
88,656,138,30,1348,1348,,,376
89,783,65,34,1413,1413,,,397
90,726,296,43,1709,1709,,,431
91,531,151,37,1860,1860,,,456
92,711,115,49,1975,1975,,,603
93,536,147,37,2122,2122,,,607
94,560,109,48,2231,2231,,,607
95,752,220,30,2451,2451,,,736
96,788,161,42,2612,2612,,,736
97,736,145,41,2757,2757,,,771
98,522,129,44,2886,2886,,,914
99,854,128,57,3014,3014,,,917
100,509,144,49,3158,3158,1433,,930
101,582,167,47,3325,3325,1432,,981
102,962,152,52,3477,3477,1405,,1040
103,879,141,68,3618,3618,1425,,1108
104,1150,142,49,3760,3760,1408,,1165
105,815,202,53,3962,3962,1463,,1177
106,906,139,44,4101,4101,1513,,1263
107,626,167,54,4268,4268,1528,,1295
108,736,134,69,4402,4402,1610,,1361
109,893,157,58,4559,4559,1711,,1432
110,1730,159,50,4718,4718,1668,,1517
111,1001,192,47,4910,4910,1657,,1590
112,989,141,49,5051,5051,1635,,1666
113,946,148,52,5199,5199,1649,,1695
114,709,138,52,5337,5337,1693,,1810
115,1046,160,44,5497,5497,1707,,1903
116,1211,166,60,5663,5663,1683,,2029
117,1111,148,63,5811,5811,1674,,2041
118,1049,121,49,5932,5932,1665,,2159
119,1053,23,47,5955,5955,1640,,2293
120,786,228,49,6183,6183,1544,,2298
121,688,104,46,6287,6287,1563,,2394
122,751,117,47,6404,6404,1550,,2456
123,1091,149,54,6553,6553,1538,,2569
124,1083,126,56,6679,6679,1496,,2685
125,982,76,49,6755,6755,1500,,2806
126,836,238,50,6993,6993,1460,,2816
127,958,93,32,7086,7086,1447,,2817
128,1784,113,42,7199,7199,1421,,2868
129,777,194,34,7393,7393,1410,,2993
130,1208,92,23,7485,7485,1374,,3099
131,893,149,53,7634,7634,1329,,3243
132,1071,191,32,7825,7825,1320,,3283
133,818,114,35,7939,7939,1290,,3319
134,839,153,38,8092,8092,1279,,3329
135,535,87,38,8179,8179,1315,,3334
136,736,102,41,8281,8281,1338,,3401
137,1286,111,43,8392,8392,1334,,3468
138,1279,87,37,8479,8479,1296,,3571
139,1027,140,24,8619,8619,1239,,3649
140,763,119,34,8738,8738,1183,,3764
141,549,148,29,8886,8886,1174,,3782
142,848,71,21,8957,8957,1148,,3855
143,807,154,20,9111,9111,1109,,3970
144,876,106,2,9217,9217,1096,,3985
145,912,129,34,9346,9346,1076,,4159
146,712,105,38,9451,9451,1059,,4175
147,491,95,9,9546,9546,1003,,4240
148,431,83,27,9629,9629,979,,4240
149,500,47,35,9676,9676,970,,4279
150,561,79,33,9755,9755,955,,4310
151,732,34,31,9789,9789,902,,4365
152,416,134,25,9923,9923,836,,4474
153,692,130,26,10053,10053,799,,4536
154,396,112,13,10165,10165,751,,4541
155,331,57,8,10222,10222,745,,4567
156,377,40,35,10262,10262,742,,4579
157,560,47,14,10309,10309,702,,4596
158,260,48,20,10357,10357,660,,4640
159,319,90,14,10447,10447,648,,4685
160,408,50,22,10497,10497,644,,4745
161,350,47,14,10544,10544,608,,4773
162,297,28,8,10572,10572,602,,4776
163,404,39,18,10611,10611,561,,4797
164,330,37,16,10648,10648,544,,4810
165,440,35,21,10683,10683,511,,4874
166,338,42,13,10725,10725,487,,4903
167,335,26,15,10751,10751,478,,4935
168,327,42,11,10793,10793,446,,4976
169,477,29,7,10822,10822,447,,4979
170,305,22,15,10844,10844,452,,4982
171,359,58,15,10902,10902,461,,5001
172,505,37,7,10939,10939,441,,5013
173,538,34,11,10973,10973,422,,5023
174,380,61,13,11034,11034,410,,5025
175,291,37,7,11071,11071,409,,5029
176,272,25,3,11096,11096,403,,5029
177,492,15,20,11111,11111,404,,5036
178,465,73,9,11184,11184,398,,5085
179,586,37,13,11221,11221,406,,5132
180,463,79,15,11300,11300,385,,5157
181,557,53,7,11353,11353,390,,5190
182,642,67,9,11420,11420,392,,5230
183,418,47,6,11467,11467,386,,5230
184,733,18,9,11485,11485,415,,5238
185,756,140,7,11625,11625,447,,5238
186,648,62,6,11687,11687,436,,5286
187,707,41,12,11728,11728,434,,5286
188,835,60,9,11788,11788,448,,5344
189,925,53,9,11841,11841,449,,5344
190,554,56,5,11897,11897,463,,5344
191,860,52,20,11949,11949,484,,5380
192,627,48,3,11997,11997,505,,5434
193,664,40,4,12037,12037,528,,5434
194,930,82,13,12119,12119,533,,5434
195,1288,69,11,12188,12188,545,,5434
196,694,95,7,12283,12283,540,,5434
197,1128,56,7,12339,12339,536,,5434
198,648,50,11,12389,12389,544,,5592
199,761,59,20,12448,12448,571,,5592
200,892,52,10,12500,12500,585,,5592
201,1169,93,5,12593,12593,590,,5689
202,1019,79,13,12672,12672,592,,5713
203,909,74,9,12746,12746,553,,5713
204,870,86,8,12832,12832,548,,5740
205,710,56,7,12888,12888,547,,5740
206,572,34,6,12922,12922,555,,5749
207,579,56,15,12978,12978,535,,5790
208,801,69,14,13047,13047,528,,5838
209,775,58,12,13105,13105,515,,5899
210,922,72,8,13177,13177,525,,5910
211,755,70,6,13247,13247,534,,5910
212,585,19,13,13266,13266,529,,5935
213,541,82,8,13348,13348,488,,5956
214,776,115,8,13463,13463,470,,5962
215,715,45,11,13508,13508,457,,5986
216,818,48,5,13556,13556,460,,5995
217,519,58,3,13614,13614,475,,6004
218,503,44,2,13658,13658,435,,6008
219,520,40,9,13698,13698,453,,6008
220,414,46,11,13744,13744,475,,6030
221,580,41,8,13785,13785,455,,6040
222,670,38,5,13823,13823,455,,6047
223,624,41,11,13864,13864,441,,6047
224,579,92,6,13956,13956,407,,6047
225,567,51,3,14007,14007,407,,6047
226,377,44,13,14051,14051,411,,6056
227,440,39,10,14090,14090,432,,6061
228,577,51,5,14141,14141,412,,6080
229,601,43,14,14184,14184,412,,6124
230,630,33,10,14217,14217,387,,6124
231,497,38,6,14255,14255,358,,6124
232,458,48,3,14303,14303,377,,6124
233,614,34,6,14337,14337,385,,6976
234,456,14,5,14351,14351,370,,7026
235,693,76,12,14427,14427,382,,7039
236,819,46,11,14473,14473,395,,7072
237,776,43,7,14516,14516,353,,7099
238,512,57,3,14573,14573,341,,7103
239,764,30,5,14603,14603,362,,7112
240,356,33,3,14636,14636,365,,7142
241,336,36,9,14672,14672,370,,7157
242,503,34,8,14706,14706,358,,7166
243,646,50,4,14756,14756,369,,7186
244,809,40,8,14796,14796,361,,7221
245,577,55,2,14851,14851,351,,7225
246,536,33,1,14884,14884,347,,7229
247,599,34,10,14918,14918,371,,7254
248,643,41,6,14959,14959,347,,7286
249,631,49,6,15008,15008,353,,7311
250,543,62,8,15070,15070,347,,7351
251,682,49,7,15119,15119,324,,7374
252,412,0,3,15119,15119,281,,7377
253,412,52,4,15171,15171,290,,7378
254,344,66,12,15237,15237,309,,7394
255,385,31,7,15268,15268,332,,7396
256,503,31,7,15299,15299,349,,7416
257,559,29,8,15328,15328,344,,7431
258,613,54,8,15382,15382,347,,7458
259,431,16,10,15398,15398,328,,7463
260,477,30,3,15428,15428,315,,7476
261,431,32,8,15460,15460,344,,7509
262,414,70,3,15530,15530,334,,7536
263,785,12,0,15542,15542,331,,7568
264,712,32,1,15574,15574,323,,7606
265,597,96,7,15670,15670,323,,7652
266,471,35,1,15705,15705,320,,7653
267,501,40,3,15745,15745,338,,7657
268,413,46,6,15791,15791,360,,7661
269,460,52,6,15843,15843,391,,7665
270,761,55,6,15898,15898,403,,7676
271,734,58,11,15956,15956,391,,7704
272,636,50,5,16006,16006,383,,7721
273,562,52,4,16058,16058,393,,7738
274,504,49,4,16107,16107,384,,7738
275,482,43,9,16150,16150,402,,7744
276,575,65,10,16215,16215,417,,7812
277,630,40,6,16255,16255,412,,7851
278,781,33,4,16288,16288,416,,7869
279,798,64,4,16352,16352,422,,7880
280,530,83,1,16435,16435,433,,7890
281,497,40,4,16475,16475,434,,7892
282,590,41,9,16516,16516,464,,7926
283,492,33,8,16549,16549,463,,7960
284,743,54,12,16603,16603,458,,7999
285,712,47,8,16650,16650,458,,8030
286,796,55,13,16705,16705,455,,8055
287,792,52,5,16757,16757,446,,8064
288,565,62,3,16819,16819,456,,8067
289,897,40,9,16859,16859,471,,8099
290,684,51,7,16910,16910,501,,8117
291,962,61,12,16971,16971,502,,8144
292,927,52,10,17023,17023,513,,8164
293,967,70,10,17093,17093,520,,8181
294,864,85,5,17178,17178,523,,8199
295,850,74,3,17252,17252,529,,8201
296,771,60,7,17312,17312,562,,8223
297,1000,51,10,17363,17363,595,,8235
298,1198,72,10,17435,17435,588,,8255
299,1541,102,12,17537,17537,609,,8262
300,1410,90,7,17627,17627,632,,8284
301,1081,103,11,17730,17730,655,,8291
302,1375,103,9,17833,17833,707,,8297
303,1338,81,12,17914,17914,761,,8305
304,1714,98,16,18012,18012,805,,8313
305,1477,127,12,18139,18139,863,,8323
306,1869,142,12,18281,18281,914,,8343
307,2321,177,20,18458,18458,921,,8362
308,1840,118,9,18576,18576,938,,8374
309,1726,112,7,18688,18688,985,,8380
310,2149,124,26,18812,18812,1046,,8408
311,2018,147,16,18959,18959,1144,,8421
312,2910,175,21,19134,19134,1192,,8441
313,2353,148,26,19282,19282,1207,,8474
314,2885,152,17,19434,19434,1229,,8498
315,2168,202,19,19636,19636,1237,,8506
316,1658,133,14,19769,19769,1276,,8511
317,1667,145,33,19914,19914,1341,,8517
318,2697,154,37,20068,20068,1406,,8549
319,2319,212,29,20280,20280,1453,,8561
320,2378,232,22,20512,20512,1435,,8565
321,1590,201,33,20713,20713,1446,,8599
322,1999,164,23,20877,20877,1461,,8607
323,1923,174,16,21051,21051,1527,,8608
324,2765,155,32,21206,21206,1583,,8613
325,2220,189,42,21395,21395,1578,,8648
326,2044,163,49,21558,21558,1573,,8675
327,3792,198,26,21756,21756,1594,,8751
328,3193,156,30,21912,21912,1598,,8780
329,2643,183,26,22095,22095,1576,,8785
330,2302,164,19,22259,22259,1561,,8797
331,2632,162,51,22421,22421,1653,,8801
332,2692,201,46,22622,22622,1715,,8833
333,3202,211,50,22833,22833,1720,,8878
334,2616,176,52,23009,23009,1729,,8910
335,3538,180,36,23189,23189,1719,,8938
336,2638,204,17,23393,23393,1679,,8944
337,2314,165,25,23558,23558,1742,,8951
338,2401,153,64,23711,23711,1799,,8958
339,2405,197,64,23908,23908,1762,,8966
340,2217,228,49,24136,24136,1702,,9044
341,2569,174,39,24310,24310,1686,,9064
342,2201,112,54,24422,24422,1635,,9098
343,2054,201,36,24623,24623,1662,,9114
344,2265,135,23,24758,24758,1676,,9128
345,2324,197,48,24955,24955,1717,,9128
346,2465,117,49,25072,25072,1776,,9197
347,2866,0,59,25072,25072,1760,,9197
348,2432,469,32,25541,25541,1721,,9272
349,2280,176,21,25717,25717,1685,,9272
350,1758,134,32,25851,25851,1692,,9300
351,1985,227,28,26078,26078,1738,,9300
352,1878,169,63,26247,26247,1725,,9302
353,2628,200,45,26447,26447,1756,,9302
354,2973,189,47,26636,26636,1773,,9355
355,3557,183,47,26819,26819,1734,,9358
356,2952,232,25,27051,27051,1692,,9374
357,2148,145,27,27196,27196,1709,,9378
358,2483,171,33,27367,27367,1751,,9383
359,1956,175,55,27542,27542,1771,,9388
360,3146,169,50,27711,27711,1862,,9391
361,2970,189,41,27900,27900,1834,,9404
362,3732,168,43,28068,28068,1885,,9419
363,3758,228,30,28296,28296,1877,,9427
364,3310,227,26,28523,28523,1950,,9427
365,3012,208,29,28731,28731,1957,,9431
366,2665,129,66,28860,28860,1952,,9434
367,2516,126,37,28986,28986,1929,,9439
368,2948,137,45,29123,29123,1843,,9443
369,2924,162,45,29285,29285,1848,,9444
370,3292,127,47,29412,29412,1821,,9451
371,2414,219,26,29631,29631,1823,,9454
372,1769,211,29,29842,29842,1850,,9455
373,1972,315,54,30157,30157,1875,,9456
374,2167,170,39,30327,30327,1858,,9457
375,2166,171,46,30498,30498,1812,,9459
376,2396,199,57,30697,30697,1768,,9469
377,2392,169,45,30866,30866,1717,,9471
378,2145,168,28,31034,31034,1668,,9474
379,1686,154,35,31188,31188,1669,,9476
380,1482,142,63,31330,31330,1642,,9477
381,1939,138,33,31468,31468,1647,,9479
382,2190,146,41,31614,31614,1636,,9482
