date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,0,0,0,,0
54,0,0,0,0,0,0,,0
55,0,0,0,,,,,
56,0,0,0,,,,,
57,0,0,0,,,,,
58,0,0,0,,,,,
59,0,0,0,,,,,
60,1,0,0,,,,,
61,2,0,0,,,,,
62,0,0,0,,,,,
63,0,0,0,,,,,
64,14,0,0,,,,,
65,15,0,0,,,,,
66,11,0,0,,,,,
67,10,0,0,,,,,
68,4,0,0,,,,,
69,16,0,0,,,,,
70,16,0,0,,,,,
71,18,0,0,,,,,
72,18,0,0,,,,,
73,24,0,0,,,,,7
74,6,0,0,,,,,16
75,13,0,1,,,,,24
76,43,0,0,,,,,36
77,42,0,2,,,,,41
78,22,49,0,49,49,,,41
79,28,8,2,57,57,,,68
80,41,6,2,63,63,,,80
81,32,5,0,68,68,,,94
82,56,7,2,75,75,,,113
83,24,8,1,83,83,,,140
84,14,3,0,86,86,,,156
85,29,6,0,92,92,,,158
86,20,7,2,99,99,,,176
87,18,2,2,101,101,,,187
88,23,4,2,105,105,,,202
89,26,6,1,111,111,,,246
90,30,3,2,114,114,,,256
91,17,6,0,120,120,,,266
92,65,4,0,124,124,22,,273
93,36,0,1,124,124,58,,292
94,36,2,4,126,126,48,,305
95,26,4,3,130,130,47,,333
96,31,3,2,133,133,55,,352
97,20,3,3,136,136,49,,382
98,20,0,2,136,136,46,,393
99,8,2,1,138,138,39,,414
100,13,1,1,139,139,40,,443
101,19,5,3,144,144,42,,455
102,30,6,5,150,150,42,,485
103,28,2,3,152,152,39,,499
104,25,4,3,156,156,39,,519
105,25,3,0,159,159,39,,532
106,8,2,1,161,161,39,,549
107,17,2,0,163,163,33,,585
108,16,3,1,166,166,32,,615
109,39,4,1,170,170,35,,631
110,28,7,2,177,177,37,,657
111,29,4,1,181,181,36,,689
112,33,2,1,183,183,33,,706
113,20,3,0,186,186,37,,720
114,21,1,4,187,187,36,,741
115,28,4,1,191,191,37,,766
116,76,1,0,192,192,39,,787
117,44,2,1,194,194,44,,836
118,34,4,1,198,198,43,,857
119,28,1,0,199,199,36,,861
120,26,1,1,200,200,37,,872
121,15,2,0,202,202,34,,913
122,38,2,1,204,204,41,,943
123,50,3,3,207,207,37,,958
124,38,4,0,211,211,35,,993
125,45,3,1,214,214,37,,1012
126,39,2,0,216,216,37,,1028
127,26,7,1,223,223,42,,1053
128,28,2,2,225,225,44,,1088
129,78,6,0,231,231,43,,1100
130,58,4,0,235,235,41,,1145
131,71,5,2,240,240,45,,1192
132,65,3,2,243,243,50,,1232
133,42,9,1,252,252,59,,1263
134,19,5,0,257,257,59,,1290
135,35,1,1,258,258,60,,1318
136,28,2,2,260,260,59,,1357
137,52,4,3,264,264,58,,1402
138,37,6,1,270,270,53,,1458
139,56,2,4,272,272,46,,1505
140,43,11,0,283,283,49,,1552
141,24,1,0,284,284,52,,1586
142,28,3,5,287,287,48,,1646
143,41,-2,1,285,285,44,,1699
144,28,6,0,291,291,35,,1739
145,36,2,3,293,293,35,,1797
146,42,3,0,296,296,35,,1845
147,46,2,1,298,298,34,,1864
148,18,3,0,301,301,37,,1891
149,18,1,1,302,302,29,,1992
150,31,1,0,303,303,27,,2023
151,30,5,0,308,308,29,,2062
152,54,0,0,308,308,32,,2105
153,36,5,0,313,313,29,,2152
154,36,1,0,314,314,29,,2173
155,17,3,1,317,317,31,,2189
156,9,4,0,321,321,30,,2233
157,17,2,1,323,323,27,,2275
158,42,0,0,323,323,27,,2300
159,35,5,0,328,328,26,,2323
160,25,5,0,333,333,29,,2380
161,19,3,0,336,336,26,,2391
162,14,0,0,336,336,27,,2409
163,23,3,0,339,339,24,,2443
164,23,0,1,339,339,26,,2490
165,53,4,0,343,343,25,,2512
166,32,0,0,343,343,28,,2542
167,52,2,1,345,345,24,,2566
168,37,1,0,346,346,31,,2577
169,28,1,1,347,347,31,,2623
170,34,1,0,348,348,29,,2646
171,41,3,0,351,351,29,,2671
172,34,3,0,354,354,30,,2698
173,45,4,0,358,358,27,,2731
174,24,0,2,358,358,27,,2751
175,18,1,2,359,359,25,,2772
176,8,0,0,359,359,21,,2787
177,17,1,1,360,360,22,,2816
178,20,3,0,363,363,22,,2856
179,26,2,1,365,365,16,,2901
180,13,1,0,366,366,15,,2931
181,21,2,1,368,368,16,,2972
182,19,3,2,371,371,19,,2994
183,19,1,0,372,372,18,,3008
184,8,1,0,373,373,17,,3062
185,12,0,0,373,373,12,,3079
186,20,1,0,374,374,13,,3094
187,38,1,1,375,375,12,,3114
188,10,0,2,375,375,9,,3136
189,41,0,0,375,375,10,,3148
190,24,0,0,375,375,12,,3159
191,12,2,1,377,377,12,,3191
192,0,0,0,377,377,10,,3216
193,14,1,0,378,378,12,,3239
194,20,0,0,378,378,12,,3259
195,33,1,1,379,379,11,,3281
196,24,2,0,381,381,14,,3284
197,18,2,0,383,383,13,,3292
198,6,1,2,384,384,12,,3319
199,28,1,0,385,385,11,,3336
200,22,1,1,386,386,11,,3345
201,24,2,1,388,388,12,,3361
202,25,0,0,388,388,10,,3377
203,21,0,0,388,388,12,,3387
204,12,1,1,389,389,12,,3396
205,5,-1,-1,388,388,12,,3424
206,17,2,1,390,390,10,,3456
207,5,0,0,390,390,11,,3475
208,17,3,0,393,393,10,,3479
209,12,0,1,393,393,9,,3504
210,16,0,0,393,393,9,,3512
211,7,0,0,393,393,8,,3537
212,1,1,1,394,394,9,,3560
213,20,0,0,394,394,9,,3579
214,19,1,0,395,395,11,,3592
215,26,4,0,399,399,6,,3604
216,29,0,1,399,399,5,,3616
217,24,1,0,400,400,9,,3624
218,29,-1,0,399,399,10,,3638
219,16,2,0,401,401,10,,3649
220,21,2,0,403,403,9,,3662
221,19,2,1,405,405,7,,3679
222,32,2,1,407,407,7,,3698
223,32,0,1,407,407,4,,3718
224,18,1,1,408,408,4,,3734
225,21,1,0,409,409,6,,3762
226,12,1,0,410,410,8,,3784
227,21,2,1,412,412,8,,3818
228,25,3,0,415,415,9,,3847
229,22,2,0,417,417,10,,3887
230,53,1,0,418,418,8,,3899
231,23,2,0,420,420,7,,3910
232,14,0,0,420,420,6,,3923
233,22,1,0,421,421,9,,3945
234,19,2,1,423,423,11,,3978
235,50,1,0,424,424,9,,3988
236,15,-1,1,423,423,9,,4006
237,35,1,0,424,424,5,,4037
238,15,0,0,424,424,6,,4049
239,19,3,0,427,427,8,,4076
240,12,2,0,429,429,7,,4086
241,21,0,0,429,429,9,,4135
242,26,2,0,431,431,11,,4153
243,32,1,0,432,432,10,,4191
244,42,-1,1,431,431,10,,4211
245,29,0,1,431,431,11,,4226
246,40,0,0,431,431,9,,4237
247,15,1,1,432,432,10,,4280
248,23,1,1,433,433,10,,4307
249,21,3,0,436,436,12,,4317
250,43,1,0,437,437,11,,4335
251,30,2,1,439,439,14,,4346
252,44,0,0,439,439,16,,4364
253,27,1,1,440,440,17,,4384
254,40,2,0,442,442,17,,4407
255,25,-1,0,441,441,14,,4445
256,44,1,0,442,442,14,,4478
257,20,0,0,442,442,10,,4507
258,25,1,0,443,443,8,,4538
259,28,2,0,445,445,11,,4567
260,12,1,0,446,446,8,,4599
261,37,1,1,447,447,8,,4629
262,54,2,0,449,449,13,,4678
263,40,2,1,451,451,12,,4704
264,37,1,0,452,452,11,,4741
265,18,2,0,454,454,11,,4763
266,33,0,0,454,454,11,,4782
267,26,0,0,454,454,10,,4807
268,20,3,0,457,457,7,,4839
269,39,2,0,459,459,9,,4880
270,35,0,0,459,459,7,,4900
271,27,1,1,460,460,7,,4933
272,30,2,0,462,462,7,,4951
273,27,1,0,463,463,7,,4970
274,29,0,0,463,463,7,,4998
275,28,0,0,463,463,8,,5006
276,36,0,0,463,463,8,,5052
277,20,1,1,464,464,11,,5070
278,29,2,1,466,466,11,,5099
279,48,1,1,467,467,11,,5112
280,26,1,0,468,468,11,,5145
281,23,1,0,469,469,8,,5175
282,27,0,0,469,469,9,,5206
283,38,1,0,470,470,7,,5244
284,37,3,0,473,473,7,,5269
285,31,0,0,473,473,8,,5307
286,42,0,0,473,473,8,,5317
287,64,2,0,475,475,8,,5334
288,53,2,0,477,477,13,,5363
289,57,2,0,479,479,12,,5399
290,76,5,0,484,484,16,,5441
291,80,-1,0,483,483,15,,5462
292,103,3,0,486,486,17,,5495
293,98,0,1,486,486,17,,5517
294,47,2,0,488,488,17,,5554
295,84,7,1,495,495,29,,5588
296,127,7,0,502,502,31,,5632
297,151,5,2,507,507,36,,5686
298,183,3,0,510,510,38,,5751
299,184,3,0,513,513,37,,5830
300,159,10,2,523,523,42,,5906
301,90,2,0,525,525,48,,5935
302,195,7,1,532,532,49,,6036
303,172,6,3,538,538,49,,6100
304,142,7,2,545,545,49,,6226
305,193,8,1,553,553,62,,6292
306,244,13,3,566,566,66,,6428
307,152,6,1,572,572,67,,6597
308,153,2,2,574,574,67,,6681
309,173,3,0,577,577,69,,6830
310,246,12,1,589,589,73,,7025
311,156,11,4,600,600,85,,7229
312,215,13,1,613,613,88,,7403
313,224,15,2,628,628,90,,7590
314,165,8,1,636,636,86,,7713
315,236,6,2,642,642,94,,7791
316,185,5,1,647,647,103,,7986
317,255,15,12,662,662,105,,8232
318,228,16,1,678,678,105,,8592
319,238,9,0,687,687,105,,8791
320,0,0,0,687,687,119,,8800
321,23,2,1,689,689,125,,8822
322,220,3,0,692,692,125,,8952
323,249,7,3,699,699,139,,9098
324,219,10,20,709,709,139,,9364
325,232,16,4,725,725,138,,9564
326,346,15,2,740,740,138,,9733
327,290,11,4,751,751,164,,9877
328,283,9,3,760,760,164,,9993
329,221,8,0,768,768,164,,10080
330,427,13,0,781,781,170,,10146
331,274,22,12,803,803,170,,10247
332,405,16,7,819,819,173,,10338
333,407,15,0,834,834,172,,10394
334,345,21,4,855,855,182,,10444
335,414,16,7,871,871,182,,10477
336,303,7,0,878,878,175,,10491
337,426,15,2,893,893,198,,10548
338,411,16,6,909,909,195,,10614
339,551,25,2,934,934,187,,10650
340,590,24,9,958,958,191,,10688
341,436,7,5,965,965,191,,10744
342,402,6,11,971,971,191,,10766
343,207,8,0,979,979,162,,10794
344,339,1,1,980,980,170,,10837
345,458,5,10,985,985,185,,10884
346,748,15,8,1000,1000,187,,11039
347,735,15,6,1015,1015,187,,11078
348,321,5,2,1020,1020,187,,11107
349,0,0,0,1020,1020,183,,11108
350,333,4,4,1024,1024,183,,11150
351,439,8,3,1032,1032,181,,11184
352,590,9,7,1041,1041,181,,11248
353,590,-2,1,1039,1039,177,,11326
354,702,26,13,1065,1065,177,,11374
355,0,0,0,1065,1065,182,,11374
356,1044,26,11,1091,1091,188,,11438
357,347,8,1,1099,1099,180,,11465
358,376,8,1,1107,1107,180,,11548
359,597,10,9,1117,1117,191,,11582
360,525,7,3,1124,1124,191,,11607
361,535,11,13,1135,1135,202,,11658
362,782,15,41,1150,1150,205,,11690
363,612,8,6,1158,1158,205,,11728
364,279,0,0,1158,1158,191,,11735
365,313,13,6,1171,1171,190,,11752
366,715,18,11,1189,1189,203,,11768
367,824,12,4,1201,1201,207,,11809
368,808,16,8,1217,1217,193,,11840
369,823,11,16,1228,1228,193,,11876
370,438,14,30,1242,1242,194,,11952
371,340,2,4,1244,1244,205,,11989
372,317,10,3,1254,1254,194,,12039
373,386,15,5,1269,1269,191,,12071
374,701,18,11,1287,1287,198,,12102
375,675,7,6,1294,1294,182,,12128
376,636,15,4,1309,1309,190,,12187
377,324,13,4,1322,1322,185,,12225
378,0,0,0,1322,1322,189,,12225
379,448,20,3,1342,1342,193,,12245
380,662,15,11,1357,1357,194,,12275
381,462,9,4,1366,1366,183,,12316
382,284,9,5,1375,1375,171,,12337
383,359,6,3,1381,1381,176,,12379
384,355,5,20,1386,1386,161,,12398
385,156,4,0,1390,1390,160,,12409
386,219,4,5,1394,1394,164,,12422
387,417,9,23,1403,1403,157,,12440
388,273,7,9,1410,1410,158,,12467
389,301,10,3,1420,1420,145,,12481
390,265,11,2,1431,1431,131,,12498
391,265,5,2,1436,1436,132,,12521
392,154,6,1,1442,1442,123,,12526
393,201,3,1,1445,1445,123,,12535
394,211,5,3,1450,1450,117,,12568
395,253,8,2,1458,1458,112,,12582
396,175,6,0,1464,1464,100,,12588
397,201,5,2,1469,1469,102,,12619
398,160,7,4,1476,1476,100,,12641
399,110,8,2,1484,1484,101,,12645
400,148,0,0,1484,1484,94,,12656
401,91,3,2,1487,1487,92,,12663
402,104,3,3,1490,1490,91,,12693
403,218,5,1,1495,1495,89,,12728
404,134,8,1,1503,1503,87,,12755
405,143,2,2,1505,1505,75,,12759
406,130,1,0,1506,1506,75,,12761
407,97,2,0,1508,1508,72,,12766
408,142,3,2,1511,1511,67,,12772
409,164,4,17,1515,1515,74,,12779
410,217,6,24,1521,1521,67,,12786
411,178,-2,0,1519,1519,68,,12794
412,197,6,1,1525,1525,74,,12798
413,142,2,1,1527,1527,72,,12800
414,128,2,0,1529,1529,62,,12805
415,182,7,0,1536,1536,69,,12811
416,147,9,2,1545,1545,67,,12820
417,136,4,0,1549,1549,69,,12827
418,225,11,-1,1560,1560,74,,12833
419,183,6,0,1566,1566,74,,12838
420,159,4,2,1570,1570,67,,12840
