date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,,,,,
50,13,0,0,,,,,
51,23,0,0,,,,,
52,24,0,0,,,,,
53,26,0,0,,,,,
54,40,0,0,,,,,
55,48,0,0,,,,,
56,63,0,0,,,,,
57,121,0,0,,,,,
58,156,0,0,,,,,
59,199,0,0,,,,,
60,270,0,1,,,,,
61,364,0,0,,,,,
62,367,0,0,,,,,
63,460,0,0,,,,,
64,707,0,1,,,,,
65,764,0,0,,,,,
66,872,0,3,,,,,
67,745,0,5,,,,,
68,943,0,3,,,,,
69,804,0,10,,,,,
70,799,0,13,,,,,
71,1240,0,21,,,,,
72,1093,0,29,,,,,
73,1180,0,25,,,,,
74,1140,0,48,,,,,
75,1324,0,53,,,,,
76,1066,0,71,,,,,
77,919,0,68,,,,,
78,1579,0,86,,,,,
79,1291,0,114,,,,,
80,1592,0,125,,,,,
81,1130,0,125,,,,,
82,1203,0,117,,,,,56
83,1002,0,112,,,,,56
84,877,0,120,,,,,56
85,1327,0,141,,,,,56
86,1179,0,158,,,,,56
87,1100,0,151,,,,,56
88,1032,0,156,,,3826,,56
89,1076,0,161,,,3823,,56
90,808,0,164,,,3636,,595
91,686,0,168,,,3636,,433
92,1036,0,142,,,3986,,447
93,911,0,141,,,3910,,452
94,920,0,140,,,3918,,452
95,922,0,169,,,3809,,617
96,865,0,143,,,3674,,629
97,709,0,123,,,3634,,3237
98,528,0,129,,,3403,,3237
99,937,0,111,,,3374,,3237
100,1095,0,124,,,3357,,3237
101,1116,0,131,,,3305,,3237
102,989,0,109,,,3611,,3237
103,1036,0,107,,,3022,,3237
104,533,0,111,,,2889,,8342
105,526,0,107,,,2757,,8342
106,920,0,112,,,2667,,8342
107,829,0,99,,,2623,,8342
108,950,0,88,,,2498,,8342
109,1017,0,99,,,2319,,8342
110,735,0,86,,,2319,,8342
111,432,0,59,,,2100,,15659
112,357,0,62,,,2100,,15659
113,780,0,81,,,1948,,15659
114,688,0,59,,,1948,,15659
115,634,0,58,,,1818,,15659
116,600,0,86,,,1697,,15659
117,618,0,62,,,1637,,15659
118,383,0,49,,,1531,,22686
119,301,0,45,,,1437,,22686
120,971,0,58,,,1424,,22686
121,1637,0,49,,,1384,,22686
122,817,0,44,,,1384,,22686
123,578,0,46,,,1330,,22686
124,651,0,47,,,1256,,22686
125,336,0,32,,,1256,,28234
126,255,0,39,,,1114,,28234
127,534,0,31,,,1075,,28234
128,764,0,43,,,1079,,28234
129,575,0,44,,,1066,,28234
130,459,0,41,,,1054,,28234
131,465,0,31,,,955,,28234
132,218,0,26,,,953,,33168
133,164,0,28,,,953,,33168
134,175,0,38,,,953,,33168
135,443,0,25,,,953,,33168
136,386,0,24,,,882,,33168
137,336,0,24,,,860,,33168
138,319,0,27,,,774,,33168
139,205,0,24,,,774,,38099
140,247,0,16,,,774,,38099
141,245,0,25,,,674,,38099
142,290,0,26,,,674,,38099
143,279,0,15,,,646,,38099
144,234,0,17,,,617,,38099
145,205,0,8,,,617,,38099
146,93,0,7,,,864,,42041
147,55,0,11,,,864,,42041
148,135,0,15,,,661,,42041
149,63,0,9,,,661,,42041
150,15,0,1,,,661,,42041
151,267,0,33,,,661,,42041
152,223,0,5,,,636,,42041
153,164,0,23,,,636,,44964
154,218,0,3,,,636,,44964
155,31,0,1,,,562,,44964
156,184,0,17,,,562,,44964
157,228,0,2,,,562,,44964
158,301,0,25,,,557,,44964
159,299,0,6,,,557,,44964
160,448,0,20,,,557,,49290
161,166,0,3,,,557,,49290
162,246,0,7,,,557,,49290
163,240,0,12,,,557,,49290
164,358,0,5,,,557,,49290
165,434,0,19,,,557,,49290
166,340,0,1,,,557,,49290
167,350,0,19,,,557,,51099
168,267,0,5,,,557,,51099
169,277,0,3,,,557,,51099
170,505,0,32,,,471,,51099
171,361,0,5,,,471,,51099
172,589,0,14,,,548,,51099
173,497,0,3,,,548,,51099
174,406,0,3,,,548,,52841
175,360,0,0,,,548,,52841
176,328,0,3,,,505,,52841
177,631,0,30,,,505,,52841
178,651,0,11,,,505,,52841
179,512,0,9,,,505,,52841
180,622,0,14,,,505,,52841
181,685,0,28,,,505,,53867
182,406,0,1,,,505,,53867
183,422,0,7,,,543,,53867
184,666,0,5,,,543,,53867
185,1049,0,4,,,543,,53867
186,926,0,18,,,680,,53867
187,754,0,7,,,680,,53867
188,745,0,9,,,680,,55162
189,530,0,2,,,680,,55162
190,527,0,7,,,680,,55162
191,664,0,9,,,680,,55162
192,671,0,6,,,680,,55162
193,701,0,7,,,680,,55162
194,641,0,5,,,751,,55162
195,0,0,0,,,751,,55162
196,1589,0,0,,,680,,57502
197,512,0,5,,,670,,57502
198,785,0,16,,,670,,57502
199,1016,0,1,,,670,,57502
200,807,0,21,,,727,,57502
201,793,0,7,,,727,,57502
202,758,0,7,,,727,,60022
203,429,0,0,,,727,,60022
204,613,0,6,,,694,,60022
205,801,0,8,,,694,,60022
206,718,0,7,,,694,,60022
207,763,0,28,,,694,,60022
208,814,0,18,,,694,,60022
209,721,0,-4,,,694,,63636
210,535,0,-1,,,694,,63636
211,580,0,7,,,640,,63636
212,907,0,7,,,640,,63636
213,476,0,6,,,640,,63636
214,1167,0,16,,,713,,63636
215,868,0,11,,,713,,63636
216,1058,0,20,,,713,,67778
217,477,0,6,,,713,,67778
218,490,0,0,,,653,,67778
219,654,0,16,,,653,,67778
220,688,0,10,,,653,,67778
221,527,0,16,,,646,,67778
222,0,0,0,,,646,,67778
223,1426,0,21,,,646,,72580
224,764,0,4,,,646,,72580
225,878,0,4,,,637,,72580
226,951,0,21,,,637,,72580
227,843,0,6,,,637,,72580
228,863,0,16,,,669,,72580
229,793,0,6,,,669,,72580
230,0,0,0,,,669,,76151
231,1390,0,36,,,669,,76151
232,499,0,5,,,629,,76151
233,795,0,14,,,629,,76151
234,648,0,14,,,629,,76151
235,774,0,10,,,616,,76151
236,1053,0,7,,,616,,76151
237,896,0,8,,,616,,80678
238,0,0,0,,,616,,80678
239,1212,0,4,,,616,,80678
240,499,0,1,,,616,,80678
241,961,0,76,,,616,,80678
242,983,0,7,,,627,,80678
243,1405,0,6,,,627,,80678
244,807,0,11,,,627,,85513
245,0,0,0,,,627,,85513
246,1229,0,10,,,590,,85513
247,682,0,11,,,590,,85513
248,773,0,11,,,590,,85513
249,980,0,12,,,590,,85513
250,778,0,-1,,,557,,85513
251,587,0,15,,,557,,90216
252,0,0,0,,,557,,90216
253,1575,0,12,,,501,,90216
254,695,0,16,,,501,,90216
255,902,0,16,,,501,,90216
256,1078,0,6,,,558,,90216
257,1040,0,8,,,558,,90216
258,996,0,17,,,558,,95051
259,0,0,0,,,558,,95051
260,1329,0,7,,,557,,95051
261,1118,0,21,,,557,,95051
262,1194,0,11,,,557,,95051
263,998,0,19,,,678,,95051
264,984,0,8,,,678,,95051
265,1275,0,14,,,678,,99521
266,0,0,0,,,678,,99521
267,1455,0,15,,,678,,99521
268,1152,0,22,,,678,,99521
269,1214,0,8,,,687,,99521
270,1401,0,24,,,862,,99521
271,1323,0,7,,,862,,99521
272,1648,0,19,,,862,,104271
273,0,0,0,,,862,,104271
274,1932,0,6,,,899,,104271
275,1466,0,30,,,899,,104271
276,1593,0,13,,,899,,104271
277,2458,0,34,,,1000,,104271
278,2206,0,15,,,1000,,104271
279,0,0,0,,,1000,,109539
280,0,0,0,,,1000,,109539
281,5004,0,46,,,1050,,109539
282,1871,0,20,,,1050,,109539
283,1878,0,35,,,1050,,109539
284,2204,0,46,,,1182,,109539
285,2046,0,20,,,1182,,109539
286,3490,0,38,,,1182,,114939
287,0,0,0,,,1182,,114939
288,4057,0,30,,,1332,,114939
289,2675,0,33,,,1332,,114939
290,3590,0,21,,,1332,,114939
291,4109,0,47,,,1332,,114939
292,3345,0,12,,,1728,,114939
293,4018,0,34,,,1728,,121093
294,0,0,0,,,1728,,121093
295,6920,0,17,,,1966,,121093
296,3437,0,45,,,2059,,121093
297,4397,0,21,,,2215,,121093
298,6103,0,51,,,2280,,121093
299,4246,0,47,,,2425,,121093
300,6494,0,65,,,2425,,128981
301,0,0,0,,,2425,,128981
302,9305,0,63,,,2815,,128981
303,6944,0,86,,,2959,,128981
304,6620,0,42,,,3093,,128981
305,7311,0,49,,,3209,,128981
306,9179,0,123,,,3241,,128981
307,7430,0,68,,,3241,,138862
308,0,0,0,,,3241,,138862
309,13162,0,55,,,3580,,138862
310,7886,0,80,,,3752,,138862
311,6218,0,62,,,3792,,138862
312,7983,0,144,,,3824,,138862
313,10140,0,57,,,3887,,138862
314,7840,0,101,,,3887,,152267
315,0,0,0,,,3887,,152267
316,11943,0,65,,,4047,,152267
317,6782,0,154,,,4087,,152267
318,4687,0,76,,,4063,,152267
319,0,0,0,,,4063,,152267
320,17368,0,187,,,4097,,152267
321,8351,0,110,,,4097,,165269
322,0,0,0,,,4097,,165269
323,10790,0,97,,,4326,,165269
324,6511,0,195,,,4310,,165269
325,7433,0,83,,,4266,,165269
326,7957,0,193,,,4175,,165269
327,9425,0,82,,,4141,,165269
328,6308,0,204,,,4141,,197750
329,0,0,0,,,4141,,197750
330,9824,0,101,,,4122,,197750
331,6676,0,203,,,4091,,197750
332,5342,0,81,,,3925,,197750
333,6302,0,194,,,3893,,197750
334,5626,0,65,,,3893,,197750
335,4813,0,230,,,3893,,236369
336,0,0,0,,,3893,,236369
337,7621,0,94,,,3802,,236369
338,5391,0,206,,,3674,,236369
339,4644,0,93,,,3571,,236369
340,4541,0,213,,,3395,,236369
341,4519,0,67,,,3284,,236369
342,4181,0,206,,,3284,,284731
343,0,0,0,,,3284,,284731
344,5059,0,79,,,3179,,284731
345,3514,0,189,,,3156,,284731
346,3820,0,73,,,3108,,284731
347,0,0,0,,,3108,,284731
348,0,0,0,,,3108,,284731
349,7877,0,275,,,3108,,318389
350,0,0,0,,,3108,,318389
351,3550,0,64,,,2811,,318389
352,3963,0,212,,,2906,,318389
353,4782,0,52,,,2758,,318389
354,0,0,0,,,2758,,318389
355,0,0,0,,,2758,,318389
356,9500,0,288,,,2758,,363611
357,0,0,0,,,2758,,363611
358,5490,0,85,,,2698,,363611
359,3031,0,217,,,2758,,363611
360,4856,0,59,,,2657,,363611
361,4249,0,206,,,2578,,363611
362,3908,0,40,,,2480,,363611
363,2898,0,232,,,2480,,415079
364,0,0,0,,,2480,,415079
365,5129,0,47,,,2396,,415079
366,2468,0,104,,,2443,,415079
367,3128,0,40,,,2246,,415079
368,3295,0,175,,,2238,,415079
369,3001,0,39,,,2222,,415079
370,2211,0,119,,,2222,,442408
371,0,0,0,,,2222,,442408
372,3343,0,17,,,2140,,442408
373,2320,0,49,,,2055,,442408
374,2421,0,35,,,2077,,442408
375,2513,0,163,,,1907,,442408
376,2538,0,18,,,1843,,442408
377,1826,0,230,,,1843,,463106
378,0,0,0,,,1843,,463106
379,3347,0,38,,,1668,,463106
380,2075,0,86,,,1638,,463106
381,2065,0,9,,,1594,,463106
382,2255,0,88,,,1536,,463106
383,2139,0,8,,,1479,,463106
384,1511,0,115,,,1479,,481801
385,0,0,0,,,1479,,481801
386,2572,0,11,,,1409,,481801
387,1433,0,73,,,1404,,481801
388,1717,0,35,,,1376,,481801
389,1885,0,81,,,1376,,481801
390,1754,0,25,,,1296,,481801
391,1186,0,104,,,1296,,498495
392,0,0,0,,,1296,,498495
393,2128,0,9,,,1211,,498495
394,918,0,62,,,1175,,498495
395,1239,0,14,,,1175,,498495
396,1507,0,80,,,1061,,498495
397,1535,0,8,,,1024,,498495
398,944,0,92,,,1024,,517991
399,0,0,0,,,1024,,517991
400,1452,0,11,,,957,,517991
401,1124,0,19,,,939,,517991
402,1240,0,11,,,929,,517991
403,1201,0,91,,,877,,517991
404,1473,0,23,,,860,,517991
405,823,0,68,,,860,,529080
406,0,0,0,,,860,,529080
407,1659,0,1,,,841,,529080
408,1784,0,37,,,891,,529080
409,1558,0,9,,,855,,529080
410,1598,0,47,,,821,,529080
411,1257,0,2,,,841,,529080
412,1425,0,70,,,841,,541258
413,0,0,0,,,841,,541258
414,1865,0,11,,,893,,541258
415,1642,0,25,,,959,,541258
416,1705,0,6,,,882,,541258
417,1827,0,39,,,890,,541258
418,1791,0,12,,,866,,541258
419,1692,0,57,,,866,,549881
420,0,0,0,,,866,,549881
