date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,0,0,0,,0
54,0,0,0,,,,,
55,1,0,0,,,,,
56,0,0,0,,,,,
57,3,0,0,,,,,
58,6,0,0,,,,,
59,10,0,0,,,,,
60,22,0,0,,,,,
61,19,0,0,,,,,
62,28,0,0,,,,,
63,38,0,0,,,,,
64,51,0,0,,,,,
65,67,0,0,,,,,
66,23,0,0,,,,,
67,18,0,0,,,,,
68,16,0,0,,,,,
69,24,0,1,,,,,
70,22,12,0,12,12,,,
71,44,5,0,17,17,,,
72,51,4,0,21,21,,,
73,58,14,0,35,35,26,,121
74,63,6,1,41,41,31,,
75,75,10,2,51,51,34,,176
76,47,6,1,57,57,30,,215
77,38,18,4,75,75,39,,243
78,98,17,1,92,92,56,,
79,93,20,2,112,112,56,,
80,57,10,5,122,122,54,,
81,83,16,1,138,138,75,,
82,63,18,4,156,156,86,,
83,39,24,2,180,180,95,,416
84,59,22,5,202,202,106,,422
85,113,21,1,223,223,115,,440
86,102,19,4,242,242,120,,515
87,102,29,5,271,271,135,,593
88,103,22,11,293,293,145,,625
89,95,24,7,317,317,143,,675
90,74,23,7,340,340,145,,729
91,58,21,6,361,361,157,,772
92,148,0,0,361,361,157,,772
93,153,44,9,405,405,177,,830
94,156,40,8,445,445,197,,853
95,165,30,7,475,475,213,,926
96,182,43,17,518,518,223,,955
97,120,43,10,561,561,239,,997
98,126,13,13,574,574,228,,1026
99,276,28,9,602,602,237,,1059
100,262,27,17,629,629,237,,1094
101,306,31,19,660,660,240,,1138
102,512,52,21,712,712,268,,1336
103,518,44,21,756,756,278,,1373
104,339,41,23,797,797,288,,1410
105,385,32,28,829,829,285,,1502
106,675,32,14,861,861,292,,1556
107,601,51,15,912,912,314,,1611
108,680,38,18,950,950,320,,1724
109,648,94,24,1044,1044,365,,1829
110,620,52,28,1096,1096,369,,1911
111,335,63,24,1159,1159,389,,2002
112,340,40,24,1199,1199,373,,2596
113,824,72,9,1271,1271,396,,3784
114,641,79,27,1350,1350,434,,4159
115,634,55,30,1405,1405,443,,4520
116,818,54,23,1459,1459,435,,4800
117,712,90,26,1549,1549,473,,5163
118,281,63,24,1612,1612,476,,5764
119,231,45,20,1657,1657,434,,6304
120,827,59,13,1716,1716,452,,6945
121,664,83,23,1799,1799,496,,7609
122,729,52,24,1851,1851,494,,8149
123,793,64,25,1915,1915,498,,8473
124,798,70,29,1985,1985,498,,8820
125,342,54,17,2039,2039,493,,9571
126,311,51,22,2090,2090,487,,10175
127,971,38,9,2128,2128,488,,10764
128,855,93,17,2221,2221,545,,11540
129,767,87,29,2308,2308,550,,12227
130,973,72,32,2380,2380,566,,12488
131,792,52,33,2432,2432,534,,12696
132,391,102,10,2534,2534,568,,13485
133,356,54,17,2588,2588,553,,14115
134,403,88,12,2676,2676,605,,14816
135,784,33,18,2709,2709,570,,15523
136,680,87,34,2796,2796,598,,16314
137,571,84,35,2880,2880,606,,16655
138,454,56,29,2936,2936,592,,16930
139,168,75,30,3011,3011,589,,17864
140,141,36,14,3047,3047,555,,18695
141,575,39,10,3086,3086,549,,19441
142,479,48,22,3134,3134,537,,20381
143,513,69,15,3203,3203,537,,21169
144,401,50,29,3253,3253,512,,21490
145,398,36,33,3289,3289,478,,21864
146,165,47,22,3336,3336,473,,22253
147,135,31,16,3367,3367,450,,22992
148,448,34,11,3401,3401,452,,23657
149,430,40,20,3441,3441,455,,24221
150,333,41,39,3482,3482,427,,24675
151,219,40,13,3522,3522,411,,24870
152,45,35,25,3557,3557,403,,25028
153,2,24,9,3581,3581,390,,25620
154,6,29,15,3610,3610,369,,26090
155,222,20,6,3630,3630,353,,26609
156,189,28,9,3658,3658,357,,27006
157,414,31,13,3689,3689,351,,27404
158,379,29,19,3718,3718,345,,27566
159,356,30,17,3748,3748,339,,27709
160,436,19,11,3767,3767,324,,28205
161,453,30,8,3797,3797,322,,28663
162,307,33,4,3830,3830,332,,29065
163,242,30,9,3860,3860,339,,29399
164,294,37,7,3897,3897,340,,29707
165,360,46,9,3943,3943,336,,29854
166,493,23,5,3966,3966,335,,30008
167,417,20,6,3986,3986,300,,30401
168,516,24,8,4010,4010,288,,30809
169,312,21,10,4031,4031,278,,31225
170,442,23,6,4054,4054,270,,31601
171,413,27,6,4081,4081,260,,31947
172,494,31,13,4112,4112,274,,32163
173,414,27,8,4139,4139,270,,32347
174,0,0,0,4139,4139,270,,32347
175,512,31,5,4170,4170,253,,33408
176,433,49,3,4219,4219,258,,33907
177,564,33,3,4252,4252,267,,34377
178,456,20,9,4272,4272,265,,34902
179,574,33,5,4305,4305,251,,35193
180,604,24,5,4329,4329,227,,35442
181,804,37,4,4366,4366,241,,36012
182,710,33,3,4399,4399,251,,36582
183,491,25,2,4424,4424,247,,37199
184,398,28,6,4452,4452,236,,37749
185,572,43,10,4495,4495,254,,38179
186,605,31,8,4526,4526,249,,38290
187,666,37,7,4563,4563,252,,38568
188,457,39,5,4602,4602,265,,39310
189,734,25,3,4627,4627,258,,40001
190,903,51,4,4678,4678,247,,40742
191,350,45,3,4723,4723,266,,41511
192,504,48,4,4771,4771,273,,42234
193,760,47,9,4818,4818,282,,42524
194,767,34,5,4852,4852,278,,42882
195,803,37,5,4889,4889,287,,43625
196,862,31,3,4920,4920,273,,44431
197,650,41,2,4961,4961,257,,45198
198,478,67,4,5028,5028,294,,45987
199,666,49,9,5077,5077,310,,46636
200,745,35,5,5112,5112,298,,46965
201,771,43,6,5155,5155,312,,47289
202,725,53,6,5208,5208,317,,48119
203,759,33,8,5241,5241,302,,48847
204,613,57,2,5298,5298,302,,49565
205,602,48,4,5346,5346,328,,50426
206,617,27,10,5373,5373,305,,51223
207,861,48,7,5421,5421,319,,51604
208,545,37,4,5458,5458,300,,51940
209,916,48,8,5506,5506,309,,52768
210,797,49,9,5555,5555,312,,53568
211,618,51,3,5606,5606,320,,54364
212,323,55,6,5661,5661,337,,55151
213,464,50,17,5711,5711,335,,55855
214,690,31,7,5742,5742,308,,56346
215,730,41,8,5783,5783,313,,56659
216,690,39,6,5822,5822,307,,57457
217,739,29,7,5851,5851,290,,58196
218,564,35,6,5886,5886,286,,58859
219,345,46,9,5932,5932,304,,59568
220,557,56,17,5988,5988,321,,60242
221,690,31,7,6019,6019,309,,60605
222,825,45,8,6064,6064,296,,60920
223,734,49,8,6113,6113,316,,61698
224,717,38,6,6151,6151,301,,62373
225,714,44,4,6195,6195,310,,63059
226,409,43,8,6238,6238,312,,63725
227,529,36,17,6274,6274,304,,64374
228,1154,52,13,6326,6326,305,,64876
229,850,31,4,6357,6357,301,,65204
230,1017,54,4,6411,6411,313,,66107
231,932,43,2,6454,6454,315,,66916
232,675,26,1,6480,6480,306,,67656
233,491,40,6,6520,6520,294,,68488
234,730,46,10,6566,6566,297,,69521
235,1038,26,7,6592,6592,272,,70175
236,843,43,10,6635,6635,274,,70537
237,914,41,4,6676,6676,279,,71507
238,707,43,6,6719,6719,284,,72463
239,638,24,3,6743,6743,275,,73403
240,383,17,2,6760,6760,257,,74235
241,260,32,7,6792,6792,263,,75055
242,381,38,15,6830,6830,257,,75425
243,467,33,13,6863,6863,253,,75757
244,872,36,9,6899,6899,247,,76650
245,723,32,13,6931,6931,241,,77461
246,638,23,3,6954,6954,233,,78238
247,402,25,5,6979,6979,238,,78953
248,462,40,6,7019,7019,244,,79583
249,909,31,9,7050,7050,242,,79878
250,1085,41,8,7091,7091,250,,80221
251,914,33,13,7124,7124,241,,80407
252,1296,39,2,7163,7163,248,,81336
253,925,36,4,7199,7199,255,,82174
254,480,54,10,7253,7253,290,,82833
255,678,50,6,7303,7303,303,,83507
256,912,32,3,7335,7335,303,,83862
257,1177,56,6,7391,7391,303,,84256
258,1470,52,10,7443,7443,340,,85259
259,1075,50,4,7493,7493,340,,86252
260,904,53,7,7546,7546,340,,87330
261,809,87,5,7633,7633,340,,88380
262,687,68,17,7701,7701,340,,89392
263,1066,57,13,7758,7758,340,,89980
264,1166,35,10,7793,7793,340,,90492
265,1421,53,14,7846,7846,,,91844
266,1039,41,7,7887,7887,,,93148
267,973,53,3,7940,7940,367,,94416
268,941,80,4,8020,8020,367,,95614
269,911,69,14,8089,8089,367,,96616
270,1271,98,6,8187,8187,457,,97254
271,1390,64,14,8251,8251,471,,97715
272,1516,51,10,8302,8302,471,,99054
273,1440,52,10,8354,8354,471,,100171
274,1171,67,3,8421,8421,446,,101376
275,1135,79,7,8500,8500,481,,102624
276,1369,85,-24,8585,8585,487,,103830
277,1163,67,19,8652,8652,445,,104547
278,2290,66,13,8718,8718,484,,105120
279,1694,83,5,8801,8801,484,,106774
280,1722,65,17,8866,8866,484,,108316
281,1627,50,5,8916,8916,532,,109963
282,1092,126,7,9042,9042,567,,111634
283,1060,105,35,9147,9147,588,,113158
284,1561,79,20,9226,9226,584,,113976
285,1711,112,13,9338,9338,584,,114679
286,2259,106,14,9444,9444,584,,116693
287,1680,67,21,9511,9511,584,,118485
288,1570,77,4,9588,9588,614,,120421
289,2164,141,15,9729,9729,658,,122100
290,1908,126,19,9855,9855,680,,123529
291,2867,136,32,9991,9991,867,,124379
292,3154,128,18,10119,10119,738,,125052
293,3007,151,20,10270,10270,738,,127362
294,2200,64,18,10334,10334,738,,129663
295,2948,103,9,10437,10437,774,,132125
296,3476,210,15,10647,10647,852,,134227
297,3827,202,31,10849,10849,908,,136457
298,3942,167,25,11016,11016,931,,137824
299,5442,177,36,11193,11193,1038,,139190
300,4647,201,34,11394,11394,1038,,142800
301,5908,133,31,11527,11527,1038,,146311
302,3926,144,19,11671,11671,1084,,149766
303,4893,262,23,11933,11933,1224,,153347
304,4889,218,56,12151,12151,1299,,157164
305,7225,292,39,12443,12443,1329,,159467
306,5544,201,46,12644,12644,1424,,161756
307,8689,271,35,12915,12915,1424,,167234
308,7553,159,31,13074,13074,1424,,172873
309,7437,177,12,13251,13251,1558,,179614
310,5931,343,26,13594,13594,1669,,186680
311,5094,298,67,13892,13892,1706,,193869
312,7863,279,72,14171,14171,1751,,198365
313,6794,291,68,14462,14462,1784,,202432
314,6252,283,51,14745,14745,1784,,211513
315,7205,184,40,14929,14929,1784,,219720
316,6343,177,24,15106,15106,1778,,227311
317,6416,338,38,15444,15444,1828,,233847
318,6387,322,72,15766,15766,1812,,240720
319,0,0,0,15766,15766,1812,,240720
320,5698,277,101,16043,16043,1785,,244982
321,9022,380,45,16423,16423,1785,,257485
322,8946,220,57,16643,16643,1785,,265223
323,5794,148,15,16791,16791,1840,,272608
324,3549,320,22,17111,17111,1840,,279540
325,5165,267,77,17378,17378,1704,,286219
326,6149,245,92,17623,17623,1770,,290019
327,5347,205,61,17828,17828,1679,,293151
328,6308,231,75,18059,18059,1679,,301081
329,5581,174,64,18233,18233,1679,,308218
330,5290,125,21,18358,18358,1567,,314138
331,3051,236,22,18594,18594,1604,,314957
332,4516,215,82,18809,18809,1545,,320233
333,3499,220,89,19029,19029,1542,,324304
334,3750,222,94,19251,19251,1461,,327509
335,4430,177,67,19428,19428,1461,,335258
336,3425,108,85,19536,19536,1461,,341530
337,3018,102,18,19638,19638,1283,,347077
338,2323,147,21,19785,19785,1309,,351820
339,2248,195,92,19980,19980,1277,,356384
340,2759,192,83,20172,20172,1222,,358667
341,2718,151,65,20323,20323,1144,,360868
342,2746,145,57,20468,20468,1144,,365620
343,2684,79,70,20547,20547,1144,,369912
344,1992,82,22,20629,20629,1040,,373301
345,1700,187,24,20816,20816,1060,,376354
346,1508,147,75,20963,20963,1073,,379512
347,1884,142,79,21105,21105,1048,,381269
348,0,0,0,21105,21105,1048,,381269
349,2142,108,57,21213,21213,1048,,382705
350,2516,102,40,21315,21315,1048,,388919
351,1077,105,13,21420,21420,878,,391248
352,972,185,36,21605,21605,966,,393506
353,1997,143,66,21748,21748,926,,395679
354,2195,116,61,21864,21864,895,,397080
355,0,0,0,21864,21864,895,,397080
356,2530,120,54,21984,21984,895,,398199
357,2712,111,53,22095,22095,895,,403419
358,3144,85,13,22180,22180,810,,405556
359,1573,157,18,22337,22337,842,,406667
360,2326,100,67,22437,22437,817,,406910
361,1983,104,44,22541,22541,787,,408510
362,2374,76,48,22617,22617,759,,409727
363,2469,82,43,22699,22699,759,,412546
364,2159,64,44,22763,22763,759,,414756
365,980,52,4,22815,22815,686,,417005
366,1315,116,13,22931,22931,692,,418610
367,1487,87,50,23018,23018,665,,419139
368,1581,95,43,23113,23113,645,,420919
369,1627,72,33,23185,23185,612,,422289
370,1485,106,37,23291,23291,612,,425253
371,1333,76,40,23367,23367,612,,427468
372,969,61,12,23428,23428,612,,429325
373,919,89,6,23517,23517,584,,431096
374,1224,91,34,23608,23608,570,,432738
375,1270,68,32,23676,23676,558,,433722
376,1506,91,21,23767,23767,558,,434515
377,1540,98,31,23865,23865,543,,436544
378,1181,19,32,23884,23884,543,,437827
379,794,48,3,23932,23932,543,,439283
380,707,82,8,24014,24014,496,,440596
381,827,59,18,24073,24073,477,,441740
382,1316,53,16,24126,24126,477,,442600
383,1114,74,28,24200,24200,450,,443253
384,1072,69,19,24269,24269,450,,444782
385,988,39,13,24308,24308,450,,446137
386,721,44,2,24352,24352,387,,447420
