date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,0,0,0,,0
54,0,0,0,0,0,0,,0
55,0,0,0,,,,,
56,1,0,0,,,,,
57,0,0,0,,,,,
58,0,0,0,,,,,
59,0,0,0,,,,,
60,0,0,0,,,,,
61,1,0,0,,,,,
62,2,0,0,,,,,
63,1,0,0,,,,,
64,1,0,0,,,,,
65,2,0,0,,,,,
66,5,0,0,,,,,
67,11,0,1,,,,,
68,23,0,0,,,,,
69,26,0,2,,,,,
70,17,0,0,,,,,
71,93,0,0,,,,,
72,0,0,0,,,,,
73,173,0,5,,,,,
74,146,0,0,,,,,
75,167,0,0,,,,,
76,169,0,2,,,,,
77,0,0,0,,,,,
78,193,0,3,,,,,
79,296,0,1,,,,,
80,254,0,4,,,,,
81,253,0,1,,,,,
82,279,0,0,,,,,
83,178,0,5,,,413,,
84,76,0,10,,,424,,
85,355,0,5,,,439,,
86,315,0,14,,,508,,
87,290,0,5,,,519,,
88,212,0,19,,,568,,
89,260,0,19,,,568,,
90,225,0,13,,,506,,
91,136,0,1,,,988,,
92,228,0,4,,,988,,
93,298,0,19,,,1041,,
94,209,0,14,,,1024,,
95,216,0,5,,,1043,,
96,172,0,13,,,1043,,
97,234,0,10,,,875,,
98,150,0,1,,,875,,
99,140,0,1,,,873,,
100,134,0,12,,,1001,,
101,196,0,19,,,1001,,
102,184,0,10,,,884,,
103,304,0,44,,,877,,
104,201,0,11,,,850,,
105,171,0,1,,,679,,
106,174,0,14,,,679,,
107,132,0,26,,,655,,
108,122,0,4,,,891,,
109,137,0,11,,,853,,
110,273,0,8,,,883,,
111,319,0,14,,,896,,
112,232,0,1,,,896,,
113,368,0,6,,,858,,
114,162,0,19,,,893,,
115,186,0,19,,,953,,
116,239,0,22,,,917,,
117,148,0,31,,,832,,
118,177,0,23,,,855,,
119,178,0,10,,,824,,
120,74,0,6,,,824,,
121,88,0,36,,,787,,
122,136,0,18,,,771,,
123,175,0,20,,,796,,
124,139,0,14,,,812,,
125,219,0,13,,,775,,
126,114,0,5,,,775,,
127,156,0,11,,,570,,
128,135,0,11,,,721,,
129,152,0,15,,,546,,
130,108,0,30,,,697,,
131,218,0,10,,,711,,
132,194,0,5,,,742,,
133,236,0,5,,,742,,
134,179,0,4,,,729,,
135,124,0,1,,,500,,
136,201,0,10,,,644,,
137,181,0,11,,,648,,
138,122,0,31,,,650,,
139,167,0,33,,,679,,
140,185,0,1,,,718,,
141,180,0,1,,,693,,
142,248,0,10,,,693,,
143,192,0,3,,,571,,
144,290,0,0,,,599,,
145,196,0,13,,,666,,
146,189,0,10,,,666,,
147,111,0,0,,,657,,
148,181,0,10,,,611,,
149,179,0,21,,,533,,
150,274,0,8,,,533,,
151,203,0,12,,,537,,
152,195,0,12,,,593,,
153,225,0,7,,,595,,
154,0,0,0,,,647,,
155,379,0,1,,,612,,
156,225,0,2,,,524,,
157,211,0,27,,,533,,
158,283,0,37,,,533,,
159,293,0,2,,,594,,
160,389,0,7,,,415,,
161,413,0,1,,,415,,
162,140,0,5,,,415,,
163,0,0,0,,,595,,
164,725,0,14,,,546,,
165,553,0,7,,,546,,
166,493,0,8,,,600,,
167,347,0,6,,,680,,
168,314,0,1,,,412,,
169,468,0,1,,,599,,
170,508,0,17,,,599,,
171,376,0,2,,,592,,
172,356,0,5,,,716,,
173,547,0,4,,,716,,
174,385,0,1,,,740,,
175,221,0,1,,,739,,
176,420,0,0,,,740,,
177,773,0,14,,,676,,
178,575,0,4,,,694,,
179,795,0,5,,,811,,
180,0,0,0,,,886,,
181,1134,0,18,,,883,,
182,310,0,0,,,883,,
183,447,0,14,,,932,,
184,936,0,10,,,811,,
185,888,0,9,,,875,,
186,708,0,11,,,875,,
187,866,0,8,,,875,,
188,960,0,9,,,875,,
189,846,0,-1,,,875,,
190,530,0,3,,,875,,
191,1138,0,11,,,875,,
192,1301,0,16,,,875,,
193,1637,0,20,,,875,,
194,1652,0,-1,,,1057,,
195,1357,0,4,,,1057,,
196,1218,0,15,,,1057,,
197,1123,0,4,,,1057,,
198,1773,0,12,,,797,,
199,1927,0,7,,,797,,
200,2084,0,13,,,813,,
201,1489,0,10,,,869,,
202,935,0,10,,,812,,
203,582,0,0,,,889,,
204,1047,0,2,,,889,,
205,1193,0,11,,,891,,
206,1241,0,6,,,882,,
207,1062,0,8,,,966,,
208,996,0,21,,,930,,
209,0,0,0,,,924,,
210,0,0,0,,,895,,
211,2575,0,6,,,923,,
212,981,0,5,,,923,,
213,1595,0,11,,,861,,
214,1267,0,2,,,882,,
215,1473,0,10,,,882,,
216,1127,0,11,,,871,,
217,1078,0,21,,,889,,
218,1148,0,29,,,853,,
219,794,0,6,,,891,,
220,1258,0,12,,,875,,
221,1058,0,3,,,875,,
222,1231,0,2,,,875,,
223,1293,0,6,,,913,,
224,818,0,1,,,957,,
225,869,0,0,,,957,,
226,692,0,14,,,925,,
227,1426,0,9,,,882,,
228,1512,0,1,,,902,,
229,1418,0,14,,,1007,,
230,1198,0,32,,,976,,
231,1465,0,12,,,1004,,
232,1042,0,22,,,906,,
233,1058,0,8,,,906,,
234,1458,0,4,,,934,,
235,1397,0,3,,,934,,
236,1605,0,17,,,934,,
237,1987,0,77,,,934,,
238,1232,0,19,,,934,,
239,906,0,1,,,934,,
240,773,0,2,,,934,,
241,1362,0,12,,,934,,
242,1116,0,18,,,934,,
243,1569,0,10,,,934,,
244,1974,0,3,,,1040,,
245,1613,0,1,,,971,,
246,1332,0,9,,,1010,,
247,1317,0,18,,,1021,,
248,1191,0,7,,,989,,
249,1747,0,18,,,962,,
250,1795,0,23,,,1025,,
251,1387,0,13,,,1004,,
252,1328,0,2,,,1064,,
253,1463,0,12,,,1022,,
254,1059,0,57,,,981,,
255,1580,0,83,,,989,,
256,1365,0,5,,,1056,,
257,1987,0,42,,,1068,,
258,1716,0,69,,,1101,,
259,1392,0,0,,,1125,,
260,1280,0,1,,,1137,,
261,76,0,22,,,1219,,
262,1351,0,32,,,1171,,
263,1799,0,10,,,1185,,
264,1485,0,16,,,1184,,
265,1708,0,25,,,1144,,
266,1326,0,4,,,1135,,
267,987,0,1,,,1201,,
268,1165,0,26,,,1249,,
269,1068,0,36,,,1352,,
270,1505,0,23,,,1344,,
271,2008,0,136,,,1303,,
272,5066,0,27,,,1313,,
273,0,0,0,,,1313,,
274,0,0,0,,,1313,,
275,0,0,0,,,1313,,
276,4449,0,-2,,,1413,,
277,1875,0,22,,,1443,,
278,2017,0,17,,,1443,,
279,2357,0,121,,,1431,,
280,1768,0,2,,,918,,
281,1405,0,8,,,1439,,
282,1524,0,25,,,1439,,
283,1244,0,26,,,1415,,
284,1854,0,16,,,1352,,
285,1811,0,31,,,1349,,
286,2918,0,113,,,1443,,
287,2043,0,4,,,1404,,
288,1527,0,5,,,1399,,
289,1695,0,28,,,1407,,
290,1915,0,32,,,1446,,
291,3061,0,29,,,1490,,
292,2507,0,26,,,1530,,
293,2986,0,99,,,1574,,
294,2349,0,2,,,1649,,
295,2651,0,5,,,1659,,
296,2238,0,33,,,1631,,
297,2599,0,24,,,1632,,
298,3553,0,18,,,1774,,
299,3931,0,25,,,1834,,
300,4559,0,19,,,1926,,
301,4131,0,3,,,1965,,
302,3244,0,0,,,2016,,
303,4256,0,146,,,2055,,
304,4071,0,24,,,2157,,
305,4603,0,16,,,2248,,
306,4005,0,20,,,2328,,
307,6346,0,14,,,2447,,
308,3729,0,1,,,2462,,
309,3718,0,12,,,2525,,
310,5717,0,67,,,2454,,
311,4587,0,24,,,2453,,
312,4349,0,30,,,2588,,
313,4614,0,30,,,2734,,
314,4876,0,18,,,2851,,
315,4215,0,4,,,2817,,
316,3370,0,2,,,2805,,
317,3764,0,189,,,2680,,
318,4131,0,26,,,2698,,
319,4471,0,32,,,2749,,
320,3273,0,1,,,2743,,
321,2204,0,8,,,2813,,
322,3193,0,6,,,2654,,
323,3829,0,6,,,2498,,
324,2929,0,177,,,2599,,
325,2679,0,37,,,2651,,
326,3998,0,59,,,2758,,
327,4053,0,20,,,2803,,
328,5001,0,59,,,2735,,
329,3876,0,11,,,2708,,
330,2658,0,2,,,2550,,
331,3250,0,161,,,2628,,
332,2640,0,28,,,2579,,
333,3858,0,67,,,2641,,
334,3900,0,31,,,2795,,
335,3743,0,22,,,2710,,
336,2694,0,8,,,2637,,
337,2562,0,3,,,2624,,
338,2762,0,240,,,2543,,
339,2673,0,45,,,2529,,
340,3569,0,35,,,2536,,
341,3723,0,19,,,2616,,
342,2784,0,51,,,2721,,
343,2072,0,33,,,2757,,
344,3130,0,10,,,2729,,
345,2123,0,211,,,2703,,
346,3141,0,97,,,2716,,
347,3231,0,39,,,2749,,
348,2076,0,14,,,2862,,
349,1756,0,1,,,2821,,
350,1451,0,3,,,2696,,
351,1522,0,4,,,2429,,
352,2479,0,117,,,2540,,
353,2761,0,58,,,2540,,
354,3714,0,28,,,2777,,
355,4729,0,21,,,2779,,
356,2157,0,3,,,2804,,
357,2305,0,19,,,2701,,
358,1196,0,0,,,2448,,
359,2632,0,263,,,2657,,
360,2854,0,33,,,2738,,
361,3983,0,24,,,2784,,
362,4332,0,30,,,2841,,
363,3825,0,32,,,2831,,
364,2744,0,4,,,2700,,
365,1659,0,3,,,2608,,
366,2131,0,204,,,2605,,
367,2060,0,16,,,2545,,
368,2780,0,30,,,2614,,
369,2231,0,28,,,2611,,
370,2011,0,24,,,2597,,
371,1350,0,1,,,2522,,
372,1291,0,2,,,2509,,
373,1357,0,7,,,2392,,
374,1592,0,198,,,2397,,
375,2049,0,24,,,2367,,
376,1783,0,42,,,2328,,
377,1777,0,14,,,2264,,
378,2137,0,7,,,2158,,
379,879,0,5,,,2067,,
380,1079,0,133,,,1953,,
381,1444,0,23,,,1900,,
382,1636,0,16,,,1908,,
383,1957,0,14,,,1908,,
384,1249,0,9,,,1908,,
385,1040,0,0,,,1908,,
386,778,0,0,,,1778,,
387,890,0,340,,,1746,,
388,1233,0,10,,,1680,,
389,1399,0,19,,,1675,,
390,1325,0,13,,,1682,,
391,1004,0,12,,,1666,,
392,769,0,1,,,1637,,
393,447,0,0,,,1587,,
394,649,0,6,,,1538,,
395,876,0,12,,,1502,,
396,1034,0,270,,,1488,,
397,884,0,11,,,1466,,
398,645,0,11,,,1490,,
399,489,0,2,,,1438,,
400,421,0,0,,,1402,,
401,481,0,3,,,1309,,
402,598,0,12,,,1279,,
403,718,0,225,,,1281,,
404,562,0,14,,,1254,,
405,566,0,6,,,1257,,
406,410,0,0,,,1234,,
407,351,0,0,,,1206,,
408,443,0,170,,,1127,,
409,560,0,9,,,1182,,
410,727,0,8,,,1202,,
411,394,0,11,,,1214,,
412,478,0,7,,,1209,,
413,274,0,-1,,,1172,,
414,192,0,0,,,1066,,
415,266,0,13,,,1025,,
416,387,0,216,,,989,,
417,467,0,2,,,999,,
418,430,0,8,,,1019,,
419,386,0,3,,,1001,,
420,291,0,0,,,955,,
