date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,0,0,0,,0
54,0,0,0,0,0,0,,0
55,0,0,0,,,,,
56,0,0,0,,,,,
57,0,0,0,,,,,
58,0,0,0,,,,,
59,0,0,0,,,,,
60,1,0,0,,,,,
61,3,0,0,,,,,
62,2,0,0,,,,,
63,4,0,0,,,,,
64,2,0,0,,,,,
65,9,0,0,,,,,
66,13,0,0,,,,,
67,16,0,0,,,,,
68,30,0,1,,,,,
69,60,0,0,,,,,
70,67,33,0,33,33,,,
71,42,0,0,33,33,,,
72,71,53,0,86,86,,,
73,57,31,1,117,117,,,
74,108,33,4,150,150,,,
75,94,35,2,185,185,,,
76,84,34,5,219,219,,,
77,95,16,1,235,235,,,
78,89,-40,2,195,195,,,
79,90,16,4,211,211,,,
80,136,121,2,332,332,,,
81,104,28,4,360,360,,,
82,181,60,3,420,420,,,
83,97,16,6,436,436,,,
84,183,39,8,475,475,,,
85,100,0,8,475,475,,,
86,177,-98,8,377,377,,,
87,88,33,8,410,410,,,
88,257,31,9,441,441,,,
89,209,41,6,482,482,,,
90,173,46,11,528,528,,,
91,139,20,3,548,548,,,
92,161,1,2,549,549,,,
93,145,47,13,596,596,,,
94,273,49,11,645,645,,,
95,264,37,7,682,682,,,
96,169,54,11,736,736,,,
97,181,46,12,782,782,,,
98,300,26,7,808,808,,,
99,238,11,10,819,819,548,,
100,204,39,14,858,858,548,,
101,178,52,10,910,910,628,,
102,259,36,8,946,946,595,,
103,281,24,8,970,970,586,,
104,284,26,12,996,996,649,,
105,193,5,6,1001,1001,644,,
106,183,59,2,1060,1060,590,,
107,248,28,10,1088,1088,639,,
108,227,38,11,1126,1126,677,,3413
109,246,49,11,1175,1175,639,,3413
110,397,51,20,1226,1226,651,,3413
111,229,39,10,1265,1265,632,,3413
112,109,33,12,1298,1298,667,,3413
113,327,18,7,1316,1316,646,,4421
114,330,36,32,1352,1352,645,,4421
115,217,40,32,1392,1392,618,,4421
116,262,50,22,1442,1442,650,,4421
117,404,36,13,1478,1478,632,,4421
118,288,34,12,1512,1512,607,,4421
119,123,19,9,1531,1531,645,,4421
120,173,15,5,1546,1546,507,,6268
121,234,36,22,1582,1582,604,,6268
122,182,34,8,1616,1616,604,,6268
123,393,51,15,1667,1667,589,,6268
124,318,45,13,1712,1712,573,,6268
125,322,36,17,1748,1748,641,,6268
126,173,25,11,1773,1773,608,,6268
127,136,32,7,1805,1805,559,,7681
128,272,35,26,1840,1840,611,,7681
129,263,61,16,1901,1901,644,,7681
130,255,31,10,1932,1932,638,,7681
131,402,34,16,1966,1966,557,,7681
132,381,30,20,1996,1996,590,,7681
133,247,27,9,2023,2023,512,,7681
134,206,23,10,2046,2046,566,,9401
135,273,24,17,2070,2070,561,,9401
136,313,36,18,2106,2106,547,,9401
137,328,41,23,2147,2147,594,,9401
138,418,61,17,2208,2208,584,,9401
139,439,32,13,2240,2240,593,,9401
140,272,32,11,2272,2272,570,,9401
141,251,24,5,2296,2296,584,,11203
142,268,0,28,2296,2296,584,,11203
143,302,44,15,2340,2340,602,,11203
144,238,0,12,2340,2340,633,,11203
145,199,135,9,2475,2475,604,,11203
146,10,0,0,2475,2475,604,,11203
147,501,47,14,2522,2522,585,,11203
148,498,13,20,2535,2535,598,,13356
149,0,0,0,2535,2535,598,,13356
150,715,79,31,2614,2614,655,,13356
151,0,0,0,2614,2614,655,,13356
152,608,29,13,2643,2643,710,,13356
153,257,1,8,2644,2644,684,,13356
154,168,21,2,2665,2665,667,,13356
155,283,15,4,2680,2680,661,,15323
156,353,48,20,2728,2728,668,,15323
157,489,39,23,2767,2767,668,,15323
158,0,0,0,2767,2767,668,,15323
159,0,0,0,2767,2767,661,,15323
160,0,0,0,2767,2767,465,,15323
161,0,0,0,2767,2767,689,,15323
162,1646,114,40,2881,2881,710,,17242
163,611,34,11,2915,2915,664,,17242
164,526,31,22,2946,2946,767,,17242
165,1092,52,5,2998,2998,755,,17242
166,550,46,6,3044,3044,769,,17242
167,465,34,13,3078,3078,731,,17242
168,361,24,4,3102,3102,676,,17242
169,675,13,20,3115,3115,719,,19388
170,680,41,14,3156,3156,779,,19388
171,653,21,9,3177,3177,786,,19388
172,870,31,10,3208,3208,863,,19388
173,0,0,0,3208,3208,863,,19388
174,1904,60,15,3268,3268,872,,19388
175,226,0,4,3268,3268,872,,19388
176,357,12,3,3280,3280,825,,22167
177,957,35,44,3315,3315,885,,22167
178,674,50,30,3365,3365,883,,22167
179,703,49,16,3414,3414,941,,22167
180,1031,41,11,3455,3455,981,,22167
181,797,40,15,3495,3495,963,,22167
182,868,0,19,3495,3495,963,,22167
183,393,35,1,3530,3530,1020,,25932
184,862,55,22,3585,3585,1059,,25932
185,1025,44,18,3629,3629,1099,,25932
186,1230,46,18,3675,3675,1117,,25932
187,1032,37,24,3712,3712,1076,,25932
188,1017,15,14,3727,3727,1076,,25932
189,792,0,9,3727,3727,1129,,25932
190,1251,39,3,3766,3766,1119,,30315
191,1635,31,31,3797,3797,1154,,30315
192,1547,47,34,3844,3844,1165,,30315
193,982,34,13,3878,3878,1207,,30315
194,1610,45,27,3923,3923,1216,,30315
195,1434,59,17,3982,3982,1172,,30315
196,1207,0,15,3982,3982,1172,,30315
197,653,50,6,4032,4032,1179,,35071
198,1342,71,42,4103,4103,1184,,35071
199,1505,49,20,4152,4152,1211,,35071
200,1775,61,48,4213,4213,1245,,35071
201,1168,63,52,4276,4276,1229,,35071
202,1134,38,30,4314,4314,1172,,35071
203,672,0,10,4314,4314,1172,,35071
204,572,66,8,4380,4380,1172,,42391
205,1074,44,42,4424,4424,1164,,42391
206,1245,48,51,4472,4472,1179,,42391
207,956,39,21,4511,4511,1184,,42391
208,1036,66,23,4577,4577,1136,,42391
209,1210,29,26,4606,4606,1151,,42391
210,527,0,22,4606,4606,1151,,42391
211,476,74,16,4680,4680,1074,,42391
212,644,58,32,4738,4738,1114,,49836
213,1081,56,45,4794,4794,1148,,49836
214,612,53,22,4847,4847,1136,,49836
215,944,26,32,4873,4873,1107,,49836
216,825,43,37,4916,4916,1126,,49836
217,381,0,4,4916,4916,1126,,49836
218,276,73,11,4989,4989,1081,,56577
219,795,36,33,5025,5025,1090,,56577
220,1348,38,35,5063,5063,1073,,56577
221,894,34,27,5097,5097,1025,,56577
222,874,30,24,5127,5127,997,,56577
223,945,22,23,5149,5149,982,,56577
224,626,0,3,5149,5149,982,,56577
225,511,30,8,5179,5179,903,,56577
226,801,29,67,5208,5208,920,,62707
227,904,26,58,5234,5234,878,,62707
228,585,33,26,5267,5267,827,,62707
229,599,12,14,5279,5279,825,,62707
230,735,21,14,5300,5300,819,,62707
231,647,0,14,5300,5300,788,,62707
232,274,26,32,5326,5326,825,,67918
233,634,0,20,5326,5326,798,,67918
234,781,0,33,5326,5326,856,,67918
235,751,0,10,5326,5326,812,,67918
236,823,0,22,5326,5326,789,,67918
237,539,0,11,5326,5326,758,,67918
238,410,0,15,5326,5326,689,,67918
239,242,0,1,5326,5326,694,,67918
240,249,84,0,5410,5410,674,,74098
241,426,0,38,5410,5410,698,,74098
242,517,0,33,5410,5410,682,,74098
243,853,0,14,5410,5410,694,,74098
244,445,0,15,5410,5410,696,,74098
245,254,0,12,5410,5410,648,,74098
246,144,89,9,5499,5499,667,,78971
247,505,0,28,5499,5499,667,,78971
248,711,0,22,5499,5499,632,,78971
249,701,0,24,5499,5499,622,,78971
250,0,0,0,5499,5499,630,,78971
251,1152,0,29,5499,5499,630,,78971
252,277,0,1,5499,5499,630,,78971
253,192,108,0,5607,5607,621,,85327
254,465,0,36,5607,5607,642,,85327
255,552,0,24,5607,5607,620,,85327
256,737,0,4,5607,5607,631,,85327
257,722,0,20,5607,5607,609,,85327
258,645,0,17,5607,5607,601,,85327
259,182,0,8,5607,5607,601,,85327
260,190,237,2,5844,5844,601,,89737
261,589,0,36,5844,5844,564,,89737
262,552,0,12,5844,5844,556,,89737
263,696,131,10,5975,5975,531,,89737
264,672,0,20,5975,5975,531,,89737
265,609,0,12,5975,5975,515,,89737
266,321,0,2,5975,5975,515,,89737
267,215,78,0,6053,6053,554,,90577
268,0,0,0,6053,6053,554,,90577
269,1538,0,38,6053,6053,571,,90577
270,578,0,23,6053,6053,606,,90577
271,862,0,6,6053,6053,627,,90577
272,957,0,16,6053,6053,600,,90577
273,294,0,5,6053,6053,600,,90577
274,296,184,0,6237,6237,600,,94165
275,713,0,14,6237,6237,600,,94165
276,876,0,25,6237,6237,633,,94165
277,1322,0,12,6237,6237,598,,94165
278,1116,0,8,6237,6237,596,,94165
279,751,0,11,6237,6237,609,,94165
280,0,0,0,6237,6237,609,,94165
281,586,143,0,6380,6380,653,,97675
282,730,0,31,6380,6380,664,,97675
283,801,0,21,6380,6380,711,,97675
284,958,0,8,6380,6380,695,,97675
285,795,0,7,6380,6380,701,,97675
286,1212,0,17,6380,6380,683,,97675
287,0,0,0,6380,6380,683,,97675
288,675,196,8,6576,6576,679,,101385
289,854,0,20,6576,6576,678,,101385
290,1000,0,19,6576,6576,666,,101385
291,970,0,8,6576,6576,699,,101385
292,749,0,18,6576,6576,712,,101385
293,824,0,6,6576,6576,673,,101385
294,340,0,14,6576,6576,673,,101385
295,365,152,0,6728,6728,657,,105839
296,644,0,36,6728,6728,672,,105839
297,766,0,13,6728,6728,689,,105839
298,1612,0,8,6728,6728,640,,105839
299,967,0,14,6728,6728,695,,105839
300,1031,0,14,6728,6728,710,,105839
301,804,0,10,6728,6728,716,,105839
302,516,186,0,6914,6914,718,,111430
303,933,0,37,6914,6914,737,,111430
304,1256,0,17,6914,6914,756,,111430
305,1271,0,17,6914,6914,774,,111430
306,1305,0,5,6914,6914,767,,111430
307,1370,0,21,6914,6914,778,,111430
308,969,0,3,6914,6914,756,,111430
309,589,177,2,7091,7091,807,,116683
310,905,0,36,7091,7091,868,,116683
311,1593,0,20,7091,7091,948,,116683
312,1395,0,18,7091,7091,926,,116683
313,1638,0,23,7091,7091,965,,116683
314,1972,0,15,7091,7091,999,,116683
315,779,0,19,7091,7091,999,,116683
316,699,203,0,7294,7294,1014,,121637
317,665,0,53,7294,7294,1041,,121637
318,1092,0,16,7294,7294,1039,,121637
319,1746,0,18,7294,7294,1039,,121637
320,1005,0,6,7294,7294,1039,,121637
321,1553,0,10,7294,7294,1058,,121637
322,1845,0,27,7294,7294,1058,,121637
323,1485,192,1,7486,7486,1115,,128746
324,1141,0,29,7486,7486,1158,,128746
325,2457,0,15,7486,7486,1135,,128746
326,2168,0,28,7486,7486,1160,,128746
327,2480,0,37,7486,7486,1188,,128746
328,1942,0,33,7486,7486,1157,,128746
329,1473,0,12,7486,7486,1157,,128746
330,1263,217,0,7703,7703,1188,,136627
331,1732,0,56,7703,7703,1222,,136627
332,2746,0,24,7703,7703,1241,,136627
333,2283,0,42,7703,7703,1286,,136627
334,2327,0,41,7703,7703,1267,,136627
335,2665,0,56,7703,7703,1264,,136627
336,1500,0,19,7703,7703,1264,,136627
337,1648,198,5,7901,7901,1255,,148466
338,2205,0,48,7901,7901,1319,,148466
339,2343,0,42,7901,7901,1316,,148466
340,2261,0,26,7901,7901,1293,,148466
341,2507,0,34,7901,7901,1318,,148466
342,1700,0,36,7901,7901,1319,,148466
343,2222,0,19,7901,7901,1319,,148466
344,1167,138,2,8039,8039,1307,,154669
345,2191,0,79,8039,8039,1340,,154669
346,2634,0,43,8039,8039,1377,,154669
347,2326,0,23,8039,8039,1377,,154669
348,1527,0,6,8039,8039,1377,,154669
349,845,0,3,8039,8039,1377,,154669
350,1365,0,41,8039,8039,1377,,154669
351,1701,106,28,8145,8145,1325,,167263
352,1943,0,85,8145,8145,1409,,167263
353,3023,0,28,8145,8145,1463,,167263
354,2756,0,40,8145,8145,1463,,167263
355,2575,0,29,8145,8145,1456,,167263
356,1891,0,24,8145,8145,1456,,167263
357,1784,0,31,8145,8145,1456,,167263
358,1616,115,13,8260,8260,1432,,182103
359,1767,0,91,8260,8260,1518,,182103
360,2791,0,38,8260,8260,1495,,182103
361,3255,0,48,8260,8260,1495,,182103
362,2175,0,40,8260,8260,1480,,182103
363,3203,0,45,8260,8260,1460,,182103
364,2214,0,21,8260,8260,1460,,182103
365,1227,165,19,8425,8425,1424,,198888
366,1648,0,98,8425,8425,1466,,198888
367,1942,0,31,8425,8425,1446,,198888
368,1948,0,41,8425,8425,1453,,198888
369,2342,0,55,8425,8425,1407,,198888
370,2680,0,70,8425,8425,1336,,198888
371,1606,0,40,8425,8425,1336,,198888
372,1457,121,3,8546,8546,1249,,207769
373,1193,0,50,8546,8546,1280,,207769
374,1702,0,64,8546,8546,1231,,207769
375,2290,0,30,8546,8546,1212,,207769
376,2050,0,45,8546,8546,1128,,207769
377,1856,0,39,8546,8546,1102,,207769
378,1196,0,20,8546,8546,1102,,207769
379,927,101,5,8647,8647,1028,,222812
380,1452,0,75,8647,8647,1023,,222812
381,2074,0,65,8647,8647,1063,,222812
382,1804,0,28,8647,8647,1059,,222812
383,2186,0,38,8647,8647,999,,222812
384,1528,0,35,8647,8647,953,,222812
385,811,0,27,8647,8647,953,,222812
386,705,130,11,8777,8777,948,,222812
