date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,0,0,0,,0
54,0,0,0,0,0,0,,0
55,0,0,0,,,,,
56,0,0,0,,,,,
57,0,0,0,,,,,
58,0,0,0,,,,,
59,0,0,0,,,,,
60,1,0,0,,,,,
61,0,0,0,,,,,
62,4,0,0,,,,,
63,2,0,0,,,,,
64,0,0,0,,,,,
65,1,0,0,,,,,
66,2,0,0,,,,,
67,2,0,0,,,,,
68,4,0,0,,,,,
69,4,0,0,,,,,
70,11,0,0,,,,,
71,3,0,0,,,,,
72,12,0,0,,,,,
73,7,0,0,,,,,
74,18,1,0,1,1,,,
75,37,6,0,7,7,,,
76,21,0,1,7,7,,,
77,25,1,0,8,8,,,
78,17,2,3,10,10,,,
79,13,4,0,14,14,,,
80,24,3,1,17,17,,,
81,19,3,0,20,20,,,
82,16,4,0,24,24,,,
83,22,0,0,24,24,,,
84,21,0,1,24,24,,,
85,13,0,0,24,24,,,
86,20,4,0,28,28,,,
87,13,3,0,31,31,,,135
88,22,5,0,36,36,13,,157
89,11,5,0,41,41,29,,165
90,12,5,0,46,46,21,,169
91,10,1,0,47,47,22,,169
92,7,0,1,47,47,21,,171
93,5,3,0,50,50,24,,197
94,5,1,0,51,51,21,,209
95,11,1,0,52,52,21,,218
96,7,2,1,54,54,21,,233
97,4,1,2,55,55,17,,234
98,7,0,0,55,55,18,,243
99,0,2,0,57,57,19,,243
100,4,2,2,59,59,14,,273
101,2,0,2,59,59,13,,296
102,3,0,0,59,59,13,,306
103,2,0,0,59,59,12,,325
104,1,2,0,61,61,11,,339
105,3,0,0,61,61,11,,339
106,1,0,0,61,61,11,,352
107,2,0,1,61,61,10,,356
108,0,0,1,61,61,5,,382
109,2,0,0,61,61,5,,392
110,0,0,0,61,61,5,,397
111,2,0,0,61,61,5,,404
112,0,0,0,61,61,5,,404
113,2,1,0,62,62,6,,404
114,-1,0,0,62,62,6,,410
115,0,0,0,62,62,6,,417
116,0,0,0,62,62,6,,417
117,2,0,0,62,62,6,,420
118,0,0,0,62,62,4,,422
119,0,0,0,62,62,4,,422
120,1,0,0,62,62,4,,423
121,2,1,0,63,63,4,,425
122,1,0,0,63,63,3,,430
123,0,0,0,63,63,3,,431
124,4,0,0,63,63,3,,431
125,2,0,0,63,63,3,,431
126,0,0,0,63,63,3,,431
127,2,1,0,64,64,4,,434
128,1,1,0,65,65,5,,437
129,7,0,0,65,65,3,,440
130,1,0,0,65,65,3,,440
131,0,0,0,65,65,3,,441
132,0,0,0,65,65,3,,441
133,0,0,0,65,65,3,,441
134,0,0,0,65,65,3,,441
135,0,0,1,65,65,2,,441
136,2,1,0,66,66,2,,444
137,4,0,0,66,66,1,,445
138,8,1,0,67,67,2,,448
139,12,0,0,67,67,2,,448
140,10,0,0,67,67,2,,456
141,4,0,0,67,67,2,,461
142,4,0,0,67,67,1,,462
143,2,1,0,68,68,1,,464
144,14,0,0,68,68,1,,467
145,2,0,1,68,68,1,,470
146,-1,0,0,68,68,1,,472
147,5,1,0,69,69,2,,475
148,3,0,0,69,69,2,,475
149,6,3,0,72,72,5,,485
150,7,2,0,74,74,7,,487
151,2,0,0,74,74,7,,487
152,10,3,0,77,77,7,,489
153,15,0,0,77,77,7,,510
154,13,0,1,77,77,6,,510
155,8,1,0,78,78,7,,510
156,5,1,0,79,79,8,,535
157,16,-1,1,78,78,5,,538
158,25,3,0,81,81,8,,545
159,11,1,0,82,82,9,,546
160,32,3,0,85,85,10,,548
161,19,4,0,89,89,15,,548
162,23,1,1,90,90,15,,548
163,3,1,0,91,91,15,,566
164,23,2,0,93,93,17,,571
165,37,0,0,93,93,15,,572
166,26,2,1,95,95,14,,589
167,23,0,0,95,95,9,,604
168,11,2,0,97,97,11,,604
169,56,3,0,100,100,13,,609
170,48,1,0,101,101,12,,642
171,49,4,0,105,105,14,,658
172,67,1,0,106,106,14,,672
173,45,3,1,109,109,17,,678
174,39,3,0,112,112,20,,678
175,45,0,0,112,112,20,,678
176,37,0,0,112,112,20,,678
177,78,5,0,117,117,22,,716
178,44,0,0,117,117,22,,759
179,95,3,2,120,120,24,,796
180,127,3,3,123,123,21,,855
181,84,4,1,127,127,24,,864
182,81,1,0,128,128,26,,865
183,85,5,3,133,133,28,,875
184,109,3,2,136,136,29,,884
185,144,9,0,145,145,37,,915
186,135,5,1,150,150,37,,970
187,135,9,2,159,159,45,,992
188,105,5,0,164,164,46,,1075
189,62,1,0,165,165,47,,1075
190,88,2,2,167,167,48,,1334
191,91,7,1,174,174,49,,1493
192,101,5,2,179,179,52,,1543
193,97,4,1,183,183,54,,1587
194,129,8,3,191,191,56,,1815
195,221,4,0,195,195,59,,1977
196,82,4,0,199,199,62,,2079
197,39,2,1,201,201,61,,2090
198,94,4,4,205,205,62,,2104
199,201,6,3,211,211,59,,2212
200,138,10,1,221,221,69,,2240
201,151,9,5,230,230,71,,2331
202,116,0,1,230,230,71,,2456
203,112,3,0,233,233,72,,2466
204,40,3,3,236,236,69,,2653
205,81,2,0,238,238,70,,2766
206,115,10,1,248,248,79,,2820
207,173,11,0,259,259,87,,2964
208,155,5,5,264,264,84,,3122
209,132,4,5,268,268,81,,3255
210,63,4,0,272,272,83,,3275
211,65,1,0,273,273,80,,3413
212,87,3,2,276,276,77,,3542
213,164,25,3,301,301,97,,3598
214,139,14,1,315,315,101,,3937
215,134,4,0,319,319,86,,4011
216,118,5,1,324,324,90,,4123
217,91,2,0,326,326,90,,4145
218,42,4,0,330,330,94,,4162
219,54,9,2,339,339,97,,4206
220,110,9,0,348,348,102,,4357
221,116,9,5,357,357,101,,4434
222,144,6,0,363,363,97,,4798
223,160,15,1,378,378,110,,4815
224,53,1,0,379,379,111,,4816
225,60,4,1,383,383,114,,4842
226,135,11,6,394,394,119,,4891
227,161,8,1,402,402,125,,4983
228,144,10,0,412,412,119,,5024
229,134,5,2,417,417,121,,5172
230,188,12,4,429,429,128,,5278
231,89,3,0,432,432,131,,5283
232,81,4,0,436,436,134,,5330
233,88,11,1,447,447,140,,5459
234,182,14,4,461,461,150,,5584
235,180,11,2,472,472,151,,5727
236,148,2,3,474,474,150,,5821
237,145,3,2,477,477,151,,6219
238,100,9,1,486,486,156,,6243
239,52,12,1,498,498,163,,6246
240,65,4,1,502,502,161,,6270
241,87,7,3,509,509,163,,6318
242,195,3,1,512,512,163,,6732
243,122,6,8,518,518,142,,6795
244,140,3,2,521,521,144,,6824
245,96,4,2,525,525,145,,6830
246,86,6,3,531,531,144,,6842
247,137,8,2,539,539,109,,7150
248,187,4,1,543,543,106,,7186
249,216,6,2,549,549,107,,7401
250,224,6,3,555,555,105,,7500
251,292,12,10,567,567,104,,7553
252,136,3,1,570,570,104,,7807
253,130,6,3,576,576,108,,7876
254,271,8,3,584,584,111,,7937
255,212,17,2,601,601,124,,8510
256,330,49,0,650,650,128,,8634
257,322,25,5,675,675,140,,8681
258,343,9,1,684,684,147,,8749
259,200,3,2,687,687,148,,8779
260,306,11,1,698,698,158,,8839
261,311,11,3,709,709,166,,9093
262,347,8,3,717,717,170,,9256
263,429,10,1,727,727,178,,9428
264,355,2,5,729,729,177,,9569
265,501,12,0,741,741,189,,9601
266,279,3,1,744,744,191,,9597
267,212,10,3,754,754,201,,9649
268,500,19,2,773,773,216,,10172
269,716,47,1,820,820,235,,10518
270,614,31,4,851,851,263,,10656
271,722,17,9,868,868,266,,10863
272,718,17,3,885,885,280,,11361
273,585,7,1,892,892,286,,11361
274,423,12,2,904,904,291,,11481
275,486,7,5,911,911,294,,11620
276,599,9,8,920,920,292,,12068
277,723,39,5,959,959,301,,12854
278,662,27,5,986,986,319,,13212
279,638,15,5,1001,1001,324,,13395
280,588,9,1,1010,1010,331,,13441
281,569,10,0,1020,1020,339,,13538
282,703,35,11,1055,1055,360,,14842
283,619,13,23,1068,1068,345,,15085
284,928,23,3,1091,1091,353,,16266
285,863,79,4,1170,1170,351,,16611
286,639,10,12,1180,1180,348,,17436
287,738,49,3,1229,1229,357,,17832
288,621,8,6,1237,1237,360,,18343
289,845,8,2,1245,1245,350,,18981
290,620,53,20,1298,1298,374,,19519
291,887,14,12,1312,1312,373,,20042
292,1063,15,27,1327,1327,357,,21102
293,885,23,11,1350,1350,369,,21353
294,694,7,1,1357,1357,376,,21398
295,757,16,10,1373,1373,386,,21496
296,907,11,13,1384,1384,389,,21990
297,796,18,5,1402,1402,407,,22146
298,1013,19,3,1421,1421,414,,23300
299,979,26,12,1447,1447,437,,23607
300,1001,18,26,1465,1465,446,,23825
301,731,12,11,1477,1477,458,,23793
302,374,15,1,1492,1492,470,,23825
303,1098,18,5,1510,1510,487,,23873
304,919,20,10,1530,1530,500,,24594
305,961,11,0,1541,1541,499,,24804
306,1213,15,5,1556,1556,492,,25389
307,1642,486,37,2042,2042,435,,27472
308,1272,5,6,2047,2047,435,,27472
309,869,19,2,2066,2066,453,,27496
310,1371,95,21,2161,2161,456,,29105
311,1184,41,18,2202,2202,463,,30400
312,1236,19,0,2221,2221,482,,30477
313,1475,31,6,2252,2252,506,,30557
314,1249,84,33,2336,2336,474,,38701
315,1138,14,3,2350,2350,477,,39051
316,701,27,11,2377,2377,467,,39450
317,1123,43,16,2420,2420,467,,40686
318,1061,54,22,2474,2474,462,,42012
319,1117,60,6,2534,2534,455,,43077
320,114,-8,-1,2526,2526,452,,43290
321,1049,43,12,2569,2569,461,,44100
322,956,0,2,2569,2569,461,,44100
323,397,53,10,2622,2622,477,,45486
324,1007,58,17,2680,2680,495,,46350
325,1135,53,15,2733,2733,478,,47533
326,782,29,9,2762,2762,474,,48360
327,1314,48,5,2810,2810,483,,49217
328,633,5,7,2815,2815,466,,49910
329,806,21,2,2836,2836,475,,50287
330,716,39,6,2875,2875,492,,50652
331,755,34,21,2909,2909,479,,51135
332,787,54,8,2963,2963,490,,52068
333,759,40,10,3003,3003,488,,52994
334,978,36,24,3039,3039,372,,61093
335,774,33,11,3072,3072,365,,61877
336,659,8,2,3080,3080,365,,62778
337,0,0,0,3080,3080,350,,62778
338,737,39,8,3119,3119,338,,64298
339,604,34,10,3153,3153,311,,64737
340,839,46,13,3199,3199,306,,65393
341,509,27,5,3226,3226,275,,65873
342,627,22,10,3248,3248,267,,67271
343,551,13,1,3261,3261,258,,67435
344,154,19,16,3280,3280,253,,68440
345,623,52,14,3332,3332,253,,69101
346,575,28,19,3360,3360,251,,69555
347,407,46,2,3406,3406,241,,70176
348,0,0,0,3406,3406,241,,70176
349,504,23,3,3429,3429,216,,72284
350,347,22,5,3451,3451,200,,72729
351,219,13,3,3464,3464,213,,73481
352,427,50,12,3514,3514,218,,74096
353,874,39,11,3553,3553,223,,74970
354,255,15,11,3568,3568,203,,74991
355,0,0,0,3568,3568,203,,74991
356,389,50,10,3618,3618,194,,75974
357,437,13,1,3631,3631,192,,76501
358,283,19,3,3650,3650,191,,76633
359,714,36,30,3686,3686,212,,77449
360,682,52,10,3738,3738,219,,78114
361,690,44,23,3782,3782,208,,78796
362,818,32,11,3814,3814,205,,79114
363,534,23,5,3837,3837,204,,79906
364,222,-3,2,3834,3834,201,,80237
365,329,19,1,3853,3853,207,,80674
366,424,30,10,3883,3883,187,,81183
367,576,20,2,3903,3903,199,,81676
368,457,14,8,3917,3917,192,,82190
369,525,23,9,3940,3940,188,,82460
370,421,17,2,3957,3957,190,,82920
371,337,5,4,3962,3962,172,,83154
372,183,12,1,3974,3974,169,,83527
373,288,18,0,3992,3992,163,,83825
374,391,30,1,4022,4022,159,,84255
375,394,27,6,4049,4049,137,,84708
376,400,32,4,4081,4081,138,,85095
377,361,31,37,4112,4112,141,,85686
378,242,13,10,4125,4125,135,,85881
379,164,3,0,4128,4128,129,,86274
380,344,13,34,4141,4141,128,,86733
381,371,36,16,4177,4177,118,,87018
382,403,26,9,4203,4203,114,,87720
383,312,14,17,4217,4217,103,,88291
384,516,29,5,4246,4246,101,,88822
385,187,-1,1,4245,4245,101,,89073
386,121,3,1,4248,4248,108,,89218
387,314,25,15,4273,4273,116,,89542
388,426,34,54,4307,4307,121,,90086
389,301,20,5,4327,4327,115,,90402
390,347,14,-1,4341,4341,102,,90654
391,259,9,5,4350,4350,107,,91060
392,73,3,2,4353,4353,101,,91162
393,124,3,0,4356,4356,101,,91380
394,374,18,1,4374,4374,102,,91784
395,307,26,5,4400,4400,108,,92248
396,247,14,0,4414,4414,111,,92497
397,221,18,4,4432,4432,100,,92822
398,234,9,3,4441,4441,92,,93148
399,104,-2,0,4439,4439,92,,93328
400,138,5,1,4444,4444,92,,93476
401,127,17,3,4461,4461,96,,93669
402,234,16,3,4477,4477,91,,94034
403,200,7,3,4484,4484,109,,94201
404,277,22,2,4506,4506,96,,94613
405,264,11,2,4517,4517,78,,94874
406,138,5,1,4522,4522,78,,95211
407,31,5,-1,4527,4527,78,,95299
408,230,27,5,4554,4554,85,,95772
409,202,5,2,4559,4559,97,,96040
410,203,8,2,4567,4567,75,,96178
411,168,4,4,4571,4571,76,,96362
412,224,8,2,4579,4579,68,,96724
413,117,2,1,4581,4581,68,,96982
414,49,3,0,4584,4584,68,,97037
415,155,7,15,4591,4591,83,,97199
