date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,0,0,0,,0
54,0,0,0,0,0,0,,0
55,0,0,0,,,,,
56,0,0,0,,,,,
57,0,0,0,,,,,
58,0,0,0,,,,,
59,0,0,0,,,,,
60,1,0,0,,,,,
61,0,0,0,,,,,
62,0,0,0,,,,,
63,0,0,0,,,,,
64,0,0,0,,,,,
65,0,0,0,,,,,
66,5,0,0,,,,,
67,9,0,0,,,,,
68,5,0,0,,,,,
69,8,3,0,3,3,,,
70,0,0,0,3,3,,,
71,2,1,0,4,4,,,
72,3,1,0,5,5,,,
73,6,3,0,8,8,,,
74,13,2,0,10,10,,,
75,9,3,0,13,13,,,15
76,19,3,1,16,16,,,16
77,17,1,0,17,17,,,18
78,10,2,1,19,19,,,19
79,10,2,1,21,21,,,30
80,22,2,0,23,23,,,34
81,20,5,0,28,28,,,43
82,14,1,0,29,29,,,55
83,13,1,0,30,30,,,63
84,21,1,0,31,31,20,,63
85,18,1,0,32,32,19,,74
86,12,1,1,33,33,18,,82
87,14,1,0,34,34,16,,98
88,18,0,1,34,34,14,,101
89,9,2,1,36,36,13,,105
90,15,0,1,36,36,10,,119
91,15,3,1,39,39,12,,121
92,23,1,0,40,40,13,,127
93,10,2,1,42,42,13,,138
94,23,2,0,44,44,13,,142
95,28,1,0,45,45,14,,163
96,46,2,0,47,47,16,,172
97,90,0,0,47,47,13,,183
98,56,4,1,51,51,15,,189
99,42,2,3,53,53,17,,189
100,18,1,0,54,54,17,,214
101,33,8,1,62,62,23,,229
102,32,3,1,65,65,18,,269
103,38,2,0,67,67,17,,285
104,56,3,1,70,70,17,,310
105,64,1,1,71,71,18,,326
106,75,6,2,77,77,23,,350
107,49,2,0,79,79,25,,409
108,42,3,0,82,82,28,,437
109,34,3,0,85,85,30,,458
110,40,1,4,86,86,27,,482
111,46,4,1,90,90,32,,510
112,38,0,1,90,90,31,,517
113,34,4,0,94,94,31,,540
114,39,1,0,95,95,31,,559
115,56,2,6,97,97,32,,582
116,49,5,0,102,102,35,,601
117,53,2,2,104,104,33,,714
118,40,6,2,110,110,34,,762
119,26,0,0,110,110,29,,792
120,26,5,1,115,115,34,,846
121,52,7,2,122,122,38,,877
122,74,5,2,127,127,37,,969
123,67,2,0,129,129,38,,1007
124,51,1,2,130,130,35,,1071
125,87,0,0,130,130,33,,1111
126,51,0,1,130,130,30,,1178
127,31,3,1,133,133,32,,1219
128,60,2,1,135,135,32,,1269
129,81,7,4,142,142,38,,1302
130,95,2,2,144,144,39,,1340
131,70,3,1,147,147,39,,1405
132,49,3,0,150,150,39,,1451
133,54,2,1,152,152,40,,1496
134,40,2,1,154,154,41,,1551
135,43,2,0,156,156,40,,1701
136,17,5,5,161,161,40,,1762
137,41,0,1,161,161,35,,1793
138,40,3,2,164,164,36,,1882
139,34,1,1,165,165,34,,1943
140,23,2,1,167,167,36,,1959
141,47,2,0,169,169,35,,2078
142,22,1,4,170,170,34,,2127
143,33,2,1,172,172,34,,2169
144,26,3,0,175,175,32,,2209
145,40,5,5,180,180,30,,2242
146,71,2,1,182,182,29,,2268
147,44,1,0,183,183,28,,2307
148,19,1,0,184,184,29,,2336
149,22,5,0,189,189,32,,2450
150,40,4,1,193,193,33,,2482
151,38,0,1,193,193,32,,2515
152,36,4,0,197,197,35,,2573
153,42,0,0,197,197,35,,2630
154,22,0,0,197,197,35,,2658
155,22,0,0,197,197,31,,2683
156,23,3,0,200,200,26,,2720
157,39,1,1,201,201,25,,2756
158,29,7,3,208,208,26,,2809
159,32,2,1,210,210,26,,2840
160,25,3,0,213,213,28,,2882
161,37,3,1,216,216,31,,2910
162,25,2,0,218,218,31,,2952
163,7,0,1,218,218,28,,3008
164,41,1,2,219,219,27,,3044
165,32,3,1,222,222,25,,3064
166,28,0,0,222,222,23,,3090
167,37,3,0,225,225,23,,3119
168,35,1,1,226,226,24,,3139
169,46,1,0,227,227,25,,3163
170,38,4,0,231,231,25,,3195
171,39,3,1,234,234,20,,3210
172,43,0,0,234,234,19,,3235
173,63,3,0,237,237,20,,3266
174,57,4,0,241,241,22,,3288
175,36,1,0,242,242,22,,3324
176,33,3,0,245,245,22,,3350
177,51,3,4,248,248,24,,3413
178,73,4,-4,252,252,26,,3447
179,99,5,0,257,257,30,,3464
180,84,3,0,260,260,33,,3496
181,88,3,2,263,263,31,,3533
182,91,8,0,271,271,38,,3570
183,102,6,0,277,277,43,,3653
184,54,3,1,280,280,42,,3685
185,71,4,0,284,284,42,,3760
186,103,1,1,285,285,38,,3796
187,122,5,1,290,290,36,,3903
188,115,5,0,295,295,38,,4029
189,113,7,2,302,302,45,,4131
190,106,3,1,305,305,47,,4219
191,82,4,1,309,309,46,,4319
192,159,8,2,317,317,52,,4407
193,125,5,1,322,322,57,,4475
194,122,3,2,325,325,37,,4545
195,121,3,0,328,328,39,,4671
196,140,5,0,333,333,42,,4752
197,111,4,0,337,337,43,,4829
198,151,6,1,343,343,35,,4957
199,89,8,2,351,351,39,,5087
200,72,5,1,356,356,43,,5181
201,167,8,0,364,364,47,,5289
202,132,7,0,371,371,45,,5396
203,57,0,2,371,371,45,,5396
204,127,8,0,379,379,46,,5590
205,149,10,2,389,389,51,,5715
206,122,5,1,394,394,42,,5837
207,122,6,1,400,400,46,,5949
208,149,8,1,408,408,48,,6164
209,179,6,2,414,414,49,,6268
210,91,1,0,415,415,47,,6355
211,117,2,1,417,417,48,,6434
212,169,13,5,430,430,55,,6668
213,87,10,2,440,440,58,,6815
214,200,5,0,445,445,59,,6953
215,152,10,1,455,455,65,,7066
216,123,2,0,457,457,55,,7161
217,143,2,4,459,459,54,,7249
218,59,2,1,461,461,55,,7343
219,133,8,2,469,469,47,,7485
220,188,9,2,478,478,49,,7629
221,274,0,0,478,478,45,,7718
222,231,13,2,491,491,54,,7841
223,256,8,0,499,499,53,,7968
224,138,2,4,501,501,52,,8064
225,126,4,0,505,505,51,,8206
226,233,14,2,519,519,50,,8410
227,233,6,0,525,525,53,,8545
228,332,9,1,534,534,61,,8666
229,307,16,0,550,550,70,,8808
230,372,1,2,551,551,65,,9018
231,221,3,0,554,554,68,,9079
232,114,0,2,554,554,68,,9295
233,192,10,2,564,564,62,,9610
234,265,11,3,575,575,66,,9834
235,359,8,2,583,583,51,,10051
236,340,7,0,590,590,67,,10310
237,355,6,5,596,596,67,,10640
238,298,2,1,598,598,64,,10821
239,169,4,0,602,602,68,,11080
240,74,2,0,604,604,63,,11452
241,236,7,0,611,611,53,,11733
242,335,13,3,624,624,62,,11930
243,241,6,0,630,630,64,,12177
244,466,4,7,634,634,56,,12450
245,429,9,1,643,643,62,,12655
246,252,3,2,646,646,65,,12903
247,232,11,2,657,657,62,,13328
248,265,17,0,674,674,62,,13628
249,392,17,10,691,691,69,,13828
250,505,14,2,705,705,77,,14060
251,378,11,8,716,716,78,,14319
252,352,7,0,723,723,81,,14558
253,284,7,1,730,730,87,,14841
254,264,22,3,752,752,92,,15220
255,472,11,7,763,763,89,,15476
256,467,14,10,777,777,89,,15757
257,431,12,6,789,789,89,,16104
258,497,20,8,809,809,104,,16481
259,341,6,4,815,815,96,,16727
260,259,13,3,828,828,105,,17080
261,419,20,5,848,848,105,,17511
262,444,11,7,859,859,89,,17938
263,367,25,10,884,884,106,,18272
264,471,18,8,902,902,111,,18691
265,443,10,7,912,912,100,,19079
266,411,13,3,925,925,100,,19497
267,311,14,3,939,939,112,,19892
268,502,29,4,968,968,116,,20392
269,490,27,24,995,995,116,,20847
270,523,21,6,1016,1016,214,,21242
271,644,21,11,1037,1037,202,,21755
272,598,25,15,1062,1062,219,,22123
273,637,14,3,1076,1076,231,,22500
274,473,23,7,1099,1099,233,,22846
275,490,27,12,1126,1126,206,,23288
276,663,33,8,1159,1159,206,,23823
277,696,33,5,1192,1192,207,,24336
278,880,29,18,1221,1221,217,,24882
279,771,21,11,1242,1242,217,,25492
280,713,11,5,1253,1253,210,,25922
281,658,14,4,1267,1267,205,,26392
282,1049,34,4,1301,1301,209,,27222
283,521,23,10,1324,1324,219,,27769
284,1048,27,0,1351,1351,276,,28271
285,896,37,18,1388,1388,282,,29136
286,967,17,8,1405,1405,278,,30116
287,849,12,8,1417,1417,272,,30757
288,532,20,6,1437,1437,256,,31334
289,903,41,14,1478,1478,283,,32339
290,818,41,12,1519,1519,284,,33172
291,1228,28,11,1547,1547,287,,33860
292,1378,39,13,1586,1586,294,,34696
293,1461,32,12,1618,1618,309,,35533
294,1150,16,7,1634,1634,278,,36142
295,967,22,9,1656,1656,274,,37035
296,1221,46,15,1702,1702,335,,38236
297,1172,36,12,1738,1738,352,,39163
298,1572,38,29,1776,1776,366,,40017
299,1805,41,17,1817,1817,375,,41175
300,1646,41,15,1858,1858,374,,42251
301,1117,23,11,1881,1881,408,,43103
302,1153,25,5,1906,1906,383,,43949
303,947,0,0,1906,1906,383,,43949
304,1096,61,42,1967,1967,411,,45031
305,1835,115,12,2082,2082,399,,48055
306,1490,38,10,2120,2120,421,,49409
307,2329,33,19,2153,2153,425,,50835
308,960,25,10,2178,2178,400,,51936
309,1084,17,7,2195,2195,400,,53242
310,1129,66,26,2261,2261,399,,55176
311,1341,46,16,2307,2307,384,,56468
312,1450,31,10,2338,2338,387,,57686
313,1434,52,39,2390,2390,395,,59283
314,1572,34,0,2424,2424,376,,60640
315,1180,35,6,2459,2459,379,,61599
316,712,22,6,2481,2481,377,,62697
317,1066,47,37,2528,2528,377,,64611
318,1184,59,4,2587,2587,321,,65976
319,1007,21,10,2608,2608,321,,67200
320,751,12,5,2620,2620,347,,68105
321,795,29,13,2649,2649,345,,69669
322,725,18,0,2667,2667,337,,70901
323,595,41,12,2708,2708,333,,71848
324,466,43,27,2751,2751,320,,73015
325,551,40,12,2791,2791,316,,73933
326,1017,22,11,2813,2813,306,,74667
327,891,29,12,2842,2842,324,,75653
328,615,26,18,2868,2868,298,,76476
329,488,12,6,2880,2880,305,,76999
330,387,16,9,2896,2896,304,,77562
331,582,0,42,2896,2896,337,,77562
332,473,88,16,2984,2984,284,,80515
333,558,0,23,2984,2984,302,,81008
334,507,0,27,2984,2984,277,,81678
335,376,0,22,2984,2984,282,,82360
336,281,0,0,2984,2984,270,,82935
337,196,89,5,3073,3073,277,,83318
338,328,0,13,3073,3073,277,,83995
339,291,0,24,3073,3073,160,,84535
340,377,0,10,3073,3073,148,,84875
341,494,276,21,3349,3349,144,,85271
342,231,38,0,3387,3387,154,,85672
343,251,7,6,3394,3394,156,,86013
344,82,6,2,3400,3400,158,,86233
345,332,21,5,3421,3421,135,,86776
346,270,15,5,3436,3436,118,,87091
347,225,36,18,3472,3472,122,,87367
348,0,0,0,3472,3472,122,,87367
349,407,13,4,3485,3485,111,,87762
350,111,10,0,3495,3495,106,,88177
351,93,5,0,3500,3500,108,,88411
352,272,33,12,3533,3533,115,,88854
353,371,9,6,3542,3542,96,,89099
354,293,10,0,3552,3552,94,,89314
355,0,0,0,3552,3552,94,,89314
356,396,9,28,3561,3561,92,,89582
357,150,9,0,3570,3570,98,,89879
358,199,6,2,3576,3576,98,,90013
359,254,21,17,3597,3597,93,,90281
360,338,13,5,3610,3610,85,,90511
361,324,13,7,3623,3623,83,,90726
362,282,19,12,3642,3642,85,,90964
363,120,2,0,3644,3644,76,,91222
364,158,7,0,3651,3651,72,,91465
365,114,5,0,3656,3656,74,,91597
366,138,11,3,3667,3667,70,,91850
367,167,16,1,3683,3683,72,,92029
368,243,6,8,3689,3689,78,,92249
369,221,10,23,3699,3699,88,,92551
370,115,5,0,3704,3704,95,,92820
371,150,0,0,3704,3704,85,,93020
372,70,6,0,3710,3710,91,,93173
373,137,9,13,3719,3719,88,,93451
374,151,4,1,3723,3723,55,,93658
375,148,9,13,3732,3732,54,,93801
376,197,4,6,3736,3736,53,,93980
377,153,3,0,3739,3739,50,,94148
378,97,2,0,3741,3741,49,,94309
379,57,4,8,3745,3745,50,,94381
380,132,7,4,3752,3752,48,,94584
381,154,5,1,3757,3757,49,,94728
382,145,9,1,3766,3766,49,,94837
383,153,9,0,3775,3775,51,,94966
384,104,3,0,3778,3778,48,,95108
385,68,2,0,3780,3780,50,,95227
386,53,2,5,3782,3782,47,,95308
387,115,7,0,3789,3789,45,,95491
388,138,5,0,3794,3794,42,,95601
389,98,3,0,3797,3797,37,,95691
390,61,0,4,3797,3797,33,,95777
391,11,4,0,3801,3801,36,,95834
392,49,4,0,3805,3805,39,,95946
393,29,6,3,3811,3811,40,,95991
394,-9,3,3,3814,3814,37,,96014
395,39,6,2,3820,3820,34,,96026
396,139,7,1,3827,3827,39,,96127
397,113,0,1,3827,3827,39,,96234
398,85,1,0,3828,3828,36,,96305
399,46,3,0,3831,3831,38,,96404
400,46,6,0,3837,3837,42,,96445
401,138,8,0,3845,3845,46,,96564
402,120,5,0,3850,3850,43,,96673
403,133,-5,4,3845,3845,31,,96763
404,119,2,0,3847,3847,36,,96864
405,75,9,0,3856,3856,39,,97002
406,49,1,0,3857,3857,40,,97114
407,35,3,3,3860,3860,38,,97164
408,104,-1,0,3859,3859,31,,97286
409,115,1,2,3860,3860,28,,97389
410,90,3,1,3863,3863,25,,97474
