date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,,,,,
35,0,0,0,,,,,
36,0,0,0,,,,,
37,0,0,0,,,,,
38,0,0,0,,,,,
39,0,0,0,,,,,
40,0,0,0,,,,,
41,0,0,0,,,,,
42,0,0,0,,,,,
43,0,0,0,,,,,
44,0,0,0,,,,,
45,0,0,0,,,,,
46,0,0,0,,,,,
47,0,0,0,,,,,
48,0,0,0,,,,,
49,0,0,0,,,,,
50,0,0,0,,,,,
51,0,0,0,,,,,
52,0,0,0,,,,,
53,0,0,0,,,,,
54,0,0,0,,,,,
55,1,0,0,,,,,
56,0,0,0,,,,,
57,2,0,0,,,,,
58,0,0,0,,,,,
59,2,0,0,,,,,
60,5,0,0,,,,,
61,3,0,0,,,,,
62,1,0,0,,,,,
63,3,0,0,,,,,
64,1,0,0,,,,,
65,3,0,0,,,,,
66,3,0,0,,,,,
67,3,0,0,,,,,
68,5,0,0,,,,,
69,6,0,0,,,,,
70,10,0,0,,,,,
71,2,0,0,,,,,
72,2,0,0,,,,,
73,9,0,0,,,,,
74,12,0,0,,,,,
75,12,0,0,,,,,
76,11,0,2,,,,,
77,12,0,0,,,,,
78,37,0,0,,,,,
79,27,0,1,,,,,
80,38,0,1,,,,,
81,36,0,1,,,,,
82,33,0,1,,,,,
83,42,0,0,,,,,
84,42,0,2,,,,,
85,46,0,0,,,,,
86,38,0,2,,,,,
87,72,0,2,,,,,
88,48,0,2,,,,,
89,68,0,1,,,,,
90,65,0,2,,,,,
91,91,0,0,,,,,
92,23,0,0,,,,,
93,57,0,1,,,,,
94,30,0,2,,,,,
95,51,0,1,,,,,
96,114,0,3,,,,,
97,72,0,0,,,,,
98,149,0,4,,,,,
99,187,0,0,,,,,
100,174,0,5,,,,,
101,74,0,5,,,,,
102,91,0,7,,,,,
103,311,0,2,,,,,
104,297,0,3,,,,,
105,311,0,3,,,,,
106,296,0,3,,,,,
107,330,0,-1,,,,,
108,16,0,0,,,,,
109,410,0,13,,,,,
110,497,0,2,,,,,
111,557,0,3,,,,,
112,488,0,3,,,,,
113,584,0,2,,,,,
114,173,0,0,,,,,
115,355,0,4,,,,,
116,333,0,4,,,,,
117,419,0,4,,,,,
118,641,0,2,,,,,
119,403,0,4,,,,,
120,81,0,2,,,,,
121,257,0,2,,,192,,
122,120,0,3,,,192,,
123,383,0,4,,,,,
124,341,0,6,,,,,
125,356,0,6,,,,,
126,448,0,4,,,,,
127,128,0,0,,,,,
128,277,0,2,,,,,
129,221,0,7,,,,,
130,276,0,6,,,,,
131,303,0,5,,,,,
132,237,0,4,,,,,
133,327,0,0,,,,,
134,145,0,3,,,,,
135,221,0,0,,,,,
136,264,0,3,,,,,
137,357,0,10,,,,,
138,285,0,1,,,,,
139,393,0,6,,,,,
140,251,0,0,,,,,
141,196,0,0,,,,,
142,244,0,8,,,,,
143,266,851,3,851,851,194,,6743
144,255,51,6,902,902,211,,7005
145,251,3,-1,905,905,190,,7598
146,262,14,0,919,919,181,,7957
147,164,9,2,928,928,167,,8255
148,91,7,0,935,935,166,,8455
149,118,32,0,967,967,176,,8637
150,131,22,3,989,989,181,,8820
151,142,11,4,1000,1000,175,,8946
152,290,29,17,1029,1029,164,,9229
153,198,38,4,1067,1067,157,,9610
154,120,3,0,1070,1070,156,,9879
155,92,5,0,1075,1075,160,,10121
156,126,13,4,1088,1088,160,,10351
157,180,28,11,1116,1116,156,,10529
158,195,25,3,1141,1141,156,,10761
159,189,25,6,1166,1166,149,,11066
160,176,34,4,1200,1200,141,,11312
161,116,12,0,1212,1212,140,,11565
162,103,0,0,1212,1212,141,,11776
163,147,22,5,1234,1234,135,,11980
164,135,23,7,1257,1257,125,,12099
165,129,11,1,1268,1268,131,,12099
166,125,26,3,1294,1294,126,,12314
167,178,18,6,1312,1312,125,,12698
168,251,3,1,1315,1315,123,,13053
169,124,1,0,1316,1316,117,,13322
170,143,14,2,1330,1330,121,,13547
171,135,0,5,1330,1330,120,,13737
172,133,13,2,1343,1343,117,,13807
173,142,10,6,1353,1353,121,,14022
174,208,12,2,1365,1365,111,,14200
175,167,3,0,1368,1368,109,,14340
176,102,1,0,1369,1369,101,,14641
177,117,0,-1,1369,1369,109,,14759
178,155,29,-1,1398,1398,102,,14927
179,224,7,0,1405,1405,97,,15031
180,198,14,2,1419,1419,100,,15206
181,154,0,2,1419,1419,95,,15499
182,221,2,-1,1421,1421,95,,15724
183,174,0,0,1421,1421,98,,15860
184,227,10,3,1431,1431,101,,16025
185,318,11,-2,1442,1442,110,,16205
186,262,11,5,1453,1453,103,,16324
187,155,0,8,1453,1453,96,,16501
188,227,27,2,1480,1480,105,,16665
189,120,1,0,1481,1481,113,,16801
190,102,1,0,1482,1482,121,,17112
191,264,20,5,1502,1502,115,,17237
192,343,6,4,1508,1508,118,,17389
193,296,14,1,1522,1522,125,,17499
194,332,26,5,1548,1548,126,,17745
195,356,0,0,1548,1548,122,,17999
196,221,19,0,1567,1567,103,,18097
197,223,3,0,1570,1570,109,,18097
198,281,17,1,1587,1587,117,,18520
199,258,19,4,1606,1606,122,,18702
200,265,4,3,1610,1610,137,,18802
201,344,0,4,1610,1610,150,,18997
202,445,12,4,1622,1622,152,,19172
203,180,7,0,1629,1629,142,,19325
204,311,1,0,1630,1630,144,,19575
205,254,14,0,1644,1644,152,,19677
206,222,0,0,1644,1644,151,,19764
207,311,37,3,1681,1681,148,,19885
208,332,7,5,1688,1688,151,,20176
209,283,16,5,1704,1704,156,,20333
210,141,11,0,1715,1715,147,,20746
211,187,7,0,1722,1722,146,,20896
212,264,19,3,1741,1741,162,,21113
213,334,139,3,1880,1880,157,,21312
214,214,0,5,1880,1880,152,,21463
215,416,0,4,1880,1880,147,,21463
216,328,0,1,1880,1880,145,,22004
217,253,3,0,1883,1883,144,,22251
218,131,0,0,1883,1883,146,,22483
219,191,0,1,1883,1883,158,,22647
220,262,-48,6,1835,1835,160,,22798
221,215,16,3,1851,1851,156,,22941
222,308,26,2,1877,1877,146,,23292
223,278,14,3,1891,1891,140,,23608
224,154,16,0,1907,1907,139,,23878
225,109,3,2,1910,1910,146,,24155
226,158,20,5,1930,1930,154,,24326
227,301,16,0,1946,1946,168,,24524
228,379,8,3,1954,1954,166,,24689
229,374,14,5,1968,1968,174,,25009
230,335,14,1,1982,1982,168,,25282
231,317,10,0,1992,1992,172,,25727
232,293,2,0,1994,1994,172,,25969
233,241,12,5,2006,2006,161,,26177
234,287,8,2,2014,2014,162,,26363
235,421,13,0,2027,2027,172,,26466
236,474,6,5,2033,2033,162,,26766
237,192,27,0,2060,2060,174,,26973
238,144,5,0,2065,2065,176,,27473
239,81,3,0,2068,2068,175,,27710
240,89,11,0,2079,2079,172,,27921
241,502,10,2,2089,2089,179,,28051
242,440,19,15,2108,2108,182,,28175
243,456,11,9,2119,2119,178,,28513
244,468,12,4,2131,2131,166,,28816
245,267,6,0,2137,2137,163,,29167
246,227,2,0,2139,2139,169,,29405
247,307,15,1,2154,2154,176,,29597
248,328,13,1,2167,2167,167,,29799
249,449,5,3,2172,2172,176,,29966
250,502,9,3,2181,2181,188,,30254
251,466,13,0,2194,2194,185,,30509
252,410,0,0,2194,2194,174,,30509
253,286,0,0,2194,2194,170,,30509
254,305,14,10,2208,2208,185,,31047
255,397,6,9,2214,2214,197,,31212
256,493,33,1,2247,2247,200,,31383
257,453,12,0,2259,2259,231,,31774
258,431,17,6,2276,2276,225,,32238
259,434,3,1,2279,2279,226,,32584
260,467,1,1,2280,2280,224,,32824
261,515,21,2,2301,2301,214,,33087
262,466,14,6,2315,2315,215,,33198
263,520,34,0,2349,2349,226,,33362
264,621,7,15,2356,2356,227,,33820
265,792,23,0,2379,2379,232,,34090
266,426,9,4,2388,2388,249,,34395
267,404,9,4,2397,2397,249,,34613
268,452,10,2,2407,2407,271,,34830
269,498,29,4,2436,2436,262,,35052
270,639,32,0,2468,2468,288,,35295
271,663,13,7,2481,2481,293,,35456
272,1085,18,5,2499,2499,299,,36091
273,743,27,0,2526,2526,305,,36091
274,495,0,0,2526,2526,304,,36446
275,457,17,3,2543,2543,299,,36734
276,704,12,5,2555,2555,315,,36950
277,924,38,3,2593,2593,311,,37122
278,961,38,5,2631,2631,323,,37653
279,1286,16,12,2647,2647,322,,38083
280,620,3,1,2650,2650,320,,38629
281,734,8,0,2658,2658,343,,38956
282,749,22,6,2680,2680,380,,39313
283,592,26,11,2706,2706,380,,39687
284,899,35,11,2741,2741,400,,39905
285,977,42,11,2783,2783,389,,40494
286,1225,34,4,2817,2817,426,,41008
287,705,16,4,2833,2833,436,,41364
288,582,13,1,2846,2846,435,,41930
289,702,29,7,2875,2875,427,,42245
290,877,30,17,2905,2905,436,,42633
291,1169,45,8,2950,2950,483,,42850
292,1605,27,9,2977,2977,528,,43516
293,1495,56,9,3033,3033,584,,43952
294,1087,9,6,3042,3042,612,,44247
295,934,8,2,3050,3050,613,,44773
296,954,26,2,3076,3076,642,,45108
297,1440,46,4,3122,3122,673,,45522
298,1828,26,9,3148,3148,698,,45772
299,2124,53,5,3201,3201,720,,45658
300,2681,45,27,3246,3246,748,,47259
301,1702,34,2,3280,3280,760,,47793
302,1574,9,0,3289,3289,794,,48689
303,1582,32,7,3321,3321,820,,49314
304,2182,45,20,3366,3366,860,,49761
305,2209,115,1,3481,3481,885,,50148
306,2611,-21,25,3460,3460,905,,51017
307,2369,62,19,3522,3522,918,,51928
308,1912,29,4,3551,3551,889,,52511
309,1327,24,0,3575,3575,914,,53528
310,3440,76,18,3651,3651,938,,54095
311,2204,75,19,3726,3726,978,,54604
312,2812,0,10,3726,3726,961,,55037
313,2663,133,28,3859,3859,983,,55885
314,2381,56,43,3915,3915,987,,56605
315,1368,29,8,3944,3944,963,,16068
316,1032,19,4,3963,3963,976,,58057
317,1860,86,25,4049,4049,971,,58686
318,1761,77,16,4126,4126,936,,59002
319,2394,56,28,4182,4182,930,,59677
320,2876,10,4,4192,4192,931,,60654
321,1114,24,2,4216,4216,931,,61605
322,1257,30,5,4246,4246,911,,62686
323,1143,31,0,4277,4277,896,,63562
324,1941,39,29,4316,4316,907,,64485
325,1787,64,62,4380,4380,869,,64975
326,2336,45,48,4425,4425,853,,65740
327,2180,54,31,4479,4479,845,,67336
328,1615,27,27,4506,4506,819,,68355
329,2243,41,8,4547,4547,755,,69840
330,1266,15,11,4562,4562,768,,71188
331,1293,57,31,4619,4619,810,,72583
332,1476,45,41,4664,4664,787,,73592
333,1321,35,17,4699,4699,781,,74597
334,1850,35,35,4734,4734,779,,76908
335,1103,31,14,4765,4765,759,,78906
336,811,19,22,4784,4784,711,,80829
337,1173,12,8,4796,4796,692,,82568
338,483,35,45,4831,4831,693,,84063
339,1517,53,20,4884,4884,677,,85127
340,1242,24,10,4908,4908,646,,85915
341,1297,22,5,4930,4930,602,,88176
342,1345,22,17,4952,4952,612,,89890
343,670,25,5,4977,4977,598,,92195
344,967,15,11,4992,4992,582,,93640
345,721,21,25,5013,5013,582,,95171
346,1221,23,10,5036,5036,566,,96359
347,1338,28,40,5064,5064,572,,96706
348,695,24,7,5088,5088,538,,98973
349,805,-3,-10,5085,5085,505,,94708
350,175,19,1,5104,5104,503,,102012
351,637,4,0,5108,5108,527,,102169
352,875,51,28,5159,5159,534,,103592
353,932,28,16,5187,5187,517,,105135
354,1516,33,8,5220,5220,544,,105574
355,1501,34,40,5254,5254,534,,107694
356,918,11,17,5265,5265,517,,109705
357,546,5,1,5270,5270,503,,105963
358,738,20,3,5290,5290,511,,112856
359,585,31,10,5321,5321,527,,114249
360,1448,37,10,5358,5358,515,,114249
361,1436,28,11,5386,5386,506,,116295
362,1122,28,108,5414,5414,491,,117589
363,1023,20,-78,5434,5434,481,,119393
364,1006,10,4,5444,5444,471,,120729
365,406,16,23,5460,5460,475,,121710
366,644,15,12,5475,5475,484,,122564
367,1000,22,19,5497,5497,457,,120700
368,1529,23,12,5520,5520,449,,123234
369,932,19,15,5539,5539,465,,124233
370,779,26,19,5565,5565,457,,124963
371,0,0,0,5565,5565,457,,124963
372,1068,10,0,5575,5575,429,,126504
373,440,15,5,5590,5590,429,,127221
374,900,0,8,5590,5590,438,,127221
375,1164,42,12,5632,5632,433,,129608
376,864,15,6,5647,5647,421,,130527
377,909,23,10,5670,5670,414,,131242
378,599,8,1,5678,5678,390,,131828
379,293,4,0,5682,5682,392,,132453
380,646,20,15,5702,5702,373,,132495
381,329,27,11,5729,5729,360,,133206
382,662,27,12,5756,5756,343,,133469
383,813,19,4,5775,5775,341,,134492
384,973,21,-1,5796,5796,325,,135957
385,143,8,0,5804,5804,320,,136686
386,237,11,0,5815,5815,312,,136972
387,487,17,9,5832,5832,305,,137446
388,605,12,2,5844,5844,305,,137684
389,507,18,21,5862,5862,278,,138647
390,520,11,6,5873,5873,285,,139287
391,352,14,10,5887,5887,275,,139885
392,301,9,0,5896,5896,272,,140408
393,104,5,0,5901,5901,250,,140902
394,344,16,10,5917,5917,257,,141108
395,462,11,8,5928,5928,240,,141239
396,374,3,4,5931,5931,230,,141236
397,479,5,12,5936,5936,216,,141783
398,1542,6,0,5942,5942,201,,142112
399,209,8,0,5950,5950,197,,142312
400,92,12,1,5962,5962,195,,142335
401,119,2,1,5964,5964,177,,142335
402,299,17,14,5981,5981,185,,142335
403,296,16,7,5997,5997,188,,142336
404,400,12,18,6009,6009,185,,142336
405,309,23,4,6032,6032,170,,142336
406,198,2,0,6034,6034,163,,142336
407,96,-3,0,6031,6031,161,,142336
408,357,17,3,6048,6048,166,,142336
409,380,11,4,6059,6059,178,,153585
410,324,23,9,6082,6082,160,,153753
411,297,6,15,6088,6088,166,,153937
412,278,11,4,6099,6099,154,,154339
413,167,3,0,6102,6102,151,,154909
414,98,4,0,6106,6106,158,,155333
415,400,34,2,6140,6140,154,,155712
