date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,,,,,
53,0,0,0,,,,,
54,0,0,0,,,,,
55,0,0,0,,,,,
56,2,0,0,,,,,
57,0,0,0,,,,,
58,0,0,0,,,,,
59,0,0,0,,,,,
60,2,0,0,,,,,
61,0,0,0,,,,,
62,1,0,0,,,,,
63,6,0,0,,,,,
64,4,0,0,,,,,
65,9,0,0,,,,,
66,13,0,0,,,,,
67,5,0,0,,,,,
68,11,0,0,,,,,
69,10,0,0,,,,,
70,13,0,0,,,,,
71,23,11,1,11,11,,,
72,7,2,0,13,13,,,
73,29,6,0,19,19,,,
74,21,6,0,25,25,,,
75,29,5,1,30,30,,,
76,27,3,0,33,33,,,
77,44,6,1,39,39,,,
78,56,6,0,45,45,,,
79,53,4,0,49,49,,,56
80,48,9,1,58,58,,,91
81,64,15,1,73,73,,,101
82,61,7,2,80,80,,,144
83,81,6,2,86,86,,,146
84,48,6,0,92,92,,,147
85,46,11,0,103,103,,,151
86,32,5,4,108,108,,,211
87,41,10,5,118,118,,,227
88,31,6,3,124,124,,,234
89,66,10,1,134,134,,,234
90,44,12,1,146,146,,,236
91,56,6,0,152,152,,,239
92,35,0,0,152,152,72,,249
93,71,11,4,163,163,63,,329
94,48,15,5,178,178,70,,365
95,72,9,2,187,187,74,,455
96,76,3,3,190,190,86,,468
97,55,2,1,192,192,85,,513
98,50,6,3,198,198,79,,521
99,55,3,1,201,201,78,,521
100,44,5,0,206,206,94,,546
101,97,7,6,213,213,91,,550
102,82,5,3,218,218,92,,551
103,50,6,2,224,224,89,,578
104,67,14,7,238,238,95,,777
105,77,4,0,242,242,101,,779
106,74,4,0,246,246,99,,798
107,72,3,0,249,249,106,,936
108,44,10,6,259,259,107,,980
109,92,3,6,262,262,112,,980
110,164,8,9,270,270,103,,980
111,119,7,3,277,277,103,,1107
112,89,5,2,282,282,103,,1107
113,70,4,0,286,286,103,,1017
114,48,9,6,295,295,115,,1105
115,104,12,19,307,307,113,,1110
116,103,1,3,308,308,113,,1165
117,104,1,7,309,309,112,,1210
118,64,4,10,313,313,107,,1228
119,60,2,2,315,315,113,,1229
120,89,3,0,318,318,117,,1231
121,79,1,9,319,319,121,,1234
122,60,7,8,326,326,126,,1236
123,83,4,1,330,330,115,,1247
124,82,5,8,335,335,115,,1247
125,92,12,12,347,347,115,,1258
126,40,12,1,359,359,114,,1268
127,56,9,0,368,368,109,,1269
128,69,15,10,383,383,105,,1275
129,147,2,8,385,385,103,,1388
130,67,8,9,393,393,97,,1767
131,79,15,5,408,408,88,,2082
132,75,11,4,419,419,93,,2197
133,60,0,1,419,419,92,,2204
134,48,1,1,420,420,91,,2434
135,34,1,4,421,421,91,,2550
136,55,5,9,426,426,105,,2691
137,100,12,9,438,438,110,,2730
138,106,2,6,440,440,105,,2802
139,53,9,4,449,449,107,,2940
140,106,2,3,451,451,96,,2948
141,34,5,0,456,456,98,,2954
142,64,6,11,462,462,97,,3071
143,46,6,9,468,468,88,,3157
144,81,4,8,472,472,86,,3187
145,77,4,5,476,476,89,,3247
146,66,11,5,487,487,84,,3319
147,24,2,3,489,489,86,,3392
148,36,3,0,492,492,78,,3392
149,53,4,8,496,496,80,,3501
150,46,4,7,500,500,81,,3585
151,31,4,7,504,504,73,,3665
152,42,-1,7,503,503,76,,3843
153,48,10,3,513,513,70,,3905
154,19,0,2,513,513,62,,3987
155,27,6,0,519,519,69,,4041
156,19,2,6,521,521,62,,4067
157,72,10,4,531,531,56,,4104
158,14,2,1,533,533,56,,4140
159,36,16,6,549,549,61,,4209
160,32,2,2,551,551,55,,4244
161,26,2,0,553,553,55,,4275
162,14,5,0,558,558,54,,4290
163,13,0,4,558,558,51,,4316
164,27,0,4,558,558,49,,4358
165,40,2,10,560,560,47,,4370
166,33,1,8,561,561,32,,4381
167,46,1,2,562,562,35,,4401
168,30,3,0,565,565,37,,4412
169,13,0,0,565,565,34,,4435
170,22,0,4,565,565,37,,4463
171,20,0,2,565,565,32,,4491
172,20,2,2,567,567,31,,4508
173,35,2,1,569,569,25,,4597
174,0,0,0,569,569,25,,4597
175,40,1,5,570,570,25,,4684
176,17,4,1,574,574,25,,4706
177,18,3,2,577,577,24,,4758
178,20,1,2,578,578,22,,4817
179,21,3,1,581,581,24,,4831
180,18,4,3,585,585,20,,4897
181,33,4,1,589,589,22,,5013
182,30,0,0,589,589,22,,5027
183,14,0,0,589,589,24,,5056
184,23,76,1,665,665,23,,5101
185,22,3,2,668,668,24,,5125
186,26,0,1,668,668,22,,5136
187,26,2,0,670,670,24,,5188
188,23,2,1,672,672,20,,5221
189,15,1,2,673,673,17,,5251
190,46,0,0,673,673,20,,5286
191,13,4,2,677,677,23,,5316
192,33,3,2,680,680,24,,5341
193,23,1,3,681,681,26,,5345
194,57,4,2,685,685,27,,5393
195,40,1,2,686,686,27,,5438
196,21,2,0,688,688,20,,5438
197,5,1,0,689,689,20,,5625
198,59,1,0,690,690,21,,5688
199,13,0,2,690,690,22,,5710
200,31,2,4,692,692,21,,5722
201,39,1,0,693,693,18,,5772
202,30,2,1,695,695,22,,5794
203,21,1,0,696,696,24,,5820
204,26,1,1,697,697,23,,5848
205,33,1,1,698,698,23,,5915
206,26,0,0,698,698,20,,5923
207,23,1,1,699,699,21,,5941
208,37,1,0,700,700,23,,5995
209,39,0,0,700,700,24,,6049
210,13,1,0,701,701,23,,6063
211,9,3,0,704,704,20,,6095
212,21,1,0,705,705,21,,6126
213,26,0,1,705,705,18,,6162
214,34,0,2,705,705,15,,6190
215,43,0,0,705,705,15,,6190
216,16,1,1,706,706,15,,6264
217,8,2,0,708,708,13,,6287
218,16,1,0,709,709,15,,6302
219,13,3,1,712,712,12,,6333
220,19,0,3,712,712,12,,6347
221,14,-2,1,710,710,11,,6367
222,21,-1,0,709,709,14,,6385
223,21,1,1,710,710,14,,6405
224,15,1,0,711,711,12,,6428
225,27,1,0,712,712,11,,6450
226,16,1,0,713,713,8,,6484
227,9,0,1,713,713,8,,6510
228,35,0,1,713,713,9,,6542
229,22,0,1,713,713,8,,6554
230,30,1,0,714,714,7,,6571
231,8,0,0,714,714,6,,6600
232,21,0,0,714,714,6,,6615
233,22,1,0,715,715,8,,6634
234,12,0,0,715,715,9,,6653
235,38,0,0,715,715,10,,6675
236,21,1,0,716,716,9,,6727
237,56,1,0,717,717,9,,6742
238,23,1,1,718,718,10,,6766
239,29,0,0,718,718,7,,6805
240,18,0,0,718,718,7,,6825
241,23,1,0,719,719,9,,6842
242,56,0,1,719,719,7,,6867
243,47,1,0,720,720,7,,6870
244,32,1,1,721,721,6,,6920
245,44,0,1,721,721,7,,6953
246,18,0,0,721,721,7,,6987
247,34,1,2,722,722,9,,7022
248,32,1,0,723,723,8,,7083
249,34,2,0,725,725,7,,7104
250,47,0,0,725,725,7,,7117
251,59,0,0,725,725,8,,7164
252,27,0,0,725,725,10,,7201
253,5,1,0,726,726,11,,7226
254,38,1,0,727,727,11,,7259
255,17,1,0,728,728,17,,7303
256,37,4,0,732,732,16,,7325
257,41,11,0,743,743,19,,7343
258,36,-9,1,734,734,18,,7379
259,51,2,0,736,736,20,,7403
260,36,1,0,737,737,16,,7430
261,25,1,0,738,738,13,,7463
262,33,0,0,738,738,14,,7522
263,51,0,2,738,738,15,,7534
264,217,5,1,743,743,20,,7636
265,63,0,0,743,743,17,,7655
266,48,0,1,743,743,23,,7710
267,35,0,1,743,743,22,,7746
268,51,0,2,743,743,20,,7785
269,69,2,2,745,745,18,,7845
270,78,2,1,747,747,14,,7898
271,92,1,1,748,748,13,,7935
272,122,2,5,750,750,21,,7945
273,51,2,1,752,752,22,,8002
274,65,0,0,752,752,17,,8014
275,71,6,0,758,758,17,,8036
276,70,2,2,760,760,19,,8068
277,77,1,5,761,761,18,,8134
278,88,0,2,761,761,16,,8155
279,111,0,1,761,761,18,,8222
280,69,0,1,761,761,17,,8256
281,52,0,1,761,761,16,,8258
282,82,2,0,763,763,16,,8536
283,89,0,1,763,763,14,,8650
284,77,2,1,765,765,18,,8692
285,118,0,1,765,765,15,,8745
286,126,0,2,765,765,19,,8819
287,90,1,0,766,766,23,,8823
288,69,2,2,768,768,25,,8920
289,134,3,0,771,771,31,,8989
290,110,4,3,775,775,29,,9129
291,127,0,4,775,775,30,,9180
292,116,2,0,777,777,30,,9186
293,200,2,1,779,779,42,,9263
294,130,1,0,780,780,38,,9379
295,106,1,0,781,781,41,,9430
296,128,3,0,784,784,41,,9515
297,115,3,1,787,787,42,,9625
298,245,1,2,788,788,44,,9776
299,204,2,2,790,790,48,,9894
300,229,1,1,791,791,49,,9980
301,247,3,0,794,794,55,,10096
302,211,0,0,794,794,56,,10153
303,220,2,0,796,796,64,,10233
304,229,4,3,800,800,69,,10262
305,322,4,3,804,804,69,,10447
306,459,7,3,811,811,69,,10688
307,382,-7,1,804,804,68,,10842
308,360,0,0,804,804,69,,10866
309,358,13,1,817,817,74,,11185
310,274,0,2,817,817,77,,11250
311,446,5,2,822,822,91,,11478
312,528,4,2,826,826,98,,11765
313,520,1,1,827,827,108,,12201
314,484,2,1,829,829,116,,12599
315,317,1,4,830,830,117,,12887
316,444,1,0,831,831,121,,13226
317,340,1,1,832,832,121,,13558
318,394,1,1,833,833,125,,13969
319,0,0,0,833,833,125,,13969
320,537,3,3,836,836,131,,14226
321,689,1,6,837,837,133,,14642
322,478,2,3,839,839,146,,14999
323,514,0,0,839,839,160,,15323
324,772,2,2,841,841,160,,16216
325,566,1,9,842,842,162,,17101
326,593,2,7,844,844,156,,18039
327,765,0,8,844,844,159,,18418
328,448,3,7,847,847,146,,19034
329,633,2,5,849,849,169,,19553
330,1045,0,2,849,849,185,,19864
331,807,0,0,849,849,211,,20239
332,969,2,4,851,851,232,,20513
333,681,1,14,852,852,248,,21386
334,1187,4,6,856,856,258,,22046
335,784,1,10,857,857,247,,23046
336,712,4,3,861,861,251,,23793
337,919,1,1,862,862,256,,24519
338,670,1,0,863,863,252,,25464
339,888,7,21,870,870,286,,26128
340,831,7,4,877,877,284,,26707
341,696,4,9,881,881,273,,27459
342,649,5,12,886,886,258,,28234
343,933,3,6,889,889,261,,28978
344,846,0,0,889,889,278,,30044
345,620,0,0,889,889,297,,30867
346,504,3,21,892,892,305,,31426
347,390,2,13,894,894,298,,32324
348,0,0,0,894,894,298,,32324
349,1031,0,11,894,894,277,,33113
350,876,1,7,895,895,270,,33107
351,861,0,7,895,895,269,,35447
352,1027,6,20,901,901,295,,36079
353,545,0,6,901,901,306,,36739
354,786,1,18,902,902,317,,37350
355,0,0,0,902,902,317,,37350
356,1156,8,10,910,910,335,,37947
357,1266,3,11,913,913,325,,39574
358,878,3,1,916,916,319,,40347
359,664,2,11,918,918,305,,40720
360,846,1,24,919,919,301,,41237
361,423,3,11,922,922,314,,41804
362,891,0,19,922,922,297,,42495
363,719,0,16,922,922,268,,43374
364,729,0,7,922,922,262,,44277
365,707,12,0,934,934,267,,45320
366,841,3,9,937,937,287,,46031
367,977,5,7,942,942,275,,46633
368,653,2,12,944,944,270,,47153
369,722,9,11,953,953,255,,48018
370,445,2,19,955,955,252,,48937
371,919,2,6,957,957,243,,49544
372,1000,0,0,957,957,237,,50487
373,845,14,5,971,971,254,,51645
374,728,5,12,976,976,254,,52251
375,857,6,12,982,982,240,,53128
376,657,7,9,989,989,249,,53773
377,625,3,10,992,992,229,,54644
378,761,8,6,1000,1000,239,,55228
379,431,7,3,1007,1007,230,,56151
380,404,5,4,1012,1012,213,,56748
381,391,2,12,1014,1014,223,,57343
382,695,7,16,1021,1021,222,,57862
383,580,8,14,1029,1029,214,,58414
384,524,4,6,1033,1033,217,,59082
385,333,4,15,1037,1037,200,,59752
386,363,-1,2,1036,1036,193,,60337
387,326,0,7,1036,1036,202,,61096
388,337,6,10,1042,1042,207,,61564
389,396,6,9,1048,1048,209,,61933
390,478,2,6,1050,1050,198,,62442
391,466,4,7,1054,1054,183,,62942
392,318,2,6,1056,1056,186,,63614
393,120,2,2,1058,1058,179,,64148
394,419,5,3,1063,1063,159,,64639
395,329,2,7,1065,1065,142,,64989
396,365,4,1,1069,1069,138,,65349
397,460,2,9,1071,1071,131,,65730
398,433,2,4,1073,1073,128,,66122
399,280,2,3,1075,1075,126,,66287
400,232,2,2,1077,1077,125,,66929
401,198,3,1,1080,1080,119,,67222
402,750,3,12,1083,1083,126,,67445
403,434,2,2,1085,1085,126,,68201
404,368,7,2,1092,1092,116,,68559
405,394,0,1,1092,1092,109,,68927
406,252,1,1,1093,1093,109,,69319
407,252,0,0,1093,1093,109,,69628
408,258,2,1,1095,1095,112,,70040
409,335,6,2,1101,1101,103,,70318
410,310,5,6,1106,1106,97,,70547
411,325,3,4,1109,1109,95,,70899
412,273,5,3,1114,1114,93,,71324
413,258,4,0,1118,1118,87,,71722
414,164,0,0,1118,1118,90,,72055
415,215,1,0,1119,1119,88,,72359
416,187,4,5,1123,1123,89,,72600
417,188,4,3,1127,1127,92,,72809
418,244,-1,0,1126,1126,90,,73004
419,273,1,3,1127,1127,90,,73327
420,166,4,3,1131,1131,68,,73615
