date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,,,,,
30,0,0,0,,,,,
31,0,0,0,,,,,
32,0,0,0,,,,,
33,0,0,0,,,,,
34,0,0,0,,,,,
35,0,0,0,,,,,
36,0,0,0,,,,,
37,0,0,0,,,,,
38,0,0,0,,,,,
39,0,0,0,,,,,
40,0,0,0,,,,,
41,0,0,0,,,,,
42,0,0,0,,,,,
43,0,0,0,,,,,
44,0,0,0,,,,,
45,0,0,0,,,,,
46,0,0,0,,,,,
47,0,0,0,,,,,
48,0,0,0,,,,,
49,0,0,0,,,,,
50,0,0,0,,,,,
51,0,0,0,,,,,
52,0,0,0,,,,,
53,2,0,0,,,,,
54,2,0,0,,,,,
55,0,0,0,,,,,
56,2,0,0,,,,,
57,9,0,0,,,,,
58,1,0,0,,,,,
59,7,0,1,,,,,
60,9,0,0,,,,,
61,25,0,0,,,,,
62,21,0,0,,,,,
63,20,0,1,,,,,
64,80,0,0,,,,,
65,89,0,2,,,,,
66,162,0,3,,,,,
67,313,0,6,,,,,
68,148,0,3,,,,,
69,437,0,6,,,,,
70,587,0,7,,,,,
71,930,0,11,,,,,
72,831,0,20,,,,,
73,727,0,21,,,,,
74,2474,0,27,,,1080,,
75,1949,0,32,,,2000,,
76,2299,0,51,,,2000,,
77,2262,0,26,,,2000,,
78,3250,0,49,,,2000,,
79,2060,0,98,,,2000,,
80,3559,0,111,,,2000,,
81,3335,0,205,,,2000,,
82,4305,0,136,,,3016,,
83,4229,0,242,,,4000,,
84,3381,0,126,,,4000,,
85,3585,0,150,,,6390,,
86,3326,0,297,,,7017,,
87,3021,0,338,,,7026,,
88,3590,0,267,,,7363,,
89,3561,0,285,,,7570,,
90,3563,0,323,,,7618,,
91,3699,0,240,,,7604,,
92,2734,0,164,,,7781,,
93,4240,0,411,,,8185,,
94,2206,0,409,,,8270,,
95,4287,0,421,,,8224,,
96,3150,0,364,,,8011,,
97,2953,0,286,,,7718,,
98,3881,0,171,,,7494,,
99,3505,0,208,,,6986,,
100,3581,0,414,,,7594,,
101,3478,0,343,,,7210,,
102,4124,0,332,,,7240,,
103,2207,0,279,,,6847,,
104,3327,0,280,,,6722,,
105,3515,0,102,,,6573,,
106,2150,0,139,,,6407,,
107,2668,0,428,,,6476,,
108,2408,0,349,,,6289,,
109,2388,0,480,,,6137,,
110,2538,0,336,,,5972,,
111,2541,0,225,,,5713,,
112,3031,0,155,,,5317,,
113,1526,0,62,,,5287,,
114,2332,0,341,,,5328,,
115,1308,0,321,,,5221,,
116,1749,0,264,,,4996,,
117,1827,0,170,,,4605,,
118,1646,0,177,,,4628,,
119,1457,0,151,,,4308,,
120,1415,0,60,,,4195,,
121,813,0,212,,,4328,,
122,833,0,202,,,4226,,
123,1157,0,252,,,3958,,
124,1219,0,197,,,3823,,
125,1197,0,114,,,3564,,
126,1251,0,110,,,3411,,
127,1712,0,83,,,3509,,
128,988,0,152,,,3481,,
129,1405,0,168,,,3405,,
130,1100,0,102,,,3208,,
131,1265,0,148,,,3049,,
132,410,0,99,,,2974,,
133,1055,0,54,,,2857,,
134,943,0,15,,,2755,,
135,676,16373,52,16373,16373,2723,,
136,880,224,151,16597,16597,2761,,
137,1204,181,67,16778,16778,2797,,
138,1050,182,135,16960,16960,2707,,
139,778,161,106,17121,17121,2626,,
140,846,76,67,17197,17197,2497,,
141,474,25,26,17222,17222,2466,,
142,640,168,52,17390,17390,2370,,
143,554,0,112,17390,17390,2250,,
144,480,214,95,17604,17604,1982,,
145,822,276,82,17880,17880,1933,,
146,576,143,58,18023,18023,1933,,
147,280,27,71,18050,18050,1882,,
148,341,0,39,18050,18050,1740,,
149,314,19,93,18069,18069,1736,,
150,567,154,76,18223,18223,1701,,
151,486,269,67,18492,18492,1512,,
152,373,115,49,18607,18607,1480,,
153,460,100,103,18707,18707,1395,,
154,290,30,37,18737,18737,1391,,
155,230,18,52,18755,18755,1342,,
156,345,124,52,18879,18879,1291,,
157,307,131,42,19010,19010,1352,,
158,428,0,32,19010,19010,1258,,
159,410,257,35,19267,19267,1177,,
160,367,0,23,19267,19267,1125,,
161,325,0,15,19267,19267,1105,,
162,286,134,28,19401,19401,1033,,
163,351,111,56,19512,19512,1092,,
164,196,86,46,19598,19598,1196,,
165,324,70,23,19668,19668,1182,,
166,419,84,43,19752,19752,1118,,
167,313,71,36,19823,19823,1103,,
168,331,18,27,19841,19841,1014,,
169,106,6,19,19847,19847,978,,
170,438,0,43,19847,19847,992,,
171,299,207,43,20054,20054,1080,,
172,468,87,27,20141,20141,1027,,
173,435,73,58,20214,20214,1028,,
174,323,19,25,20233,20233,983,,
175,382,4,22,20237,20237,917,,
176,233,0,19,20237,20237,861,,
177,306,9,53,20246,20246,903,,
178,215,180,52,20426,20426,935,,
179,243,79,25,20505,20505,963,,
180,439,62,31,20567,20567,904,,
181,367,65,46,20632,20632,872,,
182,378,0,16,20632,20632,890,,
183,258,0,19,20632,20632,892,,
184,455,0,22,20632,20632,888,,
185,413,142,25,20774,20774,923,,
186,271,0,31,20774,20774,862,,
187,99,229,19,21003,21003,868,,
188,308,61,15,21064,21064,800,,
189,-7,0,8,21064,21064,766,,
190,201,-6,10,21058,21058,798,,
191,353,41,23,21099,21099,833,,
192,443,85,24,21184,21184,873,,
193,294,0,24,21184,21184,869,,
194,502,0,35,21184,21184,800,,
195,554,130,11,21314,21314,831,,
196,539,0,12,21314,21314,725,,
197,477,7,18,21321,21321,695,,
198,526,0,22,21321,21321,718,,
199,524,0,18,21321,21321,761,,
200,239,244,11,21565,21565,759,,
201,727,0,11,21565,21565,695,,
202,426,0,12,21565,21565,695,,
203,357,0,6,21565,21565,695,,
204,293,0,10,21565,21565,738,,
205,404,0,11,21565,21565,470,,
206,392,0,7,21565,21565,784,,
207,419,0,7,21565,21565,754,,
208,403,384,11,21949,21949,551,,
209,411,0,9,21949,21949,540,,
210,366,43,5,21992,21992,483,,
211,278,0,4,21992,21992,545,,
212,491,60,12,22052,22052,538,,
213,494,44,11,22096,22096,592,,
214,709,29,8,22125,22125,545,,
215,604,36,10,22161,22161,514,,
216,323,36,9,22197,22197,520,,
217,50,9,2,22206,22206,450,,
218,338,12,4,22218,22218,472,,
219,380,41,10,22259,22259,468,,
220,382,52,11,22311,22311,471,,
221,141,48,6,22359,22359,433,,
222,325,34,9,22393,22393,414,,
223,459,52,2,22445,22445,376,,
224,282,3,3,22448,22448,411,,
225,258,4,3,22452,22452,446,,
226,355,16,4,22468,22468,432,,
227,326,41,10,22509,22509,425,,
228,360,51,7,22560,22560,455,,
229,399,26,10,22586,22586,436,,
230,393,31,3,22617,22617,437,,
231,314,10,4,22627,22627,480,,
232,372,0,8,22627,22627,484,,
233,380,40,5,22667,22667,463,,
234,348,40,11,22707,22707,514,,
235,421,31,7,22738,22738,504,,
236,493,32,7,22770,22770,466,,
237,384,20,7,22790,22790,389,,
238,351,6,4,22796,22796,403,,
239,360,6,2,22802,22802,389,,
240,308,10,5,22812,22812,419,,
241,391,42,8,22854,22854,423,,
242,490,34,5,22888,22888,435,,
243,524,30,9,22918,22918,483,,
244,504,32,4,22950,22950,462,,
245,324,13,5,22963,22963,444,,
246,368,2,4,22965,22965,420,,
247,489,38,9,23003,23003,406,,
248,445,29,9,23032,23032,462,,
249,636,39,3,23071,23071,431,,
250,551,25,4,23096,23096,413,,
251,510,24,3,23120,23120,412,,
252,489,10,3,23130,23130,380,,
253,435,5,2,23135,23135,349,,
254,510,35,7,23170,23170,417,,
255,490,45,8,23215,23215,459,,
256,644,37,9,23252,23252,433,,
257,627,33,6,23285,23285,405,,
258,829,39,6,23324,23324,426,,
259,760,3,6,23327,23327,416,,
260,619,11,-2,23338,23338,421,,
261,551,41,10,23379,23379,443,,
262,822,60,9,23439,23439,479,,
263,716,38,5,23477,23477,523,,
264,838,34,4,23511,23511,528,,
265,1045,0,4,23511,23511,485,,
266,701,49,1,23560,23560,480,,
267,579,17,2,23577,23577,507,,
268,720,0,9,23577,23577,553,,
269,620,62,5,23639,23639,601,,
270,1412,124,8,23763,23763,652,,
271,983,58,4,23821,23821,666,,
272,990,47,7,23868,23868,641,,
273,847,26,3,23894,23894,619,,
274,553,12,1,23906,23906,662,,
275,1145,71,7,23977,23977,649,,
276,1141,0,9,23977,23977,699,,
277,1179,115,6,24092,24092,733,,
278,1000,68,5,24160,24160,728,,
279,1164,0,2,24160,24160,759,,
280,1430,0,7,24160,24160,732,,
281,1371,113,3,24273,24273,758,,
282,1235,89,13,24362,24362,781,,
283,1301,79,18,24441,24441,844,,
284,1444,76,18,24517,24517,852,,
285,1315,12705,10,37222,37222,874,,
286,2206,40,8,37262,37262,886,,
287,1407,25,4,37287,37287,868,,
288,1495,23,7,37310,37310,948,,
289,2081,104,14,37414,37414,957,,
290,2015,71,18,37485,37485,1010,,
291,1973,64,8,37549,37549,1072,,
292,2398,64,7,37613,37613,1058,,
293,1751,75,11,37688,37688,1090,,
294,2126,33,4,37721,37721,1104,,
295,1795,17,3,37738,37738,1109,,
296,2405,133,18,37871,37871,1133,,
297,3041,87,16,37958,37958,1213,,
298,2576,97,12,38055,38055,1224,,
299,2772,123,13,38178,38178,1336,,
300,3800,72,9,38250,38250,1392,,
301,2494,50,4,38300,38300,1439,,
302,2553,36,11,38336,38336,1537,,
303,4435,117,21,38453,38453,1645,,
304,3733,147,15,38600,38600,1801,,
305,4236,161,19,38761,38761,1827,,
306,4023,105,27,38866,38866,1909,,
307,4970,70,26,38936,38936,2000,,
308,5042,82,18,39018,39018,2004,,
309,2734,88,14,39106,39106,2115,,
310,4735,89,38,39195,39195,2320,,
311,4759,53,37,39248,39248,2446,,
312,4871,400,34,39648,39648,2471,,
313,4325,177,23,39825,39825,2505,,
314,5252,168,34,39993,39993,2552,,
315,4441,106,15,40099,40099,2568,,
316,4040,123,11,40222,40222,2693,,
317,4971,250,47,40472,40472,2785,,
318,4755,234,67,40706,40706,2902,,
319,5160,124,39,40830,40830,2831,,
320,4497,152,17,40982,40982,2796,,
321,4530,136,23,41118,41118,2830,,
322,4499,95,13,41213,41213,2877,,
323,3815,0,15,41213,41213,2961,,
324,5443,92,90,41305,41305,3129,,
325,5155,440,62,41745,41745,3287,,
326,5556,242,64,41987,41987,3292,,
327,6426,176,46,42163,42163,3315,,
328,6048,198,51,42361,42361,3264,,
329,6632,95,15,42456,42456,3241,,
330,4137,104,15,42560,42560,3346,,
331,6319,259,90,42819,42819,3481,,
332,5119,256,116,43075,43075,3533,,
333,5800,184,66,43259,43259,3545,,
334,4335,203,54,43462,43462,3571,,
335,6888,250,70,43712,43712,3543,,
336,4711,122,19,43834,43834,3591,,
337,5337,77,24,43911,43911,3635,,
338,4701,225,97,44136,44136,3660,,
339,6306,325,131,44461,44461,3672,,
340,4911,141,77,44602,44602,3637,,
341,4445,287,44,44889,44889,3582,,
342,4859,143,49,45032,45032,3570,,
343,5731,150,21,45182,45182,3574,,
344,3686,102,29,45284,45284,3607,,
345,5266,260,103,45544,45544,3735,,
346,5453,263,140,45807,45807,3841,,
347,5330,231,78,46038,46038,3802,,
348,5605,164,51,46202,46202,3669,,
349,4331,55,18,46257,46257,3431,,
350,2895,116,17,46373,46373,3469,,
351,3313,110,21,46483,46483,3619,,
352,4407,301,126,46784,46784,3765,,
353,5230,306,175,47090,47090,3727,,
354,5712,236,90,47326,47326,3716,,
355,5918,1246,118,48572,48572,3625,,
356,5799,64,27,48636,48636,3497,,
357,4088,107,21,48743,48743,3521,,
358,2358,27,36,48770,48770,3633,,
359,6271,288,138,49058,49058,3702,,
360,5848,266,141,49324,49324,3744,,
361,7539,191,123,49515,49515,3711,,
362,6949,222,110,49737,49737,3669,,
363,7427,3434,98,53171,53171,3638,,
364,5646,82,32,53253,53253,3589,,
365,5334,82,46,53335,53335,3653,,
366,4587,242,107,53577,53577,3703,,
367,7880,237,122,53814,53814,3726,,
368,7092,190,92,54004,54004,3638,,
369,6369,176,67,54180,54180,3543,,
370,5999,215,94,54395,54395,3677,,
371,5132,92,25,54487,54487,3677,,
372,3853,79,19,54566,54566,3432,,
373,4628,236,54,54802,54802,3506,,
374,5438,205,152,55007,55007,3547,,
375,5049,184,96,55191,55191,3395,,
376,4200,164,115,55355,55355,3328,,
377,7147,3909,59,59264,59264,3236,,
378,5272,105,17,59369,59369,3186,,
379,4143,69,21,59438,59438,3238,,
380,4776,223,133,59661,59661,3251,,
381,4810,218,115,59879,59879,3190,,
382,4746,246,81,60125,60125,3121,,
383,5986,201,82,60326,60326,3116,,
384,5274,145,72,60471,60471,3075,,
385,4286,73,29,60544,60544,2901,,
386,3517,77,29,60621,60621,2865,,
387,3150,201,71,60822,60822,2892,,
388,2311,162,109,60984,60984,2986,,
389,3289,188,100,61172,61172,2971,,
390,4228,161,93,61333,61333,2825,,
391,4511,119,78,61452,61452,2895,,
392,4332,71,25,61523,61523,2837,,
393,2561,74,22,61597,61597,2814,,
394,3576,200,92,61797,61797,2827,,
395,4370,155,147,61952,61952,2786,,
396,3656,156,79,62108,62108,2656,,
397,3732,113,64,62221,62221,2565,,
398,3757,126,47,62347,62347,2514,,
399,2168,59,14,62406,62406,2449,,
400,1445,48,12,62454,62454,2408,,
401,3633,137,31,62591,62591,2411,,
402,4109,127,135,62718,62718,2370,,
403,3277,117,89,62835,62835,2327,,
404,3047,123,63,62958,62958,2202,,
405,2876,104,50,63062,63062,2145,,
406,2031,46,24,63108,63108,2065,,
407,2704,64,16,63172,63172,2023,,
408,3158,18,104,63190,63190,2047,,
409,3119,62,99,63252,63252,2070,,
410,3577,189,70,63441,63441,2032,,
411,3870,119,45,63560,63560,2008,,
412,4134,104,46,63664,63664,1919,,
413,2389,49,14,63713,63713,1849,,
414,3140,64,21,63777,63777,1865,,
415,3289,140,48,63917,63917,1915,,
416,3691,133,128,64050,64050,1921,,
417,3193,87,42,64137,64137,1900,,
418,3701,1117,30,65254,65254,1881,,
419,3720,-916,36,64338,64338,1862,,
