date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,,,,,
54,0,0,0,,,,,
55,0,0,0,,,,,
56,0,0,0,,,,,
57,0,0,0,,,,,
58,0,0,0,,,,,
59,0,0,0,,,,,
60,4,0,0,,,,,
61,2,0,0,,,,,
62,4,0,0,,,,,
63,3,0,0,,,,,
64,4,0,0,,,,,
65,4,0,0,,,,,
66,2,0,0,,,,,
67,5,0,0,,,,,
68,7,0,0,,,,,
69,8,0,0,,,,,
70,14,0,0,,,,,
71,8,0,0,,,,,
72,18,0,1,,,,,
73,17,0,0,,,,,
74,12,0,0,,,,,
75,24,0,0,,,17,,
76,55,0,1,,,19,,2
77,17,0,0,,,22,,26
78,29,0,2,,,22,,26
79,44,0,1,,,24,,26
80,34,0,1,,,31,,26
81,48,0,1,,,31,,26
82,40,0,3,,,41,,26
83,92,0,1,,,37,,54
84,48,0,1,,,45,,130
85,81,0,0,,,48,,133
86,62,0,1,,,51,,171
87,108,0,3,,,59,,201
88,71,0,3,,,73,,217
89,124,0,0,,,75,,235
90,102,0,1,,,78,,235
91,83,0,6,,,80,,235
92,71,181,5,181,181,87,,304
93,100,0,5,181,181,87,,340
94,139,34,0,215,215,90,,353
95,113,15,8,230,230,90,,353
96,114,12,7,242,242,96,,382
97,87,16,2,258,258,92,,465
98,47,16,2,274,274,103,,487
99,126,17,3,291,291,116,,501
100,101,15,7,306,306,119,,529
101,138,25,6,331,331,121,,547
102,169,36,7,367,367,123,,573
103,142,45,6,412,412,152,,614
104,139,0,9,412,412,152,,614
105,66,0,6,412,412,148,,650
106,97,69,5,481,481,155,,666
107,151,28,6,509,509,157,,705
108,239,27,2,536,536,163,,734
109,198,0,11,536,536,172,,760
110,102,51,8,587,587,159,,785
111,219,0,8,587,587,168,,812
112,118,0,12,587,587,164,,832
113,181,80,5,667,667,181,,842
114,107,20,6,687,687,178,,964
115,153,0,7,687,687,193,,1073
116,202,73,3,760,760,197,,1125
117,180,29,9,789,789,201,,1189
118,105,0,10,789,789,198,,1268
119,85,0,9,789,789,194,,1285
120,206,97,8,886,886,207,,1300
121,143,0,11,886,886,199,,1434
122,152,0,12,886,886,200,,1515
123,139,0,11,886,886,209,,1576
124,159,0,11,886,886,223,,1671
125,185,0,6,886,886,208,,1739
126,91,0,6,886,886,211,,1755
127,158,0,5,886,886,213,,1796
128,96,0,6,886,886,204,,1882
129,125,253,7,1139,1139,206,,1985
130,155,0,11,1139,1139,205,,2041
131,153,0,8,1139,1139,206,,2149
132,170,0,6,1139,1139,208,,2357
133,148,104,9,1243,1243,213,,2464
134,83,21,3,1264,1264,216,,2522
135,104,18,5,1282,1282,211,,2564
136,122,0,4,1282,1282,210,,2638
137,112,35,6,1317,1317,196,,2684
138,129,0,9,1317,1317,193,,2728
139,131,0,7,1317,1317,189,,2835
140,65,0,5,1317,1317,182,,2853
141,111,0,6,1317,1317,191,,2888
142,224,99,5,1416,1416,182,,2960
143,116,0,8,1416,1416,170,,3013
144,213,0,8,1416,1416,170,,3115
145,319,73,4,1489,1489,175,,3206
146,128,0,5,1489,1489,176,,3286
147,140,44,4,1533,1533,177,,3307
148,122,25,4,1558,1558,183,,3380
149,43,25,4,1583,1583,193,,3699
150,145,0,6,1583,1583,197,,3806
151,117,42,10,1625,1625,183,,3380
152,159,0,6,1625,1625,179,,3983
153,95,0,5,1625,1625,172,,4072
154,102,0,4,1625,1625,162,,4114
155,122,61,5,1686,1686,161,,4160
156,88,12,7,1698,1698,156,,4217
157,132,17,5,1715,1715,161,,4351
158,88,11,4,1726,1726,157,,4439
159,107,9,8,1735,1735,147,,4512
160,170,5,2,1740,1740,145,,4628
161,135,6,3,1746,1746,134,,4684
162,129,8,0,1754,1754,139,,4742
163,144,22,7,1776,1776,141,,4874
164,152,17,4,1793,1793,149,,4984
165,202,18,5,1811,1811,135,,5047
166,216,17,4,1828,1828,128,,5149
167,211,23,2,1851,1851,122,,5251
168,190,14,1,1865,1865,114,,5264
169,173,11,1,1876,1876,119,,5296
170,165,26,4,1902,1902,127,,5393
171,129,26,3,1928,1928,127,,5514
172,244,17,3,1945,1945,127,,5627
173,256,25,8,1970,1970,130,,5802
174,287,18,2,1988,1988,121,,5845
175,193,18,0,2006,2006,119,,5860
176,251,27,2,2033,2033,129,,5902
177,220,23,4,2056,2056,133,,5986
178,290,45,8,2101,2101,154,,6051
179,234,36,6,2137,2137,154,,6118
180,298,24,6,2161,2161,151,,6181
181,224,26,4,2187,2187,158,,6271
182,255,17,2,2204,2204,170,,6322
183,263,23,3,2227,2227,172,,6363
184,223,34,3,2261,2261,171,,6429
185,327,23,6,2284,2284,174,,6496
186,297,28,5,2312,2312,170,,6578
187,318,25,3,2337,2337,166,,6654
188,280,27,4,2364,2364,160,,6736
189,235,23,2,2387,2387,161,,6764
190,244,12,7,2399,2399,154,,6814
191,302,34,10,2433,2433,154,,6870
192,311,37,3,2470,2470,178,,6974
193,335,30,5,2500,2500,167,,7056
194,312,25,5,2525,2525,161,,7156
195,313,17,6,2542,2542,148,,7268
196,254,18,7,2560,2560,144,,7349
197,460,30,5,2590,2590,159,,7459
198,289,24,7,2614,2614,160,,7657
199,345,29,6,2643,2643,158,,7817
200,252,24,3,2667,2667,156,,8015
201,212,19,7,2686,2686,152,,8139
202,196,17,9,2703,2703,134,,8286
203,220,17,3,2720,2720,127,,8343
204,114,10,1,2730,2730,131,,8463
205,210,23,3,2753,2753,133,,8685
206,226,28,9,2781,2781,138,,8828
207,207,22,2,2803,2803,138,,8950
208,192,16,6,2819,2819,132,,9166
209,150,19,6,2838,2838,127,,9262
210,200,13,4,2851,2851,121,,9319
211,129,19,5,2870,2870,127,,9428
212,199,27,3,2897,2897,134,,9612
213,173,10,2,2907,2907,119,,9744
214,171,21,2,2928,2928,128,,9980
215,173,18,6,2946,2946,125,,10182
216,142,11,8,2957,2957,113,,10391
217,106,8,3,2965,2965,109,,10481
218,92,19,4,2984,2984,119,,10602
219,79,14,5,2998,2998,111,,10802
220,170,4,6,3002,3002,94,,10976
221,202,7,5,3009,3009,74,,11145
222,144,9,5,3018,3018,65,,11312
223,207,12,4,3030,3030,68,,11458
224,94,1,2,3031,3031,64,,11539
225,73,10,2,3041,3041,68,,11668
226,66,9,3,3050,3050,64,,11909
227,197,24,5,3074,3074,71,,12193
228,188,17,9,3091,3091,68,,12446
229,122,15,3,3106,3106,72,,12679
230,136,10,2,3116,3116,67,,12820
231,105,10,1,3126,3126,66,,12913
232,69,8,9,3134,3134,65,,12960
233,108,17,8,3151,3151,72,,13073
234,152,8,3,3159,3159,71,,13180
235,200,10,1,3169,3169,75,,13283
236,90,2,3,3171,3171,69,,13412
237,146,0,6,3171,3171,68,,13460
238,59,15,3,3186,3186,65,,13530
239,37,9,4,3195,3195,65,,13604
240,37,7,0,3202,3202,68,,13701
241,87,17,6,3219,3219,77,,13928
242,161,19,3,3238,3238,80,,14120
243,134,9,2,3247,3247,73,,14276
244,98,16,3,3263,3263,67,,14396
245,100,4,2,3267,3267,59,,14407
246,81,7,0,3274,3274,60,,14470
247,81,10,7,3284,3284,59,,14634
248,118,10,2,3294,3294,59,,14842
249,158,19,4,3313,3313,69,,15106
250,151,7,5,3320,3320,72,,15256
251,162,15,6,3335,3335,68,,15342
252,67,6,2,3341,3341,64,,15412
253,104,17,2,3358,3358,71,,15518
254,107,13,3,3371,3371,69,,15586
255,197,17,3,3388,3388,72,,15669
256,237,14,2,3402,3402,66,,15825
257,263,18,6,3420,3420,75,,16020
258,205,15,5,3435,3435,72,,16211
259,152,8,0,3443,3443,66,,16301
260,141,20,3,3463,3463,76,,16422
261,172,12,2,3475,3475,80,,16565
262,278,20,2,3495,3495,85,,16671
263,226,23,5,3518,3518,86,,16926
264,339,16,5,3534,3534,89,,17055
265,296,15,3,3549,3549,95,,17210
266,181,12,2,3561,3561,91,,17270
267,155,20,2,3581,3581,97,,17330
268,315,28,0,3609,3609,110,,17489
269,425,16,2,3625,3625,109,,17766
270,384,27,3,3652,3652,119,,18045
271,485,26,3,3678,3678,133,,18335
272,481,26,5,3704,3704,130,,18621
273,261,6,4,3710,3710,120,,18680
274,379,25,4,3735,3735,127,,18791
275,351,23,3,3758,3758,125,,18960
276,577,31,3,3789,3789,145,,19127
277,668,30,1,3819,3819,150,,19457
278,812,42,6,3861,3861,168,,19613
279,573,50,1,3911,3911,173,,19853
280,445,29,5,3940,3940,171,,19894
281,514,37,1,3977,3977,183,,20001
282,594,53,7,4030,4030,205,,20165
283,819,49,8,4079,4079,202,,20332
284,662,49,3,4128,4128,213,,20562
285,791,41,7,4169,4169,229,,20655
286,872,70,5,4239,4239,264,,20765
287,823,38,2,4277,4277,287,,20837
288,723,44,9,4321,4321,289,,20910
289,583,56,4,4377,4377,307,,21063
290,657,52,11,4429,4429,313,,21224
291,1078,63,3,4492,4492,323,,21389
292,1005,61,13,4553,4553,334,,21491
293,581,64,11,4617,4617,354,,21570
294,742,56,8,4673,4673,365,,21623
295,872,64,10,4737,4737,382,,21758
296,1136,100,9,4837,4837,401,,21942
297,1011,59,14,4896,4896,393,,22274
298,859,73,23,4969,4969,400,,22459
299,1284,51,6,5020,5020,402,,22811
300,1277,71,16,5091,5091,441,,23088
301,1210,31,14,5122,5122,437,,23205
302,1408,82,12,5204,5204,423,,23457
303,1258,61,14,5265,5265,425,,23736
304,1487,91,14,5356,5356,481,,23981
305,1742,52,18,5408,5408,471,,24291
306,1230,64,22,5472,5472,455,,24449
307,1165,51,10,5523,5523,480,,24788
308,1030,47,7,5570,5570,506,,25089
309,1253,114,21,5684,5684,738,,25411
310,2105,102,28,5786,5786,754,,26338
311,2892,89,26,5875,5875,776,,26835
312,3665,90,12,5965,5965,774,,27659
313,2982,46,23,6011,6011,808,,28130
314,2342,61,25,6072,6072,825,,28574
315,2456,33,33,6105,6105,845,,28857
316,2252,124,17,6229,6229,846,,29183
317,2099,80,28,6309,6309,871,,29568
318,1855,72,23,6381,6381,897,,30170
319,1694,113,18,6494,6494,880,,30777
320,2056,48,35,6542,6542,874,,31102
321,2130,89,23,6631,6631,854,,31482
322,1435,49,13,6680,6680,919,,32050
323,1678,102,28,6782,6782,876,,32569
324,2324,116,21,6898,6898,909,,33458
325,1544,121,40,7019,7019,940,,34411
326,1899,59,44,7078,7078,947,,35179
327,2073,106,33,7184,7184,934,,35781
328,1921,83,32,7267,7267,925,,36388
329,1232,54,11,7321,7321,919,,37041
330,1859,86,7,7407,7407,935,,38131
331,1255,116,33,7523,7523,925,,39725
332,1748,74,34,7597,7597,917,,40058
333,1781,39,23,7636,7636,916,,41177
334,1834,101,43,7737,7737,932,,42415
335,1793,95,24,7832,7832,907,,43091
336,1442,46,44,7878,7878,878,,44130
337,1499,159,21,8037,8037,860,,46505
338,1258,102,28,8139,8139,865,,48105
339,1800,160,43,8299,8299,838,,49609
340,1688,109,48,8408,8408,852,,50784
341,1455,163,31,8571,8571,889,,52137
342,1430,123,27,8694,8694,891,,53278
343,1063,39,16,8733,8733,820,,54357
344,815,113,9,8846,8846,796,,55803
345,1267,101,23,8947,8947,810,,56844
346,1167,60,40,9007,9007,809,,57980
347,1924,111,29,9118,9118,811,,58917
348,1456,41,35,9159,9159,774,,59178
349,604,22,9,9181,9181,749,,59506
350,742,85,30,9266,9266,758,,60528
351,691,139,34,9405,9405,788,,61899
352,1216,108,23,9513,9513,806,,63232
353,1311,101,33,9614,9614,792,,64218
354,1678,75,41,9689,9689,803,,65533
355,1278,67,25,9756,9756,791,,66638
356,1237,58,32,9814,9814,662,,67573
357,1015,92,17,9906,9906,716,,68876
358,921,128,23,10034,10034,703,,69903
359,1184,129,20,10163,10163,740,,70737
360,1485,115,47,10278,10278,712,,72089
361,1835,88,39,10366,10366,722,,74235
362,1637,144,30,10510,10510,703,,75883
363,1498,112,22,10622,10622,696,,76801
364,1203,37,17,10659,10659,682,,77731
365,930,62,15,10721,10721,704,,78826
366,887,94,30,10815,10815,715,,80580
367,1145,57,13,10872,10872,702,,81603
368,1424,75,29,10947,10947,691,,82809
369,1262,58,38,11005,11005,670,,84015
370,1088,70,36,11075,11075,632,,84803
371,744,31,22,11106,11106,612,,86110
372,626,69,26,11175,11175,611,,87502
373,691,35,17,11210,11210,643,,88982
374,881,70,34,11280,11280,605,,89756
375,988,60,35,11340,11340,644,,91096
376,908,72,33,11412,11412,624,,92109
377,848,45,38,11457,11457,627,,93141
378,626,66,30,11523,11523,435,,94141
379,491,75,12,11598,11598,435,,95848
380,600,102,14,11700,11700,561,,96659
381,751,124,27,11824,11824,586,,98042
382,672,82,28,11906,11906,556,,99524
383,1079,83,22,11989,11989,538,,101054
384,741,58,17,12047,12047,548,,102298
385,525,28,18,12075,12075,479,,102961
386,486,44,12,12119,12119,477,,104125
387,432,66,15,12185,12185,492,,105568
388,670,62,28,12247,12247,476,,107645
389,559,73,17,12320,12320,445,,108144
390,582,61,23,12381,12381,396,,109068
391,421,11,8,12392,12392,419,,110240
392,342,16,13,12408,12408,403,,111037
393,311,37,13,12445,12445,396,,112051
394,413,60,18,12505,12505,369,,113448
395,510,52,31,12557,12557,379,,114976
396,533,2,18,12559,12559,371,,116518
