date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,,,,,
54,2,0,0,,,,,
55,1,0,0,,,,,
56,0,0,0,,,,,
57,1,0,0,,,,,
58,0,0,0,,,,,
59,4,0,0,,,,,
60,3,0,0,,,,,
61,10,0,0,,,,,
62,12,0,0,,,,,
63,11,0,1,,,,,
64,18,0,0,,,,,
65,10,0,0,,,,,
66,5,0,1,,,,,
67,23,0,1,,,,,
68,8,0,0,,,,,
69,15,0,2,,,,,
70,30,0,2,,,,,
71,36,0,1,,,,,
72,88,0,5,,,,,
73,43,0,0,,,,,
74,99,0,4,,,,,
75,115,0,4,,,,,
76,86,0,4,,,,,
77,117,0,3,,,,,
78,258,0,4,,,,,
79,117,0,5,,,,,
80,166,0,8,,,,,
81,179,0,6,,,,,
82,56,0,8,,,,,
83,228,0,11,,,,,
84,94,0,6,,,,,
85,117,0,3,,,,,
86,134,0,12,,,282,,
87,231,0,10,,,282,,
88,138,0,9,,,282,,
89,128,0,10,,,282,,
90,116,0,5,,,282,,
91,136,0,3,,,282,,
92,135,0,5,,,,,
93,117,0,8,,,,,
94,123,0,9,,,,,
95,110,0,8,,,,,
96,203,0,4,,,,,
97,102,0,6,,,,,
98,102,0,4,,,,,
99,102,0,8,,,,,
100,107,0,13,,,,,
101,144,0,8,,,,,
102,127,0,9,,,,,
103,190,0,6,,,,,
104,141,0,13,,,,,
105,63,0,6,,,,,
106,88,0,10,,,,,
107,115,0,6,,,,,
108,93,0,6,,,,,
109,100,0,12,,,,,
110,229,0,8,,,,,
111,84,0,4,,,,,
112,112,0,6,,,,,
113,68,0,5,,,,,
114,103,0,5,,,,,
115,69,0,14,,,,,
116,103,0,9,,,,,
117,118,0,8,,,,,
118,144,0,6,,,,,
119,70,0,5,,,444,,
120,54,0,5,,,482,,
121,159,0,6,,,522,,
122,83,0,5,,,522,,
123,105,0,3,,,515,,
124,115,0,10,,,425,,
125,95,0,1,,,423,,
126,148,0,6,,,423,,
127,49,0,8,,,423,,
128,140,0,7,,,405,,
129,120,0,3,,,437,,
130,89,0,4,,,410,,
131,146,0,3,,,404,,
132,295,0,4,,,402,,
133,74,0,4,,,373,,
134,109,0,2,,,380,,
135,118,0,2,,,390,,
136,116,0,4,,,435,,
137,95,0,9,,,439,,
138,142,0,10,,,371,,
139,145,0,4,,,371,,
140,98,0,5,,,336,,
141,95,0,1,,,361,,
142,142,0,7,,,365,,
143,101,0,3,,,372,,
144,159,0,5,,,364,,
145,176,0,0,,,341,,
146,194,0,3,,,348,,
147,189,0,2,,,348,,
148,137,0,4,,,339,,
149,244,0,3,,,350,,
150,134,0,2,,,359,,
151,235,0,1,,,337,,
152,277,0,0,,,328,,
153,270,0,3,,,351,,
154,227,0,1,,,332,,
155,106,0,4,,,346,,
156,379,0,2,,,349,,
157,184,0,1,,,360,,
158,234,0,3,,,357,,
159,410,0,2,,,370,,
160,445,0,0,,,370,,
161,274,0,1,,,370,,
162,330,0,0,,,373,,
163,462,0,0,,,389,,
164,595,0,2,,,439,,
165,887,0,1,,,467,,
166,381,0,3,,,471,,
167,479,0,2,,,503,,
168,821,0,0,,,511,,
169,734,0,4,,,555,,
170,562,0,3,,,593,,
171,645,0,4,,,630,,
172,632,0,14,,,662,,
173,985,0,3,,,704,,
174,857,0,2,,,749,,
175,843,0,4,,,760,,
176,491,0,3,,,748,,
177,876,0,11,,,849,,
178,516,0,5,,,876,,
179,603,0,18,,,935,,
180,1004,0,8,,,924,,
181,930,0,13,,,918,,
182,845,0,1,,,895,,
183,832,0,0,,,953,,
184,1104,0,19,,,983,,
185,849,0,6,,,1051,,
186,1447,0,8,,,1051,,
187,1380,0,11,,,1000,,
188,1182,0,9,,,1006,,
189,1288,0,1,,,1045,,
190,948,0,1,,,1086,,
191,815,0,28,,,1095,,
192,1129,0,28,,,1102,,
193,1262,0,5,,,1136,,
194,966,0,13,,,1160,,
195,931,0,10,,,1147,,
196,1018,0,2,,,1147,,
197,997,0,5,,,1112,,
198,1105,0,20,,,1147,,
199,870,0,21,,,1110,,
200,1018,0,21,,,1145,,
201,1264,0,29,,,1159,,
202,986,0,2,,,1165,,
203,1131,0,0,,,1165,,
204,994,0,15,,,1152,,
205,980,0,15,,,1146,,
206,649,0,28,,,1148,,
207,729,0,10,,,1117,,
208,976,0,20,,,1035,,
209,886,0,29,,,976,,
210,811,0,8,,,976,,
211,742,0,6,,,1014,,
212,548,0,18,,,971,,
213,528,0,15,,,998,,
214,602,0,34,,,982,,
215,1099,0,15,,,948,,
216,859,0,24,,,941,,
217,697,0,3,,,941,,
218,662,0,5,,,869,,
219,672,0,25,,,903,,
220,389,0,32,,,867,,
221,556,0,38,,,874,,
222,849,0,13,,,807,,
223,636,0,12,,,825,,
224,532,0,0,,,825,,
225,409,0,3,,,771,,
226,403,0,30,,,772,,
227,253,0,20,,,761,,
228,554,0,21,,,727,,
229,632,0,16,,,707,,
230,609,0,15,,,675,,
231,447,0,0,,,675,,
232,320,0,3,,,664,,
233,405,0,8,,,643,,
234,239,0,23,,,675,,
235,351,0,27,,,631,,
236,489,0,12,,,611,,
237,390,0,13,,,597,,
238,508,0,1,,,597,,
239,357,0,4,,,597,,
240,137,0,0,,,538,,
241,154,0,19,,,552,,
242,288,0,17,,,519,,
243,260,0,10,,,476,,
244,414,0,10,,,476,,
245,317,0,3,,,476,,
246,277,0,4,,,473,,
247,226,0,26,,,483,,
248,208,0,12,,,488,,
249,347,0,12,,,484,,
250,501,0,18,,,461,,
251,323,0,4,,,443,,
252,385,0,3,,,443,,
253,232,0,0,,,449,,
254,262,0,15,,,441,,
255,509,0,10,,,479,,
256,390,0,8,,,468,,
257,556,0,9,,,460,,
258,602,0,9,,,442,,
259,373,0,3,,,442,,
260,463,0,0,,,451,,
261,404,0,8,,,446,,
262,385,0,7,,,452,,
263,430,0,3,,,449,,
264,772,0,6,,,463,,
265,526,0,11,,,442,,
266,392,0,3,,,442,,
267,337,0,0,,,441,,
268,479,0,6,,,485,,
269,431,0,7,,,495,,
270,480,0,13,,,498,,
271,766,0,8,,,502,,
272,806,0,2,,,519,,
273,380,0,2,,,519,,
274,569,0,3,,,509,,
275,487,0,10,,,505,,
276,479,0,17,,,519,,
277,655,0,7,,,486,,
278,716,0,9,,,469,,
279,967,0,0,,,503,,
280,609,0,3,,,503,,
281,582,0,2,,,485,,
282,656,0,15,,,506,,
283,565,0,5,,,535,,
284,789,0,4,,,520,,
285,813,0,2,,,493,,
286,1146,0,5,,,493,,
287,891,0,5,,,493,,
288,475,0,1,,,531,,
289,730,0,7,,,568,,
290,571,0,10,,,565,,
291,1075,0,3,,,594,,
292,1232,0,8,,,594,,
293,977,0,0,,,585,,
294,716,0,4,,,585,,
295,635,0,3,,,678,,
296,911,0,23,,,695,,
297,1068,0,7,,,696,,
298,1267,0,10,,,740,,
299,1562,0,21,,,770,,
300,1824,0,5,,,826,,
301,1276,0,1,,,826,,
302,960,0,1,,,891,,
303,1322,0,7,,,898,,
304,1107,0,18,,,950,,
305,1469,0,3,,,941,,
306,1857,0,13,,,985,,
307,2269,0,15,,,1025,,
308,1177,0,1,,,1025,,
309,1914,0,8,,,1157,,
310,1697,0,27,,,1159,,
311,1665,0,3,,,1246,,
312,2416,0,6,,,1288,,
313,1839,0,29,,,1283,,
314,2019,0,29,,,1273,,
315,2155,0,6,,,1273,,
316,2339,0,6,,,1274,,
317,2853,0,24,,,1399,,
318,3159,0,24,,,1414,,
319,2542,0,22,,,1440,,
320,1536,0,2,,,1440,,
321,2912,0,24,,,1460,,
322,1298,0,17,,,1460,,
323,1642,0,8,,,1545,,
324,2698,0,22,,,1589,,
325,2129,0,35,,,1652,,
326,2536,0,48,,,1645,,
327,2902,0,23,,,1678,,
328,3194,0,29,,,1789,,
329,2511,0,14,,,1789,,
330,2448,0,4,,,1767,,
331,2694,0,40,,,1784,,
332,3053,0,25,,,1811,,
333,2193,0,50,,,1824,,
334,2783,0,45,,,1854,,
335,2641,0,41,,,1823,,
336,2882,0,19,,,1823,,
337,2579,0,9,,,2025,,
338,2320,0,48,,,1979,,
339,2366,0,57,,,1550,,
340,2281,0,20,,,1975,,
341,2878,0,35,,,1951,,
342,2601,0,43,,,1924,,
343,2087,0,30,,,1924,,
344,1939,0,6,,,1996,,
345,1090,0,38,,,1996,,
346,2988,0,46,,,2001,,
347,2249,0,45,,,1908,,
348,1853,0,27,,,1885,,
349,1589,0,1,,,1885,,
350,1856,0,8,,,1885,,
351,868,0,21,,,1899,,
352,1747,0,46,,,1929,,
353,2470,0,47,,,1988,,
354,2137,0,59,,,1927,,
355,2315,0,21,,,1871,,
356,1825,0,5,,,1871,,
357,2747,0,32,,,1871,,
358,1414,0,23,,,1879,,
359,2423,0,29,,,1867,,
360,1938,0,60,,,1919,,
361,3402,0,44,,,1918,,
362,2866,0,55,,,1874,,
363,2648,0,56,,,1758,,
364,2259,0,17,,,1758,,
365,1681,0,33,,,1777,,
366,2593,0,46,,,1827,,
367,1143,0,50,,,1784,,
368,2187,0,62,,,1746,,
369,1878,0,40,,,1676,,
370,2040,0,63,,,1702,,
371,1483,0,18,,,1702,,
372,1221,0,5,,,1702,,
373,1178,0,8,,,1716,,
374,1171,0,71,,,1727,,
375,1200,0,47,,,1640,,
376,1869,0,48,,,1549,,
377,1501,0,53,,,1499,,
378,1194,0,15,,,1499,,
379,990,0,3,,,1441,,
380,956,0,59,,,1462,,
381,1020,0,46,,,1400,,
382,1078,0,47,,,1322,,
383,1328,0,37,,,1290,,
384,1070,0,46,,,1242,,
385,959,0,6,,,1242,,
386,838,0,8,,,1247,,
387,811,0,46,,,1209,,
388,750,0,49,,,1145,,
389,889,0,51,,,1121,,
390,897,0,39,,,1072,,
391,898,0,33,,,983,,
392,651,0,24,,,983,,
393,548,0,2,,,964,,
394,546,0,37,,,971,,
395,659,0,23,,,922,,
396,592,0,55,,,879,,
397,636,0,26,,,847,,
398,813,0,31,,,827,,
399,512,0,15,,,827,,
400,391,0,11,,,755,,
401,290,0,13,,,773,,
402,363,0,41,,,740,,
403,488,0,31,,,698,,
404,420,0,26,,,670,,
405,371,0,37,,,639,,
406,301,0,4,,,639,,
407,173,0,10,,,580,,
408,398,0,21,,,581,,
409,516,0,16,,,534,,
410,571,0,14,,,532,,
411,399,0,9,,,509,,
412,459,0,15,,,491,,
413,266,0,0,,,491,,
414,226,0,0,,,464,,
415,309,0,10,,,459,,
416,395,0,20,,,440,,
417,385,0,18,,,407,,
418,391,0,15,,,393,,
419,0,0,16,,,399,,
420,730,0,1,,,399,,
