date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,,,,,
51,1,0,0,,,,,
52,0,0,0,,,,,
53,2,0,0,,,,,
54,22,0,0,,,,,
55,11,0,0,,,,,
56,24,0,0,,,,,
57,28,0,0,,,,,
58,63,0,0,,,,,
59,44,0,0,,,,,
60,56,0,0,,,,,
61,102,0,0,,,,,
62,164,0,0,,,,,
63,131,0,3,,,,,
64,294,0,4,,,,,
65,432,0,0,,,325,,
66,1009,0,5,,,416,,
67,1769,0,0,,,617,,
68,2950,0,23,,,1042,,
69,3254,0,9,,,1436,,
70,4812,0,70,,,2043,,
71,5707,0,0,,,2629,,
72,4790,0,96,,,3343,,
73,5145,0,75,,,4079,,
74,6448,0,100,,,5327,,
75,7379,0,134,,,6481,,
76,7681,0,209,,,7328,,
77,7195,0,237,,,8503,,
78,6984,0,253,,,9517,,
79,9298,0,332,,,10929,,
80,7917,0,391,,,12226,,
81,8669,0,432,,,13383,,
82,10482,0,562,,,14810,,
83,10841,0,630,,,15905,,
84,8327,0,594,,,16479,,
85,8658,0,599,,,16837,,
86,8174,0,731,,,17493,,
87,10453,0,779,,,18079,,
88,10621,0,799,,,18279,,
89,10575,0,777,,,18569,,
90,9946,0,783,,,18654,,
91,8236,0,758,,,18707,,
92,6337,0,671,,,18825,,
93,7177,0,778,,,18697,,
94,11571,0,752,,,18335,,
95,8505,0,606,,,17735,,
96,7358,0,630,,,17316,,
97,7090,0,540,,,16967,,
98,6054,0,507,,,16213,,
99,4726,0,478,,,16103,,
100,4178,0,481,,,16135,,
101,5526,0,474,,,15599,,
102,6244,0,438,,,15021,,
103,8130,0,422,,,14258,,
104,10553,0,437,,,13524,,
105,5902,0,367,,,12839,,
106,3951,0,337,,,12819,,
107,3110,0,335,,,12646,,
108,4585,0,377,,,12159,,
109,4681,0,306,,,11598,,
110,3942,0,289,,,10993,,
111,4663,0,299,,,10350,,
112,3438,0,280,,,9786,,
113,2538,0,226,,,9647,,
114,2239,0,230,,,9600,,
115,2786,0,232,,,9179,,
116,3491,0,951,,,8665,,
117,2938,0,217,,,8196,,
118,2715,0,226,,,7776,,
119,2273,0,207,,,7262,,
120,1660,0,162,,,7226,,
121,1430,0,205,,,7063,,
122,2176,0,168,,,6946,,
123,2390,0,157,,,6706,,
124,2762,0,134,,,6394,,
125,2419,0,174,,,6220,,
126,1889,0,141,,,5897,,
127,1250,0,110,,,5840,,
128,1474,0,114,,,5818,,
129,1525,0,133,,,5570,,
130,2088,0,107,,,5187,,
131,1696,0,112,,,4844,,
132,1772,0,87,,,4642,,
133,1589,0,109,,,4393,,
134,1249,0,97,,,4348,,
135,1072,0,76,,,4265,,
136,1129,0,79,,,4208,,
137,1768,0,79,,,4010,,
138,1551,0,58,,,3781,,
139,1376,0,68,,,3619,,
140,1110,0,57,,,3436,,
141,941,0,54,,,3331,,
142,1329,0,64,,,3121,,
143,1045,0,56,,,2978,,
144,1048,0,54,,,2849,,
145,1075,0,42,,,2728,,
146,1108,0,37,,,2603,,
147,781,0,47,,,2427,,
148,702,0,40,,,2371,,
149,683,0,49,,,2344,,
150,674,0,56,,,2190,,
151,736,0,38,,,2042,,
152,822,0,53,,,1898,,
153,916,0,32,,,1734,,
154,694,0,24,,,1657,,
155,620,0,28,,,1608,,
156,631,0,29,,,1538,,
157,567,0,21,,,1479,,
158,618,0,32,,,1358,,
159,796,0,25,,,1284,,
160,716,0,24,,,1220,,
161,664,0,15,,,1142,,
162,552,0,14,,,1122,,
163,597,0,27,,,1104,,
164,581,0,16,,,1071,,
165,749,0,18,,,996,,
166,805,0,14,,,951,,
167,703,0,16,,,908,,
168,616,0,5,,,869,,
169,391,0,7,,,853,,
170,524,0,13,,,891,,
171,625,0,11,,,879,,
172,875,0,11,,,878,,
173,918,0,8,,,857,,
174,726,0,11,,,844,,
175,533,0,8,,,832,,
176,518,0,9,,,817,,
177,588,0,11,,,836,,
178,692,0,20,,,841,,
179,584,0,15,,,851,,
180,786,0,9,,,826,,
181,730,0,6,,,799,,
182,677,0,5,,,801,,
183,557,0,10,,,792,,
184,912,0,5,,,820,,
185,831,0,9,,,831,,
186,769,0,11,,,813,,
187,776,0,10,,,765,,
188,754,0,11,,,743,,
189,502,0,13,,,722,,
190,519,0,8,,,716,,
191,855,0,2,,,724,,
192,705,0,10,,,714,,
193,811,0,13,,,706,,
194,753,0,9,,,650,,
195,750,0,13,,,646,,
196,536,0,3,,,637,,
197,608,0,11,,,642,,
198,534,0,9,,,648,,
199,715,0,6,,,619,,
200,777,0,13,,,586,,
201,644,0,5,,,576,,
202,753,0,14,,,581,,
203,531,0,6,,,556,,
204,545,0,2,,,536,,
205,746,0,3,,,568,,
206,636,0,4,,,564,,
207,703,0,6,,,570,,
208,714,0,5,,,579,,
209,703,0,5,,,573,,
210,515,0,7,,,548,,
211,476,0,2,,,535,,
212,667,0,7,,,540,,
213,700,0,7,,,558,,
214,737,0,10,,,555,,
215,727,0,4,,,554,,
216,734,0,12,,,523,,
217,607,0,6,,,527,,
218,408,0,6,,,534,,
219,655,0,8,,,537,,
220,631,0,6,,,548,,
221,601,0,5,,,518,,
222,709,0,3,,,490,,
223,653,0,4,,,483,,
224,572,0,6,,,472,,
225,408,0,7,,,482,,
226,629,0,2,,,488,,
227,566,0,8,,,492,,
228,791,0,4,,,490,,
229,636,0,3,,,478,,
230,635,0,7,,,458,,
231,698,0,8,,,429,,
232,656,0,1,,,418,,
233,754,0,3,,,432,,
234,708,0,5,,,445,,
235,889,0,7,,,430,,
236,864,0,5,,,428,,
237,801,0,2,,,425,,
238,729,0,9,,,410,,
239,520,0,2,,,413,,
240,557,0,6,,,445,,
241,576,0,3,,,463,,
242,757,0,7,,,482,,
243,880,0,5,,,474,,
244,849,0,2,,,467,,
245,725,0,6,,,464,,
246,583,0,4,,,464,,
247,766,0,11,,,481,,
248,652,0,5,,,483,,
249,896,0,3,,,486,,
250,790,0,10,,,478,,
251,986,0,2,,,467,,
252,862,0,2,,,468,,
253,573,0,1,,,468,,
254,754,0,4,,,470,,
255,665,0,5,,,490,,
256,955,0,2,,,500,,
257,908,0,7,,,511,,
258,1005,0,4,,,527,,
259,866,0,6,,,541,,
260,834,0,12,,,543,,
261,1189,0,2,,,541,,
262,1000,0,9,,,605,,
263,1382,0,11,,,612,,
264,1598,0,7,,,648,,
265,1731,0,8,,,647,,
266,1222,0,14,,,618,,
267,933,0,8,,,636,,
268,1393,0,9,,,705,,
269,1360,0,9,,,748,,
270,1836,0,10,,,754,,
271,1592,0,6,,,779,,
272,1447,0,8,,,826,,
273,1143,0,5,,,820,,
274,1029,0,13,,,878,,
275,1393,0,11,,,923,,
276,1232,0,7,,,938,,
277,1460,0,13,,,897,,
278,1707,0,10,,,918,,
279,1784,0,9,,,929,,
280,1390,0,7,,,913,,
281,998,0,15,,,934,,
282,1201,0,13,,,942,,
283,2026,0,7,,,950,,
284,1628,0,15,,,986,,
285,1637,0,11,,,1023,,
286,2061,0,13,,,1045,,
287,1632,0,12,,,1015,,
288,1191,0,12,,,1059,,
289,1991,0,16,,,1083,,
290,2031,0,15,,,1085,,
291,2499,0,19,,,1085,,
292,2255,0,12,,,1085,,
293,2049,0,3,,,1121,,
294,2255,0,17,,,1125,,
295,1633,0,14,,,1151,,
296,2321,0,15,,,1227,,
297,2126,0,15,,,1253,,
298,2997,0,24,,,1277,,
299,3209,0,18,,,1321,,
300,3587,0,18,,,1381,,
301,3428,0,19,,,1396,,
302,3144,0,26,,,1444,,
303,3965,0,32,,,1548,,
304,4820,0,21,,,1628,,
305,4797,0,29,,,1677,,
306,5401,0,24,,,1737,,
307,5388,0,24,,,1788,,
308,3649,0,30,,,1845,,
309,3490,0,26,,,1968,,
310,5088,0,30,,,2124,,
311,5294,0,36,,,2202,,
312,5310,0,32,,,2276,,
313,5468,0,35,,,2348,,
314,5972,0,34,,,2443,,
315,5392,0,31,,,2562,,
316,5906,0,33,,,2724,,
317,4881,0,51,,,2856,,
318,6265,0,41,,,2982,,
319,6933,0,67,,,3056,,
320,8176,0,39,,,3103,,
321,6063,0,44,,,3287,,
322,6723,0,58,,,3372,,
323,6819,0,57,,,3532,,
324,7285,0,69,,,3774,,
325,8973,0,73,,,3924,,
326,9855,0,66,,,4063,,
327,11271,0,62,,,4222,,
328,10761,0,72,,,4318,,
329,9702,0,60,,,4442,,
330,7302,0,83,,,4602,,
331,9335,0,75,,,4835,,
332,10600,0,97,,,4993,,
333,10178,0,94,,,5164,,
334,10595,0,89,,,5321,,
335,11129,0,88,,,5359,,
336,10194,0,110,,,5410,,
337,9044,0,85,,,5712,,
338,10353,0,132,,,5982,,
339,9998,0,98,,,6097,,
340,10914,0,122,,,6147,,
341,12697,0,122,,,6081,,
342,9919,0,130,,,6208,,
343,9957,0,124,,,6185,,
344,9007,0,111,,,6331,,
345,9716,0,141,,,6661,,
346,11937,0,166,,,6864,,
347,12568,0,133,,,6928,,
348,12446,0,121,,,6950,,
349,10806,0,126,,,6884,,
350,7623,0,115,,,7183,,
351,10407,0,118,,,7559,,
352,11438,0,127,,,7814,,
353,13422,0,149,,,7892,,
354,16802,0,135,,,7935,,
355,16497,0,168,,,7886,,
356,15074,0,129,,,7814,,
357,11368,0,139,,,7963,,
358,11209,0,172,,,8251,,
359,12666,0,154,,,8590,,
360,16648,0,163,,,8665,,
361,17636,0,199,,,8548,,
362,18832,0,165,,,8561,,
363,16943,0,190,,,8527,,
364,15355,0,153,,,8484,,
365,13714,0,169,,,8645,,
366,15214,0,166,,,8926,,
367,14577,0,168,,,8929,,
368,13661,0,204,,,8823,,
369,19942,0,187,,,8808,,
370,15998,0,159,,,8888,,
371,13842,0,172,,,8771,,
372,12185,0,155,,,8868,,
373,12512,0,172,,,9236,,
374,13364,0,191,,,9273,,
375,13886,0,179,,,9055,,
376,15144,0,169,,,8846,,
377,13786,0,144,,,8802,,
378,12720,0,162,,,8613,,
379,12003,0,173,,,8730,,
380,11064,0,165,,,8831,,
381,11028,0,172,,,8771,,
382,13398,0,163,,,8520,,
383,12579,0,151,,,8357,,
384,12804,0,143,,,8176,,
385,10793,0,142,,,7976,,
386,8508,0,141,,,8003,,
387,8215,0,147,,,8067,,
388,5925,0,165,,,8082,,
389,7414,0,136,,,7967,,
390,8777,0,153,,,7937,,
391,11252,0,159,,,7804,,
392,10025,0,145,,,7649,,
393,8448,0,115,,,7716,,
394,7866,0,142,,,7875,,
395,7101,0,138,,,7593,,
396,10099,0,124,,,7342,,
397,8404,0,139,,,7068,,
398,8763,0,127,,,6888,,
399,8316,0,109,,,6593,,
400,6365,0,103,,,6623,,
401,6753,0,107,,,6620,,
402,6092,0,112,,,6574,,
403,6794,0,116,,,6434,,
404,8710,0,119,,,6155,,
405,7692,0,101,,,5977,,
406,6610,0,75,,,5764,,
407,6146,0,90,,,5804,,
408,6654,0,90,,,5977,,
409,6189,0,104,,,5876,,
410,8746,0,92,,,5703,,
411,8204,0,94,,,5626,,
412,8141,0,86,,,5445,,
413,7580,0,90,,,5259,,
414,6235,0,80,,,5307,,
415,5800,0,83,,,5369,,
416,7704,0,75,,,5323,,
417,7593,0,61,,,5177,,
418,8956,0,95,,,5034,,
419,7647,0,79,,,4954,,
420,6789,0,59,,,4789,,
