date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,,,,,
54,0,0,0,,,,,
55,0,0,0,,,,,
56,0,0,0,,,,,
57,3,0,0,,,,,
58,0,0,0,,,,,
59,1,0,0,,,,,
60,1,0,0,,,,,
61,8,0,0,,,,,
62,0,0,0,,,,,
63,23,0,0,,,,,
64,14,0,0,,,,,
65,17,0,0,,,,,
66,21,0,0,,,,,
67,31,0,0,,,,,
68,50,0,1,,,,,
69,78,58,2,58,58,,,
70,104,25,0,83,83,,,
71,91,21,3,104,104,,,
72,122,41,2,145,145,,,
73,140,37,2,182,182,,,
74,163,41,5,223,223,,,
75,270,53,4,276,276,,,
76,269,68,6,344,344,,,
77,247,59,4,403,403,,,
78,280,72,10,475,475,,,
79,266,110,16,585,585,,,
80,348,94,10,679,679,,,
81,355,123,16,802,802,,,
82,410,93,10,895,895,,,
83,427,111,11,1006,1006,,,
84,304,98,17,1104,1104,,,
85,407,110,23,1214,1214,,,
86,332,140,25,1354,1354,,,
87,366,141,26,1495,1495,,,
88,364,117,20,1612,1612,,,
89,366,143,18,1755,1755,,,
90,372,104,16,1859,1859,,,
91,354,89,6,1948,1948,,,
92,371,85,21,2033,2033,,,
93,305,123,50,2156,2156,,,
94,511,81,37,2237,2237,,,
95,623,94,28,2331,2331,,,
96,693,93,29,2424,2424,,,
97,1115,95,33,2519,2519,,,
98,1380,46,20,2565,2565,,,
99,1317,88,38,2653,2653,,,
100,806,126,48,2779,2779,,,
101,392,103,53,2882,2882,,,
102,577,78,46,2960,2960,,,
103,475,93,34,3053,3053,,,
104,418,62,21,3115,3115,,,
105,376,63,17,3178,3178,,,
106,362,54,25,3232,3232,,,
107,444,108,46,3340,3340,,,
108,534,81,138,3421,3421,,,
109,724,112,38,3533,3533,,,
110,716,101,27,3634,3634,,,
111,592,78,19,3712,3712,1003,,
112,579,57,17,3769,3769,931,,
113,560,40,18,3809,3809,1078,,
114,495,147,79,3956,3956,1069,,
115,607,96,90,4052,4052,1045,,
116,555,88,46,4140,4140,1057,,
117,885,78,35,4218,4218,1060,,
118,681,82,25,4300,4300,929,,
119,384,51,10,4351,4351,962,,
120,696,62,16,4413,4413,1011,,
121,473,126,79,4539,4539,1032,,
122,471,79,47,4618,4618,924,,
123,636,100,51,4718,4718,953,,
124,597,73,47,4791,4791,944,,
125,520,79,29,4870,4870,866,,
126,449,51,15,4921,4921,914,,
127,531,77,32,4998,4998,912,,
128,498,119,63,5117,5117,913,,
129,484,81,61,5198,5198,902,,
130,731,97,55,5295,5295,892,,
131,627,84,36,5379,5379,879,,
132,614,58,84,5437,5437,858,,
133,503,39,13,5476,5476,864,,
134,566,35,18,5511,5511,872,,
135,529,68,15,5579,5579,937,,
136,433,121,42,5700,5700,885,,
137,476,111,54,5811,5811,812,,
138,651,136,33,5947,5947,833,,
139,468,64,18,6011,6011,806,,
140,479,38,6,6049,6049,779,,
141,471,63,51,6112,6112,761,,
142,366,64,52,6176,6176,697,,
143,442,75,41,6251,6251,704,,
144,490,61,40,6312,6312,693,,
145,476,73,16,6385,6385,671,,
146,353,75,15,6460,6460,628,,
147,365,37,7,6497,6497,603,,
148,361,53,27,6550,6550,644,,
149,325,70,17,6620,6620,639,,
150,413,73,36,6693,6693,575,,
151,429,60,33,6753,6753,563,,
152,420,61,18,6814,6814,547,,
153,424,50,46,6864,6864,516,,
154,300,31,3,6895,6895,511,,
155,428,53,16,6948,6948,513,,
156,434,59,24,7007,7007,528,,
157,412,44,14,7051,7051,541,,
158,700,53,22,7104,7104,547,,
159,609,63,34,7167,7167,525,,
160,531,34,30,7201,7201,482,,
161,546,41,3,7242,7242,496,,
162,729,50,4,7292,7292,549,,
163,590,87,31,7379,7379,570,,
164,632,68,20,7447,7447,592,,
165,892,55,17,7502,7502,624,,
166,987,68,16,7570,7570,624,,
167,817,54,16,7624,7624,561,,
168,854,57,3,7681,7681,661,,
169,737,65,11,7746,7746,669,,
170,743,93,45,7839,7839,722,,
171,1076,72,13,7911,7911,724,,
172,1301,127,27,8038,8038,724,,38987
173,1091,46,0,8084,8084,740,,39423
174,926,27,4,8111,8111,691,,39903
175,968,61,4,8172,8172,693,,40460
176,805,77,16,8249,8249,837,,40813
177,948,134,43,8383,8383,849,,41438
178,1277,106,21,8489,8489,890,,42111
179,1150,81,15,8570,8570,890,,42111
180,1525,131,26,8701,8701,928,,43435
181,1358,69,4,8770,8770,928,,44101
182,1378,72,22,8842,8842,954,,44663
183,1261,73,6,8915,8915,949,,45194
184,1142,134,5,9049,9049,1017,,46282
185,1316,160,6,9209,9209,1027,,47303
186,1290,115,28,9324,9324,1024,,48330
187,1679,121,9,9445,9445,1016,,49302
188,1542,68,20,9513,9513,1024,,50280
189,1110,42,42,9555,9555,1065,,51086
190,1236,55,15,9610,9610,1065,,51860
191,1047,126,30,9736,9736,1097,,53077
192,1527,128,16,9864,9864,1098,,54426
193,1444,104,21,9968,9968,1105,,55702
194,1560,104,41,10072,10072,1085,,56823
195,1438,73,0,10145,10145,1054,,57731
196,889,54,10,10199,10199,1075,,58465
197,1104,86,37,10285,10285,1110,,59413
198,1320,140,38,10425,10425,1144,,61056
199,1396,128,40,10553,10553,1100,,62695
200,1733,125,20,10678,10678,1049,,64311
201,1533,112,47,10790,10790,1024,,65788
202,928,67,26,10857,10857,1049,,67319
203,944,43,14,10900,10900,1049,,68394
204,932,92,10,10992,10992,1001,,69501
205,1143,127,31,11119,11119,1038,,71338
206,1199,112,26,11231,11231,1004,,72950
207,1166,135,22,11366,11366,979,,74612
208,1204,81,34,11447,11447,956,,75975
209,1294,69,16,11516,11516,936,,77429
210,879,49,1,11565,11565,952,,78435
211,883,64,4,11629,11629,968,,79321
212,1095,131,35,11760,11760,968,,80885
213,1422,141,26,11901,11901,984,,82310
214,1178,122,21,12023,12023,952,,83642
215,1131,105,29,12128,12128,925,,84904
216,1117,82,40,12210,12210,899,,86018
217,613,26,2,12236,12236,910,,86926
218,775,83,6,12319,12319,933,,87764
219,861,117,39,12436,12436,934,,89068
220,958,93,36,12529,12529,894,,90436
221,1122,86,22,12615,12615,860,,91656
222,1043,104,26,12719,12719,849,,92736
223,1119,59,20,12778,12778,792,,93914
224,637,22,3,12800,12800,777,,94825
225,849,59,8,12859,12859,802,,95554
226,844,97,10,12956,12956,783,,96728
227,1089,87,48,13043,13043,771,,97823
228,1244,107,32,13150,13150,787,,99035
229,1296,71,29,13221,13221,800,,100127
230,1216,67,21,13288,13288,791,,101185
231,922,29,2,13317,13317,769,,101944
232,895,59,10,13376,13376,774,,102631
233,1453,103,27,13479,13479,777,,104024
234,1157,95,11,13574,13574,746,,105065
235,1345,89,50,13663,13663,742,,106095
236,1332,68,22,13731,13731,727,,107083
237,1341,77,8,13808,13808,717,,107972
238,773,33,3,13841,13841,691,,108578
239,778,46,17,13887,13887,686,,108578
240,656,80,22,13967,13967,687,,110279
241,973,116,26,14083,14083,700,,111201
242,1121,81,30,14164,14164,682,,112140
243,1240,72,49,14236,14236,650,,113053
244,1242,48,8,14284,14284,626,,114066
245,837,30,4,14314,14314,635,,114906
246,1079,64,4,14378,14378,671,,115708
247,1001,103,87,14481,14481,666,,117130
248,1033,79,49,14560,14560,651,,118443
249,1067,65,25,14625,14625,638,,119690
250,1011,62,28,14687,14687,634,,120858
251,951,63,4,14750,14750,585,,121911
252,762,23,3,14773,14773,563,,122671
253,856,56,8,14829,14829,592,,123423
254,685,70,12,14899,14899,593,,124774
255,903,78,52,14977,14977,593,,126023
256,991,74,28,15051,15051,586,,127239
257,1150,76,19,15127,15127,595,,128369
258,1115,58,6,15185,15185,625,,129498
259,800,31,1,15216,15216,639,,130193
260,993,91,5,15307,15307,681,,130859
261,1105,106,37,15413,15413,672,,131708
262,1080,103,21,15516,15516,689,,132980
263,1327,90,13,15606,15606,699,,134216
264,1495,82,88,15688,15688,663,,135301
265,1157,47,20,15735,15735,702,,136330
266,941,32,0,15767,15767,694,,137038
267,1057,73,6,15840,15840,657,,137633
268,1335,132,16,15972,15972,777,,138807
269,1424,119,23,16091,16091,814,,139831
270,1539,109,13,16200,16200,863,,140808
271,1840,101,11,16301,16301,849,,141642
272,1356,54,3,16355,16355,862,,142479
273,1291,44,2,16399,16399,887,,143123
274,1430,43,6,16442,16442,949,,143826
275,1447,123,12,16565,16565,1016,,144903
276,2039,151,16,16716,16716,1042,,145969
277,2178,108,5,16824,16824,1041,,147063
278,2148,86,16,16910,16910,1084,,148284
279,2234,99,13,17009,17009,1079,,149351
280,1562,52,0,17061,17061,1097,,150167
281,1837,111,8,17172,17172,1154,,151037
282,2015,216,8,17388,17388,1221,,152460
283,2366,135,66,17523,17523,1252,,153769
284,2425,159,12,17682,17682,1293,,155181
285,2518,184,23,17866,17866,1347,,156421
286,2858,140,22,18006,18006,1355,,157744
287,2309,89,0,18095,18095,1338,,158836
288,2116,140,11,18235,18235,1406,,159877
289,2509,198,22,18433,18433,1456,,161704
290,2607,173,17,18606,18606,1536,,163472
291,3590,194,19,18800,18800,1536,,165302
292,3845,169,16,18969,18969,1629,,167035
293,2915,163,10,19132,19132,1666,,168884
294,3303,88,2,19220,19220,1687,,170259
295,2909,182,37,19402,19402,1822,,171657
296,4229,213,33,19615,19615,1960,,174130
297,4071,186,55,19801,19801,1982,,176415
298,4961,214,33,20015,20015,2075,,178646
299,5008,231,33,20246,20246,2170,,180758
300,5549,149,12,20395,20395,2188,,182878
301,4541,102,11,20497,20497,2286,,184556
302,4706,154,7,20651,20651,2533,,186254
303,6508,386,23,21037,21037,2747,,189079
304,5874,253,76,21290,21290,2880,,191950
305,7101,268,35,21558,21558,3024,,194846
306,8071,298,42,21856,21856,2981,,197674
307,7715,220,14,22076,22076,3104,,200715
308,7853,189,8,22265,22265,3175,,202937
309,7268,213,20,22478,22478,3387,,205198
310,7079,368,30,22846,22846,3648,,208945
311,6385,371,55,23217,23217,3716,,212713
312,7787,343,63,23560,23560,3829,,216619
313,8808,398,65,23958,23958,3936,,220281
314,7863,260,29,24218,24218,3987,,224068
315,8133,205,12,24423,24423,4181,,227276
316,11885,282,24,24705,24705,4358,,230678
317,8604,364,98,25069,25069,4449,,236618
318,10835,417,156,25486,25486,4541,,242146
319,0,0,0,25486,25486,4541,,242146
320,17065,474,72,25960,25960,4535,,254775
321,6895,302,32,26262,26262,4740,,261353
322,7729,245,21,26507,26507,4908,,266341
323,6631,357,30,26864,26864,5060,,271326
324,9030,585,119,27449,27449,5226,,280716
325,7835,436,123,27885,27885,5208,,289768
326,8921,396,82,28281,28281,5142,,298332
327,10114,392,129,28673,28673,5092,,306950
328,10469,286,64,28959,28959,4978,,315453
329,7592,274,13,29233,29233,5072,,321505
330,9273,336,63,29569,29569,5121,,327078
331,25721,657,81,30226,30226,5181,,341008
332,10094,464,84,30690,30690,5198,,351268
333,11738,452,111,31142,31142,5110,,361308
334,10359,394,128,31536,31536,5091,,370932
335,11252,267,51,31803,31803,5076,,380578
336,9266,170,15,31973,31973,5152,,386749
337,7875,291,59,32264,32264,5157,,392565
338,8755,614,103,32878,32878,5296,,404810
339,5409,497,123,33375,33375,5143,,416028
340,11412,370,117,33745,33745,5018,,426525
341,9684,398,73,34143,34143,4940,,430621
342,8567,410,64,34553,34553,4797,,440235
343,8377,194,16,34747,34747,4758,,447442
344,6548,301,75,35048,35048,4758,,454354
345,7678,546,130,35594,35594,4829,,467570
346,7790,431,109,36025,36025,4694,,479387
347,8828,320,95,36345,36345,4494,,489808
348,0,0,0,36345,36345,4494,,489808
349,11018,168,20,36513,36513,4298,,510332
350,5857,273,33,36786,36786,4371,,517057
351,4519,290,62,37076,37076,4511,,523494
352,7526,560,151,37636,37636,4516,,535487
353,8178,366,133,38002,38002,4409,,546305
354,9632,332,107,38334,38334,4367,,556106
355,0,0,0,38334,38334,4367,,556106
356,14293,299,55,38633,38633,4102,,573641
357,6808,165,59,38798,38798,4237,,579583
358,5942,314,67,39112,39112,4405,,585091
359,7580,538,104,39650,39650,4446,,596221
360,7814,454,121,40104,40104,4319,,605474
361,10251,365,94,40469,40469,4180,,613418
362,9535,318,82,40787,40787,4066,,621185
363,8374,270,55,41057,41057,4007,,628964
364,6088,101,28,41158,41158,4236,,634085
365,7892,219,75,41377,41377,4056,,639080
366,7981,486,100,41863,41863,4010,,648724
367,6701,288,79,42151,42151,3923,,656433
368,7654,340,109,42491,42491,3789,,663856
369,7149,316,67,42807,42807,3793,,669448
370,7065,241,78,43048,43048,3742,,672231
371,5247,141,65,43189,43189,3686,,678264
372,4312,162,81,43351,43351,3765,,684072
373,4989,254,55,43605,43605,3643,,694905
374,6378,404,73,44009,44009,3566,,704045
375,7271,306,109,44315,44315,3406,,712864
376,4278,204,81,44519,44519,3270,,720171
377,5859,166,81,44685,44685,3117,,724135
378,4481,98,31,44783,44783,2993,,731088
379,4334,198,57,44981,44981,3037,,736651
380,4262,295,88,45276,45276,2964,,748132
381,5366,254,75,45530,45530,2944,,757003
382,5432,256,75,45786,45786,2829,,764480
383,4874,166,64,45952,45952,2706,,770597
384,4191,183,51,46135,46135,2506,,775893
385,3011,80,54,46215,46215,2441,,779888
386,3287,223,55,46438,46438,2521,,786249
