date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,0,0,0,,0
54,0,0,0,0,0,0,,0
55,0,0,0,,,,,
56,0,0,0,,,,,
57,0,0,0,,,,,
58,1,0,0,,,,,
59,0,0,0,,,,,
60,1,0,0,,,,,
61,0,0,0,,,,,
62,1,0,0,,,,,
63,5,0,0,,,,,
64,1,0,0,,,,,
65,7,0,0,,,,,
66,12,0,0,,,,,
67,15,0,1,,,,,
68,5,0,0,,,,,
69,4,10,0,10,10,,,
70,14,1,1,11,11,,,
71,14,4,0,15,15,,,
72,25,10,1,25,25,,,
73,58,34,2,59,59,,,
74,84,27,2,86,86,,,
75,74,19,1,105,105,,,
76,55,21,7,126,126,,,
77,52,14,1,140,140,,,
78,52,13,1,153,153,,,
79,84,24,6,177,177,,,
80,154,42,7,219,219,174,,
81,160,38,4,257,257,182,,
82,109,32,4,289,289,171,,383
83,171,27,4,316,316,,,
84,93,14,4,330,330,,,
85,75,10,5,340,340,161,,522
86,145,36,16,376,376,186,,612
87,52,14,12,390,390,188,,686
88,160,25,1,415,415,188,,686
89,110,13,8,428,428,186,,790
90,74,18,6,446,446,383,,865
91,102,0,2,446,446,383,,865
92,99,11,3,457,457,383,,865
93,115,31,9,488,488,194,,1060
94,79,22,15,510,510,194,,1115
95,94,18,8,528,528,236,,1240
96,108,0,5,528,528,325,,1331
97,105,13,3,541,541,307,,1515
98,29,0,1,541,541,307,,1575
99,81,0,3,541,541,307,,1614
100,127,20,21,561,561,346,,1702
101,87,27,6,588,588,298,,1772
102,123,34,9,622,622,284,,1884
103,104,15,9,637,637,310,,1961
104,72,0,6,637,637,306,,2080
105,60,16,1,653,653,306,,2139
106,27,3,2,656,656,306,,2167
107,130,0,10,656,656,288,,2260
108,63,37,7,693,693,283,,2319
109,145,10,8,703,703,291,,2401
110,130,12,8,715,715,255,,2467
111,103,28,8,743,743,236,,2554
112,121,0,0,743,743,236,,2635
113,72,10,0,753,753,236,,2682
114,83,20,9,773,773,236,,2830
115,74,0,6,773,773,230,,2909
116,129,32,7,805,805,223,,2985
117,94,0,6,805,805,228,,3064
118,66,17,4,822,822,177,,3154
119,99,4,2,826,826,177,,3204
120,24,2,2,828,828,177,,3241
121,119,0,4,828,828,190,,3423
122,120,20,0,848,848,218,,3559
123,110,10,6,858,858,217,,3660
124,124,5,1,863,863,215,,3801
125,151,15,3,878,878,180,,3945
126,73,2,0,880,880,180,,3983
127,88,5,0,885,885,76,,4008
128,91,12,6,897,897,167,,4135
129,43,8,5,905,905,209,,4266
130,148,12,5,917,917,201,,4361
131,169,9,3,926,926,190,,4533
132,111,0,4,926,926,174,,4645
133,77,12,0,938,938,174,,4688
134,53,0,2,938,938,,,4714
135,47,3,5,941,941,174,,4823
136,92,0,4,941,941,156,,5135
137,41,34,4,975,975,181,,5236
138,68,7,3,982,982,160,,5340
139,80,0,5,982,982,154,,5435
140,88,3,0,985,985,154,,5492
141,67,1,0,986,986,154,,5511
142,119,8,5,994,994,124,,5599
143,113,9,2,1003,1003,136,,5711
144,102,11,3,1014,1014,148,,5781
145,0,0,0,1014,1014,164,,5781
146,96,12,1,1026,1026,158,,5867
147,147,0,3,1026,1026,158,,5981
148,55,13,0,1039,1039,158,,6014
149,158,22,5,1061,1061,148,,6073
150,117,14,2,1075,1075,150,,6166
151,146,17,2,1092,1092,153,,6263
152,222,11,2,1103,1103,154,,6391
153,225,8,0,1111,1111,154,,6495
154,158,5,0,1116,1116,149,,6578
155,186,1,0,1117,1117,149,,6628
156,228,13,4,1130,1130,172,,6765
157,259,16,1,1146,1146,181,,6898
158,450,0,2,1146,1146,197,,7071
159,352,63,1,1209,1209,211,,7212
160,331,20,1,1229,1229,197,,7414
161,478,14,1,1243,1243,197,,7531
162,218,25,0,1268,1268,197,,7648
163,295,20,2,1288,1288,265,,7888
164,482,31,1,1319,1319,268,,8144
165,438,17,3,1336,1336,277,,8507
166,395,57,2,1393,1393,308,,8817
167,299,47,7,1440,1440,329,,9155
168,302,16,1,1456,1456,329,,9397
169,228,33,0,1489,1489,329,,9587
170,585,31,2,1520,1520,315,,10085
171,355,33,2,1553,1553,374,,10605
172,427,62,6,1615,1615,368,,11048
173,526,46,3,1661,1661,391,,11519
174,580,15,0,1676,1676,391,,11965
175,283,9,0,1685,1685,391,,12246
176,434,4,1,1689,1689,391,,12432
177,858,52,5,1741,1741,426,,13005
178,673,63,3,1804,1804,458,,13538
179,603,89,3,1893,1893,453,,14100
180,596,56,6,1949,1949,487,,14648
181,687,43,5,1992,1992,499,,15136
182,456,40,1,2032,2032,499,,15485
183,510,31,2,2063,2063,499,,15815
184,993,53,4,2116,2116,546,,16635
185,1075,54,4,2170,2170,561,,17366
186,628,48,6,2218,2218,638,,18095
187,699,71,7,2289,2289,604,,18766
188,916,86,6,2375,2375,547,,19186
189,209,13,0,2388,2388,547,,19466
190,168,15,1,2403,2403,604,,19750
191,893,0,9,2403,2403,613,,20663
192,975,137,13,2540,2540,630,,21596
193,668,56,3,2596,2596,607,,22441
194,1147,91,7,2687,2687,628,,23277
195,965,81,12,2768,2768,625,,24053
196,1204,67,0,2835,2835,625,,24698
197,1401,37,0,2872,2872,625,,25252
198,1089,115,13,2987,2987,596,,26363
199,848,54,14,3041,3041,663,,27386
200,1117,63,13,3104,3104,647,,28411
201,747,57,5,3161,3161,621,,29187
202,1244,67,8,3228,3228,628,,30282
203,494,13,1,3241,3241,628,,30820
204,377,34,1,3275,3275,628,,31165
205,861,100,15,3375,3375,504,,32319
206,1101,70,17,3445,3445,645,,33383
207,837,52,10,3497,3497,643,,34320
208,854,58,7,3555,3555,561,,35001
209,825,39,3,3594,3594,594,,35745
210,486,11,0,3605,3605,594,,36052
211,397,20,2,3625,3625,594,,36378
212,765,135,13,3760,3760,530,,37193
213,670,82,9,3842,3842,519,,37988
214,705,59,11,3901,3901,600,,38655
215,794,52,6,3953,3953,567,,39282
216,901,45,13,3998,3998,506,,39907
217,544,15,4,4013,4013,506,,40224
218,369,8,4,4021,4021,506,,40531
219,615,94,17,4115,4115,568,,41370
220,597,77,17,4192,4192,566,,42047
221,746,76,10,4268,4268,564,,42695
222,1077,48,6,4316,4316,562,,43417
223,853,52,10,4368,4368,578,,44035
224,566,54,1,4422,4422,578,,44409
225,357,9,4,4431,4431,578,,44660
226,650,96,14,4527,4527,553,,45516
227,666,82,19,4609,4609,533,,46414
228,712,64,15,4673,4673,552,,47186
229,710,46,8,4719,4719,559,,47762
230,1093,75,11,4794,4794,570,,48607
231,667,20,2,4814,4814,570,,48933
232,713,7,1,4821,4821,570,,49184
233,666,82,9,4903,4903,535,,49989
234,719,58,12,4961,4961,545,,50646
235,909,52,14,5013,5013,540,,51447
236,1013,48,11,5061,5061,518,,52123
237,1147,44,4,5105,5105,472,,52740
238,420,0,3,5105,5105,472,,53059
239,613,8,0,5113,5113,472,,53414
240,833,24,1,5137,5137,472,,54269
241,876,116,9,5253,5253,462,,55405
242,771,65,13,5318,5318,513,,56531
243,942,51,12,5369,5369,509,,57383
244,1017,55,11,5424,5424,499,,58125
245,695,27,6,5451,5451,499,,58560
246,869,15,0,5466,5466,499,,59007
247,1091,96,7,5562,5562,561,,59993
248,970,48,12,5610,5610,528,,61026
249,1034,88,6,5698,5698,516,,62144
250,1249,57,9,5755,5755,516,,63135
251,1237,88,4,5843,5843,522,,63960
252,1003,0,3,5843,5843,522,,64467
253,1101,53,2,5896,5896,522,,64941
254,1164,100,14,5996,5996,628,,65482
255,1089,61,8,6057,6057,612,,66779
256,1083,73,11,6130,6130,593,,67807
257,1276,62,12,6192,6192,590,,68911
258,990,60,11,6252,6252,579,,69754
259,0,0,0,6252,6252,579,,69754
260,1684,21,3,6273,6273,579,,70808
261,1025,93,11,6366,6366,618,,71957
262,980,83,13,6449,6449,628,,73100
263,1170,61,4,6510,6510,610,,74483
264,1190,59,9,6569,6569,623,,75753
265,1189,1,7,6570,6570,655,,77004
266,569,0,1,6570,6570,655,,77606
267,665,104,3,6674,6674,655,,78155
268,1364,142,11,6816,6816,699,,79219
269,1006,113,9,6929,6929,738,,80211
270,1212,93,10,7022,7022,697,,81289
271,1524,102,6,7124,7124,749,,82482
272,1533,94,4,7218,7218,758,,83633
273,766,20,3,7238,7238,758,,84520
274,797,46,6,7284,7284,758,,85265
275,1309,-19,15,7265,7265,760,,86502
276,1122,264,13,7529,7529,749,,87575
277,1221,72,11,7601,7601,781,,88780
278,1472,0,11,7601,7601,793,,89815
279,1195,169,14,7770,7770,792,,90845
280,796,28,3,7798,7798,792,,91643
281,774,17,2,7815,7815,792,,92367
282,1475,149,18,7964,7964,821,,93698
283,1307,113,19,8077,8077,870,,94979
284,1628,93,11,8170,8170,910,,96245
285,1373,95,13,8265,8265,956,,97490
286,1829,95,11,8360,8360,924,,98700
287,1051,26,4,8386,8386,924,,99541
288,663,22,2,8408,8408,924,,100357
289,1010,132,22,8540,8540,907,,101656
290,743,69,13,8609,8609,885,,102792
291,1041,79,20,8688,8688,874,,103919
292,1302,90,20,8778,8778,865,,105137
293,1267,111,11,8889,8889,852,,106292
294,1349,22,8,8911,8911,852,,107082
295,1084,23,9,8934,8934,852,,107893
296,1331,170,21,9104,9104,974,,109234
297,1246,115,17,9219,9219,1026,,110453
298,2101,119,21,9338,9338,1055,,111695
299,1878,100,16,9438,9438,1025,,113227
300,0,0,0,9438,9438,1045,,113227
301,4507,132,9,9570,9570,1045,,115030
302,2197,51,6,9621,9621,1045,,116882
303,1702,61,7,9682,9682,1102,,118074
304,2177,186,19,9868,9868,1248,,119144
305,2357,162,11,10030,10030,1248,,120426
306,2667,76,12,10106,10106,1279,,121774
307,2847,165,23,10271,10271,1247,,123333
308,3923,101,12,10372,10372,1247,,124793
309,2729,45,10,10417,10417,1247,,126162
310,1551,64,6,10481,10481,1381,,128057
311,3017,206,26,10687,10687,1434,,130032
312,2915,149,18,10836,10836,1381,,132268
313,2921,184,15,11020,11020,1428,,134934
314,3663,164,21,11184,11184,1505,,137887
315,3406,149,10,11333,11333,1505,,140312
316,3544,35,15,11368,11368,1505,,142381
317,2736,77,15,11445,11445,1566,,145686
318,3732,263,16,11708,11708,1604,,149345
319,0,0,0,11708,11708,1653,,149345
320,3225,190,24,11898,11898,1653,,152969
321,6257,182,13,12080,12080,1653,,159894
322,1721,141,19,12221,12221,1653,,161955
323,2200,37,7,12258,12258,1653,,163727
324,1737,35,15,12293,12293,1718,,167406
325,2859,285,54,12578,12578,1782,,170905
326,1707,195,24,12773,12773,1734,,174169
327,4827,176,24,12949,12949,1687,,177564
328,4370,179,14,13128,13128,1721,,180810
329,3241,-9,22,13119,13119,1721,,182942
330,1903,254,15,13373,13373,1721,,184736
331,2297,19,11,13392,13392,1698,,189020
332,2307,244,23,13636,13636,1745,,191525
333,2460,146,35,13782,13782,1709,,194229
334,3900,190,27,13972,13972,1730,,195643
335,3983,198,35,14170,14170,1664,,198154
336,4332,158,22,14328,14328,1664,,200512
337,2099,34,8,14362,14362,1664,,202532
338,2224,46,14,14408,14408,1741,,206896
339,3238,257,42,14665,14665,1717,,210907
340,2975,156,16,14821,14821,1699,,214290
341,3556,149,17,14970,14970,1733,,217534
342,4108,161,28,15131,15131,1704,,220474
343,4970,178,23,15309,15309,1704,,222874
344,2596,49,6,15358,15358,1704,,224672
345,2186,46,22,15404,15404,1759,,228191
346,3656,274,43,15678,15678,1728,,231522
347,3277,234,45,15912,15912,1836,,234967
348,0,0,0,15912,15912,1729,,234967
349,3955,210,29,16122,16122,1729,,238103
350,2631,167,13,16289,16289,1729,,243018
351,3448,47,13,16336,16336,1729,,244676
352,1194,90,22,16426,16426,1927,,248748
353,3249,387,48,16813,16813,1916,,252214
354,3906,246,36,17059,17059,1924,,255843
355,0,0,0,17059,17059,1910,,255843
356,5119,188,38,17247,17247,1910,,259841
357,8017,194,20,17441,17441,1910,,265293
358,2699,52,5,17493,17493,1910,,267573
359,1497,61,19,17554,17554,1909,,271693
360,3305,332,62,17886,17886,1994,,274657
361,3781,307,39,18193,18193,1987,,277828
362,5232,225,31,18418,18418,1961,,280430
363,4289,220,35,18638,18638,1926,,281869
364,6487,186,23,18824,18824,1926,,285645
365,3885,61,14,18885,18885,1926,,289309
366,2210,67,29,18952,18952,1902,,294629
367,3907,247,44,19199,19199,1856,,299375
368,3142,261,34,19460,19460,1844,,303476
369,3538,156,43,19616,19616,1847,,306874
370,3621,190,27,19806,19806,1866,,309057
371,3314,230,35,20036,20036,1866,,311883
372,1837,27,7,20063,20063,1866,,314236
373,1558,32,43,20095,20095,1866,,319201
374,1986,200,48,20295,20295,1776,,323240
375,2686,210,55,20505,20505,1722,,327135
376,2946,187,47,20692,20692,1634,,330478
377,4157,157,44,20849,20849,1595,,334643
378,2941,171,48,21020,21020,1595,,337228
379,1763,33,14,21053,21053,1595,,339014
380,1571,40,30,21093,21093,1454,,342697
381,2686,221,65,21314,21314,1322,,345867
382,2320,164,35,21478,21478,1250,,348836
383,2787,142,48,21620,21620,1247,,351545
384,2373,148,33,21768,21768,1184,,354223
385,2882,153,43,21921,21921,1184,,356386
386,1396,36,17,21957,21957,1184,,358040
