date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,,,,,
52,0,0,0,,,,,
53,0,0,0,,,,,
54,2,0,0,,,,,
55,2,0,0,,,,,
56,2,0,0,,,,,
57,4,0,0,,,,,
58,2,0,0,,,,,
59,4,0,0,,,,,
60,6,0,0,,,,,
61,19,0,0,,,,,
62,6,0,0,,,,,
63,16,0,0,,,,,
64,13,0,0,,,,,
65,20,0,0,,,,,
66,37,0,1,,,,,
67,52,0,0,,,,,
68,83,0,0,,,,,
69,103,0,1,,,,,
70,108,0,0,,,,,
71,165,0,4,,,,,
72,207,0,1,,,,,
73,276,0,4,,,,,
74,560,0,5,,,,,
75,531,241,6,241,241,,,
76,533,75,12,316,316,,,
77,643,37,4,353,353,,,
78,693,33,11,386,386,,,
79,756,128,14,514,514,,,
80,962,106,11,620,620,,,
81,1211,110,16,730,730,,,
82,1404,122,12,852,852,,,
83,1597,152,34,1004,1004,,,
84,1493,68,14,1072,1072,,,
85,1470,73,12,1145,1145,,,
86,1579,-1145,78,,,1665,,
87,1680,0,69,,,1898,,
88,1989,0,29,,,2051,,
89,1751,0,78,,,2072,,
90,1676,0,78,,,2115,,
91,1178,0,13,,,2097,,
92,1366,0,17,,,2243,,
93,1146,0,60,,,2317,,
94,1145,0,63,,,2395,,
95,1245,0,60,,,2512,,
96,1706,0,49,,,2603,,
97,1628,0,80,,,2613,,
98,1215,0,276,,,2634,,
99,948,0,92,,,2701,,
100,1296,0,360,,,2743,,
101,1156,0,58,,,2764,,
102,1369,0,-201,,,2750,,
103,1599,0,71,,,2746,,
104,1397,0,45,,,2748,,
105,1116,0,13,,,2736,,
106,885,0,47,,,2800,,
107,1214,0,119,,,2781,,
108,1102,0,479,,,2781,,
109,1397,0,97,,,2707,,
110,1208,0,62,,,2683,,
111,1334,0,64,,,2673,,
112,962,0,26,,,2645,,
113,825,0,14,,,2708,,
114,865,0,554,,,2580,,
115,888,0,94,,,2545,,
116,1070,0,310,,,2420,,
117,1323,0,200,,,2342,,
118,1078,0,72,,,2285,,
119,1295,0,19,,,2230,,
120,543,0,24,,,2176,,
121,837,0,75,,,2187,,
122,707,0,137,,,2012,,
123,938,0,275,,,1983,,
124,986,0,124,,,1934,,
125,989,0,61,,,1873,,
126,623,0,15,,,1821,,
127,822,0,87,,,1885,,
128,610,0,119,,,1861,,
129,0,0,0,,,1818,,
130,1726,0,245,,,1654,,
131,866,0,115,,,1580,,37767
132,725,0,112,,,1560,,39519
133,730,0,28,,,1533,,40627
134,473,0,15,,,1628,,40911
135,451,0,13,,,1493,,41868
136,780,0,113,,,1493,,43038
137,625,0,108,,,1476,,44826
138,1297,0,91,,,1445,,46370
139,692,0,73,,,1352,,47133
140,515,0,18,,,1352,,48190
141,352,0,12,,,1302,,48428
142,612,0,100,,,1302,,48838
143,512,0,74,,,1164,,49915
144,538,0,76,,,1174,,51019
145,445,0,69,,,1174,,52069
146,701,0,45,,,1174,,52560
147,506,0,12,,,1174,,53670
148,351,0,10,,,1174,,53670
149,493,0,61,,,1032,,53670
150,410,0,48,,,992,,54560
151,467,0,51,,,946,,55665
152,66,0,49,,,899,,56939
153,463,0,49,,,875,,58061
154,336,0,4,,,852,,58310
155,323,0,28,,,851,,58549
156,362,0,33,,,800,,59612
157,335,0,43,,,788,,59863
158,418,0,42,,,740,,60979
159,526,0,38,,,731,,62186
160,504,0,20,,,715,,62574
161,464,0,4,,,735,,62932
162,456,0,3,,,745,,64105
163,510,0,38,,,738,,64502
164,495,0,54,,,707,,64502
165,579,0,39,,,704,,65340
166,600,0,22,,,661,,65808
167,0,0,0,,,651,,65808
168,1126,0,0,,,648,,66686
169,492,0,35,,,635,,67070
170,618,0,35,,,634,,67552
171,636,0,0,,,632,,68048
172,832,0,63,,,631,,68697
173,667,0,34,,,598,,69217
174,634,0,3,,,589,,69712
175,479,0,4,,,592,,70086
176,450,0,1,,,598,,70437
177,995,0,33,,,637,,70437
178,849,0,25,,,649,,70953
179,719,0,36,,,650,,71507
180,1009,0,32,,,653,,72284
181,813,0,17,,,646,,72910
182,577,0,7,,,652,,73354
183,476,0,7,,,682,,73721
184,929,0,20,,,678,,74436
185,994,0,26,,,667,,74436
186,781,0,16,,,652,,74818
187,1032,0,19,,,680,,75603
188,763,0,15,,,699,,76183
189,786,0,8,,,703,,76780
190,711,0,3,,,706,,76780
191,1027,0,20,,,736,,77073
192,631,0,25,,,735,,77547
193,962,0,16,,,736,,78268
194,1213,0,22,,,736,,79178
195,1054,0,13,,,709,,79968
196,800,0,4,,,707,,80568
197,839,0,4,,,704,,81198
198,1120,0,24,,,716,,82038
199,834,0,16,,,756,,82663
200,860,0,14,,,756,,83308
201,970,0,13,,,522,,84036
202,888,0,15,,,579,,85831
203,654,0,5,,,564,,86328
204,565,0,0,,,585,,86757
205,854,0,23,,,656,,86256
206,705,0,12,,,639,,87942
207,807,0,38,,,663,,88555
208,758,0,15,,,651,,90304
209,813,0,16,,,634,,90930
210,760,0,1,,,600,,90930
211,601,0,3,,,591,,91978
212,828,0,35,,,598,,92616
213,849,0,33,,,606,,94481
214,991,0,24,,,601,,95254
215,829,0,36,,,585,,95901
216,850,0,20,,,572,,96564
217,660,0,3,,,559,,98323
218,384,0,0,,,560,,98626
219,735,0,31,,,548,,99207
220,570,0,24,,,548,,99657
221,791,0,15,,,548,,101552
222,693,0,20,,,510,,102106
223,796,0,18,,,487,,102743
224,619,0,2,,,501,,103238
225,426,0,1,,,518,,104873
226,561,0,26,,,543,,105328
227,501,0,19,,,537,,105734
228,620,0,11,,,542,,106236
229,835,0,20,,,526,,106912
230,843,0,16,,,509,,108923
231,670,0,2,,,499,,109473
232,521,0,0,,,505,,109900
233,770,0,18,,,528,,109183
234,816,0,21,,,550,,111201
235,1160,0,20,,,530,,110784
236,891,0,10,,,497,,112882
237,963,0,18,,,505,,112286
238,691,0,0,,,490,,114239
239,547,0,20,,,496,,114687
240,496,0,11,,,514,,113690
241,931,0,14,,,492,,115857
242,587,0,15,,,488,,116339
243,1008,0,17,,,491,,117165
244,920,0,0,,,470,,117920
245,76,0,0,,,463,,117920
246,1182,0,32,,,472,,118951
247,1151,0,6,,,483,,119895
248,776,0,28,,,488,,120531
249,933,0,10,,,459,,121296
250,760,0,21,,,521,,121920
251,1162,0,22,,,470,,122872
252,733,0,25,,,400,,122872
253,234,0,23,,,418,,123665
254,834,0,19,,,429,,122833
255,898,0,39,,,421,,123560
256,853,0,17,,,422,,125785
257,806,0,2,,,435,,126446
258,1029,0,22,,,444,,127290
259,918,0,3,,,462,,127290
260,676,0,1,,,481,,128597
261,988,0,16,,,507,,127829
262,1153,0,19,,,539,,130352
263,1156,0,18,,,558,,131300
264,1161,0,19,,,561,,132252
265,0,0,20,,,573,,132252
266,2251,0,17,,,603,,134098
267,672,0,11,,,594,,134649
268,1036,0,17,,,633,,135499
269,1309,0,28,,,657,,134907
270,1376,0,27,,,687,,136021
271,1380,0,9,,,734,,137139
272,1742,0,36,,,732,,138550
273,1166,0,6,,,706,,138550
274,1088,0,18,,,725,,140376
275,1342,0,16,,,773,,139716
276,1276,0,27,,,749,,140737
277,1598,0,21,,,799,,142016
278,1566,0,25,,,830,,143268
279,1857,0,9,,,847,,144754
280,1269,0,26,,,841,,144754
281,1103,0,8,,,870,,146652
282,1557,0,33,,,918,,146048
283,1425,0,29,,,966,,147174
284,2063,0,30,,,1042,,148804
285,2219,0,33,,,1068,,148651
286,2043,0,29,,,1087,,150245
287,1666,0,12,,,1104,,150245
288,1407,0,7,,,1138,,152642
289,2751,0,23,,,1170,,152803
290,2228,0,22,,,1187,,154518
291,2202,0,44,,,1229,,156214
292,2641,0,22,,,1253,,156192
293,2510,0,28,,,1259,,158100
294,1909,0,5,,,1267,,158100
295,2060,0,6,,,1352,,161116
296,2875,0,32,,,1417,,161153
297,2795,0,35,,,1531,,163249
298,2900,0,47,,,1599,,165424
299,3384,0,38,,,1597,,165723
300,4035,0,40,,,1687,,168708
301,2909,0,5,,,1735,,168708
302,3402,0,4,,,1827,,171036
303,4361,0,62,,,1938,,171833
304,4711,0,59,,,2080,,172791
305,5488,0,49,,,2196,,176687
306,5531,0,30,,,2314,,178070
307,5551,0,50,,,2374,,178070
308,5199,0,38,,,2440,,178070
309,4476,0,13,,,2575,,183336
310,5900,0,30,,,2737,,184593
311,6339,0,110,,,2904,,186022
312,7126,0,116,,,2952,,190725
313,6808,0,108,,,3162,,192260
314,6778,0,112,,,3294,,193640
315,7075,0,41,,,3379,,193640
316,4762,0,28,,,3459,,198072
317,6669,0,81,,,3897,,202274
318,6759,0,144,,,3990,,203253
319,8425,0,118,,,4087,,203253
320,7360,0,21,,,4114,,209604
321,8053,0,41,,,4253,,214516
322,5529,0,76,,,4405,,214516
323,4268,0,32,,,4631,,216878
324,5676,0,180,,,4744,,220284
325,8291,0,194,,,4982,,225258
326,11406,0,187,,,5071,,228233
327,11763,0,169,,,5230,,231188
328,12884,0,149,,,5272,,238660
329,8630,0,69,,,5300,,238660
330,6330,0,42,,,5421,,247337
331,10170,0,169,,,5561,,248869
332,8703,0,220,,,5852,,258283
333,11972,0,248,,,5877,,265227
334,12745,0,225,,,5668,,272619
335,11084,0,201,,,5940,,279048
336,10684,0,129,,,5970,,279048
337,7962,0,55,,,6026,,289863
338,9556,0,270,,,6295,,295405
339,10049,0,278,,,6346,,306427
340,9966,0,224,,,6209,,317601
341,9320,0,216,,,6147,,323193
342,9834,0,217,,,6086,,334578
343,7213,0,99,,,6074,,334578
344,7887,0,57,,,6090,,343789
345,7962,0,231,,,6151,,348646
346,9605,0,230,,,6142,,360316
347,9230,0,276,,,6077,,371943
348,7174,0,139,,,5925,,371943
349,7581,0,26,,,5806,,381238
350,4884,0,127,,,5905,,381238
351,3779,0,76,,,5995,,392834
352,8545,0,267,,,6022,,404526
353,8984,0,319,,,5962,,416679
354,8992,0,306,,,5677,,429017
355,7714,0,236,,,5624,,429017
356,9253,0,25,,,5460,,453531
357,4579,0,56,,,5529,,453531
358,3226,0,66,,,5630,,465567
359,8818,0,185,,,5684,,471740
360,9474,0,368,,,5613,,485206
361,9698,0,265,,,5491,,499022
362,10178,0,215,,,5318,,513383
363,10045,0,273,,,5298,,520490
364,7506,0,103,,,5201,,520490
365,5338,0,83,,,5232,,537353
366,7275,0,227,,,5204,,542737
367,7960,0,349,,,5069,,556041
368,7175,0,313,,,4980,,568908
369,6047,0,215,,,4848,,573504
370,7166,0,231,,,4743,,578950
371,6023,0,122,,,4614,,578950
372,4045,0,80,,,4582,,594320
373,5341,0,77,,,4593,,598433
374,5984,0,401,,,4882,,610872
375,5664,0,260,,,4758,,615290
376,5338,0,193,,,4169,,627395
377,5785,0,205,,,3997,,631966
378,3976,0,83,,,3910,,631966
379,3934,0,55,,,3887,,638214
380,4628,0,219,,,3790,,641871
381,5874,0,222,,,3768,,654695
382,6036,0,198,,,3691,,667768
383,9643,0,159,,,3586,,675578
384,5191,0,140,,,3551,,688175
385,3985,0,59,,,3370,,688175
386,2854,0,26,,,3280,,693783
387,4410,0,125,,,3281,,697400
388,3128,0,143,,,3224,,708501
389,3370,0,146,,,3138,,719868
390,4688,0,138,,,3041,,723806
391,3930,0,157,,,2934,,735763
392,4717,0,71,,,2913,,735763
393,2504,0,4,,,2881,,735763
394,4088,0,149,,,2890,,745376
395,3378,0,125,,,2789,,757050
396,3978,0,115,,,2687,,760471
397,3987,0,99,,,2548,,772782
398,4088,0,113,,,2452,,776339
399,2571,0,24,,,2348,,776339
400,1945,0,23,,,2447,,776339
401,2377,0,7,,,2356,,791328
402,3413,0,193,,,2174,,794332
403,3345,0,94,,,2124,,797275
404,2778,0,67,,,2061,,799720
405,2818,0,90,,,2060,,811315
406,1906,0,27,,,1959,,811315
407,1521,0,17,,,1963,,814366
408,2830,0,97,,,1963,,816884
409,2786,0,76,,,1972,,828570
410,2356,0,81,,,1962,,830691
411,3346,0,69,,,1897,,833702
412,3361,0,0,,,1785,,836727
413,1945,0,84,,,1720,,836727
414,1628,0,5,,,1715,,849275
415,2564,0,74,,,1670,,851608
416,2577,0,69,,,1648,,844569
417,3028,0,50,,,1628,,856709
418,2757,0,43,,,1587,,859218
419,2789,0,55,,,1513,,859218
420,1658,0,32,,,1587,,861756
