date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,,,,,
50,0,0,0,,,,,
51,0,0,0,,,,,
52,0,0,0,,,,,
53,1,0,0,,,,,
54,0,0,0,,,,,
55,0,0,0,,,,,
56,0,0,0,,,,,
57,1,0,0,,,,,
58,1,0,0,,,,,
59,0,0,0,,,,,
60,8,0,0,,,,,
61,6,0,0,,,,,
62,0,0,0,,,,,
63,1,0,0,,,,,
64,2,0,0,,,,,
65,11,0,0,,,,,
66,11,0,0,,,,,
67,17,0,0,,,,,
68,13,0,0,,,,,
69,14,0,0,,,,,
70,25,0,0,,,,,
71,16,0,0,,,,,
72,19,0,0,,,,,
73,28,0,0,,,15,,
74,41,0,0,,,23,,
75,31,0,0,,,28,,
76,64,0,0,,,29,,
77,105,0,3,,,35,,
78,78,0,1,,,41,,
79,73,0,4,,,59,,
80,100,0,2,,,60,,
81,62,0,2,,,72,,
82,101,0,2,,,77,,
83,137,0,3,,,93,,
84,182,0,8,,,103,,
85,206,0,2,,,109,,
86,261,0,3,,,123,,
87,273,0,5,,,143,,
88,279,0,8,,,160,,
89,404,0,6,,,169,,
90,280,0,7,,,183,,
91,289,0,7,,,201,,
92,187,331,10,331,331,197,,
93,267,0,7,331,331,213,,
94,307,0,7,331,331,229,,
95,392,0,18,331,331,245,,
96,290,0,13,331,331,252,,
97,283,247,32,578,578,293,,
98,339,27,14,605,605,298,,
99,378,24,11,629,629,297,,
100,387,45,11,674,674,309,,
101,382,43,15,717,717,314,,
102,419,40,12,757,757,316,,
103,415,-181,-11,576,576,267,,
104,305,0,13,576,576,263,,
105,276,115,11,691,691,258,,
106,203,27,7,718,718,266,,
107,324,14,6,732,732,266,,
108,372,18,12,750,750,269,,
109,348,146,15,896,896,339,,
110,317,41,13,937,937,352,,
111,189,40,17,977,977,333,,
112,181,36,24,1013,1013,330,,
113,291,48,21,1061,1061,339,,
114,303,31,14,1092,1092,327,,
115,342,31,15,1123,1123,324,,
116,271,30,18,1153,1153,318,,
117,231,34,11,1187,1187,312,,
118,286,31,19,1218,1218,292,,
119,186,33,4,1251,1251,283,,
120,175,29,8,1280,1280,276,,
121,219,27,14,1307,1307,277,,
122,196,21,18,1328,1328,269,,
123,228,23,6,1351,1351,271,,
124,232,21,11,1372,1372,272,,
125,252,31,10,1403,1403,273,,
126,125,15,10,1418,1418,260,,
127,137,20,7,1438,1438,236,,
128,215,26,26,1464,1464,247,,
129,187,22,6,1486,1486,257,,
130,169,20,18,1506,1506,254,,
131,201,31,23,1537,1537,242,,
132,108,20,18,1557,1557,233,,
133,84,23,11,1580,1580,240,,
134,70,0,0,1580,1580,240,,
135,154,33,26,1613,1613,226,,
136,133,11,21,1624,1624,218,,
137,132,15,22,1639,1639,222,,
138,178,21,16,1660,1660,219,,
139,104,22,18,1682,1682,219,,
140,76,19,7,1701,1701,206,,
141,99,23,2,1724,1724,195,,
142,107,19,12,1743,1743,188,,
143,105,10,10,1753,1753,189,,
144,117,12,14,1765,1765,185,,
145,105,10,16,1775,1775,182,,
146,68,0,0,1775,1775,182,,
147,49,0,0,1775,1775,182,,
148,45,32,27,1807,1807,146,,
149,68,8,9,1815,1815,144,,
150,104,13,4,1828,1828,148,,
151,87,14,11,1842,1842,146,,
152,81,11,10,1853,1853,141,,
153,49,0,0,1853,1853,141,,
154,32,0,0,1853,1853,141,,
155,76,29,18,1882,1882,127,,
156,52,7,14,1889,1889,129,,
157,51,9,11,1898,1898,126,,
158,71,13,9,1911,1911,126,,
159,59,11,9,1922,1922,123,,
160,36,0,0,1922,1922,123,,
161,27,0,0,1922,1922,123,,
162,59,28,9,1950,1950,106,,
163,77,8,3,1958,1958,105,,
164,51,9,6,1967,1967,104,,
165,45,14,8,1981,1981,103,,
166,69,3,7,1984,1984,91,,
167,36,0,0,1984,1984,91,,
168,22,0,0,1984,1984,91,,
169,36,11,19,1995,1995,73,,
170,40,6,4,2001,2001,74,,
171,65,6,6,2007,2007,69,,
172,59,4,3,2011,2011,67,,
173,22,8,1,2019,2019,61,,
174,27,0,0,2019,2019,61,,
175,24,0,0,2019,2019,61,,
176,55,0,0,2019,2019,61,,
177,41,17,9,2036,2036,55,,
178,0,7,2,2043,2043,56,,
179,39,0,3,2043,2043,55,,
180,69,8,2,2051,2051,61,,
181,0,0,0,2051,2051,61,,
182,0,0,0,2051,2051,61,,
183,175,15,8,2066,2066,67,,
184,101,4,1,2070,2070,69,,
185,52,5,2,2075,2075,59,,
186,71,9,1,2084,2084,64,,
187,82,4,2,2088,2088,62,,
188,0,0,0,2088,2088,62,,
189,0,0,0,2088,2088,62,,
190,111,22,5,2110,2110,61,,
191,82,6,1,2116,2116,64,,
192,76,11,1,2127,2127,67,,
193,86,10,4,2137,2137,67,,
194,76,9,1,2146,2146,66,,
195,0,0,0,2146,2146,66,,
196,0,0,0,2146,2146,66,,
197,291,28,2,2174,2174,71,,
198,210,8,1,2182,2182,68,,
199,75,13,2,2195,2195,74,,
200,150,7,0,2202,2202,77,,
201,72,9,0,2211,2211,76,,
202,0,0,0,2211,2211,76,,
203,0,0,0,2211,2211,76,,
204,224,20,3,2231,2231,80,,
205,144,11,1,2242,2242,80,,
206,91,6,1,2248,2248,79,,
207,130,16,2,2264,2264,83,,
208,127,12,0,2276,2276,84,,
209,94,18,1,2294,2294,82,,
210,74,17,0,2311,2311,93,,
211,28,0,0,2311,2311,93,,
212,119,6,1,2317,2317,88,,
213,76,19,2,2336,2336,89,,
214,111,5,1,2341,2341,80,,
215,95,9,2,2350,2350,79,,
216,104,25,1,2375,2375,85,,
217,75,5,0,2380,2380,80,,
218,58,0,1,2380,2380,80,,
219,120,25,1,2405,2405,78,,
220,103,14,3,2419,2419,82,,
221,76,12,1,2431,2431,84,,
222,151,7,2,2438,2438,81,,
223,153,17,5,2455,2455,87,,
224,88,5,0,2460,2460,80,,
225,39,0,0,2460,2460,80,,
226,70,14,4,2474,2474,87,,
227,82,4,2,2478,2478,80,,
228,135,7,3,2485,2485,82,,
229,94,11,2,2496,2496,81,,
230,174,18,1,2514,2514,80,,
231,46,5,0,2519,2519,77,,
232,46,0,1,2519,2519,77,,
233,53,9,2,2528,2528,81,,
234,76,14,1,2542,2542,78,,
235,65,-2,4,2540,2540,68,,
236,100,19,0,2559,2559,76,,
237,241,22,3,2581,2581,82,,
238,35,6,0,2587,2587,79,,
239,53,2,1,2589,2589,73,,
240,20,0,0,2589,2589,73,,
241,84,15,3,2604,2604,82,,
242,106,7,5,2611,2611,76,,
243,123,9,4,2620,2620,80,,
244,94,19,1,2639,2639,80,,
245,99,5,3,2644,2644,80,,
246,32,0,0,2644,2644,80,,
247,120,6,3,2650,2650,81,,
248,108,12,3,2662,2662,84,,
249,130,6,4,2668,2668,88,,
250,132,7,3,2675,2675,85,,
251,178,12,3,2687,2687,75,,
252,82,6,3,2693,2693,78,,
253,52,0,3,2693,2693,78,,
254,112,11,2,2704,2704,82,,
255,133,9,3,2713,2713,86,,
256,134,12,4,2725,2725,94,,
257,-130,0,1,2725,2725,94,,
258,103,0,3,2725,2725,94,,
259,114,0,0,2725,2725,94,,
260,26,0,0,2725,2725,94,,
261,132,49,3,2774,2774,103,,
262,192,8,1,2782,2782,103,,
263,166,11,3,2793,2793,94,,
264,162,7,1,2800,2800,96,,
265,169,28,1,2828,2828,94,,
266,124,7,1,2835,2835,92,,
267,50,0,1,2835,2835,92,,
268,177,14,4,2849,2849,93,,
269,180,24,1,2873,2873,107,,
270,269,16,1,2889,2889,117,,
271,249,13,3,2902,2902,112,,
272,286,32,2,2934,2934,119,,
273,170,16,2,2950,2950,125,,
274,81,11,3,2961,2961,126,,
275,129,0,2,2961,2961,126,,
276,204,23,8,2984,2984,131,,
277,274,15,2,2999,2999,129,,
278,253,16,3,3015,3015,137,,
279,287,24,6,3039,3039,125,,
280,284,11,0,3050,3050,124,,
281,85,0,1,3050,3050,124,,
282,302,22,5,3072,3072,135,,
283,474,19,5,3091,3091,130,,
284,471,25,4,3116,3116,140,,
285,524,10,4,3126,3126,140,,
286,465,71,6,3197,3197,163,,
287,274,11,0,3208,3208,163,,
288,167,0,1,3208,3208,163,,
289,421,21,4,3229,3229,168,,
290,499,27,4,3256,3256,136,,
291,368,16,3,3272,3272,139,,
292,562,37,6,3309,3309,152,,
293,534,49,3,3358,3358,153,,
294,480,27,3,3385,3385,170,,
295,232,0,3,3385,3385,170,,
296,423,21,2,3406,3406,177,,
297,579,26,2,3432,3432,169,,
298,628,40,8,3472,3472,182,,
299,630,16,2,3488,3488,187,,
300,795,70,7,3558,3558,210,,
301,568,26,1,3584,3584,212,,
302,266,0,1,3584,3584,212,,
303,789,37,4,3621,3621,218,,
304,978,35,6,3656,3656,220,,
305,988,45,7,3701,3701,232,,
306,765,55,4,3756,3756,250,,
307,1234,73,3,3829,3829,258,,
308,679,28,8,3857,3857,256,,
309,481,0,5,3857,3857,256,,
310,605,37,8,3894,3894,265,,
311,1383,59,6,3953,3953,284,,
312,1040,60,4,4013,4013,298,,
313,1050,33,6,4046,4046,288,,
314,1405,100,6,4146,4146,293,,
315,738,31,3,4177,4177,285,,
316,429,0,6,4177,4177,285,,
317,851,75,16,4252,4252,323,,
318,893,74,10,4326,4326,357,,
319,1174,82,7,4408,4408,319,,
320,463,0,4,4408,4408,319,,
321,1063,122,17,4530,4530,349,,
322,1055,52,2,4582,4582,365,,
323,651,0,8,4582,4582,365,,
324,1183,88,7,4670,4670,410,,
325,1099,62,11,4732,4732,408,,
326,1717,57,9,4789,4789,409,,
327,1415,54,13,4843,4843,408,,
328,1807,141,16,4984,4984,410,,
329,1030,55,8,5039,5039,422,,
330,844,0,11,5039,5039,422,,
331,1249,94,22,5133,5133,444,,
332,1232,83,14,5216,5216,461,,
333,948,72,14,5288,5288,466,,
334,1571,0,11,5288,5288,466,,
335,1831,198,17,5486,5486,440,,
336,870,48,12,5534,5534,433,,
337,552,0,17,5534,5534,433,,
338,1166,82,15,5616,5616,455,,
339,972,84,20,5700,5700,469,,
340,1081,66,12,5766,5766,479,,
341,522,56,23,5822,5822,459,,
342,971,0,19,5822,5822,459,,
343,1029,0,15,5822,5822,459,,
344,419,164,11,5986,5986,429,,
345,956,73,8,6059,6059,440,,
346,879,72,26,6131,6131,442,,
347,1046,0,11,6131,6131,442,,
348,870,0,7,6131,6131,442,,
349,226,0,10,6131,6131,442,,
350,733,0,7,6131,6131,442,,
351,661,272,3,6403,6403,412,,
352,1187,50,18,6453,6453,423,,
353,1160,53,17,6506,6506,426,,
354,1592,0,32,6506,6506,426,,
355,863,0,14,6506,6506,426,,
356,783,0,10,6506,6506,426,,
357,888,0,10,6506,6506,426,,
358,633,281,12,6787,6787,415,,
359,1144,50,15,6837,6837,409,,
360,1611,68,20,6905,6905,405,,
361,1128,51,20,6956,6956,397,,
362,1023,71,6,7027,7027,390,,
363,1387,0,14,7027,7027,390,,
364,1038,0,10,7027,7027,390,,
365,568,164,7,7191,7191,399,,
366,786,50,23,7241,7241,402,,
367,1092,69,17,7310,7310,402,,
368,901,56,9,7366,7366,375,,
369,1057,66,9,7432,7432,384,,
370,1029,0,14,7432,7432,384,,
371,752,0,9,7432,7432,384,,
372,481,0,5,7432,7432,384,,
373,361,218,12,7650,7650,366,,
374,810,70,13,7720,7720,379,,
375,910,67,18,7787,7787,379,,
376,949,57,7,7844,7844,352,,
377,976,0,14,7844,7844,352,,
378,742,0,4,7844,7844,352,,
379,301,162,9,8006,8006,347,,
380,642,57,16,8063,8063,346,,
381,613,35,9,8098,8098,334,,
382,745,33,9,8131,8131,335,,
383,684,48,10,8179,8179,324,,
384,700,0,10,8179,8179,324,,
385,569,0,4,8179,8179,324,,
386,249,117,5,8296,8296,316,,
387,235,35,13,8331,8331,307,,
388,513,38,12,8369,8369,298,,
389,587,43,11,8412,8412,290,,
390,600,56,3,8468,8468,288,,
391,630,0,11,8468,8468,288,,
392,372,0,5,8468,8468,288,,
393,211,81,8,8549,8549,241,,
394,330,38,12,8587,8587,242,,
395,459,28,11,8615,8615,238,,
396,488,42,15,8657,8657,238,,
397,440,32,16,8689,8689,222,,
398,443,0,39,8689,8689,222,,
399,320,0,3,8689,8689,222,,
400,203,65,2,8754,8754,181,,
401,285,32,10,8786,8786,197,,
402,368,25,8,8811,8811,193,,
403,419,35,15,8846,8846,180,,
404,286,24,9,8870,8870,177,,
405,403,0,86,8870,8870,177,,
406,273,0,1,8870,8870,177,,
407,159,-55,3,8815,8815,186,,
408,282,20,10,8835,8835,170,,
409,456,15,11,8850,8850,168,,
410,467,25,9,8875,8875,163,,
411,437,25,6,8900,8900,168,,
412,471,0,10,8900,8900,168,,
413,343,0,2,8900,8900,168,,
414,152,47,3,8947,8947,162,,
415,261,19,8,8966,8966,157,,
416,436,16,9,8982,8982,147,,
417,442,20,5,9002,9002,148,,
418,394,18,2,9020,9020,141,,
419,395,0,6,9020,9020,141,,
420,265,0,0,9020,9020,141,,
