date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,,,,,
53,0,0,0,,,,,
54,0,0,0,,,,,
55,2,0,0,,,,,
56,0,0,0,,,,,
57,5,0,0,,,,,
58,0,0,0,,,,,
59,2,0,0,,,,,
60,1,0,0,,,,,
61,2,0,0,,,,,
62,1,0,0,,,,,
63,6,0,0,,,,,
64,9,0,1,,,,,
65,5,0,0,,,,,
66,27,0,0,,,,,
67,0,0,0,,,,,
68,21,0,0,,,,,
69,71,0,0,,,,,
70,43,0,2,,,,,
71,103,0,2,,,,,
72,0,0,0,,,,,
73,126,102,2,102,102,,,
74,32,0,2,102,102,,,
75,0,0,0,102,102,,,
76,83,0,4,102,102,,,
77,235,0,3,102,102,,,
78,151,0,2,102,102,,,
79,158,0,4,102,102,,,
80,210,0,4,102,102,,,
81,261,139,5,241,241,,,
82,0,0,0,241,241,,,
83,363,0,9,241,241,,,
84,132,0,4,241,241,,,
85,0,0,0,241,241,,,
86,368,0,7,241,241,,,
87,135,0,12,241,241,,,
88,240,0,4,241,241,,,
89,273,255,5,496,496,,,
90,142,0,8,496,496,,,
91,112,0,2,496,496,,,
92,0,0,0,496,496,,,
93,234,179,15,675,675,,,
94,103,0,10,675,675,,,
95,0,0,0,675,675,,,
96,275,0,2,675,675,,,
97,315,101,10,776,776,,,2633
98,131,0,1,776,776,,,2633
99,0,0,0,776,776,,,2063
100,62,0,4,776,776,,,2063
101,322,61,16,837,837,,,3317
102,156,0,10,837,837,,,3317
103,0,0,0,837,837,,,3317
104,336,107,16,944,944,,,3701
105,237,0,8,944,944,,,3701
106,0,0,0,944,944,,,3701
107,123,0,3,944,944,,,2830
108,268,56,26,1000,1000,,,3252
109,214,0,41,1000,1000,,,3252
110,163,110,12,1110,1110,,,3622
111,231,0,11,1110,1110,,,3622
112,137,0,8,1110,1110,,,3622
113,0,0,0,1110,1110,,,3622
114,131,0,8,1110,1110,,,3622
115,179,42,22,1152,1152,,,3816
116,0,0,0,1152,1152,,,3816
117,206,0,11,1152,1152,,,3816
118,389,100,14,1252,1252,,,4120
119,122,0,1,1252,1252,,,4120
120,0,0,0,1252,1252,,,4120
121,274,86,24,1338,1338,,,6817
122,0,0,0,1338,1338,,,6817
123,262,0,16,1338,1338,,,4914
124,218,83,9,1421,1421,,,5076
125,0,0,0,1421,1421,,,5076
126,409,0,0,1421,1421,,,5076
127,126,0,11,1421,1421,,,5076
128,114,23,8,1444,1444,,,5451
129,0,0,0,1444,1444,,,5451
130,119,0,8,1444,1444,414,,5451
131,463,90,12,1534,1534,429,,5743
132,257,0,6,1534,1534,430,,5743
133,201,0,10,1534,1534,461,,5743
134,82,0,5,1534,1534,407,,6063
135,238,84,6,1618,1618,433,,6102
136,207,0,20,1618,1618,398,,6102
137,165,0,4,1618,1618,397,,6102
138,343,16,13,1634,1634,399,,6459
139,263,0,4,1634,1634,387,,6459
140,467,0,7,1634,1634,402,,6459
141,287,0,6,1634,1634,450,,6459
142,267,155,1,1789,1789,425,,6976
143,236,0,17,1789,1789,433,,6976
144,354,0,7,1789,1789,453,,6976
145,448,25,13,1814,1814,453,,7347
146,463,0,7,1814,1814,453,,7347
147,370,0,1,1814,1814,477,,7347
148,514,0,11,1814,1814,507,,7347
149,428,84,11,1898,1898,541,,7928
150,531,0,7,1898,1898,513,,7928
151,682,0,13,1898,1898,494,,7928
152,729,90,5,1988,1988,512,,8682
153,785,0,6,1988,1988,523,,8682
154,840,0,1,1988,1988,521,,8682
155,583,0,2,1988,1988,536,,8682
156,612,67,5,2055,2055,571,,9734
157,566,0,10,2055,2055,607,,9734
158,992,0,4,2055,2055,626,,9734
159,1083,239,18,2294,2294,660,,10790
160,1155,0,5,2294,2294,673,,10790
161,907,0,9,2294,2294,692,,10790
162,1008,0,6,2294,2294,731,,10790
163,912,83,14,2377,2377,824,,12317
164,1284,0,10,2377,2377,832,,12317
165,1125,0,10,2377,2377,881,,12317
166,1313,245,1,2622,2622,906,,13456
167,1604,0,17,2622,2622,908,,13456
168,1381,0,5,2622,2622,954,,13456
169,1324,0,4,2622,2622,1032,,13456
170,1755,232,19,2854,2854,1021,,15471
171,1520,0,27,2854,2854,1160,,15471
172,1782,0,18,2854,2854,1125,,15471
173,1831,28,9,2882,2882,1148,,16994
174,1854,0,20,2882,2882,1190,,16994
175,1461,0,7,2882,2882,1251,,16994
176,1533,0,7,2882,2882,1260,,16994
177,972,208,19,3090,3090,1324,,19181
178,1557,0,38,3090,3090,1404,,19181
179,1782,0,21,3090,3090,1433,,19181
180,1728,308,24,3398,3398,1438,,20956
181,2280,0,22,3398,3398,1396,,20956
182,1949,0,10,3398,3398,1472,,20957
183,1520,0,11,3398,3398,1488,,20957
184,2221,346,21,3744,3744,1550,,23849
185,1856,0,5,3744,3744,1560,,23849
186,1838,0,72,3744,3744,1578,,23849
187,1977,438,26,4182,4182,1593,,23849
188,1552,0,39,4182,4182,1593,,23849
189,2374,0,20,4182,4182,1593,,22553
190,1459,0,9,4182,4182,1593,,22553
191,1892,316,57,4498,4498,1593,,27062
192,1705,0,64,4498,4498,1607,,27062
193,1564,0,49,4498,4498,1723,,27062
194,2001,329,51,4827,4827,1668,,29378
195,1401,0,80,4827,4827,1668,,29378
196,1191,0,26,4827,4827,1668,,29378
197,1218,0,15,4827,4827,1668,,29378
198,1692,290,59,5117,5117,1575,,32859
199,1737,0,50,5117,5117,1596,,32859
200,1726,0,52,5117,5117,1563,,32859
201,1444,0,45,5117,5117,1516,,32859
202,1583,410,39,5527,5527,1453,,32859
203,1189,0,26,5527,5527,1427,,32859
204,1163,0,16,5527,5527,1401,,32859
205,1239,272,54,5799,5799,1458,,32859
206,1282,0,47,5799,5799,1469,,32859
207,1325,0,49,5799,5799,1492,,32859
208,1422,354,19,6153,6153,1415,,37798
209,1241,0,45,6153,6153,1402,,37798
210,975,0,24,6153,6153,1378,,37798
211,724,0,18,6153,6153,1353,,37798
212,971,329,49,6482,6482,1330,,40837
213,844,0,46,6482,6482,1366,,40837
214,935,0,42,6482,6482,1322,,40837
215,932,370,18,6852,6852,1296,,42730
216,1041,0,56,6852,6852,1246,,42730
217,615,0,9,6852,6852,1161,,42730
218,456,0,19,6852,6852,1101,,42730
219,719,294,55,7146,7146,1116,,45205
220,739,0,17,7146,7146,1168,,45205
221,909,0,41,7146,7146,1108,,45205
222,1058,293,58,7439,7439,1079,,46118
223,917,0,34,7439,7439,1025,,46118
224,693,0,11,7439,7439,1026,,46118
225,563,0,7,7439,7439,979,,46118
226,937,159,18,7598,7598,1025,,51431
227,605,0,44,7598,7598,1058,,51431
228,505,0,55,7598,7598,1006,,51431
229,1353,0,27,7598,7598,979,,51431
230,1298,167,43,7765,7765,945,,51431
231,1075,17,11,7782,7782,956,,51431
232,668,29,11,7811,7811,934,,51431
233,854,59,37,7870,7870,894,,51431
234,657,78,37,7948,7948,892,,51431
235,1193,58,13,8006,8006,911,,51431
236,1629,67,39,8073,8073,910,,51431
237,964,60,31,8133,8133,845,,51431
238,663,11,10,8144,8144,787,,51431
239,655,27,20,8171,8171,787,,51431
240,301,11,5,8182,8182,766,,51431
241,305,54,30,8236,8236,801,,51431
242,379,59,33,8295,8295,852,,51431
243,2454,58,53,8353,8353,806,,51431
244,932,49,12,8402,8402,806,,51431
245,1886,24,24,8426,8426,752,,51431
246,816,22,13,8448,8448,733,,51431
247,790,54,21,8502,8502,745,,51431
248,652,50,34,8552,8552,784,,51431
249,1324,59,26,8611,8611,733,,51431
250,872,58,19,8669,8669,798,,51431
251,922,39,11,8708,8708,826,,51431
252,468,30,11,8738,8738,733,,51431
253,416,41,13,8779,8779,764,,51431
254,2665,72,31,8851,8851,768,,68748
255,897,55,19,8906,8906,786,,67491
256,1021,39,17,8945,8945,804,,68079
257,1195,49,18,8994,8994,773,,68854
258,1371,34,26,9028,9028,727,,69629
259,614,15,3,9043,9043,734,,70028
260,568,22,11,9065,9065,753,,70430
261,1179,40,22,9105,9105,690,,73136
262,308,55,19,9160,9160,729,,71691
263,381,0,22,9160,9160,709,,74499
264,862,56,9,9216,9216,679,,72951
265,1706,0,33,9216,9216,686,,72951
266,691,43,11,9259,9259,599,,73973
267,577,24,3,9283,9283,593,,74272
268,811,48,15,9331,9331,655,,74949
269,735,61,31,9392,9392,707,,75768
270,1050,83,12,9475,9475,716,,76477
271,921,44,16,9519,9519,748,,77102
272,945,42,21,9561,9561,728,,77700
273,785,17,1,9578,9578,685,,78115
274,649,22,7,9600,9600,684,,78431
275,828,54,17,9654,9654,745,,79110
276,926,81,17,9735,9735,792,,79781
277,1297,63,14,9798,9798,762,,80460
278,1147,56,8,9854,9854,769,,81106
279,961,63,22,9917,9917,759,,81703
280,776,22,13,9939,9939,716,,82119
281,619,20,11,9959,9959,697,,82637
282,884,69,35,10028,10028,697,,83361
283,864,34,12,10062,10062,743,,84052
284,1128,40,47,10102,10102,766,,84761
285,1064,59,22,10161,10161,718,,85420
286,792,51,16,10212,10212,743,,86031
287,1337,12,9,10224,10224,725,,86524
288,823,12,21,10236,10236,737,,86928
289,1078,50,19,10286,10286,746,,87892
290,912,59,34,10345,10345,810,,88761
291,1100,59,13,10404,10404,800,,89472
292,1003,48,7,10452,10452,777,,90215
293,1018,48,39,10500,10500,789,,90994
294,1411,14,1,10514,10514,773,,91466
295,894,19,10,10533,10533,749,,91934
296,1035,66,22,10599,10599,737,,92763
297,918,57,17,10656,10656,783,,93533
298,769,70,7,10726,10726,755,,94333
299,1233,50,13,10776,10776,767,,95045
300,1870,58,10,10834,10834,740,,95754
301,946,20,21,10854,10854,718,,96422
302,703,30,5,10884,10884,746,,96909
303,1347,82,21,10966,10966,784,,97765
304,1257,58,14,11024,11024,780,,98621
305,1495,60,8,11084,11084,810,,99368
306,1611,63,17,11147,11147,775,,100074
307,1913,35,9,11182,11182,781,,100742
308,1493,29,2,11211,11211,752,,101388
309,1110,22,31,11233,11233,769,,102038
310,1283,62,13,11295,11295,800,,103154
311,1547,54,26,11349,11349,830,,103996
312,1713,53,19,11402,11402,815,,104997
313,2001,53,30,11455,11455,808,,105856
314,1857,40,43,11495,11495,816,,106828
315,1277,35,9,11530,11530,809,,107683
316,1257,33,5,11563,11563,844,,108469
317,1678,92,25,11655,11655,873,,109724
318,1675,82,4,11737,11737,940,,111013
319,0,0,0,11737,11737,940,,111013
320,2215,57,29,11794,11794,884,,112233
321,1791,8,0,11802,11802,879,,112978
322,1218,55,7,11857,11857,879,,113704
323,1358,20,28,11877,11877,925,,114457
324,1425,33,23,11910,11910,980,,115152
325,1923,113,40,12023,12023,911,,116292
326,2228,103,22,12126,12126,1046,,117338
327,2950,97,30,12223,12223,1047,,118168
328,3222,82,21,12305,12305,1029,,118984
329,2864,75,49,12380,12380,1025,,119844
330,2553,35,13,12415,12415,1025,,120652
331,2302,31,6,12446,12446,1179,,121359
332,2490,81,27,12527,12527,1217,,122416
333,2242,91,15,12618,12618,1232,,123503
334,3540,107,46,12725,12725,1234,,124586
335,3572,0,12,12725,12725,1250,,124586
336,3408,149,54,12874,12874,1278,,126847
337,2570,36,12,12910,12910,1276,,128048
338,2544,50,5,12960,12960,1046,,129227
339,2799,110,44,13070,13070,1046,,130905
340,2655,109,43,13179,13179,1524,,132358
341,4302,88,29,13267,13267,1460,,133902
342,3461,100,23,13367,13367,1461,,135084
343,2869,77,40,13444,13444,1471,,136505
344,2327,22,27,13466,13466,1523,,137590
345,2322,41,14,13507,13507,1586,,138745
346,4175,165,52,13672,13672,1671,,140452
347,2798,104,15,13776,13776,1766,,141962
348,0,0,0,13776,13776,1766,,141962
349,3864,118,81,13894,13894,1758,,143320
350,7287,81,31,13975,13975,1780,,145988
351,1871,75,18,14050,14050,1867,,147106
352,2552,53,25,14103,14103,1954,,148226
353,2873,133,51,14236,14236,2001,,149770
354,4032,154,47,14390,14390,2025,,151084
355,0,0,0,14390,14390,2025,,151084
356,5211,196,89,14586,14586,1994,,152535
357,8951,141,84,14727,14727,2072,,154943
358,3803,71,15,14798,14798,2155,,156090
359,2601,53,14,14851,14851,2344,,157106
360,5162,164,84,15015,15015,2424,,158273
361,4877,187,79,15202,15202,2425,,159700
362,6064,133,34,15335,15335,2396,,161183
363,5908,174,63,15509,15509,2383,,162451
364,4441,89,53,15598,15598,2374,,163716
365,3129,66,15,15664,15664,2387,,165305
366,1703,42,34,15706,15706,2453,,166724
367,6021,142,51,15848,15848,2466,,168440
368,5802,92,23,15940,15940,2427,,170072
369,4787,195,103,16135,16135,2424,,171539
370,6455,153,71,16288,16288,2387,,173075
371,5762,148,129,16436,16436,2375,,174706
372,3280,38,11,16474,16474,2342,,176129
373,2854,37,11,16511,16511,2353,,177738
374,5525,178,69,16689,16689,2386,,179632
375,4649,180,45,16869,16869,2345,,181322
376,4696,158,31,17027,17027,2293,,183146
377,4601,137,75,17164,17164,2224,,184542
378,4536,125,68,17289,17289,2189,,186248
379,3092,46,5,17335,17335,2201,,187423
380,2250,55,26,17390,17390,2173,,188788
381,3564,190,95,17580,17580,2140,,190336
382,3938,159,230,17739,17739,2086,,191902
383,4464,149,39,17888,17888,1986,,193525
384,4152,100,72,17988,17988,1927,,194982
385,3601,102,28,18090,18090,1841,,196661
