date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,0,0,0,,0
54,0,0,0,0,0,0,,0
55,0,0,0,,,,,
56,0,0,0,,,,,
57,0,0,0,,,,,
58,0,0,0,,,,,
59,5,0,0,,,,,
60,3,0,0,,,,,
61,1,0,0,,,,,
62,0,0,0,,,,,
63,0,0,0,,,,,
64,1,0,0,,,,,
65,1,0,0,,,,,
66,0,0,1,,,,,
67,0,0,0,,,,,
68,3,0,0,,,,,
69,0,0,0,,,,,
70,7,0,0,,,,,
71,7,0,0,,,,,
72,2,0,0,,,,,
73,11,0,0,,,,,
74,5,0,0,,,,,16
75,12,0,0,,,,,21
76,10,0,0,,,,,26
77,22,0,0,,,,,29
78,11,0,0,,,,,34
79,7,12,0,12,12,,,44
80,21,0,1,12,12,,,51
81,36,5,0,17,17,,,57
82,22,0,0,17,17,,,69
83,25,2,0,19,19,,,76
84,28,3,0,22,22,,,84
85,48,1,2,23,23,,,91
86,32,0,2,23,23,,,98
87,73,3,0,26,26,,,146
88,54,1,0,27,27,,,161
89,89,2,0,29,29,,,177
90,90,4,0,33,33,,,189
91,104,10,0,43,43,,,197
92,138,1,0,44,44,,,207
93,120,1,0,45,45,,,261
94,180,6,0,51,51,,,329
95,143,4,1,55,55,,,373
96,100,8,0,63,63,,,457
97,131,5,0,68,68,,,552
98,93,6,0,74,74,,,646
99,50,13,0,87,87,,,709
100,70,13,1,100,100,65,,824
101,103,11,0,111,111,62,,937
102,98,8,1,119,119,58,,1064
103,84,5,1,124,124,61,,1190
104,107,4,0,128,128,61,,1223
105,65,7,1,135,135,64,,1257
106,33,15,0,150,150,61,,1316
107,68,7,0,157,157,69,,1392
108,60,8,2,165,165,69,,1492
109,76,8,4,173,173,76,,1573
110,76,6,4,179,179,69,,1686
111,63,8,0,187,187,71,,1759
112,43,10,0,197,197,71,,1799
113,37,14,0,211,211,69,,1830
114,53,9,3,220,220,75,,1895
115,58,10,5,230,230,72,,1977
116,126,6,2,236,236,70,,2028
117,239,11,0,247,247,76,,2069
118,249,6,3,253,253,79,,2125
119,124,8,0,261,261,77,,2147
120,97,2,0,263,263,78,,2187
121,49,8,5,271,271,74,,2309
122,69,10,0,281,281,79,,2367
123,60,9,4,290,290,85,,2437
124,95,6,1,296,296,80,,2574
125,72,8,0,304,304,75,,2673
126,28,8,0,312,312,77,,2724
127,40,4,0,316,316,77,,2784
128,58,11,2,327,327,75,,2914
129,92,6,0,333,333,81,,3023
130,73,9,2,342,342,91,,3145
131,106,9,2,351,351,83,,3267
132,112,7,0,358,358,90,,3336
133,95,6,0,364,364,85,,3371
134,23,6,0,370,370,99,,3415
135,67,8,0,378,378,106,,3528
136,57,13,4,391,391,101,,3619
137,83,15,0,406,406,105,,3698
138,73,12,5,418,418,95,,3744
139,94,9,3,427,427,93,,3805
140,33,5,0,432,432,86,,3837
141,41,3,0,435,435,87,,3903
142,33,8,0,443,443,89,,3990
143,95,13,0,456,456,87,,4084
144,85,8,2,464,464,86,,4163
145,30,3,1,467,467,83,,4179
146,90,7,0,474,474,93,,4273
147,71,4,0,478,478,87,,4335
148,33,4,0,482,482,92,,4403
149,52,5,3,487,487,90,,4483
150,81,16,1,503,503,101,,4573
151,61,11,4,514,514,87,,4664
152,77,11,1,525,525,87,,4755
153,91,6,1,531,531,85,,4828
154,65,8,0,539,539,87,,4899
155,30,5,0,544,544,93,,4961
156,38,18,2,562,562,92,,5069
157,84,8,1,570,570,91,,5143
158,59,15,0,585,585,93,,5221
159,49,4,3,589,589,95,,5276
160,67,9,0,598,598,91,,5335
161,72,10,0,608,608,89,,5389
162,29,8,0,616,616,88,,5437
163,27,8,2,624,624,85,,5497
164,66,5,1,629,629,81,,5554
165,60,3,3,632,632,79,,5592
166,56,7,1,639,639,79,,5652
167,91,6,3,645,645,73,,5717
168,55,7,0,652,652,75,,5752
169,35,5,0,657,657,70,,5818
170,48,9,0,666,666,62,,5872
171,62,8,2,674,674,65,,5933
172,67,9,4,683,683,64,,5982
173,85,4,0,687,687,58,,6049
174,50,2,0,689,689,54,,6062
175,35,2,0,691,691,59,,6063
176,42,1,0,692,692,59,,6063
177,58,7,1,699,699,64,,6190
178,79,10,0,709,709,54,,6280
179,94,9,3,718,718,61,,6331
180,65,8,6,726,726,65,,6408
181,53,12,2,738,738,65,,6470
182,45,0,0,738,738,53,,6522
183,25,4,0,742,742,63,,6543
184,48,2,0,744,744,62,,6599
185,80,8,2,752,752,59,,6663
186,42,5,4,757,757,61,,6737
187,95,6,1,763,763,61,,6808
188,73,8,0,771,771,70,,6891
189,44,3,2,774,774,63,,6952
190,37,0,0,774,774,65,,6996
191,76,2,0,776,776,62,,7081
192,58,14,1,790,790,56,,7159
193,66,2,2,792,792,50,,7214
194,57,4,1,796,796,45,,7261
195,105,2,0,798,798,46,,7307
196,90,3,1,801,801,48,,7364
197,49,5,0,806,806,47,,7404
198,48,2,0,808,808,49,,7474
199,149,2,6,810,810,46,,7609
200,44,5,0,815,815,44,,7690
201,79,9,1,824,824,31,,7761
202,103,8,4,832,832,36,,7820
203,88,3,1,835,835,35,,7909
204,65,3,0,838,838,39,,7939
205,59,8,1,846,846,42,,8008
206,89,10,1,856,856,43,,8080
207,105,5,4,861,861,44,,8145
208,98,5,3,866,866,47,,8244
209,106,5,2,871,871,48,,8307
210,128,5,0,876,876,55,,8334
211,58,6,0,882,882,63,,8371
212,50,5,0,887,887,57,,8507
213,102,5,1,892,892,59,,8606
214,82,4,1,896,896,56,,8691
215,127,7,2,903,903,65,,8773
216,94,10,2,913,913,63,,8884
217,156,3,1,916,916,66,,8939
218,86,5,0,921,921,60,,9013
219,83,6,1,927,927,68,,9126
220,123,8,1,935,935,55,,9189
221,125,5,2,940,940,53,,9265
222,193,8,2,948,948,50,,9349
223,251,3,1,951,951,66,,9435
224,141,8,1,959,959,62,,9564
225,149,6,0,965,965,65,,9694
226,134,9,0,974,974,53,,9814
227,292,7,1,981,981,58,,9896
228,343,2,0,983,983,75,,10032
229,323,12,3,995,995,80,,10170
230,425,11,2,1006,1006,79,,10347
231,380,11,0,1017,1017,78,,10511
232,187,12,0,1029,1029,76,,10612
233,240,7,0,1036,1036,78,,10832
234,254,7,2,1043,1043,77,,10959
235,334,9,0,1052,1052,76,,11155
236,259,10,1,1062,1062,89,,11394
237,293,6,3,1068,1068,86,,11659
238,220,11,0,1079,1079,81,,11918
239,191,5,0,1084,1084,78,,12235
240,103,10,0,1094,1094,68,,12551
241,168,15,0,1109,1109,76,,12964
242,263,11,4,1120,1120,83,,13201
243,283,18,0,1138,1138,98,,13425
244,320,14,6,1152,1152,109,,13739
245,201,13,1,1165,1165,110,,13993
246,163,6,0,1171,1171,110,,14118
247,193,24,0,1195,1195,133,,14424
248,297,16,8,1211,1211,139,,14657
249,395,20,1,1231,1231,138,,14878
250,389,15,5,1246,1246,144,,15068
251,369,22,2,1268,1268,153,,15298
252,252,20,2,1288,1288,170,,15651
253,173,9,0,1297,1297,161,,15777
254,320,26,0,1323,1323,178,,16170
255,445,44,0,1367,1367,192,,16324
256,463,8,8,1375,1375,194,,16596
257,457,25,6,1400,1400,194,,16831
258,579,34,2,1434,1434,213,,17173
259,408,39,0,1473,1473,216,,17533
260,197,15,0,1488,1488,209,,17692
261,259,23,5,1511,1511,211,,18090
262,392,38,0,1549,1549,212,,18508
263,747,29,13,1578,1578,214,,19068
264,386,10,1,1588,1588,220,,19298
265,464,27,11,1615,1615,215,,19626
266,432,17,0,1632,1632,232,,19902
267,180,10,0,1642,1642,241,,20076
268,278,28,0,1670,1670,250,,20449
269,1030,27,10,1697,1697,273,,21137
270,505,20,14,1717,1717,284,,21496
271,804,65,5,1782,1782,267,,21750
272,732,47,9,1829,1829,267,,22128
273,617,37,0,1866,1866,266,,22413
274,361,20,2,1886,1886,278,,22575
275,414,25,0,1911,1911,303,,23007
276,876,52,3,1963,1963,303,,23320
277,797,37,13,2000,2000,304,,23576
278,793,44,3,2044,2044,299,,24186
279,806,33,8,2077,2077,295,,24528
280,658,42,8,2119,2119,300,,24934
281,567,27,0,2146,2146,304,,25125
282,621,47,7,2193,2193,329,,25686
283,587,46,3,2239,2239,332,,26023
284,973,38,14,2277,2277,355,,26397
285,1185,59,9,2336,2336,349,,26984
286,939,42,10,2378,2378,356,,27557
287,1062,58,9,2436,2436,366,,28083
288,538,17,0,2453,2453,377,,28305
289,989,30,0,2483,2483,395,,29167
290,1270,62,9,2545,2545,412,,29683
291,1000,57,19,2602,2602,413,,30135
292,1559,58,12,2660,2660,403,,30624
293,1433,23,10,2683,2683,415,,31194
294,1332,38,12,2721,2721,421,,33749
295,526,34,1,2755,2755,402,,34087
296,1004,69,8,2824,2824,480,,35041
297,937,49,14,2873,2873,483,,35423
298,1360,82,22,2955,2955,475,,37059
299,1488,68,28,3023,3023,493,,37703
300,1337,85,13,3108,3108,515,,38403
301,1428,76,13,3184,3184,546,,39118
302,907,43,1,3227,3227,566,,39508
303,1023,50,3,3277,3277,607,,40199
304,1362,112,27,3389,3389,543,,40668
305,2020,66,0,3455,3455,551,,41427
306,1611,85,1,3540,3540,556,,43132
307,1855,58,53,3598,3598,549,,44814
308,1199,46,23,3644,3644,553,,45377
309,897,54,0,3698,3698,560,,47495
310,1006,71,0,3769,3769,582,,48016
311,1387,95,30,3864,3864,593,,48757
312,1071,58,31,3922,3922,578,,51153
313,1328,71,36,3993,3993,574,,51922
314,1144,59,36,4052,4052,580,,54570
315,851,42,42,4094,4094,577,,55349
316,783,13,0,4107,4107,582,,55679
317,1011,86,2,4193,4193,574,,57381
318,1283,50,28,4243,4243,570,,59981
319,0,0,0,4243,4243,570,,59981
320,2138,110,39,4353,4353,569,,61010
321,819,47,54,4400,4400,539,,61051
322,801,68,1,4468,4468,544,,62027
323,564,34,3,4502,4502,546,,62334
324,448,70,2,4572,4572,547,,65876
325,1291,54,47,4626,4626,531,,66351
326,1145,70,38,4696,4696,538,,66841
327,1050,52,31,4748,4748,516,,67409
328,906,45,27,4793,4793,512,,68011
329,687,42,19,4835,4835,497,,68449
330,509,37,0,4872,4872,503,,68576
331,538,49,1,4921,4921,491,,69144
332,985,53,36,4974,4974,501,,70728
333,704,51,30,5025,5025,491,,71316
334,945,61,33,5086,5086,467,,72840
335,735,39,33,5125,5125,452,,76247
336,631,49,16,5174,5174,436,,77032
337,316,26,0,5200,5200,441,,77472
338,345,42,2,5242,5242,435,,78919
339,904,23,39,5265,5265,412,,80316
340,594,52,1,5317,5317,406,,83140
341,575,31,28,5348,5348,387,,83670
342,564,37,21,5385,5385,365,,84490
343,391,26,11,5411,5411,345,,85096
344,347,18,20,5429,5429,344,,85320
345,435,32,0,5461,5461,341,,86501
346,531,31,8,5492,5492,337,,87337
347,506,11,41,5503,5503,312,,88018
348,0,0,0,5503,5503,312,,88018
349,417,30,16,5533,5533,289,,88428
350,427,28,0,5561,5561,274,,89249
351,267,22,0,5583,5583,288,,89688
352,501,22,0,5605,5605,303,,90974
353,562,34,18,5639,5639,293,,91527
354,444,33,24,5672,5672,297,,91980
355,0,0,0,5672,5672,297,,91980
356,665,30,13,5702,5702,282,,92595
357,703,30,12,5732,5732,262,,93031
358,111,10,0,5742,5742,268,,93099
359,433,22,0,5764,5764,270,,93529
360,608,41,6,5805,5805,264,,93778
361,448,24,25,5829,5829,264,,94513
362,448,22,12,5851,5851,247,,95783
363,321,20,14,5871,5871,234,,96291
364,417,33,15,5904,5904,237,,96693
365,181,13,0,5917,5917,242,,96812
366,244,26,0,5943,5943,240,,97407
367,452,35,19,5978,5978,253,,97829
368,317,20,10,5998,5998,247,,98170
369,425,25,15,6023,6023,227,,98576
370,341,16,4,6039,6039,209,,98808
371,266,24,23,6063,6063,213,,99226
372,115,19,11,6082,6082,203,,99379
373,127,10,0,6092,6092,200,,99887
374,277,17,0,6109,6109,195,,100293
375,337,24,6,6133,6133,185,,100638
376,316,26,11,6159,6159,177,,100942
377,247,18,12,6177,6177,172,,101246
378,185,16,9,6193,6193,162,,101438
379,32,8,0,6201,6201,161,,101797
380,200,15,0,6216,6216,152,,102247
381,228,26,34,6242,6242,161,,102631
382,187,22,24,6264,6264,161,,102895
383,160,8,5,6272,6272,152,,103127
384,115,14,7,6286,6286,145,,103401
385,180,4,3,6290,6290,125,,103639
386,65,4,0,6294,6294,126,,103709
387,116,10,1,6304,6304,131,,104052
388,208,17,3,6321,6321,133,,104305
389,174,13,6,6334,6334,126,,104508
390,131,12,10,6346,6346,121,,104716
391,188,13,6,6359,6359,115,,104956
392,97,11,5,6370,6370,113,,105104
393,54,7,0,6377,6377,112,,105166
394,122,10,0,6387,6387,109,,105352
395,175,10,6,6397,6397,109,,105614
396,279,14,14,6411,6411,104,,105821
397,209,14,2,6425,6425,84,,106057
398,137,6,7,6431,6431,82,,106248
399,110,7,6,6438,6438,87,,106398
400,61,8,0,6446,6446,86,,106440
401,217,15,0,6461,6461,97,,106545
402,92,5,0,6466,6466,94,,106769
403,186,9,3,6475,6475,92,,106956
404,147,17,6,6492,6492,91,,107137
405,147,17,6,6509,6509,95,,107309
406,139,15,4,6524,6524,90,,107475
407,30,13,0,6537,6537,91,,107538
