date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,,,,,
54,0,0,0,,,,,
55,0,0,0,,,,,
56,2,0,0,,,,,
57,0,0,0,,,,,
58,4,0,0,,,,,
59,0,0,0,,,,,
60,11,0,0,,,,,
61,8,0,0,,,,,
62,6,0,0,,,,,
63,7,0,0,,,,,
64,13,0,0,,,,,
65,21,0,0,,,,,
66,25,0,0,,,,,
67,56,0,0,,,,,
68,74,0,0,,,,,
69,143,0,0,,,,,
70,134,0,0,,,,,
71,110,0,2,,,,,
72,52,0,0,,,,,
73,117,53,1,53,53,,,
74,173,23,0,76,76,,,
75,246,27,3,103,103,,,
76,170,15,0,118,118,,,
77,164,15,1,133,133,,,
78,297,15,6,148,148,,,
79,405,27,10,175,175,9,,121
80,444,25,1,200,200,486,,137
81,162,63,8,263,263,656,,220
82,222,30,5,293,293,625,,248
83,254,18,6,311,311,601,,416
84,312,17,1,328,328,637,,295
85,169,24,21,352,352,834,,356
86,336,56,7,408,408,802,,466
87,224,41,7,449,449,708,,592
88,272,56,15,505,505,639,,921
89,228,31,4,536,536,561,,1145
90,252,20,3,556,556,411,,1386
91,194,11,0,567,567,324,,1504
92,302,12,8,579,579,458,,1671
93,213,54,15,633,633,443,,1969
94,256,30,11,663,663,412,,2196
95,183,28,6,691,691,444,,2786
96,327,20,1,711,711,465,,3017
97,173,8,3,719,719,593,,3234
98,308,5,3,724,724,393,,3344
99,168,6,4,730,730,505,,3575
100,156,30,5,760,760,523,,3828
101,448,15,9,775,775,441,,4012
102,424,18,4,793,793,488,,4193
103,460,15,-2,808,808,593,,4370
104,463,13,10,821,821,510,,4467
105,478,7,3,828,828,568,,4527
106,251,9,3,837,837,618,,4720
107,134,57,4,894,894,611,,4921
108,314,119,7,1013,1013,614,,5140
109,369,32,4,1045,1045,605,,5338
110,1156,68,5,1113,1113,529,,5546
111,770,12,5,1125,1125,474,,5718
112,516,10,1,1135,1135,510,,5814
113,394,8,9,1143,1143,499,,6081
114,119,13,7,1156,1156,520,,6356
115,248,65,13,1221,1221,557,,6564
116,158,45,-2,1266,1266,558,,6783
117,345,33,4,1299,1299,550,,7011
118,327,20,1,1319,1319,509,,7369
119,217,6,1,1325,1325,484,,7528
120,559,19,8,1344,1344,581,,8038
121,567,19,14,1363,1363,591,,8336
122,259,25,8,1388,1388,635,,8624
123,329,47,14,1435,1435,599,,8881
124,271,19,3,1454,1454,535,,9280
125,318,20,5,1474,1474,515,,9529
126,100,8,3,1482,1482,513,,9652
127,623,7,3,1489,1489,638,,9886
128,367,9,4,1498,1498,615,,10969
129,154,17,4,1515,1515,652,,11783
130,429,24,4,1539,1539,601,,12191
131,433,21,2,1560,1560,570,,12566
132,395,13,14,1573,1573,478,,12745
133,356,10,7,1583,1583,526,,12837
134,462,11,2,1594,1594,517,,13073
135,358,15,5,1609,1609,582,,13344
136,341,38,10,1647,1647,501,,13916
137,373,42,3,1689,1689,545,,14632
138,406,21,4,1710,1710,507,,14965
139,481,22,4,1732,1732,516,,15193
140,440,18,0,1750,1750,463,,15300
141,548,17,3,1767,1767,504,,15564
142,821,25,14,1792,1792,565,,15916
143,447,37,7,1829,1829,548,,16319
144,298,26,13,1855,1855,547,,16643
145,400,38,7,1893,1893,505,,16925
146,551,30,9,1923,1923,535,,17124
147,310,9,1,1932,1932,561,,17222
148,563,16,3,1948,1948,617,,17563
149,631,26,14,1974,1974,587,,18013
150,486,16,1,1990,1990,624,,18516
151,477,21,5,2011,2011,606,,18992
152,588,38,27,2049,2049,608,,19425
153,415,24,4,2073,2073,583,,19731
154,891,14,3,2087,2087,588,,19896
155,728,19,8,2106,2106,642,,20062
156,670,40,10,2146,2146,621,,20710
157,313,34,4,2180,2180,632,,21282
158,686,29,12,2209,2209,617,,21949
159,1188,29,6,2238,2238,635,,22531
160,429,28,9,2266,2266,588,,22838
161,656,25,2,2291,2291,605,,23067
162,451,10,5,2301,2301,664,,23567
163,750,35,11,2336,2336,721,,24068
164,932,50,14,2386,2386,696,,24693
165,799,45,11,2431,2431,741,,25280
166,1410,67,10,2498,2498,741,,25753
167,728,66,7,2564,2564,705,,26159
168,0,0,0,2564,2564,800,,26159
169,2125,35,8,2599,2599,839,,26962
170,1212,66,12,2665,2665,886,,27599
171,1806,50,5,2715,2715,955,,28283
172,1575,60,11,2775,2775,949,,28938
173,1822,50,13,2825,2825,949,,29591
174,1428,35,4,2860,2860,949,,30043
175,1291,11,9,2871,2871,949,,30254
176,724,26,7,2897,2897,940,,31020
177,1359,53,12,2950,2950,1112,,31827
178,2472,73,20,3023,3023,1160,,32736
179,1605,65,25,3088,3088,1135,,33609
180,1955,58,13,3146,3146,1184,,34740
181,1460,47,15,3193,3193,1184,,35435
182,954,57,3,3250,3250,1184,,35855
183,3314,34,8,3284,3284,1120,,36996
184,1514,94,18,3378,3378,1222,,38272
185,2273,56,16,3434,3434,1282,,39857
186,2479,63,13,3497,3497,1416,,41250
187,2279,65,19,3562,3562,1436,,42734
188,2517,87,23,3649,3649,1378,,43706
189,1779,32,5,3681,3681,1327,,44319
190,1639,31,4,3712,3712,1368,,45974
191,2190,86,24,3798,3798,1461,,47852
192,2473,109,17,3907,3907,1451,,49748
193,2570,109,37,4016,4016,1465,,51661
194,2091,104,13,4120,4120,1460,,52983
195,1718,76,26,4196,4196,1414,,53808
196,3140,48,3,4244,4244,1313,,54730
197,2553,36,11,4280,4280,1328,,57239
198,2555,0,0,4280,4280,1420,,57239
199,1778,202,42,4482,4482,1417,,62129
200,2049,90,13,4572,4572,1493,,64234
201,3088,89,27,4661,4661,1494,,66357
202,2225,63,7,4724,4724,1446,,67651
203,1443,32,6,4756,4756,1271,,68471
204,1009,52,19,4808,4808,1323,,70878
205,1805,92,25,4900,4900,1433,,73259
206,1657,101,27,5001,5001,1448,,75550
207,2252,108,42,5109,5109,1497,,77558
208,2432,81,20,5190,5190,1406,,79357
209,1803,72,9,5262,5262,1393,,80340
210,2127,42,8,5304,5304,1290,,80997
211,1202,35,10,5339,5339,1167,,83170
212,1001,125,38,5464,5464,1378,,85313
213,1478,90,18,5554,5554,1295,,87290
214,2118,94,24,5648,5648,1312,,89151
215,1947,77,13,5725,5725,1264,,91323
216,1289,88,19,5813,5813,1307,,92100
217,1961,34,21,5847,5847,1148,,92655
218,1036,34,21,5881,5881,1139,,94812
219,1034,100,39,5981,5981,1231,,96896
220,2022,88,26,6069,6069,1230,,99085
221,1375,87,36,6156,6156,1194,,100967
222,1669,99,61,6255,6255,1149,,102686
223,1239,73,14,6328,6328,1100,,103426
224,1854,50,4,6378,6378,1009,,104054
225,667,43,21,6421,6421,1018,,106041
226,813,94,40,6515,6515,1099,,108035
227,1936,88,20,6603,6603,1070,,109765
228,1826,74,25,6677,6677,1047,,111416
229,1636,74,28,6751,6751,1012,,113313
230,1465,0,24,6751,6751,1002,,114099
231,835,89,22,6840,6840,889,,114769
232,1818,38,7,6878,6878,910,,116864
233,1396,100,27,6978,6978,1037,,118885
234,1502,83,16,7061,7061,1082,,120675
235,1715,64,18,7125,7125,1056,,141568
236,1051,81,22,7206,7206,1036,,143156
237,1765,70,25,7276,7276,1000,,144383
238,1764,20,3,7296,7296,969,,145359
239,983,16,4,7312,7312,953,,146213
240,645,43,27,7355,7355,983,,148165
241,833,89,35,7444,7444,1056,,149698
242,1650,105,57,7549,7549,1038,,151202
243,1622,75,37,7624,7624,965,,152674
244,1032,55,39,7679,7679,941,,154947
245,933,31,14,7710,7710,820,,155865
246,2450,56,19,7766,7766,833,,156808
247,957,82,30,7848,7848,888,,158660
248,1856,74,24,7922,7922,969,,160202
249,1053,57,13,7979,7979,999,,161707
250,2357,84,32,8063,8063,871,,163181
251,942,53,20,8116,8116,837,,164982
252,2075,43,2,8159,8159,772,,165844
253,895,40,15,8199,8199,789,,166674
254,739,64,28,8263,8263,914,,167778
255,1561,75,14,8338,8338,919,,169649
256,835,75,35,8413,8413,813,,171153
257,1910,64,42,8477,8477,838,,172618
258,1437,51,22,8528,8528,855,,174044
259,2104,49,3,8577,8577,830,,175143
260,737,42,12,8619,8619,832,,176030
261,879,53,31,8672,8672,909,,177945
262,1528,61,34,8733,8733,969,,179322
263,1293,49,47,8782,8782,999,,180781
264,971,45,14,8827,8827,983,,182116
265,1192,32,45,8859,8859,989,,183533
266,1615,24,17,8883,8883,900,,184404
267,2489,40,20,8923,8923,975,,185221
268,1676,53,24,8976,8976,1115,,187026
269,2080,59,21,9035,9035,1155,,188576
270,1992,59,63,9094,9094,1149,,189990
271,1556,39,27,9133,9133,1186,,191651
272,1646,47,26,9180,9180,1156,,192958
273,2068,35,9,9215,9215,1124,,193849
274,2965,33,7,9248,9248,945,,194836
275,1147,61,23,9309,9309,1245,,196940
276,1709,62,31,9371,9371,1301,,198465
277,2289,45,36,9416,9416,1331,,200164
278,666,73,7,9489,9489,1281,,201831
279,2646,66,32,9555,9555,1299,,203586
280,2605,22,6,9577,9577,1105,,204726
281,3317,41,13,9618,9618,1338,,205832
282,1508,63,30,9681,9681,1424,,208182
283,2292,53,18,9734,9734,1424,,210243
284,2046,68,41,9802,9802,1424,,212555
285,3606,80,65,9882,9882,1426,,214634
286,2574,44,24,9926,9926,1382,,216744
287,3500,15,31,9941,9941,1094,,218067
288,2279,44,32,9985,9985,1228,,219230
289,1908,77,44,10062,10062,1374,,222348
290,2446,78,34,10140,10140,1384,,224822
291,2660,68,22,10208,10208,1529,,227271
292,2608,56,78,10264,10264,1388,,229669
293,1184,42,12,10306,10306,1589,,231887
294,754,1,0,10307,10307,1437,,233175
295,3161,33,26,10340,10340,1467,,234460
296,1770,67,75,10407,10407,1609,,237736
297,3445,77,24,10484,10484,1716,,240587
298,1969,62,31,10546,10546,1701,,243492
299,1373,72,32,10618,10618,1631,,246392
300,5071,27,49,10645,10645,1687,,249162
301,3636,33,5,10678,10678,1656,,250818
302,5919,54,15,10732,10732,1705,,252515
303,1979,81,62,10813,10813,1815,,256143
304,3632,82,89,10895,10895,1904,,259438
305,3344,55,27,10950,10950,1973,,262527
306,3733,105,64,11055,11055,2019,,265459
307,4662,61,25,11116,11116,2083,,268368
308,5817,25,16,11141,11141,1972,,270091
309,7951,60,30,11201,11201,1999,,271864
310,1841,54,72,11255,11255,2138,,276497
311,4472,87,53,11342,11342,2209,,279931
312,2887,80,80,11422,11422,2236,,283785
313,3444,80,74,11502,11502,2260,,287908
314,4355,37,9,11539,11539,2289,,291819
315,4589,31,55,11570,11570,2266,,294231
316,4074,58,35,11628,11628,2317,,296592
317,1304,89,73,11717,11717,2368,,303234
318,2118,97,92,11814,11814,2413,,308566
319,4404,136,53,11950,11950,2427,,312885
320,4340,24,7,11974,11974,2400,,318523
321,6750,31,15,12005,12005,2450,,323376
322,3052,35,13,12040,12040,2408,,325993
323,7975,56,48,12096,12096,2534,,328710
324,5693,113,36,12209,12209,2632,,336131
325,4099,101,50,12310,12310,2744,,342115
326,3967,100,93,12410,12410,2701,,347412
327,4356,78,95,12488,12488,2751,,351553
328,4914,70,29,12558,12558,2715,,357347
329,3072,35,38,12593,12593,2760,,360152
330,8136,45,66,12638,12638,2755,,362818
331,6019,139,100,12777,12777,2839,,371163
332,8213,85,62,12862,12862,2890,,376851
333,6011,90,69,12952,12952,2851,,382444
334,7289,87,87,13039,13039,2890,,383478
335,6691,62,73,13101,13101,2919,,387395
336,11352,43,62,13144,13144,2906,,390891
337,9959,62,79,13206,13206,2986,,394147
338,8611,126,74,13332,13332,3062,,404597
339,11410,105,53,13437,13437,3100,,411843
340,8945,100,177,13537,13537,3165,,418724
341,10421,89,115,13626,13626,3099,,425264
342,0,0,0,13626,13626,3099,,425264
343,16036,119,111,13745,13745,2978,,434977
344,9891,51,65,13796,13796,2995,,438036
345,4441,80,133,13876,13876,3112,,447996
346,7221,94,111,13970,13970,3162,,455586
347,5257,74,51,14044,14044,3173,,462694
348,0,0,0,14044,14044,3092,,462694
349,14395,27,12,14071,14071,3002,,476700
350,3188,20,69,14091,14091,3023,,480227
351,3712,65,76,14156,14156,3151,,483525
352,4797,120,122,14276,14276,3274,,493743
353,8220,141,100,14417,14417,3425,,501691
354,5993,114,97,14531,14531,3429,,508914
355,0,0,0,14531,14531,3378,,508914
356,17330,76,63,14607,14607,3303,,523089
357,4165,41,55,14648,14648,3371,,526966
358,3953,112,143,14760,14760,3407,,530494
359,5399,75,99,14835,14835,3465,,539207
360,7588,100,114,14935,14935,3554,,548838
361,9000,133,111,15068,15068,3533,,555634
362,6369,110,126,15178,15178,3482,,559625
363,5844,76,86,15254,15254,3416,,560642
364,7419,53,81,15307,15307,3263,,565197
365,3527,52,80,15359,15359,3249,,568910
366,3478,151,146,15510,15510,3230,,579345
367,4625,145,137,15655,15655,3193,,588974
368,4983,98,84,15753,15753,3150,,596883
369,5557,120,79,15873,15873,3034,,602938
370,4808,80,44,15953,15953,2972,,605596
371,4474,65,36,16018,16018,2856,,610796
372,2430,43,39,16061,16061,2810,,614720
373,2057,73,40,16134,16134,2775,,624306
374,4483,99,86,16233,16233,2813,,633428
375,3492,111,128,16344,16344,2673,,639444
376,4064,78,93,16422,16422,2514,,646144
