date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,,,,,
52,0,0,0,,,,,
53,0,0,0,,,,,
54,5,0,0,,,,,
55,0,0,0,,,,,
56,0,0,0,,,,,
57,7,0,0,,,,,
58,3,0,0,,,,,
59,3,0,0,,,,,
60,4,0,0,,,,,
61,0,0,0,,,,,
62,0,0,0,,,,,
63,34,0,0,,,,,
64,0,0,0,,,,,
65,7,0,1,,,,,
66,19,0,1,,,,,
67,26,0,1,,,,,
68,67,0,2,,,,,
69,60,0,0,,,,,
70,28,0,0,,,,,
71,24,0,3,,,,,
72,425,0,1,,,,,
73,263,0,3,,,,,
74,419,0,6,,,,,
75,337,0,5,,,,,
76,317,0,4,,,,,
77,504,0,7,,,,,
78,322,0,0,,,,,38
79,392,0,7,,,196,,38
80,730,0,17,,,196,,38
81,669,0,12,,,196,,38
82,659,0,20,,,196,,38
83,788,0,15,,,196,,38
84,681,0,22,,,827,,38
85,480,0,13,,,1153,,38
86,988,0,14,,,1252,,38
87,1092,0,23,,,1491,,38
88,877,0,22,,,1439,,1101
89,1441,0,27,,,1532,,1366
90,890,0,28,,,1514,,1617
91,923,0,17,,,1338,,2014
92,422,0,16,,,1176,,2269
93,718,0,31,,,1409,,2580
94,868,0,46,,,1538,,3150
95,963,0,29,,,1459,,3677
96,916,0,35,,,1522,,4190
97,889,0,25,,,1321,,4806
98,663,0,24,,,1471,,5334
99,535,0,18,,,1411,,5706
100,738,0,22,,,1419,,6486
101,873,0,26,,,1678,,7341
102,875,0,18,,,1649,,8025
103,862,0,32,,,1674,,9156
104,967,0,30,,,1597,,9986
105,858,0,25,,,1542,,10763
106,666,0,15,,,1563,,11170
107,874,0,27,,,1682,,11786
108,883,0,42,,,1702,,12507
109,1033,0,50,,,1686,,13353
110,1142,0,34,,,1778,,14122
111,1293,0,31,,,1725,,14891
112,1026,0,20,,,1540,,15544
113,784,0,17,,,1533,,16090
114,1037,0,22,,,1888,,16791
115,1053,0,42,,,1812,,17622
116,968,0,25,,,1750,,18440
117,1219,0,31,,,1734,,19197
118,1251,0,45,,,1735,,20141
119,1009,0,39,,,1626,,21022
120,1000,0,12,,,1525,,21713
121,1179,0,33,,,1725,,22674
122,1355,0,25,,,1676,,23519
123,1448,0,58,,,1648,,24487
124,1347,0,56,,,1716,,25454
125,1801,0,33,,,1791,,26601
126,785,0,31,,,1512,,27570
127,909,0,11,,,1551,,28371
128,1219,0,22,,,1732,,29359
129,1411,0,50,,,1791,,30341
130,945,0,21,,,1680,,30341
131,1181,0,40,,,1578,,31223
132,1060,0,26,,,1688,,32277
133,839,0,0,,,1572,,33385
134,623,0,21,,,1511,,35292
135,589,0,9,,,1534,,36375
136,1361,0,26,,,1645,,37626
137,1855,0,39,,,1692,,38905
138,1230,0,25,,,1701,,40068
139,1332,0,0,,,1752,,40068
140,1949,0,46,,,1684,,42423
141,593,0,6,,,1756,,43338
142,1688,0,20,,,1773,,44517
143,1703,0,36,,,1487,,45858
144,1649,0,33,,,1796,,46799
145,1693,0,21,,,1855,,47865
146,1940,0,31,,,1822,,48895
147,1425,0,11,,,1878,,49758
148,638,0,0,,,1935,,49758
149,1637,0,23,,,2056,,51140
150,2504,0,32,,,2153,,52449
151,1826,0,35,,,2008,,54096
152,2097,0,19,,,2166,,55258
153,2331,0,18,,,2242,,56535
154,1843,0,19,,,2287,,58341
155,1254,0,7,,,2326,,59089
156,4098,0,46,,,2518,,60681
157,3129,0,33,,,2793,,62368
158,3516,0,43,,,2947,,63812
159,3454,0,35,,,3148,,65329
160,4430,0,25,,,3247,,67096
161,3866,0,17,,,3409,,68499
162,3280,0,10,,,3711,,69190
163,5489,0,28,,,4092,,70714
164,5551,0,29,,,4389,,72898
165,5996,0,47,,,4739,,74496
166,5707,0,28,,,5102,,76282
167,5742,0,42,,,5523,,78248
168,5357,0,27,,,5497,,79974
169,4288,0,10,,,5913,,81335
170,6975,0,21,,,6533,,84818
171,8076,0,57,,,6904,,87556
172,7915,0,44,,,7382,,90720
173,7555,0,50,,,7652,,93572
174,8258,0,33,,,7890,,97430
175,3449,0,29,,,8181,,100843
176,5318,0,18,,,8698,,103782
177,10028,0,60,,,9286,,108485
178,9979,0,98,,,9610,,113284
179,9782,0,105,,,9689,,118326
180,9765,0,95,,,10002,,122996
181,10351,0,99,,,10083,,127880
182,8196,0,80,,,10410,,132638
183,5655,0,43,,,10405,,136419
184,7261,0,87,,,10569,,142398
185,10791,0,110,,,10471,,149276
186,10291,0,129,,,10457,,155937
187,14916,0,174,,,10632,,162191
188,10158,0,130,,,10658,,169581
189,7300,0,93,,,10592,,172936
190,7404,0,62,,,10569,,177871
191,9305,0,131,,,10848,,186529
192,9879,0,197,,,10893,,195315
193,9507,0,173,,,10893,,203826
194,8701,0,196,,,10893,,212216
195,6020,0,168,,,10893,,221510
196,5810,0,153,,,10893,,229107
197,4267,0,675,,,10893,,229107
198,8342,0,164,,,9593,,244449
199,9042,0,313,,,9595,,251346
200,8800,0,84,,,9296,,260542
201,8839,0,295,,,9336,,273191
202,9539,0,268,,,8969,,282604
203,6226,0,0,,,8969,,282604
204,5303,0,179,,,8819,,297422
205,9167,0,245,,,8674,,306262
206,8706,0,236,,,8455,,315652
207,7598,0,306,,,8302,,323804
208,7039,0,293,,,8065,,331668
209,6959,0,247,,,7872,,338343
210,4879,0,116,,,7437,,344845
211,4455,0,31,,,7304,,349833
212,9803,0,220,,,7216,,358312
213,6200,0,324,,,7028,,367354
214,6755,0,255,,,6879,,375760
215,7018,0,313,,,6632,,383717
216,8245,0,238,,,6481,,393266
217,6204,0,143,,,6267,,399572
218,7908,0,51,,,6200,,405817
219,7282,0,216,,,6210,,415903
220,7024,0,309,,,5974,,424685
221,5303,0,234,,,5635,,431960
222,5021,0,258,,,5566,,438825
223,5559,0,215,,,5274,,446030
224,4398,0,104,,,5186,,451776
225,2847,0,25,,,5019,,457182
226,6346,0,181,,,4907,,466550
227,5407,0,229,,,4806,,472421
228,5600,0,265,,,4489,,478752
229,4031,0,196,,,4422,,484880
230,4762,0,154,,,4273,,492921
231,3824,0,90,,,4172,,499518
232,2615,0,26,,,4203,,507499
233,4364,0,145,,,4144,,514861
234,4334,0,189,,,4149,,522087
235,3680,0,221,,,4075,,527359
236,5482,0,140,,,3889,,532223
237,4486,0,177,,,3973,,538282
238,2995,0,64,,,3715,,543412
239,2060,0,20,,,3537,,543412
240,1421,0,61,,,3701,,553409
241,4000,0,139,,,3604,,558894
242,4018,0,161,,,3575,,564114
243,3547,0,144,,,3465,,568067
244,4233,0,146,,,3371,,573670
245,1845,0,47,,,3319,,577832
246,3970,0,21,,,3391,,581204
247,5342,0,132,,,3311,,585912
248,6026,0,135,,,3249,,590837
249,4047,0,112,,,3246,,594817
250,3422,0,123,,,3172,,600662
251,3827,0,135,,,3124,,605522
252,2466,0,45,,,3081,,609210
253,9853,0,24,,,3132,,611856
254,17820,0,77,,,3207,,613896
255,3392,0,135,,,3195,,618054
256,4320,0,138,,,3204,,642169
257,4633,0,97,,,3221,,646143
258,4886,0,121,,,3209,,649580
259,1694,0,37,,,3217,,652376
260,4090,0,11,,,3201,,657407
261,4062,0,71,,,3251,,661038
262,5683,0,107,,,3344,,664883
263,3534,0,112,,,3190,,668515
264,3503,0,72,,,3227,,672144
265,7006,0,97,,,3195,,677244
266,2884,0,33,,,3192,,680083
267,3409,0,8,,,3318,,683700
268,4132,0,78,,,3394,,687277
269,4121,0,119,,,3519,,692123
270,4238,0,104,,,3556,,695194
271,4036,0,98,,,3593,,698481
272,4230,0,94,,,3628,,701583
273,2418,0,31,,,3622,,703662
274,2648,0,1,,,3870,,705189
275,5130,0,64,,,4053,,708349
276,4826,0,95,,,4131,,711438
277,4726,0,95,,,4263,,716015
278,5870,0,91,,,4248,,719478
279,4885,0,81,,,4275,,723204
280,3216,0,30,,,4226,,726231
281,1894,0,8,,,4319,,729762
282,7884,0,65,,,4588,,733758
283,5252,0,114,,,4782,,739140
284,6291,0,85,,,4931,,744283
285,6472,0,89,,,5065,,748252
286,6499,0,81,,,4995,,753611
287,4304,0,48,,,5206,,755095
288,4700,0,10,,,5278,,758192
289,7292,0,81,,,5512,,763108
290,5627,0,105,,,5650,,767905
291,6826,0,119,,,5587,,772350
292,6631,0,115,,,5627,,776580
293,7145,0,90,,,5696,,782006
294,71734,0,53,,,5691,,785282
295,5455,0,20,,,5770,,787685
296,10665,0,97,,,5936,,792286
297,9817,0,126,,,5872,,797586
298,10171,0,133,,,5954,,802611
299,9239,0,136,,,6070,,807008
300,9560,0,111,,,6068,,811330
301,6878,0,43,,,6080,,820215
302,4849,0,26,,,6103,,820156
303,12935,0,94,,,6170,,826116
304,13166,0,141,,,6779,,831800
305,10589,0,143,,,6925,,838950
306,13424,0,173,,,7083,,850648
307,11401,0,150,,,7151,,861205
308,7923,0,89,,,7274,,871784
309,7828,0,20,,,7468,,875521
310,13644,0,117,,,7841,,883223
311,10987,0,187,,,7958,,889099
312,14269,0,230,,,7982,,896191
313,13795,0,183,,,8164,,901943
314,14922,0,171,,,8245,,909137
315,9769,0,89,,,8174,,913796
316,7641,0,32,,,8353,,917739
317,16580,0,162,,,8495,,927331
318,18811,0,200,,,8585,,935011
319,14697,0,206,,,8706,,943457
320,3987,0,51,,,8518,,946663
321,4325,0,102,,,8597,,950586
322,7050,0,48,,,8634,,954465
323,11725,0,22,,,8900,,962639
324,18540,0,170,,,9047,,976517
325,19222,0,207,,,9109,,993151
326,17552,0,244,,,9151,,1003141
327,16796,0,255,,,9015,,1012700
328,14391,0,247,,,8916,,1022297
329,10380,0,92,,,8681,,1030716
330,9491,0,33,,,8790,,1038806
331,19842,0,181,,,9028,,1050416
332,13606,0,273,,,9053,,1062398
333,15299,0,244,,,9045,,1074579
334,14451,0,226,,,9109,,1157334
335,16360,0,249,,,9192,,1167975
336,8349,0,111,,,9230,,1176377
337,8901,0,26,,,9304,,1185628
338,18926,0,205,,,9472,,1203398
339,18802,0,252,,,9528,,1216415
340,19849,0,266,,,9628,,1216415
341,16792,0,294,,,9709,,1245339
342,17907,0,272,,,9796,,1260984
343,7780,0,122,,,9856,,1269014
344,10280,0,67,,,10009,,1279067
345,21147,0,191,,,10299,,1297294
346,23363,0,294,,,10574,,1311851
347,17064,0,308,,,10724,,1326975
348,4335,0,200,,,10868,,1332913
349,2694,0,13,,,10773,,1339447
350,8046,0,51,,,10886,,1346963
351,14829,0,49,,,11351,,1357576
352,32552,0,241,,,11775,,1387358
353,21469,0,326,,,11992,,1402336
354,18725,0,349,,,12268,,1423001
355,16311,0,334,,,12481,,1435164
356,4763,0,96,,,12319,,1443061
357,16095,0,50,,,12563,,1451846
358,18182,0,52,,,12961,,1464746
359,31630,0,250,,,13308,,1488189
360,24010,0,326,,,13628,,1504643
361,24578,0,393,,,13784,,1522105
362,23520,0,372,,,13921,,1536690
363,23290,0,381,,,13935,,1549210
364,15855,0,186,,,13111,,1558945
365,14834,0,56,,,13397,,1568710
366,26052,0,286,,,14218,,1595600
367,27343,0,405,,,14106,,1612188
368,23064,0,426,,,14052,,1630778
369,27204,0,400,,,13953,,1649735
370,24657,0,381,,,13929,,1666745
371,16402,0,207,,,13728,,1677588
372,11590,0,46,,,13858,,1697272
373,9476,0,310,,,13928,,1711009
374,31255,0,450,,,13870,,1739136
375,22360,0,441,,,13564,,1763247
376,22646,0,422,,,13344,,1785578
377,17672,0,407,,,13309,,1797979
378,11565,0,208,,,12899,,1809067
379,6319,0,72,,,12785,,1818785
380,26274,0,307,,,12851,,1845210
381,19613,0,467,,,12795,,1867289
382,18220,0,471,,,12380,,1894564
383,19076,0,349,,,11981,,1912861
384,19234,0,332,,,11473,,1932694
385,11370,0,171,,,11220,,1947493
386,31811,0,48,,,11074,,1974572
387,23047,0,331,,,11002,,1993704
388,17620,0,418,,,10827,,2015866
389,15281,0,439,,,10523,,2037888
390,14495,0,401,,,10259,,2060478
391,13897,0,348,,,9957,,2080185
392,6959,0,167,,,9652,,2091113
393,7485,0,57,,,9401,,2104894
394,13329,0,301,,,9401,,2125302
395,12897,0,385,,,9165,,2168762
396,11890,0,385,,,8933,,2184719
397,12502,0,324,,,8607,,2204146
398,11282,0,283,,,8395,,2220233
399,6933,0,149,,,8107,,2231709
400,3889,0,66,,,7824,,2260840
401,3348,0,52,,,7661,,2257030
402,3766,0,72,,,7609,,2268067
403,3131,0,97,,,7874,,2279684
404,2937,0,172,,,7757,,2289773
405,6486,0,227,,,7535,,2312445
406,4484,0,130,,,7146,,2318193
407,6365,0,64,,,6964,,2331940
408,11809,0,234,,,7014,,2353741
409,7517,0,339,,,6738,,2368008
410,7389,0,305,,,6724,,2380295
411,7955,0,290,,,6185,,2393568
412,11073,0,164,,,5912,,2417585
413,3815,0,197,,,5696,,2422369
414,3821,0,59,,,5611,,2429453
415,7747,0,271,,,5644,,2441822
416,7822,0,297,,,5508,,2450229
417,8028,0,315,,,5263,,2458818
418,6853,0,256,,,5065,,2470308
419,5570,0,233,,,4921,,2491753
420,2953,0,84,,,4721,,2502609
