date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,0,0,0,,0
54,0,0,0,0,0,0,,0
55,0,0,0,,,,,
56,0,0,0,,,,,
57,0,0,0,,,,,
58,1,0,0,,,,,
59,0,0,0,,,,,
60,2,0,0,,,,,
61,2,0,0,,,,,
62,0,0,0,,,,,
63,22,0,0,,,,,
64,11,0,0,,,,,
65,12,0,0,,,,,
66,12,0,0,,,,,
67,15,0,0,,,,,
68,34,0,0,,,,,
69,24,0,0,,,,,
70,45,0,1,,,,,
71,76,0,0,,,,,
72,42,0,0,,,,,
73,47,0,0,,,,,
74,56,0,0,,,,,
75,78,0,1,,,,,
76,122,0,0,,,,,
77,117,0,0,,,,,
78,87,0,2,,,,,
79,81,73,1,73,73,,,
80,125,18,2,91,91,,,
81,62,9,0,100,100,,,
82,172,6,0,106,106,,,
83,182,11,1,117,117,,,
84,177,7,0,124,124,,,
85,70,14,5,138,138,,,
86,63,10,0,148,148,,,
87,108,10,0,158,158,,,
88,130,10,0,168,168,,,
89,126,15,4,183,183,,,
90,104,7,1,190,190,,,
91,97,5,0,195,195,,,
92,60,6,0,201,201,,,218
93,49,12,1,213,213,,,218
94,130,8,1,221,221,,,218
95,141,17,1,238,238,,,357
96,122,6,2,244,244,,,443
97,126,7,2,251,251,,,565
98,138,8,2,259,259,,,679
99,144,9,1,268,268,,,776
100,83,9,4,277,277,,,888
101,149,11,2,288,288,,,970
102,167,13,1,301,301,,,1050
103,170,14,4,315,315,,,1252
104,166,14,2,329,329,,,1399
105,175,16,0,345,345,,,1568
106,110,4,0,349,349,,,1641
107,110,21,4,370,370,,,1704
108,152,13,0,383,383,,,1790
109,177,7,1,390,390,,,1939
110,156,13,0,403,403,,,2062
111,153,15,3,418,418,,,2185
112,194,18,1,436,436,,,2238
113,142,5,0,441,441,,,2342
114,132,15,6,456,456,,,2387
115,146,8,2,464,464,,,2509
116,129,12,3,476,476,194,,2640
117,195,12,0,488,488,216,,2769
118,184,10,5,498,498,172,,2901
119,148,14,1,512,512,144,,3033
120,111,5,1,517,517,160,,3181
121,70,18,5,535,535,166,,3267
122,188,18,2,553,553,158,,3406
123,129,5,0,558,558,142,,3566
124,164,8,2,566,566,161,,3719
125,155,12,1,578,578,168,,3896
126,170,8,2,586,586,181,,4075
127,146,9,0,595,595,179,,4183
128,134,24,8,619,619,96,,4275
129,192,12,2,631,631,144,,4423
130,164,16,2,647,647,169,,4596
131,183,13,1,660,660,163,,4748
132,203,16,4,676,676,165,,4898
133,132,12,0,688,688,128,,5081
134,129,4,1,692,692,131,,5218
135,99,4,3,696,696,134,,5346
136,86,20,4,716,716,127,,5499
137,215,18,1,734,734,169,,5623
138,343,19,1,753,753,135,,5813
139,269,10,5,763,763,139,,5995
140,264,12,1,775,775,142,,6137
141,202,14,0,789,789,134,,6251
142,203,12,0,801,801,159,,6319
143,295,28,4,829,829,150,,6501
144,316,21,0,850,850,164,,6628
145,439,20,3,870,870,133,,6788
146,546,20,1,890,890,147,,6939
147,268,10,0,900,900,207,,7108
148,256,18,3,918,918,182,,7255
149,237,13,3,931,931,230,,7391
150,305,23,1,954,954,223,,7587
151,388,14,3,968,968,188,,7745
152,325,20,8,988,988,197,,7935
153,404,24,0,1012,1012,236,,8114
154,332,16,0,1028,1028,178,,8252
155,295,13,4,1041,1041,184,,8380
156,329,32,2,1073,1073,271,,8470
157,407,29,4,1102,1102,270,,8552
158,495,18,3,1120,1120,282,,8786
159,586,25,3,1145,1145,237,,9113
160,643,16,0,1161,1161,232,,9390
161,394,23,3,1184,1184,222,,9659
162,444,8,0,1192,1192,198,,9863
163,394,34,5,1226,1226,214,,10057
164,484,30,0,1256,1256,245,,10334
165,590,34,1,1290,1290,230,,10642
166,676,31,2,1321,1321,238,,11097
167,578,44,1,1365,1365,287,,11658
168,472,31,0,1396,1396,289,,11931
169,564,21,1,1417,1417,254,,12205
170,553,27,4,1444,1444,250,,12398
171,499,32,1,1476,1476,261,,12707
172,554,29,3,1505,1505,229,,13076
173,596,24,5,1529,1529,232,,13408
174,676,36,0,1565,1565,255,,13807
175,410,17,3,1582,1582,237,,14147
176,517,22,6,1604,1604,244,,14448
177,564,49,4,1653,1653,248,,14764
178,722,25,7,1678,1678,236,,15178
179,601,22,4,1700,1700,207,,15661
180,867,48,2,1748,1748,229,,16261
181,632,49,5,1797,1797,269,,16897
182,629,27,3,1824,1824,276,,17303
183,546,26,1,1850,1850,252,,17728
184,448,38,10,1888,1888,231,,18111
185,413,25,7,1913,1913,250,,18593
186,954,43,1,1956,1956,236,,19214
187,727,28,1,1984,1984,256,,19862
188,760,30,8,2014,2014,251,,20421
189,785,19,0,2033,2033,296,,20915
190,409,33,4,2066,2066,247,,21504
191,486,43,4,2109,2109,219,,22032
192,566,26,9,2135,2135,234,,22532
193,521,15,7,2150,2150,249,,23093
194,863,38,6,2188,2188,250,,23715
195,661,25,1,2213,2213,232,,24390
196,350,21,0,2234,2234,251,,24798
197,436,19,7,2253,2253,225,,25321
198,446,42,5,2295,2295,233,,25905
199,339,29,6,2324,2324,232,,26643
200,502,22,8,2346,2346,238,,27261
201,500,31,4,2377,2377,258,,28130
202,506,35,6,2412,2412,268,,28747
203,473,18,1,2430,2430,289,,29389
204,354,20,3,2450,2450,252,,29967
205,378,32,7,2482,2482,220,,30449
206,421,37,6,2519,2519,220,,30911
207,587,35,3,2554,2554,220,,31619
208,460,24,5,2578,2578,234,,32371
209,376,26,0,2604,2604,222,,33115
210,376,16,1,2620,2620,224,,33914
211,263,22,9,2642,2642,222,,34319
212,362,35,4,2677,2677,208,,34764
213,338,19,2,2696,2696,236,,35311
214,334,25,2,2721,2721,206,,35817
215,552,23,7,2744,2744,190,,36679
216,345,16,3,2760,2760,186,,37346
217,331,11,0,2771,2771,204,,37701
218,242,11,1,2782,2782,156,,38132
219,263,22,5,2804,2804,183,,38555
220,364,28,8,2832,2832,158,,38883
221,461,21,4,2853,2853,157,,39364
222,463,17,2,2870,2870,155,,39867
223,369,29,2,2899,2899,148,,40352
224,301,27,0,2926,2926,156,,40831
225,249,15,5,2941,2941,144,,41164
226,403,28,7,2969,2969,143,,41529
227,407,27,4,2996,2996,130,,41937
228,383,19,2,3015,3015,134,,42512
229,391,26,4,3041,3041,127,,42959
230,458,16,0,3057,3057,139,,43342
231,448,23,0,3080,3080,134,,43724
232,253,13,0,3093,3093,143,,43990
233,296,17,2,3110,3110,145,,44338
234,419,24,1,3134,3134,147,,44658
235,504,19,4,3153,3153,137,,44995
236,513,19,5,3172,3172,144,,45547
237,433,16,1,3188,3188,152,,45896
238,388,19,2,3207,3207,152,,46233
239,373,18,1,3225,3225,152,,46468
240,326,17,1,3242,3242,140,,46722
241,314,21,3,3263,3263,137,,47084
242,346,10,3,3273,3273,165,,47545
243,656,15,1,3288,3288,170,,48021
244,572,23,2,3311,3311,176,,48396
245,628,15,0,3326,3326,178,,48690
246,563,12,3,3338,3338,170,,48934
247,562,23,0,3361,3361,178,,49327
248,747,20,1,3381,3381,139,,49728
249,911,20,0,3401,3401,170,,50108
250,1117,43,0,3444,3444,184,,50492
251,1077,33,3,3477,3477,177,,50957
252,920,17,0,3494,3494,187,,51410
253,622,26,1,3520,3520,154,,51660
254,650,30,2,3550,3550,183,,51945
255,877,34,1,3584,3584,190,,52357
256,1198,35,0,3619,3619,216,,52860
257,1411,49,4,3668,3668,190,,53360
258,1017,34,0,3702,3702,191,,53806
259,1068,27,5,3729,3729,184,,54201
260,827,28,0,3757,3757,174,,54530
261,694,50,4,3807,3807,195,,54844
262,906,40,2,3847,3847,243,,55141
263,1008,35,0,3882,3882,259,,55510
264,1107,34,15,3916,3916,258,,56167
265,1068,40,2,3956,3956,217,,56751
266,1393,24,2,3980,3980,220,,57392
267,1105,39,4,4019,4019,222,,57965
268,716,39,6,4058,4058,245,,58534
269,1007,55,8,4113,4113,233,,59289
270,1501,54,5,4167,4167,251,,60220
271,1343,53,4,4220,4220,261,,61326
272,1354,55,5,4275,4275,246,,62401
273,1200,31,7,4306,4306,274,,63307
274,988,25,5,4331,4331,259,,63961
275,987,52,0,4383,4383,254,,64583
276,1144,77,5,4460,4460,269,,65472
277,1498,51,2,4511,4511,277,,66683
278,1496,48,8,4559,4559,304,,68092
279,1340,51,3,4610,4610,313,,69110
280,1097,46,3,4656,4656,307,,70166
281,1168,32,3,4688,4688,304,,71035
282,1081,65,5,4753,4753,311,,71693
283,1363,54,6,4807,4807,338,,72606
284,1543,73,6,4880,4880,318,,73586
285,1960,59,4,4939,4939,321,,74688
286,1608,58,1,4997,4997,319,,75776
287,1765,52,4,5049,5049,313,,77145
288,1201,53,2,5102,5102,311,,78212
289,1145,67,4,5169,5169,309,,78946
290,1575,78,10,5247,5247,316,,79918
291,1837,72,10,5319,5319,338,,81403
292,2292,76,3,5395,5395,338,,82752
293,1724,68,3,5463,5463,335,,84101
294,1854,63,10,5526,5526,355,,85299
295,1196,50,0,5576,5576,366,,86269
296,1669,89,6,5665,5665,382,,87211
297,2110,90,5,5755,5755,401,,88347
298,2807,75,7,5830,5830,409,,89837
299,2987,92,17,5922,5922,414,,91340
300,2956,98,9,6020,6020,420,,92656
301,2386,64,1,6084,6084,437,,93763
302,2247,78,2,6162,6162,460,,94929
303,2517,122,11,6284,6284,453,,95975
304,2335,111,6,6395,6395,466,,97269
305,3919,92,9,6487,6487,484,,98897
306,2150,104,14,6591,6591,492,,100892
307,5352,85,9,6676,6676,507,,102514
308,2667,93,8,6769,6769,502,,104317
309,1971,90,5,6859,6859,519,,105481
310,3178,129,9,6988,6988,537,,106601
311,3071,119,8,7107,7107,564,,108182
312,3968,108,16,7215,7215,553,,110007
313,4588,135,17,7350,7350,554,,112356
314,3395,108,14,7458,7458,571,,114058
315,3197,74,6,7532,7532,579,,115904
316,2244,70,4,7602,7602,558,,117104
317,2701,100,11,7702,7702,565,,118773
318,1781,83,26,7785,7785,591,,120890
319,0,0,0,7785,7785,591,,120890
320,6142,163,15,7948,7948,586,,126690
321,2043,81,14,8029,8029,581,,129652
322,1722,47,5,8076,8076,575,,132081
323,1897,59,3,8135,8135,573,,134296
324,2510,144,19,8279,8279,587,,136709
325,4004,144,16,8423,8423,584,,138995
326,3945,125,11,8548,8548,609,,142939
327,3005,104,8,8652,8652,603,,146320
328,3674,113,14,8765,8765,611,,150405
329,2563,57,0,8822,8822,605,,153027
330,2231,74,10,8896,8896,592,,154983
331,2333,107,23,9003,9003,588,,158119
332,2574,102,23,9105,9105,592,,161077
333,3401,82,21,9187,9187,568,,165042
334,2183,82,9,9269,9269,586,,169622
335,3692,82,13,9351,9351,562,,172960
336,2083,70,17,9421,9421,558,,176211
337,1968,65,7,9486,9486,580,,178395
338,1915,99,15,9585,9585,568,,181000
339,2928,107,19,9692,9692,566,,182744
340,3203,99,30,9791,9791,571,,186564
341,2644,92,14,9883,9883,549,,188846
342,2408,85,8,9968,9968,579,,190873
343,1994,71,7,10039,10039,582,,192591
344,1819,63,6,10102,10102,584,,194475
345,2302,116,12,10218,10218,586,,196951
346,2612,109,23,10327,10327,615,,200943
347,2892,79,8,10406,10406,605,,204844
348,0,0,0,10406,10406,605,,204844
349,3489,116,8,10522,10522,526,,211473
350,796,62,2,10584,10584,517,,214048
351,1716,59,5,10643,10643,532,,216242
352,2736,120,16,10763,10763,548,,218522
353,2614,110,21,10873,10873,537,,221055
354,4672,83,13,10956,10956,565,,224439
355,0,0,0,10956,10956,565,,224439
356,5042,145,25,11101,11101,552,,230287
357,1819,58,7,11159,11159,548,,232355
358,2160,81,4,11240,11240,551,,234298
359,3318,116,7,11356,11356,578,,236196
360,3769,107,18,11463,11463,589,,239203
361,4597,115,29,11578,11578,594,,242361
362,3793,101,22,11679,11679,610,,244990
363,2613,99,9,11778,11778,592,,247390
364,2276,88,2,11866,11866,588,,249390
365,1484,74,4,11940,11940,595,,251170
366,2146,119,26,12059,12059,605,,253415
367,5188,101,27,12160,12160,612,,257824
368,2742,89,11,12249,12249,614,,260728
369,2543,102,12,12351,12351,635,,263256
370,2150,101,13,12452,12452,627,,264246
371,1585,66,8,12518,12518,594,,265051
372,1082,58,7,12576,12576,619,,266752
373,1302,69,7,12645,12645,638,,269487
374,2159,84,10,12729,12729,604,,272113
375,2089,74,30,12803,12803,590,,276793
376,2649,81,24,12884,12884,549,,279908
377,1771,64,11,12948,12948,548,,281854
378,1516,68,13,13016,13016,523,,283690
379,859,38,2,13054,13054,528,,285852
380,1411,83,16,13137,13137,540,,289231
381,2009,80,7,13217,13217,537,,293030
382,1761,62,0,13279,13279,536,,297638
383,1517,74,35,13353,13353,533,,301462
384,1468,74,8,13427,13427,522,,304074
385,1194,41,2,13468,13468,519,,306385
386,584,47,3,13515,13515,488,,307848
387,1201,61,17,13576,13576,485,,309977
388,1591,72,12,13648,13648,413,,312872
389,1273,49,14,13697,13697,449,,315614
390,1216,58,17,13755,13755,433,,318034
391,1211,73,5,13828,13828,419,,320182
392,908,34,3,13862,13862,391,,321756
393,514,27,2,13889,13889,353,,322825
394,918,61,10,13950,13950,359,,324102
395,1299,57,17,14007,14007,365,,326237
396,1242,47,9,14054,14054,363,,328315
