date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,,,,,
16,0,0,0,,,,,
17,0,0,0,,,,,
18,0,0,0,,,,,
19,0,0,0,,,,,
20,0,0,0,,,,,
21,0,0,0,,,,,
22,0,0,0,,,,,
23,0,0,0,,,,,
24,0,0,0,,,,,
25,0,0,0,,,,,
26,0,0,0,,,,,
27,0,0,0,,,,,
28,0,0,0,,,,,
29,0,0,0,,,,,
30,0,0,0,,,,,
31,0,0,0,,,,,
32,0,0,0,,,,,
33,0,0,0,,,,,
34,0,0,0,,,,,
35,0,0,0,,,,,
36,0,0,0,,,,,
37,0,0,0,,,,,
38,0,0,0,,,,,
39,0,0,0,,,,,
40,0,0,0,,,,,
41,0,0,0,,,,,
42,0,0,0,,,,,
43,0,0,0,,,,,
44,0,0,0,,,,,
45,0,0,0,,,,,
46,0,0,0,,,,,
47,0,0,0,,,,,
48,0,0,0,,,,,
49,0,0,0,,,,,
50,0,0,0,,,,,
51,0,0,0,,,,,
52,0,0,0,,,,,
53,0,0,0,,,,,
54,0,0,0,,,,,
55,0,0,0,,,,,
56,2,0,0,,,,,
57,1,0,0,,,,,
58,5,0,0,,,,,
59,1,0,0,,,,,
60,8,0,0,,,,,
61,13,0,0,,,,,
62,0,0,0,,,,,
63,15,0,1,,,,,
64,6,0,0,,,,,
65,16,0,0,,,,,
66,10,0,0,,,,,
67,17,0,1,,,,,
68,20,19,0,19,19,,,
69,38,1,0,20,20,,,
70,67,5,1,25,25,,,
71,35,7,3,32,32,,,
72,36,6,1,38,38,,,
73,101,7,2,45,45,,,
74,69,14,4,59,59,,,
75,144,6,1,65,65,,,
76,135,18,3,83,83,,,
77,151,16,5,99,99,,,
78,130,13,3,112,112,,,
79,230,24,2,136,136,,,
80,234,29,7,165,165,,,
81,222,43,7,208,208,246,,
82,306,38,5,246,246,,,
83,395,66,6,312,312,,,
84,230,78,-1,390,390,,,
85,241,41,3,431,431,,,
86,455,66,9,497,497,,,
87,312,66,12,563,563,,,
88,397,0,34,563,563,669,,
89,467,122,12,685,685,1238,,
90,568,87,9,772,772,1252,,
91,197,65,11,837,837,751,,
92,473,35,8,872,872,1238,,
93,424,31,5,903,903,1282,,
94,329,75,41,978,978,1298,,
95,389,70,13,1048,1048,1337,,
96,602,66,23,1114,1114,1308,,
97,562,107,27,1221,1221,1307,,
98,484,75,19,1296,1296,1319,,
99,453,126,23,1422,1422,1296,,
100,640,78,24,1500,1500,1331,,
101,636,81,25,1581,1581,1374,,
102,732,78,23,1659,1659,1379,,
103,596,94,38,1753,1753,1399,,
104,772,84,26,1837,1837,1405,,
105,604,105,12,1942,1942,1436,,
106,565,72,10,2014,2014,1455,,
107,804,52,34,2066,2066,1508,,
108,622,99,30,2165,2165,1566,,
109,885,94,30,2259,2259,1550,,
110,1055,63,29,2322,2322,1431,,
111,830,94,35,2416,2416,1426,,
112,940,103,44,2519,2519,1413,,
113,821,108,24,2627,2627,1463,,
114,764,73,29,2700,2700,1496,,
115,0,73,0,2773,2773,1496,,
116,1314,182,56,2955,2955,1613,,
117,772,104,43,3059,3059,1625,,
118,854,105,15,3164,3164,1593,,
119,885,47,12,3211,3211,1555,,
120,989,89,11,3300,3300,1504,,
121,730,95,41,3395,3395,1529,,
122,946,125,36,3520,3520,1526,,
123,1067,72,28,3592,3592,1533,,
124,859,65,22,3657,3657,1511,,
125,1011,67,25,3724,3724,1505,,
126,705,51,7,3775,3775,1524,,
127,752,47,5,3822,3822,1502,,
128,1005,82,27,3904,3904,1497,,
129,763,75,33,3979,3979,1536,,
130,1229,114,25,4093,4093,1491,,
131,813,52,37,4145,4145,1459,,
132,799,36,23,4181,4181,1384,,
133,495,33,12,4214,4214,1351,,
134,1483,55,37,4269,4269,1376,,
135,1615,56,28,4325,4325,1403,,
136,907,60,45,4385,4385,1459,,
137,1152,57,57,4442,4442,1502,,
138,1132,87,20,4529,4529,1524,,
139,1078,72,12,4601,4601,1471,,
140,996,42,5,4643,4643,1458,,
141,791,51,17,4694,4694,1371,,
142,841,76,15,4770,4770,1362,,
143,666,114,21,4884,4884,1311,,
144,951,73,17,4957,4957,1266,,
145,676,51,8,5008,5008,1205,,
146,865,46,7,5054,5054,1171,,
147,1284,52,12,5106,5106,1186,,
148,570,37,5,5143,5143,1173,,
149,487,60,19,5203,5203,1169,,
150,439,69,18,5272,5272,1155,,
151,470,88,6,5360,5360,1069,,
152,564,85,14,5445,5445,1026,,
153,658,66,7,5511,5511,959,,
154,637,25,5,5536,5536,958,,
155,380,52,6,5588,5588,902,,
156,445,55,18,5643,5643,904,,
157,444,49,13,5692,5692,938,,
158,463,52,3,5744,5744,857,,
159,555,53,16,5797,5797,862,,
160,650,10,5,5807,5807,880,,
161,551,33,4,5840,5840,863,,
162,471,29,9,5869,5869,848,,
163,529,44,25,5913,5913,847,,
164,520,42,16,5955,5955,886,,
165,432,40,14,5995,5995,854,,
166,624,76,25,6071,6071,854,,
167,677,49,24,6120,6120,819,,
168,489,16,8,6136,6136,818,,
169,453,28,8,6164,6164,796,,
170,598,39,23,6203,6203,902,,
171,416,59,23,6262,6262,892,,
172,532,71,30,6333,6333,888,,
173,658,49,29,6382,6382,818,,
174,716,23,4,6405,6405,808,,
175,639,13,4,6418,6418,792,,
176,354,17,0,6435,6435,783,,
177,638,77,28,6512,6512,902,,
178,635,65,24,6577,6577,971,,
179,613,48,32,6625,6625,956,,
180,943,50,21,6675,6675,1006,,
181,851,32,4,6707,6707,1020,,
182,888,37,4,6744,6744,1045,,
183,972,21,2,6765,6765,1129,,
184,801,52,9,6817,6817,1127,,
185,1084,88,15,6905,6905,1081,,
186,904,115,15,7020,7020,1134,,
187,1002,67,6,7087,7087,1171,,
188,940,60,12,7147,7147,1166,,
189,1057,18,2,7165,7165,1186,,
190,945,36,4,7201,7201,1158,,
191,996,66,17,7267,7267,1189,,
192,1022,84,3,7351,7351,1157,,
193,844,86,3,7437,7437,1218,,
194,1127,78,13,7515,7515,1250,,
195,1245,55,8,7570,7570,1201,,
196,958,23,3,7593,7593,1174,,
197,1505,54,4,7647,7647,1200,,
198,922,39,13,7686,7686,1294,,
199,999,52,30,7738,7738,1350,,
200,911,48,16,7786,7786,1357,,
201,984,80,33,7866,7866,1334,,
202,913,44,41,7910,7910,1256,,
203,981,45,3,7955,7955,1172,,
204,1324,63,0,8018,8018,1205,,
205,1145,67,26,8085,8085,1255,,
206,798,41,30,8126,8126,1304,,
207,818,57,25,8183,8183,1349,,
208,2015,98,18,8281,8281,1372,,
209,1307,51,5,8332,8332,1258,,
210,897,37,4,8369,8369,1200,,
211,663,22,1,8391,8391,1251,,
212,996,67,17,8458,8458,1293,,
213,776,74,8,8532,8532,1281,,
214,1101,60,11,8592,8592,1258,,
215,1216,58,7,8650,8650,1299,,
216,912,51,11,8701,8701,1271,,
217,937,36,0,8737,8737,1184,,
218,734,30,4,8767,8767,1173,,
219,861,82,11,8849,8849,1253,,
220,737,76,14,8925,8925,1243,,
221,863,73,17,8998,8998,1266,,
222,978,73,9,9071,9071,1233,,
223,1212,68,7,9139,9139,1154,,
224,894,37,24,9176,9176,1155,,
225,664,31,4,9207,9207,1127,,
226,1005,52,23,9259,9259,1174,,
227,823,67,21,9326,9326,1170,,
228,0,65,0,9391,9391,1174,,
229,2134,69,35,9460,9460,1101,,
230,1217,52,18,9512,9512,1101,,
231,938,43,1,9555,9555,1090,,
232,847,14,11,9569,9569,1082,,
233,1021,52,32,9621,9621,1039,,
234,927,57,29,9678,9678,1114,,
235,1126,63,11,9741,9741,1130,,
236,1111,57,10,9798,9798,1101,,
237,948,51,15,9849,9849,1098,,
238,1199,32,1,9881,9881,1083,,
239,645,21,6,9902,9902,1061,,
240,836,30,2,9932,9932,1051,,
241,882,76,11,10008,10008,1072,,
242,1236,77,11,10085,10085,1096,,
243,1115,70,3,10155,10155,1120,,
244,1300,63,11,10218,10218,995,,
245,874,26,2,10244,10244,1012,,
246,757,49,19,10293,10293,1006,,
247,943,44,96,10337,10337,1015,,
248,845,52,45,10389,10389,1027,,
249,1101,75,36,10464,10464,995,,
250,1242,56,29,10520,10520,945,,
251,953,42,41,10562,10562,960,,
252,856,29,25,10591,10591,939,,
253,627,22,6,10613,10613,995,,
254,872,62,39,10675,10675,940,,
255,580,43,29,10718,10718,916,,
256,902,51,24,10769,10769,982,,
257,941,37,23,10806,10806,965,,
258,975,57,8,10863,10863,924,,
259,736,26,15,10889,10889,868,,
260,449,27,13,10916,10916,890,,
261,923,62,15,10978,10978,958,,
262,755,63,21,11041,11041,908,,
263,450,51,20,11092,11092,913,,
264,966,48,22,11140,11140,890,,
265,1116,51,20,11191,11191,906,,
266,1067,30,3,11221,11221,877,,
267,687,38,3,11259,11259,925,,
268,625,57,15,11316,11316,926,,
269,509,29,12,11345,11345,1003,,
270,1844,48,25,11393,11393,933,,
271,1114,54,16,11447,11447,963,,
272,1256,54,10,11501,11501,943,,
273,811,18,4,11519,11519,924,,
274,854,34,3,11553,11553,965,,
275,1235,45,11,11598,11598,999,,
276,805,30,9,11628,11628,1007,,
277,1331,76,7,11704,11704,1009,,
278,1183,76,20,11780,11780,1002,,
279,1114,51,14,11831,11831,993,,
280,900,30,11,11861,11861,972,,
281,690,21,24,11882,11882,972,,
282,926,73,28,11955,11955,937,,
283,1018,55,30,12010,12010,1010,,
284,1332,63,9,12073,12073,1109,,
285,1180,67,15,12140,12140,1012,,
286,1088,58,39,12198,12198,979,,
287,999,35,1,12233,12233,979,,
288,904,27,2,12260,12260,1048,,
289,1134,60,19,12320,12320,1081,,
290,1345,64,16,12384,12384,1068,,
291,1429,70,20,12454,12454,1082,,
292,1456,57,7,12511,12511,1065,,
293,1551,93,11,12604,12604,1026,,
294,1202,43,1,12647,12647,1012,,
295,1026,27,3,12674,12674,1031,,
296,1261,65,8,12739,12739,1026,,
297,1157,58,11,12797,12797,1041,,
298,1366,68,11,12865,12865,1064,,
299,1568,71,-6,12936,12936,1057,,
300,2103,86,22,13022,13022,1062,,
301,1302,42,3,13064,13064,1090,,
302,1302,52,6,13116,13116,1127,,
303,1435,67,13,13183,13183,1174,,
304,1594,90,15,13273,13273,1265,,
305,1521,66,17,13339,13339,1313,,
306,1235,69,27,13408,13408,1296,,
307,1537,72,14,13480,13480,1312,,
308,1161,24,1,13504,13504,1284,,
309,2677,48,6,13552,13552,1337,,
310,2125,56,29,13608,13608,1392,,
311,2071,99,25,13707,13707,1469,,
312,1954,108,36,13815,13815,1569,,
313,2544,99,16,13914,13914,1510,,
314,2348,103,26,14017,14017,1507,,
315,2117,29,0,14046,14046,1469,,
316,3242,50,4,14096,14096,1512,,
317,2544,116,37,14212,14212,1496,,
318,2718,100,29,14312,14312,1549,,
319,2600,105,21,14417,14417,1601,,
320,1544,34,15,14451,14451,1593,,
321,3173,65,10,14516,14516,1585,,
322,2325,56,4,14572,14572,1628,,
323,1893,47,4,14619,14619,1658,,
324,2228,106,31,14725,14725,1757,,
325,2417,158,20,14883,14883,1860,,
326,2023,131,34,15014,15014,1853,,
327,2877,102,13,15116,15116,1854,,
328,3793,139,37,15255,15255,1852,,
329,3880,40,3,15295,15295,1969,,
330,3817,61,8,15356,15356,1885,,
331,3860,111,52,15467,15467,1918,,
332,4398,125,21,15592,15592,2035,,
333,3915,131,54,15723,15723,2051,,
334,3395,141,35,15864,15864,2115,,
335,4177,103,39,15967,15967,2117,,
336,3294,47,2,16014,16014,2154,,
337,3240,59,3,16073,16073,2260,,
338,3160,114,56,16187,16187,2361,,
339,3931,166,38,16353,16353,2349,,
340,3853,150,45,16503,16503,2399,,
341,3295,181,45,16684,16684,2409,,
342,3584,140,45,16824,16824,2429,,
343,3876,54,7,16878,16878,2405,,
344,4042,70,4,16948,16948,2442,,
345,3591,135,51,17083,17083,2166,,
346,4652,188,55,17271,17271,2586,,
347,4782,118,31,17389,17389,2577,,
348,4078,61,29,17450,17450,2478,,
349,1584,14,20,17464,17464,2454,,
350,3999,84,14,17548,17548,2495,,
351,2599,57,7,17605,17605,2563,,
352,4122,177,59,17782,17782,2698,,
353,4048,128,64,17910,17910,2707,,
354,5239,131,48,18041,18041,2744,,
355,5182,125,49,18166,18166,2754,,
356,3989,74,36,18240,18240,2710,,
357,5010,70,7,18310,18310,2708,,
358,3771,77,8,18387,18387,2765,,
359,4377,139,59,18526,18526,2918,,
360,5387,110,35,18636,18636,2925,,
361,5379,154,49,18790,18790,3000,,
362,5238,128,37,18918,18918,2991,,
363,5798,107,69,19025,19025,3032,,
364,5141,70,2,19095,19095,3060,,
365,4530,87,10,19182,19182,3117,,
366,4561,144,84,19326,19326,3185,,
367,4598,144,75,19470,19470,3209,,
368,5294,125,74,19595,19595,3196,,
369,4795,146,30,19741,19741,3147,,
370,6757,105,50,19846,19846,3119,,
371,9914,67,23,19913,19913,3058,,
372,7245,69,10,19982,19982,3151,,
373,4526,84,59,20066,20066,3173,,
374,4515,165,63,20231,20231,3098,,
375,4013,174,79,20405,20405,3011,,
376,4147,139,62,20544,20544,2972,,
377,4904,110,77,20654,20654,2927,,
378,3792,58,-1,20712,20712,2850,,
379,6172,52,3,20764,20764,2892,,
380,4707,96,93,20860,20860,2847,,
381,5227,126,54,20986,20986,2868,,
382,5121,127,80,21113,21113,2706,,
383,4238,128,71,21241,21241,2691,,
384,4309,136,70,21377,21377,2632,,
385,2558,32,15,21409,21409,2516,,
386,2861,35,10,21444,21444,2446,,
387,2740,72,43,21516,21516,2473,,
388,2959,122,58,21638,21638,2545,,
389,3059,111,75,21749,21749,2444,,
390,5069,144,82,21893,21893,2363,,
391,4709,142,41,22035,22035,2376,,
392,2949,67,5,22102,22102,2303,,
393,1700,65,42,22167,22167,2285,,
394,3291,172,78,22339,22339,2248,,
395,3203,131,34,22470,22470,2201,,
396,3699,145,26,22615,22615,2136,,
397,3191,103,8,22718,22718,2117,,
398,3215,128,30,22846,22846,1991,,
399,2575,60,16,22906,22906,1906,,
400,1539,38,4,22944,22944,1833,,
401,1770,98,21,23042,23042,1849,,
402,2284,137,38,23179,23179,1823,,
403,2304,89,15,23268,23268,1828,,
404,2034,101,8,23369,23369,1671,,
405,1882,67,99,23436,23436,1594,,
406,2303,45,134,23481,23481,1548,,
407,1155,49,155,23530,23530,1540,,
408,1769,168,172,23698,23698,1621,,
409,1907,100,149,23798,23798,1564,,
410,2036,73,156,23871,23871,1488,,
411,1657,107,234,23978,23978,1481,,
