date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,,,,,
52,0,0,0,,,,,
53,0,0,0,,,,,
54,0,0,0,,,,,
55,0,0,0,,,,,
56,1,0,0,,,,,
57,0,0,0,,,,,
58,0,0,0,,,,,
59,0,0,0,,,,,
60,1,0,0,,,,,
61,0,0,0,,,,,
62,3,0,0,,,,,
63,3,0,0,,,,,
64,4,0,0,,,,,
65,5,0,0,,,,,
66,2,0,0,,,,,
67,2,0,0,,,,,
68,7,0,2,,,,,
69,16,0,0,,,,,
70,8,0,0,,,,,
71,24,0,3,,,,,
72,21,0,2,,,,,
73,28,0,1,,,,,
74,35,0,1,,,,,
75,25,18,1,18,18,,,
76,28,0,2,18,18,,,
77,21,0,0,18,18,,,
78,22,0,0,18,18,,,
79,37,18,1,36,36,21,,15
80,27,9,3,45,45,30,,15
81,39,0,1,45,45,29,,15
82,31,0,0,45,45,29,,15
83,70,0,3,45,45,29,,15
84,52,0,2,45,45,29,,15
85,31,0,1,45,45,28,,15
86,32,0,0,45,45,29,,15
87,33,5,0,50,50,35,,15
88,23,-50,0,,,33,,15
89,49,0,1,,,32,,15
90,33,0,1,,,77,,15
91,20,0,2,,,34,,15
92,21,0,1,,,33,,15
93,7,0,1,,,64,,15
94,9,0,1,,,63,,15
95,9,0,5,,,58,,15
96,13,0,0,,,32,,15
97,10,0,3,,,56,,15
98,11,0,0,,,53,,15
99,4,0,0,,,49,,15
100,3,0,2,,,41,,
101,8,0,0,,,37,,
102,3,0,3,,,44,,
103,3,0,1,,,32,,
104,9,0,2,,,37,,
105,9,0,0,,,34,,
106,3,0,1,,,33,,
107,7,0,0,,,29,,
108,0,0,0,,,26,,
109,4,0,2,,,23,,
110,13,0,1,,,19,,
111,6,0,1,,,11,,
112,11,0,1,,,19,,
113,5,0,0,,,15,,
114,5,0,0,,,33,,
115,3,0,0,,,26,,706
116,5,0,1,,,14,,718
117,2,0,0,,,15,,737
118,2,0,0,,,21,,744
119,8,0,0,,,21,,777
120,0,0,0,,,14,,785
121,1,0,0,,,18,,787
122,2,0,0,,,17,,789
123,1,0,0,,,18,,792
124,1,0,0,,,17,,796
125,1,0,0,,,20,,804
126,8,0,1,,,14,,810
127,0,0,0,,,22,,815
128,4,0,0,,,24,,820
129,1,0,0,,,15,,824
130,5,0,0,,,14,,827
131,2,0,0,,,16,,834
132,2,0,0,,,21,,837
133,3,0,0,,,25,,839
134,6,0,0,,,19,,843
135,5,0,0,,,25,,848
136,2,0,0,,,21,,849
137,4,0,1,,,17,,855
138,1,0,0,,,14,,859
139,2,0,0,,,17,,865
140,4,0,0,,,18,,873
141,4,0,0,,,16,,880
142,2,0,0,,,10,,879
143,2,0,0,,,10,,879
144,36,0,0,,,13,,881
145,2,0,0,,,14,,882
146,17,0,0,,,16,,888
147,17,0,0,,,14,,890
148,12,0,0,,,13,,895
149,8,0,0,,,16,,901
150,11,0,0,,,11,,903
151,16,0,0,,,12,,905
152,10,0,0,,,16,,907
153,5,0,0,,,11,,908
154,2,0,0,,,26,,909
155,1,0,0,,,16,,912
156,3,0,0,,,12,,914
157,0,0,0,,,5,,915
158,6,0,1,,,11,,917
159,8,0,0,,,8,,918
160,4,0,0,,,9,,920
161,12,0,0,,,11,,922
162,4,0,0,,,8,,926
163,2,0,0,,,19,,927
164,20,0,0,,,13,,930
165,7,0,0,,,15,,938
166,7,0,0,,,14,,941
167,2,0,0,,,14,,946
168,3,0,0,,,15,,946
169,6,0,0,,,13,,949
170,0,0,0,,,16,,953
171,2,0,0,,,17,,961
172,17,0,0,,,21,,960
173,9,0,0,,,16,,967
174,2,0,0,,,16,,999
175,11,0,0,,,15,,1007
176,2,0,0,,,24,,1022
177,3,0,0,,,13,,1039
178,2,0,0,,,14,,1049
179,14,0,0,,,15,,1054
180,5,0,0,,,11,,1066
181,5,0,0,,,18,,1066
182,13,0,0,,,17,,1089
183,6,0,0,,,10,,1096
184,4,0,0,,,15,,1099
185,12,0,0,,,19,,1104
186,10,0,0,,,25,,1111
187,9,0,0,,,33,,1121
188,3,0,0,,,25,,1125
189,10,0,0,,,24,,1137
190,10,0,0,,,22,,1139
191,7,0,0,,,19,,1148
192,2,0,0,,,14,,1152
193,11,0,0,,,12,,1156
194,5,0,0,,,12,,1177
195,13,0,0,,,13,,1182
196,4,0,0,,,10,,1186
197,2,0,0,,,13,,1190
198,3,0,0,,,18,,1194
199,1,0,0,,,18,,1199
200,1,0,1,,,18,,1207
201,8,0,0,,,16,,1211
202,5,0,0,,,16,,1231
203,4,0,0,,,15,,1238
204,1,0,0,,,14,,1240
205,5,0,0,,,14,,1249
206,5,0,0,,,9,,1254
207,10,0,1,,,6,,1258
208,1,0,0,,,6,,1260
209,6,0,0,,,8,,1272
210,5,0,0,,,6,,1279
211,3,0,0,,,11,,1282
212,12,0,0,,,12,,1295
213,5,0,0,,,9,,1302
214,6,0,0,,,14,,1310
215,17,0,0,,,13,,1321
216,9,0,0,,,14,,1332
217,5,0,0,,,17,,1337
218,12,0,0,,,18,,1343
219,3,0,0,,,17,,1347
220,2,0,0,,,12,,1354
221,4,0,0,,,10,,1356
222,4,0,0,,,10,,1358
223,11,0,0,,,15,,1366
224,5,0,0,,,13,,1371
225,8,0,0,,,11,,1380
226,6,0,0,,,13,,1386
227,4,0,0,,,14,,1388
228,11,0,0,,,12,,1396
229,4,0,0,,,11,,1400
230,12,0,0,,,10,,1413
231,11,0,0,,,13,,1421
232,5,0,0,,,8,,1425
233,6,0,0,,,6,,1432
234,2,0,0,,,2,,1433
235,5,0,0,,,3,,1436
236,10,0,0,,,2,,1441
237,5,0,0,,,4,,1451
238,1,0,0,,,4,,1456
239,4,0,0,,,2,,1465
240,2,0,0,,,4,,1465
241,5,0,0,,,5,,1468
242,3,0,0,,,5,,1480
243,8,0,0,,,4,,1493
244,9,0,0,,,4,,1496
245,7,0,0,,,1,,1505
246,11,0,0,,,3,,1509
247,7,0,0,,,7,,1524
248,2,0,0,,,6,,1530
249,3,0,0,,,2,,1533
250,2,0,0,,,6,,1536
251,4,0,0,,,3,,1541
252,5,0,0,,,2,,1548
253,4,0,0,,,3,,1557
254,2,0,0,,,1,,1557
255,1,0,0,,,2,,1565
256,2,0,0,,,3,,1566
257,7,0,0,,,2,,1576
258,10,0,0,,,1,,1580
259,2,0,0,,,2,,1584
260,3,0,0,,,3,,1590
261,4,0,0,,,5,,1601
262,3,0,0,,,3,,1606
263,3,0,0,,,3,,1609
264,14,0,0,,,1,,1611
265,9,0,0,,,0,,1616
266,6,0,0,,,0,,1622
267,33,0,0,,,1,,1625
268,4,0,0,,,1,,1632
269,7,0,0,,,1,,1635
270,11,0,0,,,1,,1638
271,8,0,0,,,0,,1646
272,10,0,0,,,0,,1651
273,10,0,0,,,0,,1659
274,9,0,0,,,0,,1664
275,11,0,0,,,5,,1673
276,3,0,0,,,0,,1678
277,16,0,0,,,6,,1685
278,13,0,0,,,1,,1687
279,9,0,0,,,3,,1687
280,11,0,0,,,2,,1689
281,8,0,0,,,0,,1696
282,12,0,0,,,0,,1701
283,20,0,0,,,4,,1708
284,16,0,0,,,3,,1718
285,30,0,0,,,3,,1723
286,28,0,0,,,4,,1728
287,30,0,0,,,3,,1733
288,9,0,0,,,11,,1741
289,31,0,0,,,4,,1766
290,11,0,0,,,8,,1768
291,16,0,0,,,6,,1778
292,19,0,0,,,4,,1789
293,22,0,0,,,4,,1800
294,17,0,0,,,4,,1816
295,23,0,0,,,4,,1826
296,22,0,0,,,3,,1833
297,31,0,0,,,8,,1870
298,38,0,0,,,7,,1888
299,28,0,0,,,4,,1904
300,28,0,1,,,4,,1913
301,54,0,0,,,6,,1923
302,25,0,0,,,11,,1931
303,52,0,0,,,15,,1936
304,89,0,0,,,18,,1947
305,125,0,0,,,22,,1958
306,102,0,0,,,24,,1977
307,98,0,0,,,21,,2000
308,44,0,0,,,20,,2023
309,124,0,0,,,20,,2050
310,106,0,0,,,17,,2107
311,54,0,1,,,18,,2135
312,152,0,1,,,18,,2157
313,144,0,1,,,22,,2205
314,88,0,1,,,18,,2246
315,88,0,0,,,22,,2279
316,68,0,0,,,19,,2300
317,50,0,1,,,22,,2339
318,93,0,0,,,24,,2374
319,79,0,0,,,24,,2374
320,98,0,3,,,21,,2439
321,40,0,0,,,19,,2474
322,70,0,0,,,21,,2494
323,71,0,2,,,25,,2523
324,69,0,3,,,32,,2564
325,101,0,2,,,33,,2655
326,224,0,1,,,36,,2726
327,73,0,2,,,33,,2818
328,131,0,2,,,25,,2899
329,121,0,0,,,25,,2951
330,65,0,2,,,31,,2996
331,100,0,4,,,32,,3076
332,105,0,1,,,26,,3148
333,128,0,3,,,23,,3226
334,128,0,4,,,26,,3322
335,85,0,2,,,23,,3420
336,127,0,0,,,24,,3511
337,104,0,1,,,28,,3603
338,66,0,4,,,20,,3680
339,86,0,5,,,33,,3776
340,140,0,0,,,26,,3897
341,94,0,2,,,29,,3970
342,100,0,1,,,20,,4062
343,100,0,3,,,24,,4155
344,91,0,0,,,27,,4236
345,74,0,1,,,43,,4310
346,72,0,5,,,29,,4380
347,101,0,3,,,23,,4442
348,0,0,0,,,23,,4442
349,185,0,1,,,17,,4591
350,63,0,6,,,34,,4667
351,91,0,2,,,20,,4732
352,82,0,1,,,34,,4804
353,74,0,4,,,33,,4883
354,136,0,2,,,31,,4959
355,0,0,0,,,31,,4959
356,277,0,3,,,27,,5188
357,104,0,1,,,31,,5272
358,80,0,4,,,41,,5361
359,165,0,5,,,44,,5463
360,120,0,3,,,40,,5546
361,245,0,3,,,39,,5657
362,216,0,1,,,35,,5778
363,171,0,0,,,40,,5902
364,177,0,0,,,43,,6015
365,111,0,0,,,53,,6027
366,169,0,2,,,56,,6226
367,121,0,0,,,51,,6321
368,205,0,4,,,45,,6403
369,161,0,1,,,45,,6506
370,181,0,0,,,46,,6633
371,142,0,0,,,45,,6719
372,163,0,0,,,44,,6825
373,101,0,0,,,43,,6925
374,150,0,2,,,46,,7020
375,109,0,3,,,50,,7083
376,179,0,1,,,46,,7177
377,149,0,1,,,49,,7294
378,125,0,0,,,51,,7396
379,132,0,1,,,56,,7476
380,120,0,0,,,58,,7574
381,94,0,1,,,47,,7696
382,144,0,0,,,62,,7826
383,135,0,0,,,60,,7926
384,173,0,1,,,62,,8095
385,134,0,1,,,68,,8254
386,118,0,1,,,67,,8268
387,113,0,1,,,59,,8581
388,133,0,3,,,54,,8759
389,174,0,2,,,69,,8953
390,109,0,0,,,64,,9126
391,154,0,1,,,64,,9372
392,134,0,1,,,67,,9528
393,146,0,0,,,63,,9675
394,59,0,3,,,60,,9866
395,17,0,1,,,58,,9988
396,127,0,1,,,54,,10154
397,166,0,1,,,49,,10331
398,146,0,0,,,49,,10547
399,116,0,0,,,49,,10659
400,185,0,1,,,40,,10798
401,55,0,1,,,42,,10803
402,79,0,0,,,46,,11072
403,153,0,2,,,42,,11221
404,102,0,0,,,39,,11378
405,108,0,3,,,39,,11540
406,134,0,1,,,39,,11649
407,115,0,1,,,38,,11761
408,83,0,1,,,37,,11907
409,77,0,2,,,32,,11998
410,72,0,2,,,30,,12135
411,123,0,1,,,25,,12286
412,135,0,0,,,30,,12436
413,100,0,0,,,26,,12532
414,86,0,1,,,29,,12626
415,88,0,1,,,24,,12759
416,115,0,1,,,24,,12842
417,199,0,0,,,27,,12990
418,133,0,0,,,26,,13145
419,145,0,1,,,26,,13305
420,119,0,0,,,31,,13384
