date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,,,,,
2,0,0,0,,,,,
3,0,0,0,,,,,
4,0,0,0,,,,,
5,0,0,0,,,,,
6,0,0,0,,,,,
7,1,0,0,,,,,
8,0,0,0,,,,,
9,1,0,0,,,,,
10,0,0,0,,,,,
11,0,0,0,,,,,
12,0,0,0,,,,,
13,0,0,0,,,,,
14,0,0,0,,,,,
15,0,0,0,,,,,
16,0,0,0,,,,,
17,0,0,0,,,,,
18,0,0,0,,,,,
19,0,0,0,,,,,
20,0,0,0,,,,,
21,0,0,0,,,,,
22,1,0,0,,,,,
23,0,0,0,,,,,
24,0,0,0,,,,,
25,2,0,0,,,,,
26,0,0,0,,,,,
27,0,0,0,,,,,
28,0,0,0,,,,,
29,0,0,0,,,,,
30,0,0,0,,,,,
31,0,0,0,,,,,
32,1,0,0,,,,,
33,1,0,0,,,,,
34,0,0,0,,,,,
35,0,0,0,,,,,
36,0,0,0,,,,,
37,0,0,0,,,,,
38,0,0,0,,,,,
39,0,0,0,,,,,
40,0,0,0,,,,,
41,0,0,0,,,,,
42,1,0,0,,,,,
43,1,0,0,,,,,
44,1,0,0,,,,,
45,2,0,2,,,,,
46,1,0,0,,,,,
47,2,0,2,,,,,
48,3,0,1,,,,,
49,8,0,3,,,,,
50,17,0,3,,,,,
51,16,0,3,,,,,
52,34,0,2,,,,,
53,24,0,4,,,,,
54,38,0,6,,,,,
55,51,0,1,,,,,
56,38,0,4,,,,,
57,38,0,4,,,,,
58,61,0,2,,,,,
59,62,0,3,,,,,
60,110,0,4,,,,,
61,133,0,3,,,,,
62,179,0,4,,,,,
63,214,0,6,,,,,
64,156,0,12,,,,,
65,108,0,9,,,,,
66,300,0,4,,,,,
67,268,0,10,,,,,
68,290,0,12,,,,,
69,334,0,7,,,,,
70,304,0,15,,,,,
71,197,0,11,,,,,
72,192,0,9,,,,,
73,463,0,13,,,,,
74,438,0,24,,,,,
75,441,0,16,,,,,
76,435,0,21,,,,,
