date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,,,,,
52,1,0,0,,,,,
53,0,0,0,,,,,
54,0,0,0,,,,,
55,0,0,0,,,,,
56,0,0,0,,,,,
57,0,0,0,,,,,
58,1,0,0,,,,,
59,1,0,0,,,,,
60,6,0,0,,,,,
61,14,0,0,,,,,
62,0,0,0,,,,,
63,14,0,0,,,,,
64,19,0,0,,,,,
65,27,0,0,,,,,
66,38,0,0,,,,,
67,53,0,0,,,,,
68,61,0,3,,,,,
69,80,0,1,,,,,
70,110,0,0,,,,,
71,41,0,1,,,,,
72,59,0,0,,,,,
73,142,0,2,,,,,
74,139,0,1,,,,,
75,163,0,5,,,,,
76,165,0,0,,,,,
77,142,0,0,,,,,
78,146,0,1,,,,,
79,163,337,2,337,337,,,
80,236,61,8,398,398,,,
81,219,63,7,461,461,192,,
82,223,26,6,487,487,257,,
83,213,101,19,588,588,279,,
84,167,36,12,624,624,294,,
85,223,44,9,668,668,300,,
86,198,77,15,745,745,334,,
87,215,45,7,790,790,351,,
88,164,53,12,843,843,446,,
89,222,61,17,904,904,443,,
90,157,46,9,950,950,445,,
91,142,24,7,974,974,443,,
92,116,19,10,993,993,431,,
93,166,56,16,1049,1049,441,,
94,207,42,12,1091,1091,406,,
95,183,30,15,1121,1121,394,,
96,203,32,8,1153,1153,361,,
97,174,23,6,1176,1176,361,,
98,163,14,9,1190,1190,357,,
99,177,21,10,1211,1211,357,,
100,156,41,12,1252,1252,358,,
101,257,50,4,1302,1302,352,,
102,245,16,11,1318,1318,349,,
103,353,35,5,1353,1353,356,,
104,351,23,4,1376,1376,341,,
105,248,21,6,1397,1397,343,,
106,198,18,9,1415,1415,335,,
107,230,41,19,1456,1456,351,,
108,269,33,8,1489,1489,350,,
109,392,23,8,1512,1512,359,,3352
110,498,32,11,1544,1544,341,,3352
111,370,47,7,1591,1591,352,,3698
112,307,17,5,1608,1608,348,,3723
113,311,13,1,1621,1621,348,,3973
114,358,42,13,1663,1663,309,,4131
115,366,31,9,1694,1694,298,,4348
116,359,38,12,1732,1732,339,,4520
117,409,35,10,1767,1767,345,,4694
118,372,39,14,1806,1806,339,,4875
119,292,14,2,1820,1820,332,,5014
120,226,26,9,1846,1846,340,,5176
121,211,31,9,1877,1877,326,,5371
122,318,31,3,1908,1908,343,,5673
123,420,31,13,1939,1939,352,,5994
124,475,38,11,1977,1977,356,,6250
125,534,41,8,2018,2018,361,,6542
126,379,20,0,2038,2038,364,,6542
127,185,30,6,2068,2068,379,,6786
128,250,42,8,2110,2110,398,,7371
129,577,51,14,2161,2161,393,,7728
130,523,57,6,2218,2218,398,,8012
131,548,41,9,2259,2259,416,,8362
132,503,33,11,2292,2292,388,,8688
133,410,23,3,2315,2315,399,,8999
134,318,24,4,2339,2339,388,,9207
135,296,23,3,2362,2362,422,,9405
136,646,49,22,2411,2411,413,,9846
137,564,41,11,2452,2452,408,,10384
138,766,47,18,2499,2499,423,,10880
139,539,64,20,2563,2563,409,,11338
140,182,20,4,2583,2583,414,,11646
141,172,20,3,2603,2603,403,,11838
142,419,40,12,2643,2643,388,,12172
143,506,57,9,2700,2700,357,,12172
144,532,39,10,2739,2739,355,,12980
145,406,52,7,2791,2791,355,,13337
146,338,41,12,2832,2832,315,,13770
147,275,16,2,2848,2848,308,,14047
148,222,12,-1,2860,2860,322,,14242
149,300,44,15,2904,2904,331,,14583
150,336,39,10,2943,2943,328,,14999
151,371,33,11,2976,2976,306,,15348
152,354,27,7,3003,3003,287,,15783
153,294,32,2,3035,3035,285,,16231
154,251,14,1,3049,3049,291,,16558
155,206,12,2,3061,3061,284,,16837
156,298,35,9,3096,3096,275,,17122
157,285,32,9,3128,3128,247,,17613
158,461,32,7,3160,3160,241,,18055
159,323,17,11,3177,3177,241,,18055
160,413,26,14,3203,3203,239,,18951
161,289,17,0,3220,3220,243,,19310
162,263,11,1,3231,3231,246,,19543
163,297,37,5,3268,3268,240,,19852
164,466,31,7,3299,3299,239,,20121
165,464,27,9,3326,3326,247,,20557
166,563,25,0,3351,3351,262,,21174
167,559,31,11,3382,3382,248,,21606
168,480,11,0,3393,3393,251,,21953
169,326,14,7,3407,3407,236,,22217
170,629,39,0,3446,3446,242,,22587
171,563,36,9,3482,3482,237,,23089
172,584,37,7,3519,3519,236,,23527
173,622,36,3,3555,3555,244,,24043
174,776,19,0,3574,3574,235,,24491
175,533,12,0,3586,3586,244,,24899
176,490,16,0,3602,3602,255,,25242
177,535,37,9,3639,3639,254,,25758
178,645,44,2,3683,3683,274,,26305
179,800,43,2,3726,3726,284,,26792
180,889,40,5,3766,3766,278,,27329
181,981,31,7,3797,3797,264,,27909
182,797,27,-1,3824,3824,264,,28318
183,505,26,0,3850,3850,283,,28670
184,967,42,6,3892,3892,293,,29275
185,848,31,1,3923,3923,295,,29923
186,942,45,4,3968,3968,308,,30555
187,929,63,2,4031,4031,331,,31258
188,1031,51,10,4082,4082,315,,32004
189,849,25,1,4107,4107,339,,32628
190,727,22,2,4129,4129,367,,33130
191,1161,65,13,4194,4194,354,,33902
192,747,31,6,4225,4225,167,,34682
193,1086,48,13,4273,4273,187,,35502
194,1058,54,0,4327,4327,312,,36333
195,988,41,13,4368,4368,209,,37287
196,965,26,1,4394,4394,165,,37971
197,601,26,1,4420,4420,250,,38633
198,783,73,13,4493,4493,246,,39513
199,924,46,5,4539,4539,271,,40416
200,1091,51,8,4590,4590,341,,41319
201,855,47,15,4637,4637,308,,42317
202,1124,44,13,4681,4681,337,,43284
203,932,36,1,4717,4717,354,,43964
204,411,15,1,4732,4732,345,,44495
205,770,51,12,4783,4783,327,,45368
206,939,43,9,4826,4826,330,,46323
207,875,55,8,4881,4881,330,,47221
208,1043,49,12,4930,4930,350,,48244
209,1185,50,6,4980,4980,338,,49283
210,622,20,2,5000,5000,352,,50028
211,521,31,0,5031,5031,414,,50662
212,767,61,8,5092,5092,364,,51456
213,531,33,5,5125,5125,387,,52350
214,968,45,7,5170,5170,354,,53239
215,1059,65,7,5235,5235,336,,54181
216,866,40,13,5275,5275,337,,55172
217,699,29,1,5304,5304,347,,55982
218,469,23,0,5327,5327,365,,56602
219,709,53,13,5380,5380,380,,57382
220,710,50,8,5430,5430,388,,58244
221,769,39,7,5469,5469,367,,59076
222,848,36,1,5505,5505,350,,60055
223,975,40,14,5545,5545,333,,60933
224,479,13,0,5558,5558,321,,61720
225,414,15,0,5573,5573,337,,62310
226,687,37,13,5610,5610,354,,62995
227,786,41,6,5651,5651,344,,63730
228,912,33,11,5684,5684,291,,64480
229,864,52,2,5736,5736,309,,65265
230,862,39,6,5775,5775,268,,66075
231,570,29,3,5804,5804,287,,66699
232,268,13,0,5817,5817,290,,67234
233,1036,61,9,5878,5878,295,,67902
234,578,38,11,5916,5916,287,,68641
235,740,30,4,5946,5946,293,,69299
236,1542,52,7,5998,5998,302,,70229
237,999,50,15,6048,6048,275,,71153
238,890,22,0,6070,6070,286,,71906
239,575,19,0,6089,6089,289,,72478
240,749,29,0,6118,6118,297,,73122
241,913,55,15,6173,6173,302,,73964
242,1592,49,10,6222,6222,304,,74834
243,1443,41,4,6263,6263,326,,75878
244,1430,46,12,6309,6309,319,,76909
245,1624,23,1,6332,6332,313,,77750
246,818,18,0,6350,6350,341,,78527
247,1441,56,11,6406,6406,343,,79557
248,1502,48,8,6454,6454,370,,80627
249,2134,68,2,6522,6522,347,,81902
250,2580,47,7,6569,6569,342,,83184
251,2403,50,3,6619,6619,362,,84632
252,1735,34,1,6653,6653,407,,85824
253,1296,39,2,6692,6692,433,,86822
254,1739,73,7,6765,6765,474,,88131
255,1895,56,9,6821,6821,509,,89393
256,2478,76,7,6897,6897,530,,90726
257,2629,65,9,6962,6962,543,,92366
258,2902,79,7,7041,7041,574,,94094
259,2247,54,0,7095,7095,571,,95513
260,1739,47,2,7142,7142,640,,96727
261,2447,67,17,7209,7209,646,,98385
262,2459,91,27,7300,7300,683,,99925
263,3000,109,21,7409,7409,669,,101669
264,2825,97,5,7506,7506,663,,103530
265,3054,82,20,7588,7588,692,,105373
266,1926,58,5,7646,7646,714,,107004
267,1727,56,4,7702,7702,782,,108371
268,2075,108,18,7810,7810,853,,110110
269,2463,141,16,7951,7951,873,,111765
270,3274,110,9,8061,8061,907,,113596
271,3164,138,16,8199,8199,876,,115826
272,2971,120,17,8319,8319,870,,117865
273,2713,79,7,8398,8398,872,,119747
274,2016,56,9,8454,8454,950,,121204
275,3428,147,34,8601,8601,959,,123196
276,3323,153,29,8754,8754,1017,,125411
277,4040,138,18,8892,8892,1043,,127576
278,4105,135,23,9027,9027,1101,,130231
279,0,0,0,9027,9027,1068,,130231
280,0,0,0,9027,9027,1090,,130231
281,7915,292,29,9319,9319,1172,,136910
282,4686,218,35,9537,9537,1192,,139455
283,4363,167,50,9704,9704,1190,,142485
284,3632,151,23,9855,9855,1202,,145509
285,4643,183,49,10038,10038,1245,,149534
286,4673,199,29,10237,10237,1237,,152928
287,3778,95,10,10332,10332,1293,,155814
288,3011,84,11,10416,10416,1350,,158158
289,5501,220,71,10636,10636,1385,,161260
290,4130,174,48,10810,10810,1439,,164726
291,5146,193,60,11003,11003,1453,,168117
292,5357,142,26,11145,11145,1546,,171252
293,5808,229,63,11374,11374,1502,,175096
294,3553,123,18,11497,11497,1512,,179230
295,3505,100,3,11597,11597,1648,,181845
296,6104,247,58,11844,11844,1714,,185241
297,6255,243,58,12087,12087,1747,,189331
298,6284,223,40,12310,12310,1774,,193369
299,6411,244,64,12554,12554,1787,,198090
300,7521,173,48,12727,12727,1806,,202879
301,4407,112,11,12839,12839,1860,,206944
302,4470,100,18,12939,12939,2003,,210318
303,7432,291,72,13230,13230,2070,,214469
304,7537,277,72,13507,13507,2102,,219304
305,8223,264,67,13771,13771,2077,,223937
306,8451,274,62,14045,14045,2045,,229469
307,5581,181,56,14226,14226,2034,,235170
308,6320,155,12,14381,14381,2097,,240075
309,4638,118,13,14499,14499,2278,,243841
310,7593,318,103,14817,14817,2278,,248700
311,8510,283,58,15100,15100,2217,,254365
312,7448,236,85,15336,15336,2104,,259953
313,7077,190,81,15526,15526,2076,,266280
314,7029,208,52,15734,15734,2076,,272180
315,4019,89,7,15823,15823,1988,,276574
316,3455,107,8,15930,15930,1999,,280358
317,6748,279,114,16209,16209,1986,,284903
318,5997,248,71,16457,16457,1892,,290969
319,5666,201,72,16658,16658,1892,,296577
320,1422,57,19,16715,16715,1727,,301541
321,5473,167,30,16882,16882,1843,,306770
322,4055,117,23,16999,16999,1824,,311438
323,2676,96,7,17095,17095,1845,,315086
324,4635,277,117,17372,17372,1827,,319426
325,4565,197,92,17569,17569,1780,,325587
326,5604,172,70,17741,17741,1754,,331425
327,5673,202,69,17943,17943,1660,,337653
328,5711,183,92,18126,18126,1660,,343481
329,3149,90,18,18216,18216,1660,,348995
330,2322,70,21,18286,18286,1566,,352510
331,4620,214,81,18500,18500,1556,,356752
332,4171,215,88,18715,18715,1535,,363504
333,4709,160,67,18875,18875,1484,,369821
334,4478,145,57,19020,19020,1448,,375627
335,4624,142,58,19162,19162,1448,,381633
336,2965,87,15,19249,19249,1448,,386655
337,2329,77,13,19326,19326,1471,,390003
338,4055,184,56,19510,19510,1461,,394095
339,2822,146,85,19656,19656,1410,,399073
340,4281,129,68,19785,19785,1363,,403706
341,3921,145,71,19930,19930,1330,,408367
342,4315,122,90,20052,20052,1330,,412499
343,2045,68,21,20120,20120,1268,,415922
344,1629,48,8,20168,20168,1308,,418587
345,3027,187,128,20355,20355,1274,,421506
346,3063,164,74,20519,20519,1243,,424946
347,3263,128,66,20647,20647,1243,,428208
348,1639,56,6,20703,20703,1243,,431428
349,677,31,4,20734,20734,1243,,433415
350,2558,95,10,20829,20829,1089,,436233
351,1557,82,21,20911,20911,1113,,438394
352,2919,170,92,21081,21081,1082,,440857
353,3170,126,40,21207,21207,1074,,444609
354,4212,143,50,21350,21350,1074,,447500
355,2085,50,12,21400,21400,1074,,450358
356,1129,49,2,21449,21449,1018,,452502
357,2593,80,5,21529,21529,1018,,454850
358,1626,51,8,21580,21580,1069,,456529
359,4019,216,97,21796,21796,1123,,458650
360,4109,175,69,21971,21971,1104,,461729
361,4509,99,42,22070,22070,1128,,464443
362,4110,136,52,22206,22206,1077,,467069
363,3516,120,38,22326,22326,1054,,470385
364,2126,52,3,22378,22378,1054,,472862
365,1682,56,5,22434,22434,973,,474830
366,3307,149,58,22583,22583,1017,,477460
367,2771,122,46,22705,22705,988,,480112
368,3140,99,49,22804,22804,1025,,482669
369,2706,119,42,22923,22923,998,,485157
370,2409,103,135,23026,23026,953,,487754
371,1891,50,1,23076,23076,953,,490043
372,1169,54,20,23130,23130,875,,491962
373,1933,114,47,23244,23244,865,,494029
374,1851,119,62,23363,23363,834,,496297
375,2569,82,55,23445,23445,808,,498368
376,2303,91,45,23536,23536,785,,500685
377,2012,89,49,23625,23625,785,,502593
378,1374,67,6,23692,23692,761,,504238
379,1100,56,9,23748,23748,772,,505987
380,1564,135,65,23883,23883,746,,507760
381,1559,93,38,23976,23976,734,,510012
382,1980,87,32,24063,24063,710,,511859
383,1804,91,56,24154,24154,680,,513809
384,1613,89,40,24243,24243,680,,515745
