date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,0,0,0,,0
53,0,0,0,0,0,0,,0
54,0,0,0,,,,,
55,0,0,0,,,,,
56,0,0,0,,,,,
57,0,0,0,,,,,
58,0,0,0,,,,,
59,0,0,0,,,,,
60,0,0,0,,,,,
61,0,0,0,,,,,
62,0,0,0,,,,,
63,0,0,0,,,,,
64,0,0,0,,,,,
65,0,0,0,,,,,
66,1,0,0,,,,,
67,1,0,0,,,,,
68,5,0,0,,,,,
69,4,0,0,,,,,
70,1,0,0,,,,,
71,4,0,0,,,,,
72,4,0,0,,,,,
73,19,0,0,,,,,
74,12,0,0,,,,,
75,25,0,0,,,,,
76,20,0,0,,,,,
77,17,0,0,,,,,
78,13,0,1,,,,,
79,36,0,0,,,,,
80,29,0,0,,,,,
81,26,0,1,,,,,
82,20,0,0,,,,,
83,45,0,0,,,,,
84,42,0,1,,,,,
85,21,0,1,,,,,
86,67,0,0,,,,,
87,50,0,0,,,,,
88,61,0,1,,,,,
89,31,0,0,,,85,,63
90,23,0,0,,,85,,63
91,34,0,3,,,81,,83
92,15,0,1,,,95,,85
93,14,0,0,,,87,,147
94,62,0,1,,,82,,211
95,37,0,3,,,85,,223
96,15,0,0,,,85,,223
97,31,0,3,,,83,,255
98,78,0,2,,,72,,265
99,39,0,6,,,77,,290
100,12,0,2,,,85,,330
101,25,0,0,,,103,,330
102,28,0,3,,,108,,380
103,21,0,3,,,97,,439
104,32,0,0,,,97,,439
105,24,0,2,,,100,,455
106,19,0,2,,,100,,455
107,16,0,1,,,87,,481
108,16,0,1,,,102,,504
109,23,0,3,,,84,,545
110,18,0,5,,,81,,555
111,33,0,2,,,76,,572
112,22,0,2,,,73,,611
113,15,0,0,,,73,,611
114,32,0,0,,,64,,630
115,10,0,0,,,76,,716
116,39,0,1,,,76,,716
117,23,0,0,,,65,,761
118,25,0,2,,,53,,761
119,25,0,1,,,49,,775
120,6,0,0,,,49,,775
121,5,0,3,,,50,,803
122,27,0,1,,,58,,813
123,29,0,2,,,52,,870
124,14,0,2,,,57,,870
125,16,0,2,,,55,,889
126,33,0,3,,,48,,919
127,1,0,0,,,48,,919
128,18,0,1,,,54,,922
129,36,0,1,,,58,,950
130,48,0,1,,,46,,983
131,23,0,1,,,47,,983
132,101,0,1,,,39,,1110
133,42,0,0,,,23,,1121
134,15,0,0,,,36,,1135
135,80,0,2,,,35,,1180
136,13,0,0,,,36,,1191
137,39,0,0,,,35,,1211
138,45,0,0,,,33,,1241
139,23,0,1,,,33,,1290
140,36,0,0,,,33,,1303
141,7,0,0,,,31,,1313
142,24,0,2,,,31,,1341
143,30,0,1,,,34,,1381
144,21,0,0,,,28,,1399
145,27,0,6,,,27,,1445
146,12,0,0,,,27,,1446
147,13,0,0,,,28,,1451
148,9,0,0,,,24,,1468
149,16,0,0,,,24,,1477
150,19,0,1,,,24,,1485
151,24,0,0,,,38,,1516
152,21,0,1,,,29,,1553
153,26,0,2,,,29,,1568
154,30,0,0,,,30,,1571
155,9,0,0,,,25,,1585
156,43,0,0,,,24,,1636
157,35,0,0,,,23,,1654
158,42,0,0,,,25,,1665
159,17,0,0,,,22,,1665
160,51,0,0,,,22,,1669
161,57,0,1,,,23,,1676
162,9,0,0,,,21,,1681
163,30,0,3,,,21,,1790
164,47,0,0,,,24,,1855
165,32,0,0,,,24,,1858
166,51,0,0,,,33,,1907
167,49,0,1,,,33,,2042
168,56,0,0,,,32,,2062
169,53,0,0,,,28,,2196
170,35,0,0,,,27,,2272
171,27,0,0,,,23,,2284
172,121,0,0,,,23,,2380
173,73,0,0,,,25,,2396
174,15,0,1,,,25,,2402
175,121,0,0,,,27,,2421
176,180,0,1,,,41,,2518
177,19,0,0,,,41,,2535
178,246,0,0,,,48,,2648
179,119,0,0,,,50,,2718
180,157,0,0,,,56,,2756
181,91,0,0,,,56,,2763
182,133,0,1,,,56,,2806
183,52,0,0,,,63,,2825
184,148,0,1,,,59,,2982
185,150,0,0,,,63,,2999
186,100,0,2,,,65,,3128
187,126,0,1,,,69,,3267
188,111,0,0,,,74,,3295
189,148,0,0,,,76,,3373
190,100,0,0,,,77,,3466
191,57,0,1,,,77,,3546
192,7,0,0,,,78,,3625
193,344,0,2,,,88,,3913
194,145,0,0,,,76,,4013
195,126,0,0,,,80,,4115
196,139,0,0,,,82,,4168
197,94,0,3,,,85,,4332
198,119,0,5,,,94,,4481
199,153,0,1,,,98,,4589
200,96,0,3,,,102,,4703
201,220,0,1,,,108,,4815
202,93,0,0,,,108,,4858
203,119,0,1,,,112,,4897
204,119,0,0,,,116,,4918
205,78,0,7,,,111,,5063
206,108,0,0,,,115,,5218
207,118,0,0,,,123,,5330
208,156,0,3,,,122,,5510
209,130,0,4,,,121,,5609
210,131,0,8,,,124,,5678
211,60,0,2,,,123,,5699
212,121,0,6,,,130,,5863
213,133,0,6,,,135,,5960
214,143,0,0,,,128,,6045
215,123,0,4,,,135,,6144
216,183,0,3,,,132,,6298
217,107,0,0,,,130,,6429
218,68,0,0,,,134,,6531
219,99,0,4,,,132,,6737
220,70,0,2,,,133,,6909
221,181,0,0,,,140,,7010
222,84,0,4,,,146,,7140
223,119,0,6,,,138,,7307
224,87,0,2,,,139,,7358
225,40,0,1,,,141,,7385
226,83,0,8,,,139,,7486
227,145,0,3,,,143,,7601
228,93,0,9,,,146,,7773
229,191,0,3,,,133,,7859
230,143,0,10,,,151,,7935
231,143,0,1,,,141,,7983
232,140,0,1,,,139,,8017
233,257,0,8,,,141,,8163
234,135,0,8,,,146,,8266
235,203,0,7,,,145,,8342
236,192,0,6,,,152,,8450
237,252,0,0,,,154,,8516
238,123,0,3,,,149,,8556
239,163,0,1,,,149,,8581
240,86,0,3,,,152,,8626
241,147,0,4,,,147,,8748
242,209,0,3,,,141,,8904
243,157,0,6,,,147,,9062
244,347,0,2,,,145,,9225
245,178,0,1,,,147,,9290
246,121,0,9,,,151,,9361
247,156,0,5,,,155,,9536
248,220,0,10,,,156,,9670
249,234,0,4,,,170,,9804
250,253,0,3,,,175,,10011
251,191,0,11,,,169,,10155
252,180,0,2,,,167,,10227
253,117,0,2,,,162,,10317
254,213,0,5,,,164,,10524
255,120,0,2,,,163,,10721
256,202,0,6,,,173,,10831
257,247,0,5,,,177,,10968
258,205,0,2,,,174,,11121
259,190,0,2,,,169,,11160
260,164,0,3,,,168,,11188
261,180,0,8,,,172,,11333
262,156,0,5,,,169,,11507
263,176,0,4,,,173,,11602
264,283,0,1,,,164,,11799
265,161,0,2,,,171,,11938
266,160,0,1,,,173,,11982
267,114,0,3,,,165,,12051
268,194,0,3,,,168,,12242
269,203,0,5,,,168,,12443
270,186,0,1,,,168,,12699
271,382,0,6,,,164,,12896
272,206,0,5,,,173,,13086
273,215,0,1,,,173,,13167
274,153,0,3,,,168,,13318
275,274,0,2,,,181,,13481
276,263,0,4,,,180,,13815
277,264,0,2,,,180,,14066
278,498,0,3,,,188,,14269
279,221,0,3,,,180,,14563
280,280,0,0,,,173,,14742
281,212,0,0,,,177,,14799
282,226,0,9,,,191,,14988
283,215,0,5,,,188,,15215
284,323,0,5,,,188,,16166
285,335,0,4,,,193,,16368
286,320,0,0,,,209,,16578
287,194,0,1,,,214,,16654
288,317,0,1,,,215,,16768
289,483,0,8,,,221,,17846
290,358,0,4,,,226,,18071
291,402,0,7,,,238,,18276
292,524,0,8,,,240,,18552
293,470,0,6,,,236,,18827
294,423,0,0,,,240,,19011
295,352,0,1,,,254,,19220
296,358,0,11,,,271,,19617
297,394,0,3,,,269,,19852
298,560,0,8,,,281,,20175
299,540,0,7,,,280,,20465
300,655,0,15,,,287,,20786
301,662,0,0,,,288,,21032
302,401,0,28,,,290,,21301
303,511,0,16,,,280,,21499
304,885,0,7,,,277,,21877
305,696,0,2,,,306,,22115
306,742,0,10,,,339,,22543
307,1153,0,9,,,344,,23077
308,867,0,8,,,365,,23077
309,801,0,3,,,383,,23498
310,864,0,13,,,400,,24019
311,953,0,14,,,429,,24493
312,1122,0,11,,,415,,25133
313,1081,0,16,,,402,,25664
314,1118,0,19,,,416,,26165
315,880,0,4,,,433,,26476
316,636,0,5,,,463,,26769
317,969,0,15,,,463,,27461
318,967,0,13,,,510,,28072
319,1130,0,17,,,534,,28718
320,866,0,0,,,528,,29008
321,799,0,6,,,540,,29396
322,1152,0,11,,,556,,29898
323,845,0,6,,,597,,30320
324,976,0,23,,,595,,31139
325,1087,0,20,,,622,,32002
326,1120,0,11,,,625,,32808
327,1147,0,10,,,632,,33657
328,1400,0,30,,,641,,34454
329,1425,0,9,,,616,,35082
330,1131,0,3,,,610,,35596
331,932,0,29,,,646,,36513
332,1402,0,31,,,650,,37502
333,1233,0,20,,,679,,38614
334,942,0,17,,,697,,39728
335,1514,0,28,,,697,,40862
336,1066,0,2,,,702,,40862
337,1177,0,10,,,720,,42340
338,1307,0,34,,,774,,43605
339,1148,0,27,,,766,,44550
340,1636,0,32,,,781,,45582
341,1266,0,20,,,753,,46632
342,1464,0,31,,,730,,47844
343,1127,0,6,,,693,,48580
344,995,0,1,,,695,,49331
345,1400,0,42,,,739,,50702
346,1199,0,23,,,737,,51916
347,1303,0,34,,,739,,53054
348,1597,0,19,,,702,,53729
349,1341,0,6,,,686,,54295
350,533,0,1,,,699,,55019
351,726,0,9,,,720,,55900
352,1337,0,21,,,761,,57225
353,1452,0,34,,,797,,58474
354,1109,0,20,,,801,,59508
355,2486,0,23,,,809,,60316
356,1507,0,12,,,810,,61120
357,1731,0,3,,,805,,62264
358,828,0,20,,,799,,63128
359,1276,0,46,,,806,,64404
360,1516,0,39,,,818,,65571
361,1324,0,37,,,789,,66881
362,1896,0,36,,,787,,68155
363,1880,0,16,,,768,,69228
364,1434,0,12,,,760,,70382
365,1070,0,12,,,755,,71431
366,921,0,40,,,755,,72992
367,1189,0,37,,,765,,74739
368,827,0,31,,,736,,76272
369,1430,0,31,,,717,,77900
370,1475,0,28,,,718,,79109
371,697,0,15,,,648,,80187
372,988,0,8,,,643,,81248
373,1011,0,31,,,638,,82330
374,857,0,21,,,655,,83624
375,940,0,13,,,638,,85031
376,998,0,7,,,638,,86417
377,1137,0,16,,,624,,88024
378,555,0,23,,,607,,88933
379,532,0,4,,,597,,89575
380,1139,0,29,,,582,,90875
381,797,0,25,,,550,,92251
382,787,0,30,,,539,,93439
383,905,0,23,,,519,,94891
384,873,0,9,,,481,,96518
385,661,0,9,,,456,,97782
386,424,0,4,,,438,,98782
387,510,0,3,,,465,,99857
388,535,0,27,,,456,,101200
389,574,0,22,,,396,,102495
390,597,0,20,,,384,,103780
391,549,0,19,,,378,,105185
392,518,0,10,,,381,,106442
393,398,0,2,,,375,,107418
394,416,0,19,,,394,,108616
395,429,0,25,,,362,,109700
396,469,0,12,,,364,,110698
397,467,0,13,,,348,,111584
398,395,0,1,,,321,,112541
399,306,0,9,,,327,,113555
400,301,0,2,,,319,,113994
401,228,0,4,,,321,,114932
402,288,0,9,,,320,,115658
403,355,0,11,,,301,,116436
404,295,0,12,,,293,,117183
405,309,0,6,,,292,,117974
406,252,0,7,,,289,,118401
407,238,0,2,,,294,,118796
408,285,0,11,,,296,,119337
409,243,0,11,,,292,,120030
410,431,0,5,,,282,,120503
411,421,0,1,,,267,,121143
412,346,0,6,,,237,,121797
413,275,0,3,,,239,,121797
414,193,0,0,,,225,,122751
415,136,0,1,,,210,,123191
416,232,0,8,,,197,,123656
417,261,0,0,,,193,,124050
418,287,0,9,,,200,,124502
419,326,0,5,,,196,,124983
420,155,0,2,,,179,,125383
