date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,,,,,
50,0,0,0,,,,,
51,0,0,0,,,,,
52,0,0,0,,,,,
53,0,0,0,,,,,
54,0,0,0,,,,,
55,0,0,0,,,,,
56,0,0,0,,,,,
57,0,0,0,,,,,
58,0,0,0,,,,,
59,0,0,0,,,,,
60,1,0,0,,,,,
61,0,0,0,,,,,
62,1,0,0,,,,,
63,1,0,0,,,,,
64,0,0,0,,,,,
65,7,0,0,,,,,
66,5,0,0,,,,,
67,3,0,0,,,,,
68,1,0,0,,,,,
69,4,0,0,,,,,
70,1,0,0,,,,,
71,2,0,0,,,,,
72,3,0,0,,,,,
73,15,0,0,,,,,7
74,9,0,0,,,,,12
75,17,11,0,11,11,,,17
76,12,3,0,14,14,,,18
77,4,1,0,15,15,,,20
78,8,2,0,17,17,,,24
79,15,0,0,17,17,,,26
80,21,1,0,18,18,,,31
81,20,1,0,19,19,,,31
82,12,2,0,21,21,,,37
83,25,2,0,23,23,,,49
84,10,0,0,23,23,,,50
85,13,0,0,23,23,,,52
86,6,10,0,33,33,,,62
87,87,0,0,33,33,,,62
88,17,1,0,34,34,,,94
89,20,3,0,37,37,,,105
90,3,0,0,37,37,,,129
91,21,3,0,40,40,,,137
92,9,1,1,41,41,,,138
93,10,2,0,43,43,,,140
94,10,0,1,43,43,,,129
95,8,0,0,43,43,19,,148
96,11,0,0,43,43,19,,148
97,10,7,0,50,50,19,,206
98,4,0,0,50,50,19,,227
99,2,1,0,51,51,19,,233
100,13,1,4,52,52,19,,237
101,6,0,0,52,52,19,,254
102,6,0,1,52,52,,,275
103,20,2,0,54,54,16,,321
104,18,0,0,54,54,16,,321
105,11,0,0,54,54,16,,334
106,18,0,0,54,54,16,,342
107,16,2,0,56,56,16,,343
108,8,0,0,56,56,12,,362
109,15,0,0,56,56,13,,371
110,7,0,0,56,56,13,,373
111,13,2,0,58,58,13,,387
112,7,2,0,60,60,13,,391
113,10,0,0,60,60,13,,391
114,8,0,0,60,60,13,,405
115,27,0,0,60,60,11,,409
116,4,-1,0,59,59,11,,416
117,9,1,0,60,60,9,,428
118,9,4,0,64,64,12,,438
119,9,1,0,65,65,12,,443
120,7,1,0,66,66,12,,443
121,6,1,0,67,67,10,,477
122,13,0,0,67,67,10,,477
123,13,0,0,67,67,8,,480
124,15,1,0,68,68,8,,487
125,25,1,0,69,69,8,,496
126,13,1,1,70,70,8,,498
127,12,3,0,73,73,8,,498
128,10,0,2,73,73,8,,504
129,11,1,1,74,74,9,,528
130,14,1,0,75,75,8,,534
131,2,1,1,76,76,10,,551
132,10,1,0,77,77,10,,551
133,25,1,0,78,78,10,,556
134,5,1,0,79,79,10,,575
135,7,3,1,82,82,14,,607
136,10,0,0,82,82,12,,607
137,16,0,2,82,82,15,,624
138,15,2,0,84,84,13,,634
139,7,1,1,85,85,13,,658
140,5,0,0,85,85,13,,658
141,7,1,1,86,86,8,,667
142,2,0,0,86,86,7,,667
143,3,1,0,87,87,4,,714
144,6,0,0,87,87,4,,714
145,12,3,0,90,90,4,,755
146,6,0,0,90,90,4,,757
147,8,0,0,90,90,4,,757
148,13,1,0,91,91,7,,773
149,10,0,0,91,91,8,,789
150,10,1,1,92,92,8,,804
151,29,0,0,92,92,7,,814
152,18,0,0,92,92,5,,814
153,23,1,0,93,93,5,,833
154,10,0,0,93,93,5,,834
155,19,0,0,93,93,4,,834
156,10,3,0,96,96,7,,852
157,25,1,0,97,97,7,,862
158,30,0,0,97,97,8,,870
159,29,1,2,98,98,8,,889
160,6,0,0,98,98,8,,896
161,18,2,0,100,100,8,,909
162,33,5,0,105,105,8,,931
163,24,4,0,109,109,8,,953
164,28,0,0,109,109,7,,966
165,44,2,0,111,111,7,,996
166,42,1,0,112,112,5,,1033
167,24,-1,0,111,111,5,,1054
168,25,1,0,112,112,5,,1057
169,33,0,0,112,112,7,,1070
170,37,5,0,117,117,6,,1097
171,27,0,0,117,117,9,,1119
172,36,2,0,119,119,9,,1139
173,32,0,0,119,119,8,,1154
174,24,0,0,119,119,8,,1169
175,28,0,0,119,119,8,,1172
176,41,0,0,119,119,9,,1172
177,36,0,0,119,119,10,,1274
178,29,1,1,120,120,13,,1291
179,34,1,0,121,121,12,,1313
180,16,0,0,121,121,12,,1327
181,49,2,0,123,123,12,,1361
182,23,1,0,124,124,12,,1372
183,42,0,0,124,124,17,,1372
184,47,4,1,128,128,14,,1462
185,34,3,0,131,131,17,,1506
186,41,0,2,131,131,18,,1540
187,43,9,0,140,140,19,,1590
188,39,2,0,142,142,16,,1611
189,18,1,0,143,143,17,,1615
190,61,1,0,144,144,13,,1652
191,51,2,1,146,146,13,,1694
192,50,6,0,152,152,13,,1745
193,59,1,0,153,153,15,,1794
194,58,2,0,155,155,14,,1857
195,41,3,0,158,158,14,,1866
196,29,0,0,158,158,14,,1883
197,45,0,0,158,158,17,,1915
198,69,4,1,162,162,15,,1970
199,39,3,0,165,165,16,,2022
200,58,1,0,166,166,18,,2065
201,40,0,0,166,166,18,,2123
202,43,1,0,167,167,18,,2153
203,39,0,0,167,167,18,,2173
204,40,0,1,167,167,19,,2214
205,36,2,0,169,169,17,,2284
206,39,0,0,169,169,16,,2323
207,35,2,0,171,171,16,,2366
208,42,5,1,176,176,17,,2420
209,13,1,0,177,177,17,,2462
210,37,0,0,177,177,17,,2465
211,-8,2,0,179,179,15,,2483
212,31,4,1,183,183,15,,2541
213,13,4,0,187,187,15,,2577
214,33,2,1,189,189,14,,2601
215,64,2,0,191,191,13,,2641
216,44,0,0,191,191,13,,2659
217,59,0,0,191,191,13,,2668
218,45,4,3,195,195,13,,2699
219,32,-2,1,193,193,12,,2759
220,67,4,0,197,197,12,,2786
221,38,5,0,202,202,18,,2832
222,56,1,3,203,203,19,,2864
223,19,0,0,203,203,19,,2879
224,36,4,0,207,207,19,,2896
225,24,4,0,211,211,20,,2927
226,31,2,0,213,213,18,,2965
227,50,0,0,213,213,17,,3028
228,38,2,0,215,215,13,,3060
229,41,0,0,215,215,15,,3086
230,21,0,0,215,215,15,,3116
231,36,0,0,215,215,15,,3136
232,22,0,0,215,215,16,,3181
233,24,4,4,219,219,13,,3206
234,45,2,0,221,221,14,,3249
235,28,2,0,223,223,15,,3290
236,50,0,1,223,223,15,,3393
237,17,0,0,223,223,15,,3404
238,26,-4,0,219,219,15,,3416
239,0,0,0,219,219,15,,3416
240,71,0,0,219,219,17,,3451
241,48,2,0,221,221,12,,3484
242,48,3,0,224,224,12,,3553
243,65,3,0,227,227,12,,3724
244,33,60,0,287,287,12,,3740
245,49,-59,0,228,228,12,,3768
246,46,2,4,230,230,13,,3884
247,46,0,0,230,230,16,,3925
248,128,5,0,235,235,16,,3971
249,86,1,3,236,236,16,,4000
250,95,4,0,240,240,16,,4044
251,33,2,0,242,242,16,,4092
252,91,1,0,243,243,16,,4111
253,73,4,0,247,247,23,,4172
254,72,6,0,253,253,21,,4230
255,153,0,1,253,253,21,,4277
256,136,2,0,255,255,19,,4364
257,115,1,0,256,256,22,,4450
258,45,2,0,258,258,22,,4479
259,168,4,0,262,262,22,,4519
260,121,2,0,264,264,22,,4613
261,67,3,0,267,267,22,,4702
262,127,5,0,272,272,24,,4791
263,135,2,3,274,274,27,,4853
264,131,6,0,280,280,32,,4989
265,151,1,0,281,281,32,,5083
266,139,1,0,282,282,32,,5160
267,125,12,0,294,294,36,,5272
268,141,10,0,304,304,44,,5418
269,129,1,0,305,305,47,,5504
270,193,8,1,313,313,56,,5603
271,243,4,0,317,317,54,,5732
272,120,6,0,323,323,54,,5807
273,156,0,0,323,323,54,,5877
274,191,15,0,338,338,51,,6058
275,162,5,3,343,343,46,,6181
276,213,9,0,352,352,45,,6261
277,198,2,0,354,354,51,,6360
278,290,5,0,359,359,51,,6494
279,151,-1,0,358,358,51,,6559
280,209,2,0,360,360,51,,6627
281,286,4,0,364,364,68,,6796
282,215,7,4,371,371,66,,6944
283,322,2,0,373,373,66,,7070
284,271,0,7,373,373,81,,7220
285,426,19,0,392,392,83,,7357
286,260,0,0,392,392,83,,7471
287,236,2,0,394,394,95,,7525
288,436,7,9,401,401,102,,7675
289,329,10,0,411,411,105,,7906
290,340,10,0,421,421,104,,8105
291,361,13,10,434,434,109,,8236
292,521,6,0,440,440,120,,8455
293,270,-1,0,439,439,120,,8541
294,425,3,0,442,442,117,,8676
295,444,16,0,458,458,132,,8963
296,452,13,6,471,471,124,,9312
297,425,10,12,481,481,138,,9501
298,365,11,0,492,492,134,,9709
299,996,7,0,499,499,147,,10012
300,192,6,0,505,505,147,,10142
301,713,0,9,505,505,148,,10315
302,700,15,0,520,520,172,,10699
303,1232,22,13,542,542,178,,11098
304,132,3,0,545,545,178,,11234
305,1105,13,0,558,558,192,,11585
306,862,7,0,565,565,195,,12082
307,540,15,17,580,580,202,,12247
308,613,0,0,580,580,189,,12453
309,699,-4,0,576,576,191,,12902
310,1260,13,11,589,589,204,,13407
311,822,20,0,609,609,210,,13752
312,894,20,21,629,629,209,,14904
313,960,24,0,653,653,219,,16316
314,281,6,0,659,659,219,,16530
315,759,0,0,659,659,235,,16807
316,1262,31,26,690,690,224,,17452
317,528,11,0,701,701,228,,17896
318,802,19,13,720,720,226,,20113
319,0,0,0,720,720,226,,20113
320,1012,0,0,720,720,224,,21700
321,156,28,0,748,748,225,,22798
322,560,14,0,762,762,225,,23022
323,816,22,0,784,784,247,,24478
324,500,9,15,793,793,239,,26003
325,702,16,0,809,809,234,,26568
326,571,14,27,823,823,234,,28113
327,659,15,0,838,838,222,,28468
328,204,5,0,843,843,222,,29533
329,376,9,0,852,852,212,,29656
330,668,49,23,901,901,206,,30988
331,490,10,0,911,911,203,,32234
332,410,9,19,920,920,203,,32612
333,338,9,0,929,929,206,,33891
334,562,13,22,942,942,207,,35080
335,122,3,0,945,945,187,,35165
336,453,11,0,956,956,184,,35281
337,415,11,0,967,967,184,,36487
338,289,4,7,971,971,178,,37361
339,246,5,0,976,976,173,,37458
340,283,7,23,983,983,169,,37953
341,766,18,0,1001,1001,157,,38544
342,129,1,0,1002,1002,157,,38620
343,174,5,0,1007,1007,157,,39080
344,456,11,0,1018,1018,162,,39820
345,261,5,22,1023,1023,161,,40128
346,285,4,0,1027,1027,161,,40258
347,0,0,0,1027,1027,161,,40258
348,0,0,0,1027,1027,146,,40258
349,482,12,0,1039,1039,146,,40423
350,54,1,0,1040,1040,146,,41346
351,504,13,32,1053,1053,115,,41878
352,219,40,0,1093,1093,119,,42123
353,210,3,0,1096,1096,113,,42197
354,276,6,33,1102,1102,113,,42570
355,0,0,0,1102,1102,113,,42570
356,164,4,0,1106,1106,95,,43037
357,302,8,0,1114,1114,99,,43068
358,372,9,0,1123,1123,114,,43420
359,322,45,26,1168,1168,114,,43563
360,321,8,0,1176,1176,112,,43642
361,278,8,25,1184,1184,112,,43949
362,479,12,0,1196,1196,108,,44279
363,72,1,0,1197,1197,108,,44490
364,113,3,0,1200,1200,108,,44556
365,563,16,0,1216,1216,98,,44982
366,677,-24,33,1192,1192,106,,45223
367,217,5,0,1197,1197,82,,45904
368,412,10,0,1207,1207,89,,46127
369,208,4,0,1211,1211,89,,46502
370,159,4,0,1215,1215,86,,46734
371,295,8,0,1223,1223,84,,46820
372,345,9,0,1232,1232,85,,46908
373,214,4,28,1236,1236,88,,47583
374,202,4,0,1240,1240,81,,47693
375,300,8,0,1248,1248,84,,47964
376,159,3,21,1251,1251,75,,48316
377,0,0,0,1251,1251,75,,48316
378,315,8,0,1259,1259,65,,48571
379,164,5,0,1264,1264,66,,49008
380,90,1,25,1265,1265,71,,49268
381,216,5,0,1270,1270,70,,49338
382,62,2,0,1272,1272,64,,49592
383,260,7,0,1279,1279,54,,49785
384,14,0,0,1279,1279,54,,49981
385,208,5,0,1284,1284,54,,50003
386,145,5,0,1289,1289,53,,50317
387,71,0,28,1289,1289,53,,50431
388,160,4,0,1293,1293,47,,50499
389,180,7,0,1300,1300,48,,50775
390,108,2,0,1302,1302,44,,50926
391,42,1,0,1303,1303,44,,51018
392,9,-1,0,1302,1302,44,,51016
393,157,4,0,1306,1306,41,,51291
394,46,0,23,1306,1306,32,,51386
395,44,0,0,1306,1306,45,,51419
396,105,3,0,1309,1309,41,,51525
397,107,2,0,1311,1311,44,,51640
398,0,0,0,1311,1311,44,,51640
399,50,45,0,1356,1356,44,,51716
400,0,0,0,1356,1356,44,,51716
401,215,5,15,1361,1361,34,,52000
402,99,2,0,1363,1363,32,,52039
403,81,1,0,1364,1364,31,,52149
404,152,3,0,1367,1367,31,,52259
405,0,0,0,1367,1367,31,,52259
406,112,2,0,1369,1369,31,,52431
407,105,3,0,1372,1372,21,,52567
408,44,1,9,1373,1373,21,,52668
409,44,1,0,1374,1374,25,,52679
410,214,3,0,1377,1377,20,,52879
411,148,4,0,1381,1381,25,,52998
412,0,0,0,1381,1381,25,,52998
413,44,1,0,1382,1382,25,,53132
414,77,2,0,1384,1384,28,,53248
415,56,1,11,1385,1385,24,,53339
416,89,3,0,1388,1388,24,,53375
417,69,1,0,1389,1389,23,,53481
418,79,2,0,1391,1391,21,,53550
419,0,0,0,1391,1391,21,,53550
420,0,0,0,1391,1391,21,,53550
